KO	BSPSPC_002	BSPSPC_005	BSPSPC_018	BSPSPC_047	BSPSPC_057	BSPSPC_069	BSPSPC_073	BSPSPC_076	BSPSPC_146	BSPSPC_169	BSPSPC_171	BSPSPC_189	BSPSPC_214	BSPSPC_252	BSPSPC_287	BSPSPC_294	BSPSPC_298	BSPSPC_300	BSPSPC_325	BSPSPC_328	BSPSPC_330	BSPSPC_334	BSPSPC_337	BSPSPC_342	BSPSPC_343	BSPSPC_345	BSPSPC_353	BSPSPC_358	BSPSPC_363	BSPSPC_368	BSPSPC_369	BSPSPC_376	BSPSPC_384	BSPSPC_388	BSPSPC_393	BSPSPC_399	BSPSPC_401	BSPSPC_404	BSPSPC_414	BSPSPC_416	BSPSPC_422	BSPSPC_427	BSPSPC_437	BSPSPC_443	BSPSPC_445	BSPSPC_454	BSPSPC_456	BSPSPC_465	BSPSPC_468	BSPSPC_470	BSPSPC_475	BSPSPC_478	BSPSPC_494	BSPSPC_503	BSPSPC_506	BSPSPC_509	BSPSPC_514	BSPSPC_518	BSPSPC_525	BSPSPC_527	BSPSPC_529	BSPSPC_530	BSPSPC_532	BSPSPC_552	BSPSPC_561	BSPSPC_566	BSPSPC_569	BSPSPC_583	BSPSPC_593	BSPSPC_609	BSPSPC_624	BSPSPC_681	BSPSPC_696	BSPSPC_719
K00001	295.86	833.2	647.04	252.15	650.4	755.38	712.41	237.06	1385.81	314.41	722.86	318.29	533.43	596.56	478.73	762.93	646.6	223.38	779.11	299.34	608.38	939.09	487.51	743.7	372.78	706.09	686.98	681.18	1339.49	462.35	359.17	1083.93	226.98	590.26	930.89	835.08	840.54	1115.35	686.93	1214.73	537.82	1132.19	748.09	553.71	581.46	923.25	592.8	527.44	966.2	756.83	1456.02	210.3	880.93	853.52	1465.6	1266.76	200.54	1039.41	712.35	1269.62	489.99	989.22	709.74	765.2	537.32	388.9	934.45	130	287.6	733.09	1653.14	1167.94	911.87	516.6
K00003	1761.71	1088.29	2035.92	1256.4	1453.39	918.84	1224.97	1071.76	1771.95	1257.04	787.33	1779.56	1528.1	1305.34	797.9	1878.07	1712.89	528.75	1723.43	2042.84	1676.58	2190.01	2490.55	1934.35	1670.14	1784.87	1668.8	1443.01	2022.99	1855.83	1928.47	2041.51	1569.43	1342.2	2238.82	1801.15	1822.14	2024.57	1284.35	1000.73	2032.96	1212.01	1978.3	1561.35	2515.01	1734.92	786.16	1604.95	1008.72	2153.34	2091.69	1200.16	1471.82	1746.99	1215.45	1180.98	997.77	1594.38	1050.31	1945.65	1658.12	1412.81	2139.57	1933.18	1844.69	1117.77	1716.55	2088.09	2610.4	2158.37	731.23	2044.41	1536.58	1533.94
K00004	6.23	0	1.67	1.91	0.2	6.66	0.67	2.5	2.21	2.58	0.33	3.2	5.64	0	0	18.39	1.67	1.08	14.86	15	0.84	2	3.34	0.25	3.12	1	1.18	0	1.75	2.33	2	2.67	0.67	0.5	3	1.33	6.67	0	0.8	0.6	5.11	5.17	4.33	2.4	41.26	0	2.33	0.33	0	4.44	5.66	0.33	0	0	0	0.6	1.34	0.67	0	2.45	3.36	1.7	6	4	2.33	0	0	0	1.73	35.46	5.8	1	1.33	1.13
K00005	777.89	1063.21	330.13	561.54	452.08	1451.22	694.49	240.86	328.52	230	979.79	821.23	458.86	461.34	89.74	678.21	591.03	385.5	344.94	601.24	534	329.12	622.31	342.51	193.02	693.38	854.98	252.48	561.82	196.94	302.19	416.99	582.37	216.63	514.59	386.84	541.17	300.5	913.33	164.89	218.01	1012.69	532.89	391.95	680.38	215.94	410.25	244.68	301.52	707.08	613.45	839.21	709.4	215.89	686.49	375.71	170.65	309.93	171.8	297.42	895.9	547.07	148.69	572.61	332.18	117.81	265.48	387.84	236.16	166.79	758.01	438.36	157.82	380.39
K00007	1.6	0	1	0	0	4.85	0	0	0	0	0	3.47	0.8	2.23	0	0	0	0.52	0	0.4	0.6	4.33	0.8	0	1	0	4.6	0	0	0	2.2	0	24.33	4.53	3	0	1	0.4	0.6	2.1	0	2.2	0.4	0	0.8	0	11.88	1	0.6	1	1.8	0.4	0	0.4	0	0.2	0	0	0	0	0	157.76	0	0	0	0	0	0.2	0	0	0	0	0	0.6
K00008	1048.01	568.07	1181.35	800.72	792.78	448.35	380.63	559.61	847.65	784.21	492.16	1047.81	879.98	625.75	368.62	718.97	1183.45	346.19	857.14	1051.69	1132.55	1271.96	1621.34	1650.68	704.5	1187.21	1327.77	546.46	1036.4	706.08	1424.97	1012.86	627	830.9	1854.94	913.16	960.29	1068.77	926.53	516.87	989.19	1070.37	1044.98	896.3	1785.15	697.83	419.17	760.03	709.5	1147.56	987.92	600.01	996.03	862.23	679.2	627.78	472.86	730.13	500.74	531.05	1851.91	694.46	1018.06	1026.65	1176.5	587.31	774.19	872.39	1396.29	1410.55	467.28	1062.88	764.67	920.36
K00009	208.81	786	77.96	219.14	109.91	583.33	185.01	37.32	306.03	40.67	553.53	397.47	91.64	188.31	16.24	427.2	191.35	112.78	108.61	126.39	200.44	215.58	117.91	30.84	21	47.09	293.47	28.77	929.65	75.17	27.68	326.39	329.35	30.97	164.57	191.76	39.52	118.87	419.9	33.68	90.92	472.96	155.77	123.65	272.07	124.63	343.06	102.1	80.08	274.87	754.54	364.56	222.32	30.36	170.19	38.68	73.74	244.85	28.67	461.89	71.63	326.57	30.97	167.96	133.08	54.4	53.03	66.61	76.46	48.5	336.85	215.13	85.47	98.16
K00010	191.93	450.59	524.3	28.28	42.4	416.66	42.01	55.57	370.65	88.56	225.22	188.34	87.92	44.18	69.27	414.52	290.08	17.88	207.25	108.42	156.02	472.46	99.2	156.18	39.7	232.61	461.91	247.26	907.05	93.33	99.62	365.27	216.92	34.71	160.43	210.62	96.67	296.96	163.22	135.04	206.24	494.61	235.34	37.79	292.8	274.45	648.92	222.73	158.31	75.12	773.42	66.23	91.06	175.23	146.42	174.48	65.54	273.95	220.9	527.37	253.07	554.13	134.39	129.91	141.92	76.97	222.23	20.35	67.7	239.49	232.87	382.16	94.91	101.47
K00012	2403.46	2612.89	2378.91	2011.2	2349.15	2289.13	1948.24	2790.59	3168.95	2504.05	2556.66	1243.95	2172.43	2600.78	3493.85	2600.36	2065.15	3434.91	2939.22	1449.5	1910.62	2286.85	2107.74	1727.74	2465.57	2545.92	2327.48	2593.09	2660.95	2181.39	1949.13	2675.55	2268.98	2223.38	2577.34	2418.66	2545.19	2690	2306.63	2645.09	1910.02	2267.56	2276.77	1980.88	2426.5	2994.51	2777.88	2509.69	2874.97	1806.1	3269.69	2149.91	2420.22	2781.35	2364.55	3159.28	2838.58	2622.11	3633.07	2642.95	2252.17	3078.05	2390.67	1313.52	1925.07	3338.59	2460.23	1574.49	1791.72	2197.91	3092.64	2872.13	2496.38	2060.64
K00013	1947.6	1750.54	2616.65	1918.17	2042.58	1771.47	1629.66	1924.84	2294.52	1724.79	1914.87	1914.18	2166.23	1885.8	2241.54	2576.21	2068.54	1882.34	2391.97	1764.52	2186.32	2406.41	2732.99	2472.9	2094	2242.53	1893.1	2327.64	1626.13	2272.63	2391.53	2544.53	2117.45	1675.12	2432.59	2511.62	2398.77	2662.43	2088.12	1819.1	2226.37	1852.68	2171.36	2286.96	2529.48	2461.15	1882.71	2434.7	2273.36	2263.75	2069.3	1805.44	2085.06	2456.29	2080.43	2270.03	1961.41	2111.3	2415.48	2021.02	2182.18	2185.09	2792.74	2061.86	2232	2539.11	2146.58	1967.53	2783.77	2738.06	2019.4	2473.8	2095.84	2017.6
K00014	3038.91	3201.58	2982	2637.2	2702.35	2403.18	2294.66	2559.2	2941.73	2742.22	2274.5	2661.19	2839.33	2591.8	2523.33	2698.48	2550.47	2415.87	2719.23	2470.31	2517.86	2880.91	3003.24	3561.02	2530.52	2689.05	2580.44	2895.49	2778.59	2708.15	3294.48	3002.1	2786.09	2669.63	2910.51	2906.4	2641.9	2879.66	2393.54	2497.53	2502.23	2253.75	2713.45	2892.62	3325.99	2745.05	2612.13	2816.74	2466.23	2581.37	2960.75	2538.81	2441.79	2782.46	2274.61	2629.72	2718.94	2623.91	2606.87	2673.66	2392.71	3052.41	3001.3	2325.24	2817.76	2747.99	2400.41	2547.37	3120.3	2889.51	2411.65	2897.12	2796.06	2494.27
K00015	15.75	0.2	1.1	5.75	27.7	1	0	1.75	12	14.25	1.5	34.5	0	4.33	0	3.34	20.75	6.35	2.8	71.5	2.33	0.5	0.5	26	0	3.4	0	0	2.5	0.6	0	121.4	3.5	1.75	0	0.5	0	33.7	0.65	119.75	6.5	6.75	0	0.5	4.6	3.75	0	1.25	9.25	0	5.3	2	3.75	6.3	4	8.5	0	42.5	0.33	69	12	0	0	14.4	0	0	18.5	0	1	48	1.25	10.6	0	0
K00016	1411.83	560.92	1406.18	1288.48	1205.81	1058.34	1042.34	868.86	983.76	892.11	904.65	1541.53	1352.26	1026.15	558.52	1474.66	1480.76	573.14	1372.02	1612.55	1540.73	1351.37	2119.93	1732.63	1321.24	1064.62	1300.91	1161.55	986.96	1290.69	1717.77	1256.61	1346.7	1037.38	1661.93	1453.14	1740.46	1166.92	1350.38	659.59	1592.62	995.41	1537.97	1474.01	2018.72	810.34	576.86	983.45	776.34	1694.8	1098.98	1298.19	1483.67	1288.36	942.54	693.44	775.19	1111.16	450.83	942.55	1130.94	1091.26	1860.06	1407.85	1434.43	822.51	988.51	1207.99	2102.49	1593.61	681.93	1221.83	1133.44	1157.11
K00018	1837.09	1537.63	2122.49	1807.13	1829.12	881.02	1600.66	2037.57	2052.53	1966.39	1476.17	1272.03	1685.83	1974.2	2058.92	1710.61	1989.31	1914.75	1718.46	1361.3	1854.54	2350.29	2209.74	2146.42	2122.12	1964.38	1314.67	1995.3	2144.95	1593.8	2350.4	1994.17	1613.97	2167.23	1615.93	2118.01	2015.62	2327.81	1587.33	1824.99	1923.12	1506.62	1964.19	2025.27	2206.57	2259.74	1427.7	1939.65	1792.81	1218.22	2146.83	1607.39	1537.31	2077.65	1638.19	1970.97	2082.22	1799.13	2308.26	1893.53	1918.21	1796.5	1962.51	1378.65	1952.09	1994.46	1836.67	1895.01	2004.31	2194.76	1827.38	2172.21	2127.81	1699.5
K00019	17.35	10.41	31.99	6	31.5	8.41	0	0	25.25	12.5	9	8.94	2.97	8.73	9	16.17	13	0.52	28.92	0.4	7.93	5.25	11.97	26.67	3.9	30	16.6	20.33	21.42	51.33	23.21	159.67	43.83	15.36	6.99	6	1	60.73	3.33	179.93	9.83	11.04	10.73	49.66	0.8	7.33	38.05	5.27	8.72	120.5	42.29	0.9	7.57	19.57	3	36.14	19	56.5	0.33	76.33	23.25	194.43	35.5	10.66	0.33	5	1.67	1.11	6.33	74.33	2.33	16.33	1.67	0.93
K00020	349	142.11	131.7	119.04	201.47	326.97	625.87	132.08	197.49	144.88	122.41	226.57	168.35	357.14	92.67	205.14	424.84	264.85	324.19	402.35	321.74	485.7	601.46	248	270.86	173.43	519.75	319.22	367.63	278.34	195.28	428.51	295.73	257.08	759.2	275.11	371.41	274.76	193.13	517.39	488.68	247.68	476.47	405.04	569.68	119.68	141.96	369.29	137.1	724.66	250.02	185.77	358.57	330.25	374.08	283.1	170.24	364.53	93.98	450.3	450.3	728.15	244.73	600.96	439.21	123.2	373.66	328.85	399.14	496.6	124.29	525.51	191.44	306.12
K00021	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
