KO	BSPSPC_002	BSPSPC_005	BSPSPC_018	BSPSPC_047	BSPSPC_057	BSPSPC_069	BSPSPC_073	BSPSPC_076	BSPSPC_146	BSPSPC_169	BSPSPC_171	BSPSPC_189	BSPSPC_214	BSPSPC_252	BSPSPC_287	BSPSPC_294	BSPSPC_298	BSPSPC_300	BSPSPC_325	BSPSPC_328	BSPSPC_330	BSPSPC_334	BSPSPC_337	BSPSPC_342	BSPSPC_343	BSPSPC_345	BSPSPC_353	BSPSPC_358	BSPSPC_363	BSPSPC_368	BSPSPC_369	BSPSPC_376	BSPSPC_384	BSPSPC_388	BSPSPC_393	BSPSPC_399	BSPSPC_401	BSPSPC_404	BSPSPC_414	BSPSPC_416	BSPSPC_422	BSPSPC_427	BSPSPC_437	BSPSPC_443	BSPSPC_445	BSPSPC_454	BSPSPC_456	BSPSPC_465	BSPSPC_468	BSPSPC_470	BSPSPC_475	BSPSPC_478	BSPSPC_494	BSPSPC_503	BSPSPC_506	BSPSPC_509	BSPSPC_514	BSPSPC_518	BSPSPC_525	BSPSPC_527	BSPSPC_529	BSPSPC_530	BSPSPC_532	BSPSPC_552	BSPSPC_561	BSPSPC_566	BSPSPC_569	BSPSPC_583	BSPSPC_593	BSPSPC_609	BSPSPC_624	BSPSPC_681	BSPSPC_696	BSPSPC_719
K00632	0.000569027	0.000459302	0.000756611	0.000658072	0.00065179	0.000364261	0.000840105	0.000739349	0.000451016	0.000372496	0.000648365	0.001124357	0.000455742	0.000710241	0.000397153	0.00043315	0.000652413	0.000496653	0.000288057	0.000943187	0.000878926	0.000573063	0.000868271	0.000395078	0.000803028	0.001042638	0.000675337	0.000426312	0.000592551	0.000649068	0.000425089	0.000701784	0.000796209	0.000928802	0.000775318	0.000561664	0.000812788	0.000448191	0.000577302	0.000431506	0.000892196	0.000499857	0.000496833	0.000755221	0.000879024	0.00022745	0.000494395	0.000359598	0.000427261	0.000621758	0.000457998	0.000763308	0.000607261	0.000502899	0.000385602	0.000313601	0.000637255	0.00035187	0.00055965	0.000540364	0.001086321	0.000626544	0.000899499	0.000603151	0.000794319	0.000502259	0.00074618	0.001325569	0.001086023	0.000349634	0.000392206	0.000421994	0.000551696	0.000839782
K00634	0.000269102	0.000106434	0.000222768	0.000347451	0.000108138	6.33E-05	2.88E-05	0.000112313	6.92E-05	8.88E-05	4.42E-05	5.14E-05	0.0003389	0.000312672	0.00075421	7.77E-05	0.000554587	3.00E-05	0.000172382	0.000204805	0.000347745	0.000346738	0.000533708	0.000106358	0.000296605	3.29E-05	0.000140586	8.60E-05	0.000274382	0.000198203	0.000192447	0.000112536	0.000162958	0.000252976	0.000591413	3.77E-05	0.000246277	0.000263381	0.000167252	0.000139357	0.000316847	7.40E-05	0.000229485	0.000185633	0.000535758	7.20E-05	0.000124529	0.000180023	6.85E-05	0.000272713	0.000189194	0.00013303	5.83E-05	0.000105826	7.08E-05	6.28E-05	0.000228021	2.70E-05	0.000124845	6.33E-05	0.000571526	0.000241358	0.0002504	0.000116787	0.000313361	0.000209996	0.000190969	0.000262304	0.000208834	0.000149643	4.08E-05	0.000320815	9.39E-05	0.000296741
K00639	0.000361591	0.001270649	0.00101884	0.000170306	0.000758345	0.001267691	0.000207028	0.000419335	0.001180126	0.000673124	0.001199589	0.000185304	0.000909286	0.000651917	0.001217435	0.001494157	0.000949817	0.000492315	0.00122946	0.000240747	0.000878114	0.001033354	0.000576878	0.00032188	0.000598941	0.000698575	0.000621448	0.00090714	0.001010117	0.000740466	0.00051913	0.000958767	0.000370819	0.000766714	0.000594818	0.000906268	0.000573411	0.001453627	0.001173137	0.001115969	0.000795665	0.001136916	0.000488322	0.00030544	0.00069818	0.001763468	0.00123454	0.000989663	0.00148316	0.000428761	0.001186453	0.00036766	0.000791452	0.000988943	0.001157841	0.001273639	0.000334745	0.001134933	0.001254777	0.001049376	0.000594204	0.001073639	0.000612769	0.000386011	0.000727554	0.001012164	0.000846333	0.00018681	0.000372642	0.001132752	0.001399932	0.000967086	0.001034437	0.000616832
K00640	0.001578562	0.001473809	0.001711139	0.001031984	0.001861534	0.001780708	0.001667197	0.001479427	0.001863408	0.001455151	0.001431213	0.00193077	0.001615058	0.001668143	0.001142981	0.001388565	0.001478928	0.001387081	0.001587465	0.00203874	0.001824604	0.001578183	0.001782774	0.002178075	0.001798616	0.00184789	0.001975623	0.001489735	0.001665754	0.001628785	0.002034987	0.001694272	0.001514049	0.001886887	0.001780585	0.001534333	0.001838024	0.00164525	0.001771218	0.001901891	0.001775602	0.001753886	0.001701769	0.001891451	0.001765208	0.001577045	0.001794206	0.001593548	0.001761568	0.001843351	0.001692146	0.001883879	0.001833387	0.001580052	0.001931793	0.001859665	0.001008754	0.001754192	0.001595462	0.001715221	0.001829358	0.001602243	0.001738923	0.001697356	0.001941482	0.001848441	0.001700551	0.002032476	0.001790128	0.001624579	0.001440377	0.001532058	0.001949814	0.001656243
K00641	8.53E-05	0.000339851	0.000328747	8.76E-05	8.78E-05	7.71E-05	2.62E-05	0.000178896	0.000252538	0.000216645	0.000209746	8.83E-05	0.000164265	8.74E-06	0.000198936	0.000539492	0.000227654	8.23E-05	0.000239379	0.00012375	0.000170544	0.000467761	0.000149325	0.00034287	4.41E-05	0.00020592	9.61E-05	0.000280301	0.000350565	0.000101509	7.89E-05	0.000346143	0.000282551	0.000111939	0.000286938	0.00036826	8.11E-05	0.000434721	0.00014015	0.000222806	0.000293875	0.000209929	0.00016939	0.000176034	0.000244111	0.000539815	0.000212226	0.000571895	0.000288765	0.000284704	0.00039902	0.000186197	6.18E-05	0.000407539	0.000101617	0.000184696	0.000115187	0.000454414	0.000483015	0.00040202	0.000181874	0.000177756	0.000280263	0.000638746	0.000166318	0.00018421	0.000320018	3.50E-05	5.98E-05	0.000590869	0.000156118	0.0005086	0.000158097	6.88E-05
K00643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.25E-07	0	0	0	0	0	0	0	0	0	0	0	0	5.24E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00645	0.002008419	0.001879866	0.001975867	0.002163631	0.002061938	0.001746346	0.001701162	0.001873144	0.002006216	0.002142479	0.001568142	0.00174941	0.001922323	0.001779499	0.00187385	0.00177707	0.00171705	0.002024037	0.001942939	0.001991169	0.001939458	0.00192119	0.001738333	0.002184714	0.001748826	0.001933074	0.001880292	0.002040792	0.001976749	0.002076809	0.002155199	0.001973587	0.001838008	0.001909694	0.001826162	0.002022245	0.001539629	0.002020541	0.00188783	0.001947423	0.001882666	0.001880241	0.001800887	0.001938632	0.001905141	0.002116489	0.001903848	0.001877322	0.002020399	0.001730701	0.002023236	0.001975257	0.00180666	0.001896189	0.001815078	0.001910706	0.002192017	0.001944379	0.001989338	0.002105093	0.001871462	0.00186818	0.001787061	0.001745048	0.002024989	0.001943517	0.001961623	0.001958938	0.001877157	0.001880023	0.001805914	0.001897637	0.002028477	0.001958501
K00647	0.002010078	0.001880955	0.001975867	0.002191427	0.002063631	0.001778301	0.001701855	0.001877193	0.002008146	0.002142479	0.001570717	0.00175352	0.001937001	0.001820913	0.00187385	0.00179499	0.001717334	0.002031379	0.001946773	0.001995504	0.001940733	0.002000213	0.001750072	0.002184714	0.001923901	0.001933074	0.001880999	0.00204437	0.001978131	0.002085207	0.00215681	0.001974743	0.001838008	0.001919132	0.001830386	0.002022429	0.001540363	0.002020541	0.00188783	0.001952862	0.001882666	0.001880944	0.001820507	0.001948068	0.001910997	0.002116489	0.001912437	0.001987599	0.002021197	0.00173978	0.002025766	0.001976871	0.00180666	0.001896354	0.001819112	0.001911319	0.002195863	0.001944379	0.001989338	0.002105093	0.001871462	0.001869795	0.001787708	0.001745147	0.002025469	0.001960916	0.001961623	0.001959314	0.001900658	0.001890681	0.001806742	0.001897637	0.002039625	0.001958698
K00648	0.002010078	0.001880955	0.001975867	0.002191427	0.002063631	0.001778301	0.001701855	0.001877193	0.002008146	0.002142479	0.001570717	0.00175352	0.001937001	0.001820913	0.00187385	0.00179499	0.001717334	0.002031379	0.001946773	0.001995504	0.001940733	0.002000213	0.001750072	0.002184714	0.001923901	0.001933074	0.001880999	0.00204437	0.001978131	0.002085207	0.00215681	0.001974743	0.001838008	0.001919132	0.001830386	0.002022429	0.001540363	0.002020541	0.00188783	0.001952862	0.001882666	0.001880944	0.001820507	0.001948068	0.001910997	0.002116489	0.001912437	0.001987599	0.002021197	0.00173978	0.002025766	0.001976871	0.00180666	0.001896354	0.001819112	0.001911319	0.002195863	0.001944379	0.001989338	0.002105093	0.001871462	0.001869795	0.001787708	0.001745147	0.002025469	0.001960916	0.001961623	0.001959314	0.001900658	0.001890681	0.001806742	0.001897637	0.002039625	0.001958698
K00651	0.001418131	0.000870442	0.001007321	0.000935949	0.001083601	0.000926695	0.001315177	0.001133865	0.000829245	0.001095383	0.000867507	0.001712038	0.001055065	0.001176911	0.000618711	0.000565429	0.000971525	0.000875925	0.000686419	0.001529753	0.001058325	0.001070929	0.001299472	0.001628837	0.001218158	0.001278252	0.001405259	0.000913639	0.001120443	0.000911427	0.001657053	0.001076333	0.00120071	0.001172079	0.001249894	0.001182635	0.001273716	0.000632086	0.00086948	0.00074204	0.001214913	0.000832009	0.001463467	0.001685175	0.001260454	0.000415444	0.00076793	0.00082055	0.000535822	0.001435976	0.000917229	0.001657547	0.001036946	0.000873148	0.000726212	0.000653948	0.000968705	0.0005758	0.000686475	0.000815893	0.001264709	0.000951174	0.001120598	0.000884669	0.001245137	0.000912032	0.001160857	0.001845978	0.001491417	0.000758407	0.000507399	0.000809346	0.00088938	0.001272087
