KO	BSPSPC_002	BSPSPC_005	BSPSPC_018	BSPSPC_047	BSPSPC_057	BSPSPC_069	BSPSPC_073	BSPSPC_076	BSPSPC_146	BSPSPC_169	BSPSPC_171	BSPSPC_189	BSPSPC_214	BSPSPC_252	BSPSPC_287	BSPSPC_294	BSPSPC_298	BSPSPC_300	BSPSPC_325	BSPSPC_328	BSPSPC_330	BSPSPC_334	BSPSPC_337	BSPSPC_342	BSPSPC_343	BSPSPC_345	BSPSPC_353	BSPSPC_358	BSPSPC_363	BSPSPC_368	BSPSPC_369	BSPSPC_376	BSPSPC_384	BSPSPC_388	BSPSPC_393	BSPSPC_399	BSPSPC_401	BSPSPC_404	BSPSPC_414	BSPSPC_416	BSPSPC_422	BSPSPC_427	BSPSPC_437	BSPSPC_443	BSPSPC_445	BSPSPC_454	BSPSPC_456	BSPSPC_465	BSPSPC_468	BSPSPC_470	BSPSPC_475	BSPSPC_478	BSPSPC_494	BSPSPC_503	BSPSPC_506	BSPSPC_509	BSPSPC_514	BSPSPC_518	BSPSPC_525	BSPSPC_527	BSPSPC_529	BSPSPC_530	BSPSPC_532	BSPSPC_552	BSPSPC_561	BSPSPC_566	BSPSPC_569	BSPSPC_583	BSPSPC_593	BSPSPC_609	BSPSPC_624	BSPSPC_681	BSPSPC_696	BSPSPC_719
K00001	3059.37	1307.31	1589.23	721	2087.86	1269.95	3461.6	929.92	1594.83	1557.67	2040.48	3658.89	1695.36	1899.47	598.5	1208.67	2246	965.05	1258.42	2712.6	2041.44	2087.63	2642.97	3454.57	1564.09	2685.74	3169.08	1914.17	2076.51	1170.85	2775.3	1205.39	2347.85	1214.5	3842.17	2812.98	2857.03	1129.8	1720.28	1083.45	1970.18	1996.13	2608.9	2321.62	2979.1	600.07	980.42	1609.97	843.05	2221.2	1814.52	1810.73	2289.5	2450.23	1513.95	1818.68	1194.92	1670.15	719.1	970.83	1828.6	2842.59	1573.67	3400.01	3111.17	750.27	1876.95	2520.5	1291.6	1285.83	1473.76	2868	1281.38	2014.82
K00003	3585.38	3204.33	5156.95	1475.08	4243.76	3681.28	4301.85	2406.8	5072.35	2909.3	4370.28	6643.5	2959.47	3462.42	1668.5	3912.05	4364.2	2014.95	4694.63	4285.42	4488.59	5309.48	4439.97	4492.62	3161.54	5710.06	5645.55	4453.32	4970	3198.28	3817.27	5052.94	2923.15	3697.35	5010.02	5359.16	5065.63	5525.85	4275.17	3167.8	4266.18	5275.68	4142.15	3083.6	4616.35	5625.68	3378.47	3688.02	5084.3	2835.7	5140.67	3117.83	6364.1	5792.73	5467.25	6176	1833.72	5436.98	3547.2	4236.05	4525.3	6702.39	4246.85	5923.19	6329.92	2054.52	4906.45	5425.97	3203.45	3712.95	5568.03	6822.9	4664.33	4234.5
K00004	0	0	0	2	0	0.5	2	0	3	0	0	0	0	0	0	3	5	1.12	0	8	0	0	0	0	0.5	0.5	0	0	0	0	0	0	2	0	0	0	2	0	0	4	0	0	6	1	1	0	20	0	0	0	2	0	0	1	0	0	0	0	0	0	0	393.59	0	0	0	0	0	0	0	0	0	0	0	1
K00005	795.33	295.75	333	141	270	302.75	2556	234.08	465	362	1318.25	1022.25	391	623.5	72.5	615.5	584.75	575.12	162.5	131.75	94	93.75	724	59	140	156	390.25	816	488	353.25	452	227	486.5	147.5	120.75	1016.25	905	157.5	540.25	111.25	310.75	991	1067	641.75	144	87.25	326.5	291.25	143.25	267.5	370	491	1399	167.25	1658	835	476	140	158	575	435	966.09	194	280.33	250	150	99.5	353	212	40.5	1346.5	268	205.25	100
K00006	4485.08	3375.39	5014.35	2922.08	4689.29	3675.81	4456.45	2737.13	4876.01	4007.63	4322.01	5435.3	3662.67	4004.22	2449.17	3897.05	5089.87	3016.55	5231.29	4550.52	4472.19	5315.61	4455.77	3926.52	3402.17	5659.96	5601.55	5120.65	5017.93	4006.88	3979.4	4178.41	3131.42	3333.35	5101.6	5410.89	4744.83	5533.32	4283.2	3034.34	4278.78	5294.81	4206.88	3304.47	4657.2	5685.75	3310.47	3554.16	5102.6	2869.9	5168.77	2727.23	5578.43	5395.79	5508.79	6205.93	3462.39	4410.21	3578.13	3851.04	4559.57	6713.72	3203.85	3963.69	6138.59	2066.45	4954.32	5428.3	2495.38	3265.61	6438.3	5995.9	4128.13	4874.57
K00007	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	19	3	0	0	0	0	0	0	0	0	0	0	0	0	0	393.59	0	0	0	0	0	0	0	0	0	0	0	0
K00008	51	27	500.33	257	149.83	48	0	133.67	135	58	34.33	8	49.33	16	34	181.5	15	41.33	328.67	4	12.67	175.33	417.67	13	36	131.67	0	103.67	248	286	27	135.67	7	165	537.67	64.33	176	472.67	29	18.67	49.33	66	108	19	232.67	45.67	99.67	27	25	236.33	354	23.33	13	57.33	37	32	137.67	39.67	64	64	445	20	428.67	31	80.17	161.67	37	31	236.33	157	44.33	189.83	93.33	3
K00009	404	257.75	110	36	6.33	218.75	82	40.75	56.33	45	1183.25	460.75	53	73.5	11.5	478.17	135.5	22.12	86.5	101.5	85.5	65.75	37	32	26	26	325.25	49	415	57.75	17	44.5	485.5	27.5	81.75	36.25	69	41.5	419.58	50.25	20.75	557	50	24.42	11	26.25	92.5	130.25	142.25	184.5	128	41	856	54.25	99.25	41	30	68	10	11	122	430.09	63	205	211	24	45.5	60	49	91.83	1135.83	181	36.25	60.67
K00010	565.5	194	239.75	110.88	167.5	389.75	356.5	92.75	163	321	106.38	612	88.25	470.5	103.25	146	94.5	158.37	717.88	192.5	146	353.5	227.5	123.25	68.75	180.25	642.75	210.25	405	151.88	143.12	371	156.75	99	193.25	818.25	178	164.5	114.25	201	149.5	676.5	486.5	110.5	148	184.5	216.75	261.75	129.25	192.75	495.5	116.75	180	382.25	558	126.75	308	126	122.25	107	420	821.59	103.63	425.5	266	106.5	266.25	61	95	430	358	336	97.5	220.25
K00011	3224.7	1656.06	1726.23	758	2354.61	1286.95	4230.35	993	1912.83	1671.67	2182.73	3744.97	1721.36	2076.97	712.75	1231.17	2298.25	1255.38	1407.92	2739.6	2076.94	2161.13	2721.97	3601.74	1583.59	2688.24	3211.58	2048.92	2198.43	1489.35	2850.55	1325.39	2359.6	1270	3878.67	3002.31	2859.03	1229.8	1816.28	1150.7	2001.18	2141.88	2640.4	2357.87	2990.85	756.82	1024.67	1786.47	900.55	2237.45	1975.77	1829.23	2579.5	2533.23	2716.2	2324.93	1225.67	1708.9	953.35	1566.83	1872.1	3182.67	1686.17	3421.84	3132.42	869.27	1969.45	2535.67	1479.85	1390.08	1725.26	3001	1481.88	2046.32
K00012	1645.38	2540.75	3268.95	1932.08	2886.76	2768.61	3261.35	1658.55	3264.18	2405.96	3398.86	971.25	1992.14	2052.92	1961.17	3367.13	3370.37	2186.62	4548.46	1324.42	2957.42	3432.81	2653.97	1446.45	1378.87	2178.39	2144.97	4179.15	3086.83	2538.53	1554.6	2794.44	1830.57	1794.35	3444.1	3965.91	2677.63	4457.19	3098.25	2244.89	2422.43	3675.76	2664.98	1331.85	2801.35	4944.85	2459.22	2423.69	4042.05	1166.7	3228.33	1171.83	3869.93	4428.39	3928.09	4682.5	2651.14	4063.31	2588.03	2522.04	2412.47	5543.89	2047.85	3334.02	3418.59	1265.35	3019.12	1137.63	1044.11	2922.28	6029.87	5314.73	2711.08	2272.75
K00013	2425.88	2394	3646.95	1064.08	3247.26	2745.61	2062.35	1699.3	3540.18	1762.96	3362.61	3841.67	1844.39	2036.92	1208.17	2781.88	3155.62	1149.62	4210.96	2143.42	3504.42	2871.56	3580.97	1767.45	1710.87	3604.89	3391.22	3046.15	2866.33	2481.28	1893.6	3249.44	2001.07	2749.35	3751.1	2928.16	4286.63	4055.69	3195.67	2608.14	2741.18	3790.76	2978.98	1618.6	3327.35	3674.1	2766.72	1943.94	3879.3	1836.2	3489.33	1683.33	5292.43	4447.14	4525.59	4989.5	1252.14	4295.81	2339.03	2456.04	2988.97	5498.89	3522.85	4301.52	3932.59	1607.85	3118.12	1737.63	2325.78	2771.78	4925.87	4745.73	3374.83	2383.25
K00014	3993.38	3422.33	5168.95	1625.08	4266.09	3684.61	4279.85	2427.8	5080.01	2934.96	4392.61	6688.5	3375.14	3919.42	2577.17	3898.05	5068.87	2014.62	4879.29	4289.42	4501.92	5126.81	4389.97	4429.95	3118.37	5680.56	5415.22	4475.65	4956.33	3237.28	3966.6	5058.61	2989.82	3681.35	4921.6	5383.16	5025.63	5527.52	4263.83	3149.14	4246.18	5230.01	4163.48	3074.27	4640.27	5674.35	3335.47	3510.69	5081.8	2862.7	5101.67	3080.83	6345.43	5812.39	5500.59	6194	2036.39	5405.31	3551.53	4274.04	4522.97	6684.39	4268.85	5889.86	6298.59	2046.85	4920.12	5403.63	3215.78	3711.61	5593.7	7271.9	4651.33	4703.17
K00015	62.5	378.5	181.75	113.88	70.5	573.75	121.5	205.75	105	271	1139.38	145	9.25	29.5	103.25	479	163.5	154.25	632.38	193.25	94	314.5	78.5	33.25	18.04	177.25	99.75	207.25	122.33	188.88	98.12	300.5	114.92	76	62.25	264.25	7	120.5	475.25	87	153.5	347.5	283.5	68.5	147	153.5	204.75	203.75	92.25	174.75	219.5	26.75	146	260.25	461	80.75	47	48.25	229.25	40	61	407	114.63	320.5	10	72.5	263.25	23	47	368	1245	208	52.5	118.25
