KO	BSPSPC_002	BSPSPC_005	BSPSPC_018	BSPSPC_047	BSPSPC_057	BSPSPC_069	BSPSPC_073	BSPSPC_076	BSPSPC_146	BSPSPC_169	BSPSPC_171	BSPSPC_189	BSPSPC_214	BSPSPC_252	BSPSPC_287	BSPSPC_294	BSPSPC_298	BSPSPC_300	BSPSPC_325	BSPSPC_328	BSPSPC_330	BSPSPC_334	BSPSPC_337	BSPSPC_342	BSPSPC_343	BSPSPC_345	BSPSPC_353	BSPSPC_358	BSPSPC_363	BSPSPC_368	BSPSPC_369	BSPSPC_376	BSPSPC_384	BSPSPC_388	BSPSPC_393	BSPSPC_399	BSPSPC_401	BSPSPC_404	BSPSPC_414	BSPSPC_416	BSPSPC_422	BSPSPC_427	BSPSPC_437	BSPSPC_443	BSPSPC_445	BSPSPC_454	BSPSPC_456	BSPSPC_465	BSPSPC_468	BSPSPC_470	BSPSPC_475	BSPSPC_478	BSPSPC_494	BSPSPC_503	BSPSPC_506	BSPSPC_509	BSPSPC_514	BSPSPC_518	BSPSPC_525	BSPSPC_527	BSPSPC_529	BSPSPC_530	BSPSPC_532	BSPSPC_552	BSPSPC_561	BSPSPC_566	BSPSPC_569	BSPSPC_583	BSPSPC_593	BSPSPC_609	BSPSPC_624	BSPSPC_681	BSPSPC_696	BSPSPC_719
K00067	1625.461093	2031.694733	2916.460781	1230.444802	2887.04113	1923.405791	2696.091236	1517.110874	3365.926455	1900.853098	2326.209663	2877.777217	1704.848806	2324.242242	1672.141652	2166.354184	3338.975351	1600.122464	2751.633611	2221.877965	2899.754236	2998.010672	2524.569893	2116.313228	1848.607176	3255.860042	2732.658074	2500.269902	3412.097711	2292.976351	1292.002802	2680.686901	1714.94194	1871.012817	3271.982857	2594.490352	3426.580927	3058.903422	2439.436137	1953.183115	2746.603462	2994.833962	1957.280001	1524.549098	2630.70225	3445.375569	1930.492909	2178.601649	3139.854876	1265.19179	2834.20806	1115.613083	3218.323224	3668.995662	4422.671955	3888.933315	1596.980235	3120.6156	2440.341648	3432.572516	3811.183852	3626.632406	1920.495	3709.942822	3532.031057	1090.051398	3393.649766	3620.870872	1325.57223	2451.43709	3374.595705	4142.410338	2305.747955	2954.719543
K00068	148.125	5.583333333	27.75	4.875	2.25	12.63445378	171.0833333	24.07142857	20.625	16.875	24.79761905	172.375	19.375	262.7678571	14.75	62.03571429	106.8928571	8.426470588	20.20833333	46.70833333	68.98214286	54.5	22.54166667	11.25	13.58333333	9.75	161.2083333	0	180.3392857	16.38690476	6.958333333	11.08333333	51.75	39.04166667	25.08333333	355.5	13.125	10.375	9.541666667	16.82598039	7.458333333	139.5	56.75	50.26190476	10.75	8.916666667	111.0416667	67.375	45.54761905	99.5	50.16666667	15.375	567.75	15.70833333	37.41666667	11.41666667	170.5833333	25.125	4.333333333	3.75	41.625	246.872549	0.666666667	76.875	79.125	6.75	40.625	68.04166667	21.91666667	15.375	40.69642857	120.0833333	6.416666667	23.86904762
K00073	3.75	0	1.75	0.75	11.5	49	2	6	11.25	2.25	10.75	13	13	6	2.5	11.75	0.5	12.5	2	0	1.75	50	30	0	6.5	11.25	0	11	0	17	9	15.5	0	2.75	2.25	9.25	0	29.25	2.75	9	1	31.5	68	14	2	4.5	105.25	17	0	44.75	8.5	2.5	12.75	0	13	2	6	1	30.5	6.5	0	19.75	20.25	5.25	4	7.75	8.5	1.5	41.75	21.25	9.75	13.75	0	1.25
K00074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00075	2466.216515	2352.97167	3775.614655	1844.193168	3268.835635	2365.565541	2912.038135	2123.544452	3802.859939	2371.547963	2673.312538	5006.44069	2202.800488	2767.911367	1807.403874	2366.323305	3783.537193	1916.426799	3202.852871	3265.326894	3194.382821	3766.074904	3362.006817	3176.610648	2434.227861	3472.630583	3652.085118	3206.451013	4263.325	2759.341349	2400.377487	3917.940325	2143.450416	2583.82543	3441.351272	3174.142662	4230.555792	3515.184724	2784.459247	2101.288671	3031.508958	3322.916886	3181.017945	2283.997662	3168.235358	3678.502525	2281.492554	2706.559083	3291.239992	1628.837433	3566.564717	2267.776602	4754.159891	3914.704065	4774.934357	4151.071369	1974.13569	3669.170495	2547.476224	4263.862516	4372.988807	4361.164955	3312.839467	4426.280794	4247.42439	1376.60338	3680.978914	4298.625046	2579.691569	2741.780228	3469.806454	5135.410338	3258.945191	3440.260067
K00077	1773.393633	1513.428067	2979.888559	1025.814597	2573.188353	2000.937012	1794.993184	1580.978732	2805.081455	1211.469765	2003.482282	3940.180435	1132.223806	2074.64419	1160.016652	1607.555308	2480.989306	982.626171	2494.002015	2804.366055	2794.211379	2640.280369	2798.785045	2164.210197	2051.754903	3138.535042	3318.128601	2098.625458	3115.548108	1928.8077	1554.836135	2987.670234	1670.592373	2254.998928	3386.197143	1933.77116	3193.680927	2678.074079	2278.64722	1935.346974	2178.186796	2823.105174	2784.573724	1323.933189	2468.740345	2467.754357	1974.853515	1770.394578	2787.028506	1325.453154	2403.192285	1799.768134	3995.292669	3152.918389	2772.435844	2887.568921	1052.022912	3063.760044	1903.512861	2562.722516	4252.408852	3488.754955	2741.098356	4167.489503	3619.331057	1040.001398	3051.122998	3521.187539	2111.313897	2219.510783	2593.216124	3976.368671	2559.795326	2744.115863
K00082	1179.758315	1268.197379	2621.268188	1434.441846	2369.861897	1561.945139	2175.519146	1478.837859	2523.20119	1577.564606	1786.503976	2774.599439	1306.501584	1435.448591	1252.056335	1594.488576	2204.131012	1325.246024	2559.080164	866.1500546	1252.088893	1372.520725	1566.405079	1496.788095	826.065509	1077.494037	1697.417333	1938.300987	1832.797579	1976.631113	775.0438073	2392.426584	1073.873686	1487.847077	1459.27168	1790.85821	3140.832514	2320.478422	1584.077803	1421.628143	1165.7987	2377.276158	1017.755133	841.6580931	931.0034404	2102.142104	1475.947936	1189.022284	2096.506993	880.8842508	1812.389363	768.8850408	3613.90669	2566.236402	3759.649468	3090.590061	1387.873092	2658.757663	1457.016252	2577.265902	1809.898534	2267.336966	2650.954656	2798.277213	1553.289919	943.9799694	1787.218549	597.2774858	1751.451529	1930.012487	2899.251129	3113.921581	2148.625601	1500.947717
K00087	45.88888889	113.4592593	28.71560847	102.2037037	60.31851852	68.86058201	682.0185185	42.21666667	32.99074074	10.83333333	245.1092593	62.27777778	64.82222222	86.72222222	21.30555556	102.587037	84.47222222	106.521164	257.7692593	62.31481481	31.12962963	65.12851852	116.9814815	35.2037037	1.5	132.8981481	125.5740741	141.2153439	114.8148148	19.25	42.68518519	81.93650794	64.12222222	34.10185185	39.5462963	196.1642857	125.3055556	62.27777778	105.7388889	27.06666667	39.05	245.4470899	130.1296296	32.91481481	90.46666667	17.18703704	143.6759259	17.25	32.1562963	169.8611111	139.75	36.87962963	72.21074074	20.34259259	10.85185185	37.94444444	41.2	44.45555556	45.44444444	44.43518519	365.8188889	35.03703704	30.0462963	90.16402116	35.35185185	8.25	279.1018519	63.59148148	17.01296296	10.38888889	276.6425926	260.2685185	29.59259259	166.8777778
K00088	2481.216515	2356.97167	3787.947988	1844.193168	3305.168968	2365.565541	2938.038135	2125.211119	3924.859939	2374.547963	2680.645871	5006.44069	2207.133821	2767.911367	1807.403874	2463.323305	3783.537193	1918.760133	3237.519538	3265.326894	3201.049487	3775.408237	3397.673483	3176.610648	2434.227861	3582.297249	3656.085118	3211.11768	4270.325	2760.341349	2411.377487	3931.606991	2143.450416	2583.82543	3963.017939	3182.475995	4230.555792	3592.851391	2784.459247	2103.955337	3041.842291	3322.916886	3181.017945	2284.997662	3241.902025	3685.169192	2287.159221	2706.559083	3293.239992	1831.170767	3577.564717	2293.109935	4754.159891	3929.037398	4774.934357	4151.071369	1975.802356	3683.837162	2547.476224	4263.862516	4372.988807	4363.164955	3364.506134	4448.280794	4251.091057	1394.270047	3688.978914	4298.625046	2580.024903	2759.780228	3477.139787	5185.743671	3259.278524	3440.260067
K00090	0	86.2	6	3.8	0	44.6	14.4	0	0	0	224	7	0	0	0	72.8	10	0	0.2	0	0	0	0	0	0	0	0	0.8	0	5	2	0	49.4	0	1	0	0	3	79.6	1.4	0	37	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205.4	0	0	0
K00094	151.875	0.75	29.5	5.625	9.75	4.205882353	3.75	0	30.875	19.125	21	163.875	21.375	26.625	16.25	21.5	84.25	9.926470588	22.875	46.375	30.375	66	15.875	11.25	8.75	21	142.375	2	77.625	4.125	11.625	19.25	51.75	35.625	24	21.25	13.125	38.625	10.125	15.99264706	6.625	171	43.75	6	5.75	11.25	110.625	43.875	18	113.25	55	15.875	580.5	12.875	30.75	6.75	14.25	26.125	33.5	10.25	41.625	252.9558824	20.25	82.125	83.125	14.5	34.125	39.875	16	16.625	43.875	133.8333333	2.25	21.5
K00096	2319.416515	2268.77167	3522.747988	1575.193168	3072.168968	2343.245541	2154.038135	1789.211119	3450.779939	2279.947963	2562.645871	3699.24069	2188.133821	2586.911367	1629.403874	2409.523305	3775.779693	1632.760133	3060.519538	3124.486894	3102.049487	3758.408237	3322.673483	2584.610648	2410.227861	3526.297249	3567.085118	3049.11768	4270.325	2481.341349	2344.377487	2961.606991	1748.450416	2175.02543	3931.380439	3069.475995	3886.555792	3542.771391	2678.699247	1897.955337	3018.842291	3193.516886	3160.217945	2251.397662	3200.702025	3624.169192	2174.159221	2386.559083	3257.164992	1817.170767	3491.764717	1884.909935	3677.159891	3459.037398	3710.934357	3709.071369	1940.802356	2632.837162	2421.476224	3260.862516	4358.988807	4106.164955	2190.506134	2460.480794	4058.216057	1275.270047	3633.978914	4286.625046	1688.587403	2302.780228	3323.139787	3909.743671	2510.078524	3241.260067
K00097	810.7027596	1693.706638	1816.098876	758.9769453	1738.288749	1550.118816	1326.172188	902.8156364	2603.775265	1395.259051	1894.538235	668.0022171	1005.123806	1117.96248	1125.653557	1911.356565	1939.783089	1214.603696	2104.977658	530.3696313	1247.010189	1928.289244	972.5782268	868.8251323	593.6238423	1248.833852	1403.616407	1810.303235	2534.251283	1536.806113	705.8539925	1974.517854	621.2109873	866.6711507	1431.676309	1791.468924	1791.596403	2431.228422	1712.661137	1179.29481	1053.3737	2457.407771	1044.980001	491.3610031	1094.066536	2980.987474	1439.915528	1399.286173	2371.706067	671.9703619	2325.710441	422.0285593	2131.744653	2215.137328	3367.779098	2986.909506	974.389759	1866.821552	1787.710696	2817.117754	1706.620757	2516.407336	1087.042619	771.867822	1302.600104	822.8133028	1757.38429	304.4673006	607.5061587	1526.943043	3129.165943	2433.231767	1557.343193	1326.333828
K00098	3.75	0	1.75	0.75	7.5	0	0	0	10.25	2.25	3.75	13	3	0	2.5	11.75	0.5	1.5	2	0	1.75	34	2	0	0.5	11.25	0	2	0	0	6	12.5	0	2.75	2.25	9.25	0	29.25	2.75	0	1	31.5	25	0	2	4.5	3.25	4	0	44.75	8.5	0.5	12.75	0	0	0	3	1	30.5	6.5	0	13.75	20.25	5.25	4	7.75	8.5	0.5	0.75	2.25	6.75	13.75	0	1.25
K00099	2446.845537	2336.368067	3782.740781	1844.193168	3303.08113	2350.418023	2918.210125	2113.91897	3914.185344	2373.016431	2665.418394	4937.779439	2146.174361	2762.047321	1807.403874	2430.117676	3765.46494	1904.84449	3215.171258	2914.27352	3109.608046	3770.681783	3383.275449	3167.463228	2418.774953	3575.756709	3600.159185	3211.11768	4211.433108	2756.359367	2404.026135	3928.850234	2124.458606	2583.212817	3800.118968	3179.893686	4204.357594	3588.226755	2765.151692	2101.49854	3020.263462	3310.750629	3149.043334	2278.021003	3224.043917	3681.011125	2266.50402	2656.956094	3283.874718	1824.255124	3554.768649	2282.914194	4754.159891	3921.422328	4769.420844	4148.702204	1972.256902	3681.386711	2545.769426	4263.612516	4343.283852	4363.164955	3353.008334	4428.892822	4251.091057	1390.288065	3674.406432	4295.561983	2575.824452	2754.530228	3465.243801	5185.743671	3244.76972	3406.717479
K00100	928.7876984	183.4378307	989.5965608	796.9953704	688.0066138	211.3688453	1531.051852	770.1428571	865.0919312	543.1369048	334.1449735	2169.152778	709.859127	1098.097222	603.1031746	430.9084656	958.781746	531.7976346	520.398545	244.1898148	106.2427249	496.1732804	1094.730291	110.7751323	699.4595238	414.0648148	431.3776455	549.0724868	454.4398148	748.7178571	349.8101852	1198.06746	208.4007937	728.8339947	860.4891534	727.3619048	2011.418651	632.9265873	178.7638889	263.5640756	396.375	512.0542328	602.3439153	474.5886243	506.4047619	135.6322751	422.2175926	532.577381	184.0653439	579.0277778	646.8928571	591.7189153	1978.050265	713.2366402	1686.92328	1156.194444	599.1285714	540.4710317	242.0873016	1126.685185	628.1210317	737.6024432	1583.85582	748.2890212	250.1792328	447.5	185.9982804	357.2493386	1331.57963	321.5138889	310.5866402	1337.506614	883.3902116	706.8611111
K00101	1489.6182	572.3842914	1375.145038	909.5048942	895.8587373	744.817951	1131.471132	1135.891356	1007.038748	738.6866903	888.5311812	3840.536251	828.3622372	1338.473966	545.6825397	640.3894911	1213.900228	691.2910553	754.5634917	2169.882077	1132.296071	1151.377512	1576.876738	1114.789219	1477.964019	2344.681546	2038.602785	966.7240741	1297.731707	986.7038074	975.7686794	1633.13136	1381.55054	1383.611687	819.7629254	516.6870715	1950.004944	740.5329689	638.2381104	680.7248416	1132.841924	943.7776328	1846.120907	1083.753378	919.7771557	454.1554217	854.5696186	879.2517989	781.8056183	832.8315159	1059.010355	1451.678942	2428.774868	1326.132662	1214.341556	952.5929741	695.9192641	1631.044498	705.6099723	1131.789947	1822.256939	1163.923872	1964.879811	3309.200009	1608.582804	450.8367439	1249.728699	2951.709227	1602.768374	917.3496032	482.1834208	2090.530423	1298.456159	1791.533064
