KO	output
K00001	106.2353982987
K00003	1583.2858490987
K00004	177.7810388845
K00005	194.1263651368
K00007	56.4774439688
K00008	12900.6732038843
K00009	6686.791587018
K00010	253.2606005137
K00012	599.4647495097
K00013	4174.2046480391
K00014	4145.7178204261
K00015	112.3463288307
K00016	15560.5616591502
K00018	87.4273541388
K00019	124.8987984027
K00020	386.9509406495
K00021	54.9235928393
K00023	151.9620618122
K00024	1222.3297381622
K00027	318.1917794453
K00029	423.8573125266
K00030	85.3994690623
K00031	7209.5027138385
K00033	7594.9561684551
K00034	229.2884379427
K00036	471.5344837135
K00040	31.9876704415
K00041	81.8596303924
K00042	37.2555810579
K00043	44.3393423219
K00045	62.9480404851
K00046	152.6394006362
K00048	16.9161429836
K00052	7847.5616443912
K00053	8779.092546355
K00054	3139.8003386835
K00057	10185.0018893026
K00058	837.2420709255
K00059	18935.7702139254
K00060	64.0256316312
K00064	24.6831826206
K00065	124.0789508476
K00066	61.0964263687
K00067	2167.9197853035
K00068	123.5668245712
K00074	251.1094689549
K00075	6730.6013777424
K00076	607.6204072915
K00077	2605.0433453958
K00087	52.1631195714
K00088	9956.9899993458
K00090	173.5512328691
K00091	196.9641793796
K00094	66.9036938532
K00096	15.9161727154
K00097	2685.7680166079
K00099	1339.465601402
K00100	54.193147934
K00101	411.2037088438
K00102	241.8293011951
K00104	243.1211177091
K00105	129.8253836664
K00108	17538.2852097223
K00111	6331.812687757
K00112	56.564355369
K00113	59.5263490918
K00116	12705.0655613433
K00117	26.9386860635
K00121	224.7313566595
K00122	50.4701629908
K00123	7062.9194636255
K00124	912.9831645466
K00126	164.5764760382
K00127	258.0219017437
K00128	14985.8731462594
K00130	172.5435751533
K00131	65.8415035337
K00133	8918.7861176061
K00134	14256.6318399316
K00135	521.1372115544
K00137	65.1887046838
K00138	87.991325855
K00140	261.2554069377
K00141	24.9808531205
K00145	5007.7711743752
K00146	169.0087294691
K00147	993.1729173027
K00148	80.0212306997
K00150	79.1685031905
K00151	73.7723674664
K00153	36.5421382487
K00154	141.7734869839
K00156	102.7148303288
K00158	53.7922340197
K00161	9935.5893295003
K00162	7070.648230953
K00163	404.714412594
K00164	331.0028765707
K00166	68.1420310337
K00167	108.5169484741
K00170	1150.7095685875
K00174	6045.0601005526
K00175	746.1053120491
K00176	664.8832316315
K00177	156.6572176417
K00179	24.5082353868
K00180	86.9086799853
K00184	18.2580236998
K00185	49.3596952695
K00194	34.3304069338
K00197	25.6513235123
K00198	23.6937921464
K00208	8629.3231403858
K00209	170.9508496728
K00214	54.0022210417
K00215	9760.2145749058
K00217	14.9463297729
K00218	58.0886476457
K00219	112.2918471713
K00226	413.2571046141
K00228	165.7297319471
K00230	24.7912963461
K00231	131.1827175851
K00239	5127.6672813931
K00240	372.5945429686
K00241	734.6047713754
K00242	141.6590499436
K00243	6950.228055389
K00244	139.4651846415
K00245	108.3652315329
K00246	173.7332965468
K00247	72.1388703637
K00248	102.422793937
K00249	550.5695944271
K00252	7463.7625963504
K00253	101.2442328732
K00254	1080.5192610928
K00256	17.6171743238
K00259	11101.0701391732
K00260	6285.762374468
K00261	121.7000467335
K00262	691.3025913086
K00263	49.8511174926
K00265	1952.2383879951
K00266	2270.7735312157
K00274	241.7451762206
K00275	418.3272028786
K00276	57.9063650906
K00278	3885.6228421693
K00281	336.1370828555
K00282	7532.9120710207
K00283	7395.7362905926
K00284	99.089612227
K00285	704.9524324094
K00286	9588.9252089903
K00287	6005.986435672
K00290	560.623448514
K00294	5143.902104212
K00297	976.1444730799
K00299	144.6582203837
K00302	55.8345477768
K00303	127.312025608
K00304	129.6160396534
K00305	72.3556647897
K00311	130.3547795415
K00316	96.6648378777
K00318	149.2167107492
K00324	333.0262707289
K00325	257.7746494172
K00329	15.430202479
K00330	931.0125651438
K00331	1048.8705615678
K00332	314.9098553459
K00333	675.0112131382
K00334	1876.5306223529
K00335	1087.0008914801
K00336	133.5046361697
K00337	846.2529907872
K00338	945.7333902593
K00339	757.6492195405
K00340	399.0330650306
K00341	939.4899826976
K00342	286.6184389906
K00343	802.1080361225
K00344	448.8876106378
K00346	296.1753569343
K00347	1415.6865751599
K00348	292.5319306985
K00349	148.1015991575
K00350	1077.360170941
K00351	1294.0935950057
K00355	58.4770544482
K00356	15.430202479
K00362	109.3049754398
K00363	175.7245841803
K00364	4353.4517801525
K00366	164.5273353588
K00367	45.4033093233
K00368	1697.3233473294
K00370	145.6297677122
K00371	197.9708331285
K00372	95.7760262727
K00373	4007.570046364
K00374	211.4857227935
K00375	3332.0590324399
K00376	44.7450409196
K00380	4791.3321665317
K00381	223.2308423964
K00382	11780.986493319
K00383	458.0420306167
K00384	8707.1654983181
K00385	75.9563271392
K00389	121.2261756182
K00390	2185.5906821014
K00392	1909.441274502
K00404	72.0040074135
K00405	689.9119185739
K00406	801.1088144433
K00407	666.7192524823
K00411	797.3908952741
K00412	642.5355886995
K00413	212.9180652491
K00424	125.0763653788
K00425	430.6469094666
K00426	951.4198910698
K00428	847.8240081993
K00432	6918.7290801166
K00433	81.783619838
K00435	6817.3897806778
K00436	84.5910357268
K00446	95.5401219788
K00448	116.9157777655
K00449	23.1168247671
K00450	122.3156227425
K00451	160.8846393521
K00452	50.9084382839
K00453	225.1582147642
K00455	100.3743750725
K00457	234.1598849548
K00459	7027.6530755218
K00464	49.1604306654
K00466	20.3416794503
K00467	22.441479743
K00471	21.5332403193
K00472	33.8571732615
K00476	76.5015380169
K00477	88.5866128073
K00480	85.4271848387
K00481	125.544305084
K00483	19.3797132641
K00484	154.4975024156
K00491	6645.1385429963
K00496	53.7562453319
K00499	11.0977625026
K00500	92.7938964921
K00505	77.4967729305
K00507	362.0140410905
K00514	49.241686002
K00520	99.8276695333
K00523	246.3350215105
K00524	54.7982065707
K00525	9555.2795241795
K00526	6999.2669311911
K00528	188.6344978184
K00537	852.3387182137
K00547	65.4333555502
K00548	2094.3981086948
K00549	5049.5891884992
K00554	7416.2611734382
K00556	9.3279311554
K00557	761.5123862975
K00558	2937.8887357705
K00560	6454.2682406385
K00561	16250.6470085413
K00563	87.987138016
K00564	150.4314942647
K00566	10362.746790999
K00567	1225.2585073927
K00568	336.4495649574
K00571	306.5142677478
K00573	505.9562504032
K00574	307.3695476176
K00575	805.3534067418
K00588	51.8493586709
K00595	143.657952788
K00598	135.0765922679
K00600	9157.8994631311
K00602	7878.6885832538
K00603	46.5090677662
K00604	5033.7973993158
K00605	4765.5998604255
K00606	6016.2633300132
K00609	8913.2725753039
K00610	299.6899099975
K00611	14386.9446830281
K00612	118.6139997157
K00615	5937.9697629996
K00616	1525.4832467787
K00619	105.1754917888
K00620	6770.2709454658
K00625	4905.0906532846
K00626	12447.3248574022
K00627	8133.7232535262
K00631	60.655731895
K00632	145.1045473798
K00633	47.6561545898
K00634	30.0388332647
K00639	4673.8872306472
K00640	9684.9300437318
K00641	371.0729069981
K00645	6945.0700659581
K00647	383.8474113922
K00648	6848.9566353207
K00651	882.1780542699
K00652	6446.1781496098
K00655	4622.3283125859
K00656	6059.9116212209
K00657	202.3120112173
K00658	7138.0280483107
K00661	231.0741772133
K00662	92.9480287309
K00666	407.7679818026
K00674	1550.2225608103
K00675	137.6338093568
K00677	1139.7457077467
K00681	5173.0514160749
K00684	2647.6448166101
K00687	36.0058815891
K00688	752.2806737063
K00690	47.6847466311
K00691	26.9439672613
K00694	149.6501748989
K00695	65.3031143142
K00697	259.8476892869
K00700	1684.3823071744
K00701	46.4694295711
K00703	1713.129718069
K00705	4311.9565670989
K00712	17.5006462581
K00720	215.2870219046
K00721	290.3986571131
K00728	1910.9849991655
K00748	764.4392164405
K00752	40.3839678547
K00754	16.5324528778
K00756	7689.8872882567
K00757	203.3611293145
K00758	56.000860856
K00759	11229.6736409513
K00760	7332.2773351414
K00761	9942.1966809245
K00762	10045.5126943378
K00763	807.2246586004
K00764	8453.3671670007
K00765	6546.3412204881
K00766	5093.8831918595
K00767	199.086438951
K00768	327.7715449656
K00769	122.9721811387
K00772	133.5137711893
K00773	9113.5376547923
K00782	612.6047450683
K00783	8631.7352558724
K00784	7227.0169873866
K00785	143.3684486093
K00786	33.451449599
K00788	9838.1851836367
K00789	7052.1244530587
K00790	14330.8155203894
K00791	7406.1107569805
K00793	705.4820295543
K00794	8776.8824843422
K00795	887.4399415562
K00796	7691.4095461915
K00797	352.3154358713
K00798	223.5282561615
K00799	1400.5482721874
K00800	9409.586375091
K00801	64.8172889849
K00803	21.7765579055
K00805	8426.5894655204
K00806	9994.7695411632
K00809	76.4227159999
K00812	1665.3660734365
K00813	137.5286002311
K00817	14901.8250704437
K00819	8093.213880695
K00820	6533.78899715
K00821	1093.61262792
K00822	255.3933552521
K00823	1983.1976285098
K00824	6995.5124047386
K00826	8013.4216579269
K00830	74.9085542024
K00831	1285.5087905118
K00832	286.6575621508
K00833	5428.0897412461
K00835	142.7315605747
K00836	163.43628875
K00840	77.1650895917
K00841	1182.8426496303
K00844	30.7844882905
K00845	800.1901192044
K00847	436.6536917085
K00848	118.2871916113
K00849	554.643425535
K00850	8259.4278243268
K00851	244.6124360447
K00852	6846.301239541
K00853	6530.8070711238
K00854	495.696846106
K00855	133.8013971165
K00856	189.173823109
K00857	9560.3972818273
K00858	12062.7539761244
K00859	11137.1436067968
K00860	400.1173362272
K00863	128.1510349429
K00864	4100.3561011741
K00865	2163.3951064039
K00867	323.2730599681
K00868	7417.1888355943
K00869	6847.9326132966
K00872	3235.7157142441
K00873	6764.8917077576
K00874	483.2972842381
K00876	7001.9294972469
K00878	5700.0373724831
K00879	40.101697343
K00880	73.1146909236
K00881	45.4373311705
K00882	701.2972448943
K00883	72.3606145457
K00884	79.8813291181
K00885	80.7564583205
K00886	23.9142071234
K00887	32.6760216621
K00891	6621.8881875256
K00895	1881.8988729566
K00897	56.42971596
K00901	2187.2507742192
K00906	179.1709244154
K00912	1004.7998007569
K00917	5205.9684127198
K00919	8592.549305852
K00925	7552.7504461347
K00926	12373.7981770148
K00927	9144.0450711789
K00928	6577.4713380427
K00929	48.0141530137
K00930	12921.6454843641
K00931	3207.5771417384
K00936	1903.5984942731
K00937	981.9845717235
K00938	222.5793141138
K00939	10317.4830947931
K00940	8212.8575263795
K00941	8821.1475360223
K00942	9932.7350446515
K00943	9250.6084653259
K00945	7438.1806276085
K00946	532.4961469672
K00948	7865.9357965098
K00949	6344.6347623506
K00950	1096.1826009885
K00951	7668.7213655736
K00954	10226.7958917289
K00955	34.1234634571
K00956	271.3555134459
K00957	130.4924477219
K00958	210.5377417873
K00962	8492.0425542863
K00963	7350.1290818777
K00965	400.9683165215
K00966	87.904683789
K00969	8097.4199269152
K00970	236.0211144608
K00971	282.880890309
K00973	759.4686124355
K00974	5825.9581904664
K00975	2449.1702114579
K00978	163.0049254062
K00979	843.7746063708
K00980	3865.9611609789
K00981	8216.061546737
K00982	285.3281931457
K00983	167.093171425
K00986	30.2301536982
K00988	74.6569618799
K00989	503.2717361333
K00990	361.7021416133
K00991	1490.7695729161
K00992	123.2968320019
K00995	6424.8068537132
K00997	5734.8638007008
K00998	48.1805254012
K01000	8344.7920915872
K01002	50.1402861821
K01006	646.0581458706
K01007	310.4247046312
K01008	1719.3210193693
K01011	438.2747271164
K01012	6004.9893505641
K01023	179.2084084428
K01026	26.592304087
K01028	143.176171106
K01029	129.9784089782
K01031	38.0118729641
K01032	41.7992260671
K01034	117.8054773394
K01035	96.0785089941
K01042	888.9940709618
K01046	8222.1113447796
K01048	51.6668110393
K01051	32.8636092995
K01053	294.7477219931
K01055	202.559403993
K01056	8423.7891144082
K01057	241.5084544763
K01058	184.9376292158
K01060	37.9965518315
K01061	399.5693265551
K01066	280.1323810358
K01069	975.0277998626
K01070	191.3783600349
K01071	127.5089113064
K01075	44.4407356081
K01077	1916.5646842551
K01079	820.6984758002
K01081	151.4118190442
K01082	293.1698165017
K01083	33.0316338205
K01085	19.7573114044
K01086	29.7559523088
K01087	135.5734962614
K01089	737.096928593
K01091	3009.1974798422
K01092	541.4385645469
K01095	750.3088738157
