KO	output
K00001	226.9625036
K00002	15.7804667
K00003	2834.337997
K00004	1364.294858
K00005	831.7959886
K00007	15.4561495
K00008	10221.44326
K00009	5909.206466
K00010	2104.648494
K00012	3275.610583
K00013	5252.872224
K00014	5956.024344
K00015	322.4241171
K00016	15092.4269
K00018	205.4933853
K00019	306.9856881
K00020	1328.833588
K00021	597.567313
K00023	294.5421693
K00024	3419.741984
K00027	757.4512604
K00029	623.7756802
K00030	42.04696395
K00031	7986.208777
K00032	22.96377247
K00033	8699.719453
K00034	120.4383097
K00035	13.18956262
K00036	2571.021162
K00039	128.7416882
K00040	140.7944929
K00041	134.4550215
K00042	70.18373047
K00045	1258.144501
K00046	173.6441916
K00052	9404.998669
K00053	9964.004885
K00054	2752.953523
K00055	57.82169984
K00057	8576.730272
K00058	2793.528236
K00059	17645.53985
K00060	57.59803653
K00064	64.14769571
K00065	138.0863777
K00066	72.56144687
K00067	3193.79064
K00068	145.0147832
K00073	29.29970551
K00074	2474.37818
K00075	6882.390133
K00076	17.36154885
K00077	3518.726606
K00087	14.79575082
K00088	12512.33509
K00090	51.93914243
K00091	138.4203971
K00094	13.13990147
K00096	117.5711053
K00097	651.2068753
K00098	18.45751593
K00099	3415.373376
K00100	21.83072952
K00101	1370.631079
K00102	346.9955204
K00104	1517.42388
K00105	107.5074906
K00108	14729.80159
K00111	7619.381381
K00112	21.73448951
K00114	389.721625
K00116	12419.89668
K00117	15.25019547
K00121	137.2488818
K00122	155.2672933
K00123	6208.36648
K00124	420.8068214
K00126	237.0836863
K00127	436.6205773
K00128	17646.10113
K00130	949.1372353
K00131	207.3873741
K00133	7309.511701
K00134	17531.46652
K00135	7731.969058
K00137	28.36815996
K00138	2021.978737
K00140	2129.203333
K00145	6465.105885
K00146	10.97315477
K00147	3622.11354
K00148	112.5947716
K00150	111.8040528
K00151	68.77589419
K00153	1756.887475
K00154	103.8101307
K00156	2487.084909
K00158	84.80993609
K00161	7784.898725
K00162	7063.392534
K00163	2720.346362
K00164	2223.678319
K00166	380.5356922
K00167	366.0883489
K00169	64.62659812
K00170	121.0447172
K00171	24.92263772
K00172	44.79645563
K00174	4350.770425
K00175	141.9230967
K00176	45.86493735
K00177	114.0778632
K00179	159.6711072
K00180	133.0851386
K00184	174.1055434
K00185	136.8226584
K00196	23.28308194
K00198	37.2279728
K00200	38.7569806
K00201	10.41852177
K00202	31.9599805
K00208	7197.865291
K00209	267.4875262
K00210	11.84194572
K00215	9579.657165
K00216	914.3527408
K00217	931.599822
K00219	748.6450226
K00220	160.5730036
K00226	905.2353182
K00228	344.2602931
K00230	31.95113184
K00231	1643.026069
K00232	747.4093288
K00239	4906.492668
K00240	3082.474991
K00241	2811.369085
K00242	484.9011301
K00243	6274.853556
K00244	102.1999361
K00245	61.54248645
K00246	108.3997355
K00247	43.55171337
K00248	34.93980352
K00249	1403.24369
K00252	6950.243215
K00253	219.3202073
K00254	2987.476668
K00259	10013.33557
K00260	5875.759533
K00261	87.64057587
K00262	3073.922112
K00263	74.16693096
K00265	2776.484327
K00266	2601.41925
K00274	24.4425859
K00275	1178.349464
K00278	667.0431519
K00281	1996.030522
K00282	5692.930674
K00283	7108.553693
K00285	1554.475734
K00286	9250.715428
K00287	6433.156636
K00290	29.61512558
K00294	5028.488532
K00297	2588.381246
K00299	1733.29976
K00302	150.7045336
K00303	297.8511799
K00304	213.6116914
K00305	144.2440766
K00311	353.963281
K00313	18.63505898
K00315	118.7614419
K00317	18.57487133
K00318	349.0411013
K00322	113.0603729
K00324	1188.882156
K00325	957.7604299
K00329	108.8229219
K00330	576.6234045
K00331	506.2833174
K00332	285.3710873
K00333	231.5930022
K00334	410.9783709
K00335	323.7499988
K00336	471.93282
K00337	480.5745592
K00338	308.0508179
K00339	271.3347815
K00340	380.267796
K00341	245.6252363
K00342	524.502583
K00343	326.450345
K00344	664.3888851
K00346	329.2032284
K00347	321.9731056
K00348	384.9431668
K00349	191.4968608
K00350	370.887914
K00351	321.3769734
K00354	148.9389583
K00355	127.1562517
K00356	108.8229219
K00362	688.270617
K00363	964.5535399
K00364	4810.571609
K00366	95.1536471
K00368	253.0445388
K00370	1268.893842
K00371	1404.076017
K00372	137.5376439
K00373	4450.796465
K00374	481.0038028
K00375	3575.834609
K00376	350.0597665
K00380	4520.61359
K00381	877.9775208
K00382	13296.24259
K00383	474.1616914
K00384	9009.081651
K00385	10.67597254
K00389	764.588371
K00390	2820.480646
K00392	1975.128826
K00394	19.05217577
K00404	148.9950215
K00405	145.353867
K00406	425.3049693
K00407	415.7187955
K00411	255.1518046
K00412	240.3384827
K00413	223.0344512
K00424	833.3333333
K00425	1114.579034
K00426	1357.323454
K00428	338.095295
K00432	8102.989943
K00433	39.34412083
K00435	6121.656957
K00436	71.4014559
K00441	15.96268478
K00446	190.2912093
K00448	128.2844368
K00449	2107.163516
K00450	79.37286657
K00451	236.4774722
K00452	141.0654432
K00453	338.5635133
K00455	26.16629822
K00456	44.19233914
K00457	1157.309971
K00459	8186.599943
K00466	5.799179062
K00467	574.1598711
K00479	529.824496
K00480	170.4919357
K00481	1138.28748
K00483	172.8725633
K00484	179.7194032
K00486	141.2113591
K00491	5086.044917
K00496	689.0763915
K00499	95.97699348
K00500	227.8345584
K00507	67.8672328
K00508	188.5750156
K00520	1290.769107
K00523	160.4168285
K00525	10686.14313
K00526	9855.551197
K00528	3394.472639
K00529	1790.997432
K00534	77.43281501
K00537	2933.150305
K00547	810.5650453
K00548	1688.491157
K00549	8100.7982
K00554	8287.584014
K00556	135.2855458
K00557	211.9165711
K00558	1800.996712
K00560	8858.424407
K00561	13328.80816
K00563	1981.351648
K00564	321.9204014
K00566	9800.499843
K00567	2218.64631
K00568	1327.944295
K00569	219.2565202
K00570	112.2007774
K00571	334.1122401
K00573	916.7933676
K00574	5590.390011
K00575	1029.319213
K00577	59.86654863
K00595	819.107528
K00598	134.0844777
K00600	9163.333765
K00602	8141.146129
K00603	54.11326947
K00604	5618.983546
K00605	5894.564419
K00606	6642.760625
K00609	9490.320543
K00610	226.3709731
K00611	14400.54266
K00612	248.2368415
K00613	33.80281131
K00615	8216.352258
K00616	3721.851547
K00619	233.1350625
K00620	8498.959931
K00624	16.42872893
K00625	5520.926982
K00626	14306.42045
K00627	7328.691806
K00631	111.9891477
K00632	494.0031582
K00633	12.62692966
K00634	104.3497562
K00638	270.1363697
K00639	4110.205627
K00640	11725.91674
K00641	2642.865101
K00643	169.0699811
K00645	5998.696824
K00647	451.9743869
K00648	6440.427947
K00651	776.1688566
K00652	5607.123898
K00655	2636.437058
K00656	5691.638495
K00657	433.804288
K00658	6835.471784
K00661	2089.252855
K00662	38.2476237
K00666	3675.016557
K00672	25.57435438
K00673	194.4961014
K00674	4572.325406
K00675	160.8887294
K00677	481.9519422
K00681	4091.51114
K00684	656.023229
K00686	135.2124896
K00687	75.39290663
K00688	3748.901369
K00690	37.97714184
K00691	106.194006
K00692	16.22496375
K00694	72.11286109
K00696	11.42042306
K00697	1927.710302
K00700	3677.520807
K00702	62.34620614
K00703	1832.393539
K00705	2029.797794
K00712	81.53121855
K00720	170.6453592
K00721	2004.600468
K00728	1227.2977
K00748	450.3529931
K00752	96.84276463
K00754	322.1257085
K00756	6295.339809
K00757	320.6194903
K00758	864.0798749
K00759	9779.093163
K00760	8472.631433
K00761	10456.05951
K00762	9130.991781
K00763	3442.472583
K00764	6991.751843
K00765	5938.385424
K00766	6425.243354
K00767	1742.859366
K00768	2975.720221
K00769	245.2135307
K00772	172.2748404
K00773	10495.29735
K00782	1842.358596
K00783	6447.761287
K00784	6536.824778
K00785	48.09880972
K00786	85.88490387
K00788	9336.887238
K00789	8423.831834
K00790	12793.30909
K00791	8034.750213
K00793	2311.168872
K00794	9598.485782
K00795	118.7440711
K00796	9410.281458
K00797	664.3565851
K00798	1673.564336
K00799	607.8699341
K00800	9325.455121
K00801	25.93782688
K00803	65.03551105
K00805	7019.169388
K00806	10702.12053
K00808	56.91440182
K00812	808.3408194
K00813	16.93539579
K00817	15124.65814
K00819	7834.735158
K00820	7196.293252
K00821	3419.841468
K00822	264.5699148
K00823	1759.270015
K00824	5883.205693
K00826	8285.04145
K00830	195.17935
K00831	3571.793175
K00832	248.3375072
K00833	6258.795412
K00835	78.77460089
K00836	127.3175553
K00839	77.20225074
K00840	95.69555752
K00841	1204.650609
K00844	47.69655216
K00845	4435.497263
K00847	1020.34867
K00848	119.7573199
