KO	output
K00001	145.6468675
K00003	1032.971985
K00005	11.44444307
K00008	10835.41417
K00009	8621.95564
K00010	1655.957247
K00012	791.7685781
K00013	4377.263855
K00014	4345.567331
K00015	83.49849974
K00016	21977.97847
K00019	66.09114974
K00020	250.640088
K00023	102.1146351
K00024	1155.267716
K00027	116.868422
K00029	98.43631941
K00031	8438.328165
K00033	10458.61804
K00034	17.84782673
K00035	14.34812621
K00036	637.2702665
K00040	14.20434975
K00045	395.6445242
K00046	36.15827748
K00052	9902.513751
K00053	10989.26079
K00054	3413.73181
K00057	10991.90258
K00058	724.518466
K00059	22211.64358
K00064	9.815809423
K00067	1772.874533
K00074	175.9420821
K00075	6492.608336
K00076	25.00462957
K00077	1730.076714
K00088	11935.09793
K00090	28.52633989
K00091	33.25675388
K00097	702.0772167
K00099	1196.825791
K00101	101.838368
K00102	14.68872559
K00105	41.15009847
K00108	21877.48787
K00111	8381.51491
K00112	30.05879478
K00113	24.29021664
K00116	16806.80949
K00121	92.93350402
K00123	8690.864398
K00124	49.77414521
K00126	69.97398055
K00127	79.91423303
K00128	20893.08551
K00130	46.52770505
K00131	13.07159494
K00133	7575.094458
K00134	18907.02803
K00135	1843.364246
K00138	825.4981867
K00140	778.6788858
K00145	5928.67363
K00147	1221.768653
K00150	30.61794039
K00153	743.1055457
K00154	47.06784184
K00156	1012.926607
K00158	73.25509049
K00161	10409.18039
K00162	9300.98269
K00163	1028.396592
K00164	1095.827356
K00166	57.31157052
K00167	112.5057077
K00174	7048.042885
K00175	28.21996867
K00179	16.37980223
K00180	13.28165707
K00208	10355.63959
K00215	10282.22045
K00216	29.26207867
K00217	751.1823215
K00219	14.66370291
K00220	12.20926368
K00226	159.3876332
K00228	44.0839576
K00231	257.7737658
K00232	58.76593848
K00239	4642.281076
K00240	972.5204744
K00241	977.7940373
K00242	51.67992325
K00243	9164.838499
K00246	40.3720847
K00247	40.67313522
K00248	56.79921397
K00249	298.3817209
K00252	4296.871012
K00253	72.5933559
K00254	1032.191395
K00259	11064.97556
K00260	8016.603664
K00261	23.54660917
K00262	1113.488857
K00263	22.08774625
K00265	1427.985042
K00266	1679.23992
K00275	137.9608117
K00276	12.34823619
K00278	1400.551699
K00281	260.1495457
K00282	8297.582052
K00283	9556.165986
K00285	976.7172761
K00286	10929.46819
K00287	6518.730116
K00294	6628.190078
K00297	925.4860951
K00299	876.5500739
K00311	109.5333115
K00316	36.40371973
K00324	111.2711665
K00325	96.33310008
K00329	34.49923063
K00330	99.6585136
K00331	114.327974
K00332	87.82726655
K00333	80.74137429
K00334	93.4439297
K00335	89.56002805
K00336	66.44771199
K00337	107.479638
K00338	119.5752011
K00339	84.42460505
K00340	134.2445055
K00341	60.04575174
K00342	85.41630584
K00343	135.4028362
K00344	266.3154011
K00346	59.22178576
K00347	59.51627291
K00348	16.80250571
K00349	63.43739335
K00350	61.38250295
K00351	31.94159734
K00355	42.50490421
K00356	34.49923063
K00362	109.8154667
K00363	94.6959151
K00364	5516.36382
K00368	596.6743084
K00370	799.8404227
K00371	811.2655679
K00372	53.33715635
K00373	5627.827227
K00374	174.5129023
K00375	2146.8336
K00380	6038.775511
K00381	262.7011056
K00382	15732.90111
K00383	106.3807508
K00384	10644.89238
K00390	1676.023991
K00392	1353.829408
K00404	40.5685956
K00405	21.07394159
K00406	43.03128273
K00407	78.46153846
K00411	89.22448129
K00413	76.65516083
K00424	76.92307692
K00425	146.2373951
K00426	190.0676343
K00428	53.7855496
K00432	9268.4752
K00433	53.2569632
K00435	9351.450238
K00436	38.6994155
K00446	29.35626158
K00448	26.5852921
K00449	865.0525201
K00450	30.89973838
K00451	50.55905413
K00452	37.48297922
K00453	51.60461997
K00457	846.8337755
K00459	9729.269067
K00481	733.7447378
K00484	21.00233383
K00491	8453.904938
K00496	22.03293745
K00500	19.74089559
K00507	58.61795139
K00520	1050.144003
K00523	62.18393868
K00525	11059.29297
K00526	10109.98613
K00528	1629.41132
K00529	757.6431049
K00537	1311.751722
K00548	804.4009972
K00549	5925.918365
K00554	7254.940869
K00557	70.10805141
K00558	281.6523694
K00560	8312.283339
K00561	18930.29933
K00563	662.2573675
K00564	69.90067459
K00566	10475.30569
K00567	405.561423
K00568	831.5323699
K00571	38.36695675
K00573	139.9744024
K00574	1803.523929
K00575	108.6133112
K00595	144.2468154
K00598	42.79778251
K00600	9732.115452
K00602	8170.967663
K00604	2522.449048
K00605	4942.824192
K00606	5223.679566
K00609	9906.18963
K00610	23.89040029
K00611	19407.8111
K00615	6985.815269
K00616	1458.800829
K00620	9572.965399
K00625	7492.727252
K00626	14326.25175
K00627	10124.96008
K00631	28.96379359
K00632	75.49594557
K00633	25.92918462
K00634	49.15686218
K00639	5228.025765
K00640	14131.69506
K00641	1066.932292
K00643	42.78423501
K00645	8375.566987
K00647	96.87242348
K00648	6160.384111
K00651	114.3598907
K00652	7638.993722
K00655	1614.26516
K00656	6593.958192
K00658	6828.286486
K00661	731.3405299
K00666	1120.552426
K00673	44.23449536
K00674	1440.510624
K00675	36.06247686
K00677	117.028254
K00681	5472.855195
K00684	626.7831859
K00687	56.80407374
K00688	1849.256054
K00690	56.1922402
K00692	18.32326289
K00694	35.50966258
K00697	834.4652974
K00700	1050.369342
K00703	128.2979692
K00705	1973.128457
K00721	807.7189196
K00728	1356.203076
K00748	117.7199758
K00756	10635.5496
K00758	32.71501985
K00759	10763.91223
K00760	10002.86975
