function.	skin_28
K00001	46.681473
K00002	0.6366183
K00003	96.3925489
K00004	11.2418301
K00005	18.2384357
K00007	0
K00008	41.0491468
K00009	50.9873926
K00010	23.5548766
K00011	0
K00012	50.3104512
K00013	80.4735915
K00014	103.8957714
K00015	0
K00016	149.8839209
K00018	1.7587641
K00019	13.9418617
K00020	24.9146932
K00021	0
K00023	0
K00024	44.7316272
K00027	110.4050642
K00028	1.4554275
K00029	4.9910874
K00030	0
K00031	90.7168715
K00032	0
K00033	93.963021
K00034	8.4373143
K00035	0
K00036	105.8768399
K00038	13.368984
K00039	0
K00040	10.8225109
K00041	1.706137
K00042	15.1990494
K00043	0
K00045	4.456328
K00046	15.2305347
K00048	2.4955437
K00050	0
K00052	91.4496257
K00053	98.2863198
K00054	65.6783549
K00055	9.4117647
K00057	102.3121976
K00058	103.8000555
K00059	260.1731953
K00060	17.1886937
K00064	4.9554367
K00065	14.0056023
K00066	0
K00067	25.1611849
K00068	3.4793049
K00073	2.4106612
K00074	41.9403952
K00075	99.8336304
K00076	0
K00077	137.743632
K00082	4.456328
K00086	0
K00087	0
K00088	154.3790851
K00090	2.3291741
K00091	0.3638569
K00094	0
K00096	21.1903319
K00097	7.371191
K00098	0
K00099	34.1397166
K00100	7.5946856
K00101	7.4221204
K00102	4.456328
K00103	0
K00104	32.3996266
K00105	7.6409946
K00106	0
K00108	53.9597656
K00111	89.4066717
K00112	8.2760377
K00113	8.2760377
K00114	0
K00116	118.5162546
K00117	4.4919787
K00118	0
K00119	0
K00121	3.9139205
K00122	36.1599184
K00123	52.6695525
K00124	0
K00126	0
K00127	0
K00128	207.5103976
K00129	0
K00130	69.6002036
K00131	11.7631133
K00132	0
K00133	101.3635445
K00134	161.3666071
K00135	96.2772316
K00137	0
K00138	0
K00140	40.9744506
K00141	0.4991087
K00145	76.7512078
K00146	1.996435
K00147	48.8458878
K00148	8.912656
K00150	8.912656
K00151	8.912656
K00152	0
K00153	18.4619303
K00154	4.1592395
K00155	0.3327392
K00156	27.4136322
K00158	57.446071
K00161	126.8672693
K00162	122.4109413
K00163	33.5234701
K00164	79.6910278
K00166	50.6238857
K00167	50.6238857
K00169	4.456328
K00170	4.456328
K00171	0
K00172	4.456328
K00174	73.7967913
K00175	73.7967913
K00176	2.4955437
K00177	2.4955437
K00179	2.4955437
K00180	2.4955437
K00184	0
K00185	0
K00194	0
K00196	0
K00197	0
K00198	0
K00200	0
K00201	0
K00202	0
K00207	0
K00208	73.2739155
K00209	0
K00210	1.0695187
K00211	0
K00214	0
K00215	106.1987632
K00216	2.1628045
K00217	0
K00218	0
K00219	22.3172907
K00220	1.1645871
K00221	1.2053306
K00224	0
K00226	125.1298221
K00228	6.7855021
K00230	14.0056023
K00231	90.8836261
K00232	17.825312
K00239	100.0118835
K00240	100.0118835
K00241	91.2655971
K00242	15.6981581
K00243	70.5845599
K00244	20.1014739
K00245	0
K00246	0
K00247	0
K00248	4.456328
K00249	38.4789069
K00252	89.6248109
K00253	1.996435
K00254	0
K00255	1.1645871
K00256	0
K00257	62.5736357
K00258	0
K00259	133.5344257
K00260	51.8292163
K00261	11.4081997
K00262	43.3376302
K00263	3.6159918
K00265	80.9124599
K00266	84.9698404
K00270	0
K00271	4.456328
K00273	8.912656
K00274	12.7323657
K00275	13.1381038
K00276	1.996435
K00278	17.9441299
K00279	0
K00280	0.6366183
K00281	29.2335117
K00282	50.6238857
K00283	51.8292163
K00284	4.456328
K00285	14.2076225
K00286	102.459333
K00287	105.3515489
K00290	4.8753147
K00292	0
K00293	0
K00294	64.3493759
K00297	34.8426658
K00298	0
K00299	67.8719972
K00301	4.456328
K00302	0.1663696
K00303	4.6226976
K00304	0.1663696
K00305	0.1663696
K00309	0
K00311	2.6619133
K00313	7.0028011
K00314	0
K00315	0
K00316	0
K00317	23.4014755
K00318	72.2689074
K00320	4.456328
K00322	2.3291741
K00324	26.9399882
K00325	20.1544861
K00329	0
K00330	27.2727274
K00331	26.7498516
K00332	29.2844411
K00333	29.9210594
K00334	20.8674986
K00335	24.9673204
K00336	20.5109924
K00337	27.1063578
K00338	34.109159
K00339	27.1063578
K00340	27.1063578
K00341	27.1063578
K00342	27.1063578
K00343	27.1063578
K00344	36.8152111
K00346	2.4955437
K00347	2.4955437
K00348	2.4955437
K00349	2.4955437
K00350	2.4955437
K00351	2.4955437
K00353	0
K00354	0
K00355	6.1652303
K00356	2.9108551
K00358	11.0117899
K00359	7.3227292
K00360	4.456328
K00362	60.6603852
K00363	63.4241574
K00364	64.5186158
K00365	4.456328
K00366	4.456328
K00367	0
K00368	13.368984
K00370	63.5599693
K00371	65.9706305
K00372	11.2418301
K00373	66.6072488
K00374	65.9706305
K00375	96.1743222
K00376	0
K00378	2.4191495
K00380	51.7477292
K00381	11.971819
K00382	210.7093284
K00383	51.3286903
K00384	185.8987693
K00385	0
K00386	0
K00387	0
K00389	23.3511587
K00390	35.5266956
K00392	19.0985486
K00394	0
K00395	0
K00397	0
K00404	0
K00405	0
K00406	0
K00407	0
K00410	0
K00411	0
K00412	0
K00413	0
K00423	0
K00425	84.1062973
K00426	86.5169585
K00427	2.1628045
K00428	1.426025
K00432	127.3024797
K00433	1.9234186
K00435	0
K00436	0
