function.	air_11
K00001	24.18
K00002	0
K00003	66.77
K00004	8.73
K00005	20.05
K00007	0.25
K00008	23.13
K00009	11.5
K00010	26.99
K00011	0
K00012	68.7
K00013	65.19
K00014	96.82
K00015	1.8
K00016	69.8
K00018	21.95
K00019	19.14
K00020	56.3
K00021	3.95
K00023	1.63
K00024	56.04
K00025	0
K00027	22.85
K00028	0
K00029	23.55
K00030	0
K00031	65.59
K00032	0.25
K00033	45.42
K00034	3.15
K00035	1.13
K00036	48.35
K00038	0.65
K00039	0.75
K00040	1.42
K00041	0.11
K00042	3.15
K00043	0
K00045	10.96
K00046	17.2
K00048	0
K00050	1.85
K00052	70.54
K00053	66.68
K00054	12.44
K00055	0.58
K00057	66.59
K00058	73.04
K00059	130.37
K00060	0.44
K00064	1.34
K00065	2.16
K00066	0.25
K00067	7.89
K00068	0.29
K00073	0.01
K00074	22.12
K00075	66.85
K00076	0
K00077	58.76
K00078	0
K00082	14.59
K00086	0
K00087	0
K00088	119.86
K00090	0.7
K00091	1.45
K00094	0
K00096	0.11
K00097	24.34
K00098	16.79
K00099	53.99
K00100	8.2
K00101	41.95
K00102	2.1
K00104	12.05
K00105	0
K00106	0
K00108	47.21
K00111	47.38
K00112	0
K00113	0
K00114	2.47
K00116	69.66
K00117	1.34
K00118	0
K00121	25.75
K00122	11.05
K00123	23.58
K00124	6.14
K00126	1.21
K00127	1.71
K00128	66.3
K00130	50.92
K00131	0.34
K00132	0
K00133	67.93
K00134	131.14
K00135	117.63
K00137	0.5
K00138	53.17
K00140	21.61
K00141	0.5
K00145	66.74
K00146	1.07
K00147	54.4
K00148	0.58
K00150	0
K00151	4.61
K00153	15.37
K00154	2.33
K00156	33.15
K00158	12.39
K00161	22.98
K00162	22.65
K00163	54.22
K00164	46.64
K00166	12.99
K00167	12.99
K00169	0
K00170	0
K00171	0
K00172	0
K00174	13.95
K00175	13.95
K00176	0
K00177	0
K00179	0.01
K00180	0.01
K00184	0.7
K00185	0.65
K00194	0
K00196	0
K00197	0
K00198	0
K00200	0.2
K00201	0.2
K00202	0.2
K00208	40.49
K00209	0.25
K00210	0.15
K00214	0
K00215	66.6
K00216	4.15
K00217	1.34
K00218	0.33
K00219	28.62
K00220	1.29
K00221	0.17
K00226	12.19
K00227	0.5
K00228	23.29
K00230	0
K00231	43.39
K00232	8.13
K00239	67.2
K00240	67.25
K00241	66.87
K00242	23.9
K00243	12.64
K00244	1.31
K00245	0
K00246	0
K00247	0
K00248	3.04
K00249	26.16
K00252	36.12
K00253	9.8
K00254	53.7
K00255	0.83
K00256	0.75
K00257	85.85
K00259	42.01
K00260	12.79
K00261	2.08
K00262	51.78
K00263	2.09
K00265	31.51
K00266	27.72
K00270	0
K00271	0.5
K00273	3.95
K00274	3.29
K00275	29.55
K00276	1.58
K00278	8.99
K00280	0
K00281	48.19
K00282	12.73
K00283	12.73
K00284	0
K00285	52.06
K00286	70.83
K00287	65.49
K00288	0
K00290	0
K00293	0
K00294	13.49
K00297	33.2
K00298	0
K00299	59.14
K00301	3.11
K00302	1.72
K00303	2.53
K00304	1.26
K00305	1.26
K00311	23.29
K00313	0.5
K00314	0
K00315	0.26
K00316	0.27
K00317	0
K00318	13.99
K00320	0.01
K00322	22.33
K00324	10.11
K00325	7.82
K00326	0
K00329	0
K00330	25.94
K00331	25.87
K00332	4.21
K00333	4.12
K00334	25.2
K00335	24.95
K00336	24.95
K00337	25.69
K00338	25.87
K00339	25.54
K00340	25.69
K00341	25.69
K00342	25.69
K00343	25.69
K00344	21.19
