function.	skin_18
K00001	19.95
K00002	0
K00003	65.78
K00004	4.26
K00005	4.36
K00007	0.25
K00008	33.82
K00009	16.78
K00010	68.83
K00011	0
K00012	38.2
K00013	53.36
K00014	65.87
K00015	0
K00016	113.85
K00018	1.26
K00019	0.9
K00020	36.89
K00021	0
K00023	0.5
K00024	40.7
K00025	0
K00027	63.44
K00028	0
K00029	1.56
K00030	0.25
K00031	56.45
K00032	0
K00033	91.28
K00034	1
K00035	0
K00036	57.94
K00038	0
K00039	0
K00040	0.33
K00041	0
K00042	0.25
K00043	0
K00045	0
K00046	1.92
K00048	0.2
K00050	1.33
K00052	58.12
K00053	58.37
K00054	21.41
K00055	0
K00057	66.2
K00058	93.94
K00059	131.92
K00060	0.58
K00064	0
K00065	34
K00066	0
K00067	10.51
K00068	0.17
K00073	0
K00074	3.57
K00075	66.45
K00076	0
K00077	185.4
K00078	0
K00082	0.33
K00086	0
K00087	0
K00088	136.6
K00090	0.39
K00091	0.39
K00094	0
K00096	34.66
K00097	35.56
K00098	0.5
K00099	37.71
K00100	43.64
K00101	2.14
K00102	0.25
K00104	0.89
K00105	1.67
K00106	0
K00108	20.53
K00111	90.39
K00112	34.75
K00113	34.75
K00114	0
K00116	40.35
K00117	0.14
K00118	0
K00121	34.64
K00122	17.49
K00123	25.89
K00124	0.67
K00126	0.25
K00127	0.81
K00128	64.32
K00130	53.78
K00131	2.17
K00132	0
K00133	66.7
K00134	86.48
K00135	37.41
K00137	0.25
K00138	0.72
K00140	35.8
K00141	0.25
K00145	52.99
K00146	0.75
K00147	39.56
K00148	0.25
K00150	0
K00151	0.67
K00153	0
K00154	0.39
K00156	1.24
K00158	54.98
K00161	59.8
K00162	59.55
K00163	36.3
K00164	54.78
K00166	19.31
K00167	19.31
K00169	6
K00170	6
K00171	6
K00172	6
K00174	54.53
K00175	54.53
K00176	0.64
K00177	0.64
K00179	0.64
K00180	0.64
K00184	0
K00185	0
K00194	0
K00196	0
K00197	0
K00198	0.39
K00200	0
K00201	0
K00202	0
K00208	54.85
K00209	1
K00210	0.25
K00214	0
K00215	59.7
K00216	0
K00217	0
K00218	0.25
K00219	0.78
K00220	0
K00221	0
K00226	89.29
K00227	0
K00228	0.39
K00230	0.17
K00231	55.13
K00232	0
K00239	90.3
K00240	90.55
K00241	90.3
K00242	0.64
K00243	29.65
K00244	3.51
K00245	0.17
K00246	0.17
K00247	0.17
K00248	2.03
K00249	1.64
K00252	17.71
K00253	0.39
K00254	35.97
K00255	0.28
K00256	0
K00257	18.67
K00259	75.92
K00260	26.64
K00261	0.39
K00262	39.06
K00263	0.97
K00265	53.92
K00266	56.65
K00270	0
K00271	0
K00273	0
K00274	34.33
K00275	1.14
K00276	0
K00278	70.05
K00280	0.33
K00281	35.66
K00282	25.06
K00283	25.06
K00284	0.2
K00285	35.53
K00286	58.62
K00287	66.31
K00288	0
K00290	2.31
K00293	0
K00294	19.56
K00297	39.7
K00298	0
K00299	50.92
K00301	0
K00302	0.25
K00303	0.25
K00304	0.25
K00305	0.25
K00311	0.64
K00313	34.33
K00314	0
K00315	0
K00316	0
K00317	0
K00318	19.64
K00320	0
K00322	0.14
K00324	36.53
K00325	35.64
K00326	0
K00329	0
K00330	35.55
K00331	35.55
K00332	35.74
K00333	35.74
K00334	47.69
K00335	41.69
K00336	41.69
K00337	35.55
K00338	35.88
K00339	35.55
K00340	35.55
K00341	35.55
K00342	35.55
K00343	35.55
K00344	1.14
K00346	0.92
K00347	6.92
K00348	6.92
K00349	6.92
K00350	6.92
K00351	6.92
K00354	0
K00355	1
K00356	0.25
K00360	0
K00362	21.03
K00363	19.56
K00364	21.23
K00365	0
K00366	0
K00367	0
K00368	35.74
K00370	20.28
K00371	54.28
K00372	0.39
K00373	38.98
K00374	54.28
K00375	61.82
K00376	0.25
K00380	19.38
K00381	3.83
K00382	124.82
K00383	3.76
K00384	138.19
K00385	0
K00387	0
K00389	0
K00390	37.83
K00392	34
K00394	0.14
K00395	0.14
K00404	0.5
K00405	0.5
K00406	0.25
K00407	0.25
K00410	0
K00411	0.5
K00412	0.5
K00413	0.5
K00423	0
K00425	53.7
K00426	55.89
K00427	0.14
K00428	0.67
K00432	38.02
K00433	0
K00435	0
K00436	0
K00441	0
K00446	0
K00448	0.25
K00449	0.25
K00450	0
K00451	0.25
K00452	0
K00453	0.25
K00455	0.42
K00456	0
K00457	0.89
K00459	21.13
K00462	0
K00464	0
K00466	0
K00467	0
K00471	0
K00472	0
K00476	0.25
K00477	0.25
K00479	0.25
K00480	0
K00481	0.39
K00483	0.17
K00484	0.67
K00486	0
K00491	19.06
K00493	0
K00496	0.39
K00499	0.25
K00500	0.25
K00504	0
K00505	0.25
K00507	0.89
K00508	0.72
K00510	0.58
K00514	0
K00517	34
K00518	0
K00520	0.25
K00523	0.5
K00525	66.94
K00526	31.69
K00527	33.23
K00528	3.28
K00529	0.39
K00531	0
K00532	0
K00533	0.34
K00534	0.14
K00537	24.4
K00543	0.25
K00544	0
K00547	19.31
K00548	36.56
K00549	28.95
K00554	66.45
K00556	0
K00557	0.56
K00558	47.06
K00560	58.98
K00561	0.5
K00563	37.22
K00564	52.86
K00566	67.2
K00567	100.25
K00568	0.81
K00569	0
K00570	0
K00571	25.32
K00573	0.75
K00574	1.08
K00575	1.09
K00577	0
K00584	0
K00587	0
K00588	0
K00590	0.25
K00594	0
K00595	35.61
K00596	0
K00598	0.25
K00600	65.76
K00602	66.84
K00603	2.08
K00604	66.95
K00605	62.05
K00606	18.54
K00608	0
K00609	66.53
K00610	9.03
K00611	80.89
K00612	0.25
K00613	0.33
K00615	74.23
K00616	98.06
K00619	0.72
K00620	52.82
K00621	0
K00624	0
K00625	30.26
K00626	75.6300000000001
K00627	60.61
K00631	0.31
K00632	16.46
K00633	0
K00634	2.96
K00635	0.14
K00638	0.14
K00639	21.07
K00640	66.7
K00641	54.78
K00643	0
K00645	58.71
K00646	0.25
K00647	0.31
K00648	58.07
K00651	3.51
K00652	18.66
K00655	169.48
K00656	32.32
K00657	6.51
K00658	55.11
K00661	3.47
K00662	0
K00663	0
K00666	17.88
K00672	0
K00673	0.5
K00674	54.85
K00675	0.25
K00677	2.45
K00680	34.02
K00681	19.54
K00683	0
K00684	34.97
K00685	0.39
K00686	0
K00687	17.47
K00688	48.2
K00689	0.25
K00690	1.62
K00691	0.25
K00692	0.25
K00693	0
K00694	0.25
K00695	0
K00696	0
K00697	35.55
K00698	0
K00700	46.25
K00701	0
K00702	0.2
K00703	11.96
K00705	81.75
K00709	0
K00712	38.2
K00713	0
K00720	0.5
K00721	37.82
K00728	0
K00737	0.25
K00745	0
K00748	2.45
K00752	0.39
K00754	18.36
K00756	23.9
K00757	6.67
K00758	1.24
K00759	65.95
K00760	73.2
K00761	66.45
K00762	66.65
K00763	66.67
K00764	66.45
K00765	53.36
K00766	56.79
K00767	37.22
K00768	36.95
K00769	0.17
K00772	0.39
K00773	66.12
K00782	36.72
K00783	31.21
K00784	23.4
K00785	0.42
K00786	0.25
K00788	104.46
K00789	67.78
K00790	87.93
K00791	66.95
K00793	57.54
K00794	57.54
K00795	0.81
K00796	99.58
K00797	2.76
K00798	36.19
K00799	9.01
K00800	66.45
K00801	0.25
K00803	34
K00805	63.11
K00806	66.45
K00808	0
K00809	0
K00812	3.55
K00813	0.42
K00817	74.51
K00818	36.43
K00819	32.67
K00820	66.45
K00821	1.51
K00822	0.5
K00823	53.13
K00824	20.89
K00826	65.37
K00830	0
K00831	37.64
K00832	35.53
K00833	19.08
K00835	0.25
K00836	0.14
K00839	0
K00840	0
K00841	22.55
K00842	6
K00844	0.39
K00845	27.36
K00847	57.35
K00848	1.17
K00849	75.85
K00850	74.48
K00851	55.61
K00852	64.38
K00853	84.97
K00854	40.61
K00855	0
K00856	0.25
K00857	30.84
K00858	66.45
K00859	66.2
K00860	3.94
K00862	0
K00863	35.33
K00864	59.95
K00865	118.68
K00867	37.58
K00868	99.94
K00869	21.41
K00870	0
K00872	25.11
K00873	66.06
K00874	6.09
K00875	0
K00876	39.41
K00878	62.82
K00879	0
K00880	0.17
K00881	1.5
K00882	37.48
K00883	0.25
K00884	0.17
K00885	0.17
K00886	35.57
K00887	5.93
K00891	25.32
K00892	0
K00895	35.16
K00897	0.75
K00899	0
K00901	22.86
K00906	0.25
K00912	2.06
K00917	28.62
K00918	0
K00919	63.53
K00924	0.94
K00925	65.98
K00926	44.5
K00927	66.45
K00928	85.6900000000001
K00929	0.77
K00930	52.99
K00931	39.56
K00932	0
K00936	9.21
K00937	47.48
K00938	21.41
K00939	66.45
K00940	57.42
K00941	62.71
K00942	66.84
K00943	65.75
K00945	66.07
K00946	36.8
K00947	0
K00948	102.87
K00949	30.4
K00950	56.06
K00951	66.95
K00952	0
K00954	66.45
K00955	0.14
K00956	34.64
K00957	35.03
K00958	3.19
K00960	0
K00962	66.7
K00963	65.32
K00965	5.95
K00966	0.58
K00968	0.5
K00969	80.69
K00970	36.8
K00971	36.16
K00972	15.83
K00973	38.83
K00974	24.71
K00975	56.34
K00978	0.84
K00979	2.45
K00980	20.73
K00981	66.87
K00982	36.3
K00983	0.42
K00984	0
K00986	0
K00988	0
K00989	37.19
K00990	1.39
K00991	77.66
K00992	0.64
K00995	100.72
K00996	0.25
K00997	64.11
K00998	0.17
K00999	0
K01000	66.45
K01002	0
K01003	0
K01004	0
K01006	47.2
K01007	1.89
K01008	7.67
K01011	36.8
K01012	56.79
K01014	0
K01015	0
K01023	0
K01026	0
K01027	0
K01028	0.64
K01029	0.64
K01031	0.53
K01032	0.53
K01034	1
K01035	1
K01039	1.33
K01040	1.33
K01042	7.17
K01046	36.29
K01048	0.7
K01051	0
K01053	0.17
K01055	0.39
K01056	67.03
K01057	35.33
K01058	0.56
K01060	1.17
K01061	0.5
K01066	34.5
K01067	0
K01069	1.06
K01070	1.14
K01071	2.17
K01073	0
K01075	0
K01077	20.29
K01078	0
K01079	5.22
K01081	2.08
K01082	1.14
K01083	0
K01085	1.03
K01086	0
K01087	35.3
K01089	0.17
K01090	64.72
K01091	39.17
K01092	72.58
K01093	0
K01095	0.81
K01096	0.31
K01101	1.42
K01104	154.63
K01113	0.14
K01114	19.96
K01115	0
K01117	0
K01118	19.3
K01119	2.04
K01120	0
K01121	0
K01126	194.47
K01128	0
K01129	44.97
K01130	0
K01133	0.25
K01135	0
K01137	0
K01138	0.17
K01139	0.81
K01141	0.17
K01142	49.05
K01143	0
K01144	0.5
K01146	0
K01147	0.67
K01150	0
K01151	60.73
K01153	118.78
K01154	117.76
K01155	3.17
K01156	3.03
K01158	0.25
K01159	45.02
K01160	0
K01163	0.89
K01166	0.56
K01167	0.58
K01169	0
K01173	0.14
K01174	41.13
K01175	0.31
K01176	11.5
K01178	0.25
K01179	0.73
K01181	0
K01182	0.2
K01183	15.55
K01184	0
K01185	0.75
K01186	5.34
K01187	54.93
K01190	38.27
K01191	2.33
K01192	0.75
K01193	28.28
K01194	0.25
K01195	0.98
K01197	0.39
K01198	0.14
K01200	10.08
K01201	0
K01205	0
K01206	2.67
K01207	38.04
K01208	0
K01209	0.6
K01210	0
K01212	0
K01215	1.42
K01216	0
K01218	0
K01219	0
K01220	22.54
K01222	0.58
K01223	31.23
K01224	1.24
K01226	21.01
K01227	1.7
K01230	0
K01232	0.75
K01233	0.57
K01235	0
K01236	0
K01239	26.47
K01240	0
K01241	1.08
K01243	30.4
K01246	58.19
K01247	0.75
K01250	21.3
K01251	1.36
K01252	0
K01253	0
K01255	21.86
K01256	38.88
K01258	49.52
K01259	50.79
K01261	21.23
K01262	66.37
K01263	0
K01264	0
K01265	102.28
K01266	0.5
K01267	43.91
K01269	0
K01270	27.84
K01271	21.06
K01273	0.25
K01274	16.97
K01277	0.5
K01278	1
K01281	2.67
K01283	0
K01284	35.91
K01286	0.75
K01295	0.17
K01297	1.25
K01299	0.75
K01301	0
K01303	0
K01304	28.73
K01305	0
K01308	0.2
K01318	31.97
K01322	1.16
K01325	0
K01338	11.07
K01342	0
K01347	0.75
K01350	0
K01354	0.58
K01355	0
K01356	63.04
K01358	103.02
K01361	7
K01372	72.66
K01387	0.25
K01389	0
K01390	1.17
K01392	0.14
K01399	0
K01400	0
K01401	16.87
K01406	0
K01407	0
K01409	67.1
K01414	1.06
K01415	0
K01416	0
K01417	0
K01419	19.87
K01420	35.95
K01421	63.07
K01424	65.86
K01425	1.83
K01426	2.8
K01427	0
K01428	19.64
K01429	19.64
K01430	19.64
K01432	0
K01433	1.72
K01434	0.25
K01436	16.83
K01437	0
K01438	3.98
K01439	111.17
K01442	26.88
K01443	23.98
K01444	0
K01446	15.3
K01447	0.95
K01448	59.72
K01449	0
K01451	69.08
K01452	0
K01453	0.33
K01455	0.97
K01457	0.14
K01458	0.25
K01459	0
K01460	0
K01461	0
K01462	88.79
K01464	0.75
K01465	66.67
K01466	0
K01467	2.42
K01468	19.38
K01469	0
K01470	0
K01471	0.25
K01473	0
K01474	0
K01476	16.47
K01477	0.64
K01478	30.62
K01479	17.37
K01480	0.92
K01482	1.33
K01483	0.64
K01484	0.25
K01485	0.67
K01486	0
