KO	oral_7
K00001	0.000389186634041039
K00002	9.0140501569511e-05
K00003	0.00039414937065563
K00004	3.04684629964084e-05
K00005	0.000248778627367408
K00007	0
K00008	6.78924631564812e-05
K00009	4.97333666106359e-05
K00010	0.000124659273467603
K00012	0.000551805274414847
K00013	0.000137741537955223
K00014	0.000566551691538016
K00015	4.36384749948798e-05
K00016	0.00045030918765095
K00018	6.44082959591582e-05
K00019	5.44722001324876e-05
K00020	0.000183962544192804
K00021	0
K00023	0.000307523828387333
K00024	0.00012551721211019
K00027	0.000321674245379709
K00029	0.000341424904366829
K00030	0.000315457696607599
K00031	0.000343068403874122
K00032	0
K00033	0.000483095998185391
K00034	6.40319452398755e-05
K00035	2.94452093593388e-05
K00036	0.000465519979713955
K00038	0.000155377586210788
K00039	9.66979670919035e-09
K00040	4.81604094311617e-06
K00041	1.74005262832574e-06
K00042	5.55580842915681e-06
K00043	0.000159122848241144
K00045	2.22405324311378e-06
K00046	0.000151067398710406
K00048	3.67148598212045e-05
K00050	4.44810648622756e-07
K00052	0.000480886572383807
K00053	0.000397452180364313
K00054	0.000395869241961495
K00055	4.17072753217584e-05
K00057	0.000514439564026117
K00058	0.000561877824388709
K00059	0.00199597629309259
K00060	6.93026286930634e-06
K00064	1.25334020107663e-05
K00065	0.000182025179346875
K00066	2.22405324311378e-06
K00067	0.000504435317027644
K00068	0.000102257422236276
K00073	3.25525820528648e-06
K00074	4.40767218525477e-05
K00075	0.000513593119821649
K00076	1.64593281005015e-06
K00077	0.000384329968540746
K00082	3.70675540518964e-07
K00086	8.30987020988268e-05
K00087	3.31918945165359e-06
K00088	0.000542657806856938
K00090	2.10318975919663e-06
K00091	9.00575809450772e-06
K00094	4.59778140490832e-06
K00096	1.85216403931365e-06
K00097	2.24521640102707e-05
K00098	8.57144586423504e-06
K00099	0.0001194604731243
K00100	1.80054438720318e-06
K00101	0.000196170026065989
K00102	4.11969717706602e-06
K00103	0
K00104	1.24819666651751e-05
K00105	0.00037876931559972
K00108	5.13218796848445e-06
K00111	0.000420503216434872
K00112	9.45160696768646e-05
K00113	9.37747185958266e-05
K00114	1.47947889650612e-06
K00116	6.84840941796491e-05
K00117	1.8727172960132e-06
K00118	2.20434592093767e-06
K00121	6.33745222074777e-05
K00122	4.10631496814716e-07
K00123	0.000161224656801498
K00124	0.000107681803722827
K00125	0
K00126	4.44810648622756e-07
K00127	0.000117518570783167
K00128	0.000402159158680289
K00129	0
K00130	0.00010495931894427
K00131	0.000313566331327076
K00132	0.00025645492631641
K00133	0.000539768723352447
K00134	0.000625535326546445
K00135	0.000200990259029433
K00137	9.02623287861172e-06
K00138	1.18164928166785e-05
K00140	0.000283900868456612
K00141	0.00023205308159625
K00145	0.000172185211156518
K00146	1.62361346835888e-05
K00147	0.000442249787572104
K00148	7.92793346536912e-06
K00150	6.94678759698885e-08
K00151	2.49261863851014e-05
K00152	8.33713428996108e-07
K00153	3.96497476668313e-06
K00154	8.32288120772888e-06
K00156	9.46872759410712e-06
K00158	0.000116667538133486
K00161	0.000399965503448261
K00162	0.000410140050550087
K00163	0.000117438892839672
K00164	0.000121958409030874
K00166	3.77253790549613e-06
K00167	0.000101982313961729
K00169	0
K00170	0
K00171	6.425643375705e-07
K00172	0
K00174	2.40406346957784e-06
K00175	2.35054347174889e-06
K00176	1.9276930127115e-06
K00177	1.9276930127115e-06
K00179	6.60404336846815e-07
K00180	7.498479111511e-07
K00183	0
K00184	1.4047909881547e-05
K00185	5.82203269758241e-06
K00186	6.425643375705e-07
K00187	0
K00188	0
K00193	0
K00194	6.425643375705e-07
K00196	5.84877936889862e-06
K00197	6.425643375705e-07
K00198	1.285128675141e-06
K00200	6.19042036689715e-07
K00201	4.44810648622756e-07
K00202	4.44810648622756e-07
K00205	6.425643375705e-07
