KO	air_7
K00001	0.00074224182181426
K00002	0.000174992227715378
K00003	0.000421294375169941
K00004	0.00029816782179327
K00005	6.97833962258382e-05
K00007	5.55948374729832e-07
K00008	0.000458446099675326
K00009	0.000214281840344096
K00010	0.000562046752544341
K00012	0.000322030584119203
K00013	0.000375609302133602
K00014	0.000702772755730514
K00015	0.000946404544301231
K00016	0.000692559230035305
K00018	0.000370516154893933
K00019	0.000302903767661217
K00020	0.000114980137731589
K00021	5.47968599806624e-06
K00023	0.000166776691564274
K00024	0.000230789231616885
K00027	0.000426195017495231
K00029	0.000375102459259207
K00030	1.73214525905832e-05
K00031	0.000408952762775773
K00032	8.77836512951687e-06
K00033	0.000415072407534171
K00034	0.000356758551146636
K00035	5.23798081218384e-06
K00036	0.000423904421067755
K00038	0.000512964247336828
K00039	1.10750130374027e-05
K00040	3.6772297764336e-05
K00041	4.18625804605426e-06
K00042	2.03814967288113e-05
K00043	8.7953067522241e-06
K00045	0.000122832183976493
K00046	0.000244701353368203
K00048	2.02944701628369e-05
K00050	2.64427921636001e-06
K00052	0.000424909314390778
K00053	0.000401618250422039
K00054	0.00025806243107313
K00055	0.000174881799685305
K00057	0.000424017048605891
K00058	0.00142950639284891
K00059	0.00346560365756062
K00060	1.65665347848427e-05
K00064	1.56198276253469e-05
K00065	0.000204952834405905
K00066	4.76209709454224e-06
K00067	0.000387487930449091
K00068	0.000141833653333865
K00073	2.35544965074086e-05
K00074	0.000107671699995552
K00075	0.000458279151351395
K00076	2.36166574188792e-05
K00077	0.000650167427896469
K00082	8.72645584815584e-07
K00086	5.35197390620219e-06
K00087	5.22611434883516e-06
K00088	0.000772484105277336
K00090	0.000565429665694068
K00091	0.00049334980045845
K00094	9.47545810393553e-08
K00096	7.62333897112679e-06
K00097	2.18759412351522e-05
K00098	2.80785034163601e-05
K00099	0.000169101754964691
K00100	4.23276895821754e-06
K00101	0.000147946548032299
K00102	1.71869504309018e-05
K00103	1.34360544340656e-05
K00104	4.39745184756826e-05
K00105	2.24207347557988e-05
K00106	3.89335710588654e-07
K00108	0.000299471988546905
K00109	8.32510634428697e-08
K00111	0.00041740580550248
K00112	3.06598469360533e-06
K00113	2.62495785685598e-06
K00114	1.65197900157761e-06
K00116	0.000613166599118093
K00117	1.55942883197248e-05
K00118	0.000372693310097759
K00121	0.000469188259424961
K00122	0.000192419636904164
K00123	0.000388026555405867
K00124	2.06370385361127e-05
K00125	0
K00126	2.47814557423859e-06
K00127	6.10912139888137e-06
K00128	0.00203974953112096
K00129	5.42315567156884e-09
K00130	0.000832219876091637
K00131	3.50850918041792e-05
K00132	0.000193912745940188
K00133	0.00042549836362007
K00134	0.000812289717352526
K00135	0.00179839709886613
K00137	0.000366723518185791
K00138	0.000656283292601119
K00140	0.000262080311688561
K00141	0.000216809117472014
K00145	0.000402380073335887
K00146	0.000294497334773026
K00147	0.000189252314461287
K00148	1.44767659948606e-05
K00150	0.000228946869906434
K00151	0.000433142073567088
K00152	4.96316432921909e-06
K00153	0.000154399700906725
K00154	0.000275803199891881
K00156	0.000310610120161303
K00158	0.000249971274561285
K00161	0.000527025729847288
K00162	0.000541081476458525
K00163	0.000160778932485828
K00164	0.000383719866418068
K00166	0.00023872554740153
K00167	0.000296434505415242
