function.	air_27
K00001	23.5862276
K00002	4.6511628
K00003	101.333333
K00004	15.8505989
K00005	28.8593576
K00007	0
K00008	20.3896103
K00009	29.9145814
K00010	18.0199335
K00011	0
K00012	52.7089498
K00013	93.8861136
K00014	175.644696
K00015	1.4545454
K00016	128.3360512
K00018	0.4848485
K00019	21.808517
K00020	22.2289338
K00021	1.8604651
K00023	1.8181818
K00024	82.225108
K00027	69.0369474
K00028	0
K00029	7.2727272
K00030	0
K00031	102.5454542
K00032	0
K00033	99.0809188
K00034	12.6839827
K00035	0
K00036	93.1291961
K00038	1.8604651
K00039	1.4545454
K00040	4.2452431
K00041	0.7272727
K00042	3.030303
K00043	0
K00045	7.3995771
K00046	40.2331621
K00048	0
K00050	10.8051948
K00052	100.1821432
K00053	99.7575755
K00054	19.047619
K00055	1.6575053
K00057	99.3458167
K00058	93.0735928
K00059	182.400684
K00060	34.1818181
K00064	6.8571428
K00065	1.4545454
K00066	0
K00067	58.4496123
K00068	0.4761905
K00073	0.9523809
K00074	69.1829254
K00075	102.1286927
K00076	1.4545454
K00077	92.7119699
K00082	1.2587412
K00086	0
K00087	0
K00088	155.5896502
K00090	3.7575757
K00091	0
K00094	0
K00096	0
K00097	6.3030302
K00098	28.0676532
K00099	79.6025678
K00100	15.6025369
K00101	14.5144467
K00102	7.5844156
K00103	0
K00104	28.4616933
K00105	0
K00106	0
K00108	56.5841133
K00111	88.2887343
K00112	0
K00113	0
K00114	0.7272727
K00116	85.7748914
K00117	8.7272726
K00118	0
K00119	6.1298701
K00121	5.4458874
K00122	14.2857142
K00123	38.612705
K00124	3.3150106
K00126	1.8181818
K00127	1.8181818
K00128	99.7398566
K00129	0
K00130	47.8061007
K00131	0.969697
K00132	0
K00133	99.8601396
K00134	159.2429271
K00135	133.7744887
K00137	0
K00138	0
K00140	27.6621362
K00141	0.7272727
K00145	86.5141522
K00146	5.6997885
K00147	72.9004327
K00148	0.9302326
K00150	0
K00151	20.5617638
K00152	0
K00153	11.1627907
K00154	6.060606
K00155	0.8484848
K00156	45.8479814
K00158	19.9999999
K00161	57.7392528
K00162	57.7392528
K00163	77.7995336
K00164	59.7334137
K00166	52.7272726
K00167	48.0519479
K00169	0
K00170	0
K00171	0
K00172	0
K00174	19.9999999
K00175	19.9999999
K00176	0
K00177	0
K00179	0
K00180	0
K00184	0
K00185	0
K00194	0
K00196	0
K00197	0
K00198	0
K00200	0
K00201	0
K00202	0
K00207	0.3636364
K00208	58.3549781
K00209	0
K00210	0
K00211	0
K00214	0
K00215	71.5657673
K00216	11.54777
K00217	4.6511628
K00218	0
K00219	11.5602536
K00220	3.5151515
K00221	0.4761905
K00224	0
K00226	95.8166792
K00228	5.2121212
K00230	0
K00231	69.3506491
K00232	5.5813953
K00239	97.9393937
K00240	97.9393937
K00241	97.2515853
K00242	33.2640692
K00243	19.9999999
K00244	2.995671
K00245	1.0909091
K00246	1.0909091
K00247	1.0909091
K00248	4.6753247
K00249	35.8699284
K00252	71.3744083
K00253	4.7272727
K00254	0
K00255	1.6969697
K00256	0
K00257	49.6977748
K00258	0
K00259	90.2929626
K00260	20.4761904
K00261	63.0552702
K00262	47.1390314
K00263	30.410752
K00265	57.9814757
K00266	69.9901337
K00270	0
K00271	0
K00273	0
K00274	18.7012987
K00275	38.6272022
K00276	2.9090909
K00278	33.8948957
K00279	0
K00280	0
K00281	54.0561763
K00282	19.9999999
K00283	20.4761904
K00284	0.3636364
K00285	15.8449611
K00286	101.2121209
K00287	81.872298
K00290	10.8051948
K00292	0
K00293	0
K00294	76.103896
K00297	67.7893887
K00298	0
K00299	67.1823213
K00301	5.0147991
K00302	2.060606
K00303	6.7359307
K00304	2.060606
K00305	2.060606
K00309	0
K00311	5.6969696
K00313	0
K00314	0
K00315	1.4545454
K00316	0
K00317	8.0952381
K00318	52.7272726
K00320	0
K00322	3.3939394
K00324	11.3967582
K00325	8.9330514
K00329	10.8051948
K00330	32.103896
K00331	27.1861471
K00332	20.5194805
K00333	20.5194805
K00334	31.7216116
K00335	27.0462869
K00336	27.1861471
K00337	27.1861471
K00338	31.8614718
K00339	27.1861471
K00340	31.8614718
K00341	27.1861471
K00342	31.3579753
K00343	31.8614718
K00344	32.2460484
K00346	0
K00347	0
K00348	0
K00349	0
K00350	0
K00351	0
K00353	0
K00354	0
K00355	4.6060606
K00356	17.2987013
K00358	4.9773482
K00359	11.2332628
K00360	0
K00362	29.4535386
K00363	26.0595992
K00364	21.0622709
K00365	9.3506493
K00366	0
K00367	0
K00368	29.564482
K00370	34.3853819
K00371	35.3377629
K00372	8.069264
K00373	35.3377629
K00374	35.3377629
K00375	111.3335343
K00376	0
K00378	0
K00380	25.4703589
K00381	10.2803862
K00382	191.5950865
K00383	44.9177488
K00384	187.7812106
K00385	0
K00386	0
K00387	0
K00389	8.372093
K00390	50.4253575
K00392	35.4696466
K00394	0
K00395	0
K00397	0
K00404	1.8181818
K00405	1.8181818
K00406	1.8181818
K00407	1.8181818
K00410	0
K00411	1.8181818
K00412	1.8181818
K00413	1.8181818
K00423	0
K00425	67.3142049
K00426	68.2665859
K00427	3.1515151
K00428	6.8571428
K00432	80.6302221
K00433	1.2121212
K00435	0
K00436	0
K00437	0
K00441	0
K00446	6.3328299
K00448	8.9753347
K00449	9.9055673
K00450	5.8238196
K00451	0
K00452	0
K00453	18.7012987
K00455	0
K00456	0
K00457	8.9753347
K00459	76.426457
K00462	0
K00464	0
K00466	0
K00467	4.6753247
K00468	0
K00469	0
K00470	0
K00471	0
K00472	0
K00476	0
K00477	0
K00478	0
K00479	1.2938689
K00480	12.3326286
K00481	8.4904862
K00483	23.3766234
K00484	0
K00485	2.7906977
K00486	0
K00491	48.0519479
K00492	8.184637
K00493	10.0779221
K00494	0
K00495	0
K00496	7.3150105
K00499	0
K00500	0
K00504	0
K00505	0.9302326
K00507	5.090909
K00508	34.5369978
K00510	52.8792911
K00514	0
K00517	2.7906977
K00518	0
K00520	17.5880398
K00523	0.3636364
K00524	0
K00525	92.8483142
K00526	101.2336188
K00527	50.5851201
K00528	88.7329103
K00529	4.7272727
K00530	1.8604651
K00531	0.7272727
K00532	0
K00533	0
K00534	0.7272727
K00535	0
K00537	9.4563575
K00538	0
K00539	0
K00540	41.8882511
K00543	0
K00547	22.3366555
K00548	71.9645624
K00549	54.9795628
K00554	96.1868051
K00555	0
K00556	32.7272727
K00557	6.3722944
K00558	38.7973421
K00559	0
K00560	81.6077253
K00561	8.5714285
K00563	43.3939393
K00564	35.044955
K00566	99.7662335
K00567	57.0429878
K00568	11.7479109
K00569	0.2424242
K00570	1.8181818
K00571	16.604047
K00573	4.5665962
K00574	70.4826335
K00575	14.4415584
K00577	0
K00584	0
K00587	0
K00588	1.8604651
K00590	0
K00594	0
K00595	35.3065538
K00596	0
K00598	23.7402597
K00599	23.0808416
K00600	99.8601396
K00602	94.9050946
K00603	0
K00604	96.7002917
K00605	74.0561762
K00606	76.138435
K00607	0
K00608	0
K00609	94.3829501
K00610	1.2587412
K00611	109.1142188
K00612	0
K00613	0
K00614	1.4545454
K00615	114.1298697
K00616	95.1848149
K00617	0
K00619	28.7792207
K00620	86.6859959
K00624	2.7906977
K00625	20.7272726
K00626	185.0450009
K00627	95.9210709
K00631	3.1515151
K00632	32.3664552
K00633	0.9523809
K00634	6.8311688
K00635	0.7272727
K00638	7.0995671
K00639	48.0779219
K00640	78.2560692
K00641	108.7407628
K00643	4.8138528
K00645	54.5228103
K00646	0
K00647	11.6363635
K00648	67.617034
K00651	2.2943723
K00652	50.5653105
K00653	0
K00654	0
K00655	86.4896806
K00656	48.6121009
K00657	7.8961038
K00658	94.4186044
K00661	18.6576059
K00662	18.7012987
K00663	0.2424242
K00666	117.221383
K00672	0
K00673	5.8181818
K00674	81.6179167
K00675	0.9302326
K00676	0.2424242
K00677	5.2121212
K00680	20.8877478
K00681	53.7112653
K00683	7.4660223
K00684	37.9393939
K00685	5.2121212
K00686	0
K00687	0
K00688	71.7547567
K00689	0.4761905
K00690	0
K00691	0
K00692	0
K00693	0
K00694	2.7484144
K00695	0
K00696	0
K00697	58.8744587
K00698	0
K00700	73.0486256
K00701	0
K00702	0
K00703	35.4756871
K00705	66.7157957
K00712	36.6753245
K00713	0
K00720	1.8181818
K00721	39.0697673
K00737	0
K00745	0
K00748	5.2121212
K00752	0
K00754	7.5034732
K00756	47.5757575
K00757	0
K00758	33.4702506
K00759	113.246753
K00760	94.6626704
K00761	93.264069
K00762	99.5804193
K00763	108.6886444
K00764	98.1818179
K00765	92.8138525
K00766	88.8384946
K00767	40.6094834
K00768	59.6834792
K00769	3.3566433
K00772	1.8181818
K00773	99.337995
K00776	6.5116279
K00777	0
K00782	41.9087888
K00783	51.8354977
K00784	38.1077216
K00785	0.7272727
K00786	3.7209302
K00788	72.1109431
K00789	97.0524356
K00790	117.6957922
K00791	99.6177153
K00793	99.7202794
K00794	94.8025305
K00795	6.4708624
K00796	135.2823916
K00797	7.630509
K00798	44.1272525
K00799	37.9220775
K00800	97.5571093
K00801	0.4761905
K00803	6.5357898
K00805	59.9999998
K00806	66.7505825
K00808	0
K00809	0
K00810	1.8604651
K00812	30.4069263
K00813	0
K00817	200.3496962
K00818	11.3033323
K00819	58.1385279
K00820	113.9327336
K00821	2.9370629
K00822	3.5151515
K00823	51.8354977
K00824	22.9090908
K00826	96.7792205
K00829	0
K00830	29.8701298
K00831	47.132867
K00832	5.4545454
K00833	57.3336893
K00835	0
K00836	4.3241719
K00837	11.047619
K00839	9.9999999
K00840	5.8181818
K00841	20.4761904
K00842	0
K00843	0
K00844	0
K00845	135.5240105
