function.	air_9
K00001	253.81
K00002	0.17
K00003	329.61
K00004	51.35
K00005	97.61
K00007	0.75
K00008	161.26
K00009	122.64
K00010	472.06
K00011	0
K00012	224.88
K00013	301.47
K00014	644.75
K00015	33.06
K00016	503.72
K00018	5.08
K00019	111.4
K00020	178.29
K00021	5.01
K00023	9.28
K00024	241.96
K00025	0
K00027	235.23
K00028	0.97
K00029	24.78
K00030	2.22
K00031	321.03
K00032	0.25
K00033	328.9
K00034	9.04
K00035	5
K00036	337.02
K00038	32.26
K00039	0.67
K00040	35.74
K00041	1.83
K00042	7.97
K00043	1.33
K00045	122.76
K00046	79.75
K00048	2
K00050	3.53
K00052	332.78
K00053	332.14
K00054	115.74
K00055	32.11
K00057	338.6
K00058	349.86
K00059	742.74
K00060	0.82
K00064	4.83
K00065	9.27
K00066	0.25
K00067	43.88
K00068	3.79
K00073	0.53
K00074	83.81
K00075	339.04
K00076	0.87
K00077	452.08
K00078	0
K00082	46.85
K00086	0
K00087	0.16
K00088	711.28
K00090	2.77
K00091	5.88
K00094	0.03
K00096	0.17
K00097	22.63
K00098	63.86
K00099	221.11
K00100	22.54
K00101	176.96
K00102	7.42
K00104	19.94
K00105	16.03
K00106	0
K00108	188.79
K00111	309.51
K00112	3.39
K00113	3.39
K00114	7.37
K00116	413.85
K00117	8.05
K00118	2.1
K00121	17.98
K00122	88.1900000000001
K00123	137.15
K00124	18.18
K00126	3.87
K00127	11.46
K00128	403.05
K00130	293.99
K00131	12.81
K00132	0
K00133	341.67
K00134	640.81
K00135	602.75
K00137	0.91
K00138	199.67
K00140	230.56
K00141	3.08
K00145	287.56
K00146	33.08
K00147	229.22
K00148	1.58
K00150	0
K00151	5.92
K00153	133.17
K00154	6.4
K00156	199.74
K00158	118.49
K00161	169.66
K00162	169.66
K00163	208.1
K00164	249.27
K00166	110.06
K00167	110.06
K00169	0.5
K00170	0.5
K00171	0.5
K00172	0.5
K00174	109.48
K00175	109.48
K00176	0
K00177	0
K00179	3.06
K00180	2.47
K00184	5.44
K00185	5.44
K00194	0
K00196	0
K00197	0
K00198	0
K00200	0.7
K00201	0.7
K00202	0.7
K00208	131.61
K00209	6.37
K00210	3.24
K00214	0
K00215	339.96
K00216	5.35
K00217	61.66
K00218	0
K00219	8.8
K00220	4.7
K00221	0.52
K00226	110.66
K00227	0.5
K00228	12.2
K00230	3.53
K00231	297.29
K00232	12.37
K00239	315.5
K00240	315.91
K00241	314.69
K00242	12.34
K00243	131.23
K00244	44.23
K00245	3.97
K00246	3.97
K00247	3.97
K00248	7.86
K00249	68.5
K00252	238.83
K00253	8.53
K00254	211.42
K00255	0.65
K00256	0.25
K00257	136.37
K00259	300.22
K00260	106.49
K00261	6.95
K00262	223.78
K00263	24.5
K00265	244.1
K00266	242.61
K00270	0
K00271	0.17
K00273	3.33
K00274	6.25
K00275	24.72
K00276	1.88
K00278	41.99
K00280	0
K00281	83.65
K00282	108.64
K00283	108.64
K00284	2.17
K00285	146.55
K00286	342.49
K00287	338.26
K00288	0
K00290	10.09
K00293	0
K00294	109.47
K00297	231.86
K00298	0.6
K00299	336.94
K00301	31.14
K00302	3.74
K00303	7.16
K00304	2.74
K00305	2.74
K00311	10.98
K00313	1.62
K00314	0
K00315	0.67
K00316	0
K00317	0.33
K00318	110.87
K00320	0
K00322	0.61
K00324	29.26
K00325	20.93
K00326	0
K00329	0
K00330	17.84
K00331	17.84
K00332	16.36
K00333	16.36
K00334	17.67
K00335	16.67
K00336	16.81
K00337	17.84
K00338	17.84
K00339	17.84
K00340	18.04
K00341	17.84
K00342	17.84
K00343	17.84
K00344	158.85
K00346	6.65
K00347	7.15
K00348	7.28
K00349	7.15
K00350	7.15
K00351	7.15
K00354	0
K00355	8.74
K00356	7.2
K00360	0.5
K00362	117.47
K00363	116.41
K00364	128.09
K00365	0.67
K00366	1.34
K00367	0.53
K00368	72.82
K00370	145.52
K00371	146.27
K00372	8.17
K00373	74.02
K00374	146.27
K00375	320.94
K00376	4.92
K00380	110.38
K00381	32.75
K00382	693.87
K00383	52.69
K00384	587.12
K00385	0.14
K00387	0
K00389	131.65
K00390	165.12
K00392	134.12
K00394	0.14
K00395	0.14
K00404	11.15
K00405	10.31
K00406	16.6
K00407	9.5
K00410	1.13
K00411	10.41
K00412	9.41
K00413	9.08
K00423	1
K00425	295.25
K00426	309.36
K00427	0.94
K00428	19.99
K00432	398.22
K00433	9.25
K00435	0
K00436	1.85
K00441	0
K00446	32.43
K00448	125.88
K00449	129.54
K00450	123.48
K00451	11.91
K00452	3.68
K00453	10.35
K00455	2.93
K00456	0
K00457	136.41
K00459	328.05
K00462	0.5
K00464	0
K00466	0.58
K00467	1.5
K00471	0
K00472	3.9
K00476	0.17
K00477	1
K00479	6.12
K00480	131.23
K00481	125.55
K00483	1.43
K00484	5.76
K00486	3.43
K00491	104.48
K00493	0.5
K00496	5.93
K00499	0.5
K00500	8.59
K00504	0
K00505	0.83
K00507	6.14
K00508	73.2
K00510	189.76
K00514	0
K00517	45.25
K00518	0.17
K00520	119.77
K00523	4.92
K00525	354.66
K00526	409.24
K00527	199.84
K00528	330.17
K00529	44.04
K00531	0
K00532	0
K00533	0
K00534	0
K00537	336.12
K00543	0
K00544	0.5
K00547	113.1
K00548	203.94
K00549	417.46
K00554	338.2
K00556	4.32
K00557	6.09
K00558	44.07
K00560	335.86
K00561	1.58
K00563	209.69
K00564	101.46
K00566	338.2
K00567	342.14
K00568	16.97
K00569	0.92
K00570	4.07
K00571	148.79
K00573	27.93
K00574	341.75
K00575	19.47
K00577	0
K00584	0
K00587	0
K00588	1.17
K00590	0
K00594	0.5
K00595	183.44
K00596	0.25
K00598	5.3
K00600	339.81
K00602	338.01
K00603	0.2
K00604	342.28
K00605	196.21
K00606	252.56
K00608	0
K00609	335.31
K00610	3.28
K00611	408.68
K00612	3.36
K00613	0.2
K00615	376.42
K00616	327.81
K00619	2.16
K00620	280.43
K00621	0
K00624	0.83
K00625	129.74
K00626	449.62
K00627	180.61
K00631	5.54
K00632	98.39
K00633	0.68
K00634	31.53
K00635	0.2
K00638	1.93
K00639	117.38
K00640	347.71
K00641	440.77
K00643	7.4
K00645	148.98
K00646	0
K00647	18.81
K00648	171.12
K00651	23.04
K00652	169.21
K00655	351.05
K00656	206.46
K00657	36.17
K00658	323.79
K00661	158.51
K00662	0.34
K00663	2.25
K00666	518.82
K00672	0.7
K00673	4.19
K00674	478.84
K00675	5.16
K00677	19.21
K00680	400.52
K00681	245.07
K00683	116.87
K00684	15.8
K00685	8.73
K00686	0
K00687	86.9100000000001
K00688	400.81
K00689	2.7
K00690	10.12
K00691	5.42
K00692	1.2
K00693	1
K00694	3.56
K00695	0
K00696	0.2
K00697	198.37
K00698	0
K00700	225.38
K00701	0
K00702	0.17
K00703	41.72
K00705	219.03
K00709	0
K00712	193.72
K00713	0
K00720	0.4
K00721	208.25
K00728	0
K00737	0
K00745	0
K00748	19.21
K00752	1.26
K00754	237.19
K00756	119.32
K00757	12.19
K00758	69.95
K00759	334.13
K00760	337.88
K00761	337.52
K00762	336.64
K00763	329.92
K00764	337.87
K00765	300.47
K00766	332.24
K00767	185.22
K00768	199.95
K00769	7.61
K00772	2.72
K00773	337.53
K00782	83.91
K00783	144.35
K00784	139.93
K00785	4.43
K00786	2.84
K00788	302.01
K00789	339.17
K00790	466.14
K00791	338.2
K00793	326.72
K00794	330.64
K00795	15.99
K00796	517.72
K00797	47.9
K00798	196.6
K00799	87.91
K00800	337.03
K00801	0.14
K00803	5.91
K00805	300.78
K00806	339.4
K00808	1.2
K00809	8.16
K00812	22.78
K00813	6.51
K00817	671.649999999999
K00818	203.18
K00819	169.71
K00820	344.09
K00821	14.63
K00822	6.82
K00823	93.75
K00824	112.68
K00826	351.58
K00830	4.49
K00831	218.86
K00832	8.39
K00833	290.73
K00835	1.7
K00836	8.44
K00839	2.42
K00840	0.36
K00841	139.33
K00842	0.5
K00844	0.28
K00845	517.5
K00847	144.04
K00848	9.75
K00849	245.6
K00850	329.93
K00851	428.67
K00852	450.07
K00853	79.57
K00854	164.37
K00855	2.53
K00856	2.75
K00857	144.11
K00858	338.37
K00859	338.2
K00860	23.31
K00862	0.67
K00863	10.73
K00864	332.06
K00865	458.24
K00867	218.64
K00868	444.28
K00869	120
K00870	0
K00872	326.11
K00873	467.18
K00874	51.71
K00875	1.67
K00876	148.82
K00878	257.84
K00879	2
K00880	3.6
K00881	1.19
K00882	441.83
K00883	6.76
K00884	4.01
K00885	3.55
K00886	193.23
K00887	53.64
K00891	328.76
K00892	0.16
K00895	0.83
K00897	5.09
K00899	1.33
K00901	88.0700000000001
K00906	2.37
K00912	19.46
K00917	120.51
K00918	0
K00919	319.74
K00924	6.05
K00925	332.44
K00926	202.02
K00927	338.2
K00928	429.68
K00929	16.56
K00930	287.07
K00931	230.05
K00932	0.16
K00936	303.97
K00937	58.12
K00938	115.84
K00939	338.87
K00940	331.51
K00941	161.54
K00942	338.2
K00943	332.96
K00945	334.29
K00946	211.85
K00947	0
K00948	357.13
K00949	129.34
K00950	322.02
K00951	339.18
K00952	0
K00954	338.2
K00955	8.29
K00956	141.34
K00957	149.59
K00958	18.59
K00960	0
K00962	338.2
K00963	374.75
K00965	114.7
K00966	191.15
K00968	0.67
K00969	406.16
K00970	207.02
K00971	11.5
K00972	71.54
K00973	223.17
K00974	135.32
K00975	242.6
K00978	1.28
K00979	19.39
K00980	118.13
K00981	341.77
K00982	206.39
K00983	5.28
K00984	0.13
K00986	2
K00988	0
K00989	206.1
K00990	200.28
K00991	365.36
K00992	10.65
K00995	528.2
K00996	3.78
K00997	327.52
K00998	4.76
K00999	0
K01000	338.37
K01002	3.95
K01003	1.25
K01004	2.92
K01006	52.17
K01007	68.14
K01008	13.33
K01011	537.39
K01012	376.22
K01014	0
K01015	0.33
K01023	1.52
K01026	3.84
K01027	1
K01028	262.76
K01029	146.9
K01031	5.32
K01032	7.12
K01034	6.46
K01035	6.46
K01039	2.84
K01040	2.67
K01042	12.96
K01046	546.88
K01048	9.21
K01051	8.53
K01053	20.49
K01055	135.83
K01056	526.41
K01057	206.88
K01058	4.36
K01060	9.91
K01061	27.92
K01066	144.43
K01067	1.25
K01069	137.63
K01070	11.94
K01071	20.87
K01073	1.5
K01075	5.25
K01077	231.11
K01078	1.89
K01079	220.68
K01081	146.68
K01082	204.85
K01083	7.89
K01085	0.85
K01086	0.5
K01087	201.24
K01089	9.75
K01090	297.02
K01091	273.94
K01092	610.05
K01093	3.66
K01095	10.38
K01096	4.09
K01101	16.79
K01104	661.27
K01113	153.96
K01114	106.12
K01115	0
K01117	0
K01118	119.57
K01119	13.37
K01120	0.53
K01121	0
K01126	882.09
K01128	0
K01129	212.3
K01130	133.37
K01133	1.91
K01135	0
K01137	0
K01138	2.96
K01139	101.05
K01141	6.42
K01142	443.97
K01143	0
K01144	4.57
K01146	0.16
K01147	8.26
K01150	0.41
K01151	107.9
K01153	341.96
K01154	372.54
K01155	13.48
K01156	102.29
K01158	0
K01159	212.15
K01160	31.87
K01163	0.14
K01166	8.3
K01167	1.58
K01169	0.16
K01173	7.31
K01174	192.3
K01175	4.76
K01176	36.15
K01178	1
K01179	8.05
K01181	8.21
K01182	0.67
K01183	75.2
K01184	1.33
K01185	5
K01186	109.28
K01187	114.64
K01190	25.15
K01191	9.89
K01192	2.93
K01193	427.83
K01194	4.71
K01195	7
K01197	0.2
K01198	4.93
K01200	68.36
K01201	5.66
K01205	2.73
K01206	20.83
K01207	213.67
K01208	116.87
K01209	11.05
K01210	1
K01212	0
K01215	12.53
K01216	0
K01218	2
K01219	0
K01220	126.88
K01222	1.71
K01223	234.49
K01224	5.33
K01226	108.69
K01227	10.54
K01230	0
K01232	0.26
K01233	14.69
K01235	1.53
K01236	128.78
K01239	622.44
K01240	0
K01241	194.32
K01243	272.79
K01246	467.82
K01247	10.54
K01250	73.78
K01251	200.17
K01252	5.79
K01253	1
K01255	327.75
K01256	235.09
K01258	239.97
K01259	254.2
K01261	119.68
K01262	152.71
K01263	0
K01264	0
K01265	539.39
K01266	4.42
K01267	192.14
K01269	0
K01270	10.39
K01271	294.47
K01273	11.98
K01274	84.14
K01277	1.37
K01278	12.45
K01281	16.54
K01283	3.83
K01284	203.43
K01286	128.15
K01295	16.43
K01297	15.69
K01299	1
K01301	0
K01303	2
K01304	130.2
K01305	1.91
K01308	0
K01318	160.97
K01322	286.98
K01325	0
K01338	24.77
K01342	0
K01347	5.03
K01350	0
K01354	204.34
K01355	0.03
K01356	319.13
K01358	538.06
K01361	2.27
K01372	127.76
K01387	0
K01389	0.5
K01390	8.34
K01392	0.7
K01399	0
K01400	0
K01401	89.83
K01406	3.37
K01407	1.74
K01409	342.81
K01414	9.37
K01415	0.53
K01416	0.17
K01417	0.17
K01419	118.74
K01420	146.84
K01421	327.06
K01424	386.68
K01425	139.28
K01426	109.77
K01427	3.76
K01428	287.29
K01429	283.09
K01430	283.69
K01432	2
K01433	142.4
K01434	9.47
K01436	161.73
K01437	0
K01438	51.54
K01439	446.68
K01442	110.17
K01443	319.74
K01444	5.26
K01446	73.3100000000001
K01447	10.03
K01448	338.54
K01449	0
K01451	257.74
K01452	0
K01453	4.16
K01455	20.89
K01457	4.74
K01458	2.5
K01459	2
K01460	0.57
K01461	1.59
K01462	656.93
K01464	5.64
K01465	348.19
K01466	5.03
K01467	17.63
K01468	108.57
K01469	3.92
K01470	97.81
K01471	1
K01473	40.46
K01474	40.46
K01476	95.2800000000001
K01477	4.11
K01478	123.81
K01479	110.52
K01480	12.39
K01482	1.25
K01483	4.43
K01484	3.94
K01485	17.69
K01486	3.68
K01487	11.74
K01488	57.27
K01489	200.09
K01491	339.59
K01492	0.14
K01493	130.09
K01494	222.09
K01495	226.96
K01496	200.73
K01497	9.78
K01499	0.7
K01501	5.73
K01502	1.33
K01505	4.51
K01507	217.78
K01512	323.49
K01515	327.88
K01518	0.2
K01520	306.47
K01521	0.57
K01523	202.1
K01524	454.06
K01525	9.04
K01531	14.06
K01533	150.48
K01534	156.84
K01535	0
K01537	28.65
K01539	0
K01545	0.95
K01546	110.58
K01547	110.58
K01548	110.58
K01551	11.21
K01555	11.53
K01556	7.94
K01560	91.45
K01561	4.96
K01563	4.16
K01567	0
K01568	0
K01569	1
K01571	54.58
K01572	3.58
K01573	3.38
K01574	3.14
K01575	284.52
K01576	3.2
K01577	1.73
K01578	4.54
K01579	230.04
K01580	4.41
K01581	23.74
K01582	72.67
K01583	8.34
K01584	5.32
K01585	8.61
K01586	524.16
K01588	337.87
K01589	336.73
K01590	0.37
K01591	336.14
K01593	1
K01594	0
K01595	221.87
K01596	195.6
K01597	120
K01598	15.37
K01599	324.7
K01601	2.84
K01602	2.17
K01607	215.99
K01608	2.86
K01609	327.74
K01610	122.33
K01611	4.23
K01613	18.71
K01615	0.14
K01616	190.48
K01617	2.34
K01619	471.02
K01620	109.78
K01621	4.95
K01622	0
K01623	110.9
K01624	338.08
K01625	82.39
K01626	368.32
K01627	19.54
K01628	13.94
K01629	0.66
K01630	2.08
K01631	6.34
K01633	318.52
K01635	154.91
K01637	165.31
K01638	138.39
K01639	249.42
K01640	50.47
K01641	118.1
K01643	2.28
K01644	251.32
K01646	2.28
K01647	422.7
K01649	411.49
K01652	476.16
K01653	253.98
K01654	6.26
K01655	0
K01657	327.58
K01658	391.08
K01659	162.62
K01661	306.27
K01662	224.77
K01664	46.12
K01665	123.94
K01666	59.66
K01667	6.09
K01668	1.5
K01669	223.92
K01671	0.16
K01673	300.29
K01674	4.97
K01676	10.15
K01677	0.67
K01678	0.59
K01679	322.95
K01681	324.64
K01682	11.01
K01683	0
K01684	29.13
K01685	8.64
K01686	13.08
K01687	347.37
K01689	339.22
K01690	8.77
K01692	121.56
K01693	288.93
K01695	332.13
K01696	341.12
K01697	60.75
K01698	316.14
K01699	0.13
K01702	2.5
K01703	323.08
K01704	331.51
K01706	3.24
K01707	32.53
K01708	2.32
K01709	1.28
K01710	278.52
K01711	6.59
K01712	108.77
K01713	1.91
K01714	628.6
K01715	14.28
K01716	11.67
K01719	134.6
K01720	162.21
K01721	3.16
K01724	136.59
K01725	2.17
K01727	81.5
K01728	1.16
K01729	2.08
K01730	1
K01732	0
K01733	339.47
K01734	12.14
K01735	337.54
K01736	337.2
K01737	156.82
K01738	472.04
K01739	266.64
K01740	262.32
K01744	235.8
K01745	111.92
K01746	0.14
K01749	317.31
K01750	374.93
K01751	1.3
K01752	536.84
K01753	3.69
K01754	474.79
K01755	325.52
K01756	343.33
K01758	3.5
K01759	47.16
K01760	129.76
K01761	6.74
K01766	4.39
K01768	143.23
K01769	0
K01770	211.86
K01771	73.44
K01772	329.12
K01775	458.2
K01776	337.03
K01777	0.89
K01778	212.34
K01779	10.81
K01781	1
K01782	14.39
K01783	345
K01784	590.98
K01785	208.82
K01787	0
K01788	299.23
K01790	216.96
K01791	285.43
K01792	184.91
K01795	0.25
K01796	7.49
K01799	7.09
K01800	4.9
K01801	8.33
K01802	208.38
K01803	344.69
K01804	4.34
K01805	7.65
K01807	139.09
K01808	205.23
K01809	413.91
K01810	339.3
K01811	2.36
K01812	131.41
K01813	1.06
K01814	228.99
K01815	5.59
K01816	251.35
K01817	329.98
K01818	10.34
K01819	240.2
K01820	2.53
K01821	133.85
K01822	0
K01823	322.17
K01825	0.61
K01826	6.61
K01829	2.65
K01834	445.3
K01835	323.58
K01838	5.33
K01839	132.78
K01840	443.33
K01841	1.59
K01843	4.54
K01844	0.17
K01845	416.39
K01846	0.13
K01847	380.93
K01848	0.36
K01849	0.17
K01851	0
K01854	199.69
K01856	124.29
K01857	243.87
K01858	190.48
K01865	0.25
K01866	339.53
K01867	339.07
K01868	352.85
K01869	339.6
K01870	338.37
K01872	338.2
K01873	338.37
K01874	338.7
K01875	338.2
K01876	341.89
K01878	36.25
K01879	36.75
K01880	301.95
K01881	338.37
K01883	338.2
K01884	0.33
K01885	407.03
K01886	14.34
K01887	352.92
K01889	338.6
K01890	338.2
K01892	338.37
K01893	131.43
K01894	10.64
K01895	226.69
K01896	0
K01897	669.64
K01902	247.06
K01903	247.06
K01904	0
K01905	0.08
K01906	150.13
K01907	3.09
K01908	5.86
K01909	0
K01910	3.45
K01911	306.17
K01912	44.17
K01914	15.47
K01915	549.58
K01916	324.86
K01918	426.43
K01919	27.87
K01920	11.68
K01921	354.09
K01922	15.37
K01923	339.87
K01924	340.2
K01925	338.2
K01926	126.99
K01928	239.71
K01929	337.53
K01933	338.03
K01934	264.9
K01935	353.16
K01937	272.66
K01938	199.57
K01939	340.37
K01940	323.9
K01941	2.57
K01945	337.37
K01947	1.75
K01950	12.03
K01951	532.14
K01952	920.08
K01953	224.21
K01955	337.63
K01956	336.8
K01958	302.14
K01959	0.25
K01960	0.25
K01961	254.07
K01962	145.58
K01963	325.37
K01965	12.33
K01966	434.5
K01968	8.53
K01969	14.75
K01971	19.5
K01972	338.78
K01974	0.81
K01975	128.41
K01989	167.56
K01990	2669.68
K01991	31.1
K01992	2216.8
K01993	17.48
K01994	0
K01995	53.76
K01996	54.88
K01997	55.88
K01998	53.84
K01999	65.82
K02000	18.11
K02001	10.49
K02002	29.26
K02003	1347.74
K02004	1188.31
K02005	205.26
K02006	6.06
K02007	6.56
K02008	6.06
K02009	3.97
K02010	190.05
K02011	242.68
K02012	328.47
K02013	2057.34
K02014	144.94
K02015	2912.24
K02016	2663.79
K02017	118.97
K02018	251.09
K02019	8.48
K02020	256.27
K02021	282.66
K02022	9.23
K02024	1.59
K02025	234.51
K02026	235.07
K02027	243.78
K02028	504.74
K02029	329.81
K02030	732.45
K02031	237.24
K02032	1295.2
K02033	922.069999999999
K02034	935.869999999999
K02035	1337.08
K02036	356.84
K02037	341.31
K02038	341.56
K02039	346.44
K02040	350.99
K02041	156.85
K02042	280.25
K02043	1.91
K02044	176.26
K02045	13.32
K02046	13.07
K02047	13.07
K02048	15.18
K02049	225.79
K02050	154.88
K02051	177.86
K02052	65.03
K02053	18.93
K02054	18.44
K02055	23.9
K02056	223.48
K02057	253.53
K02058	196.59
K02062	3.89
K02063	5.64
K02064	5.64
K02065	27.87
K02066	28.12
K02067	29.62
K02068	111.2
K02069	116.69
K02071	434.62
K02072	434.62
K02073	595.9
K02074	181.07
K02075	179.07
K02076	109.81
K02077	229.17
K02078	329.14
K02079	0.16
K02080	0.16
K02081	2.37
K02082	43.62
K02083	3.28
K02086	125.18
K02092	0
K02093	0
K02094	0
K02095	0
K02096	0
K02097	0
K02099	2.13
K02100	1.76
K02103	0.64
K02106	4.94
K02107	3.99
K02108	332.53
K02109	338.73
K02110	333.03
K02111	332.53
K02112	332.53
K02113	251.65
K02114	332.86
K02115	332.53
K02116	46.49
K02117	16.66
K02118	16.66
K02119	12.66
K02120	16.66
K02121	8.99
K02122	16.66
K02123	16.66
K02124	16.66
K02160	252.55
K02164	1.92
K02167	1.61
K02168	198.48
K02169	12.17
K02170	4.28
K02171	72.34
K02172	72.34
K02173	0.16
K02182	2.58
K02188	2.1
