function.	air_7
K00001	192.03
K00002	0
K00003	188.77
K00004	23.29
K00005	41.02
K00007	0
K00008	165.85
K00009	122.23
K00010	171.22
K00011	0
K00012	86.35
K00013	155.81
K00014	298.22
K00015	41.79
K00016	297.95
K00018	2.89
K00019	11.29
K00020	98.07
K00021	2.57
K00023	1.17
K00024	90.07
K00025	0
K00027	142.14
K00028	2.52
K00029	6.75
K00030	0.6
K00031	179.65
K00032	1.62
K00033	183.28
K00034	6.54
K00035	0.33
K00036	185.6
K00038	41.17
K00039	0.66
K00040	42.44
K00041	1.69
K00042	3.59
K00043	0
K00045	46.73
K00046	31.78
K00048	1.1
K00050	2.78
K00052	179.55
K00053	178.66
K00054	109.49
K00055	41.65
K00057	189.7
K00058	182.38
K00059	393.36
K00060	1.3
K00064	1.07
K00065	3.53
K00066	1.93
K00067	33.28
K00068	1.67
K00073	0.48
K00074	69.49
K00075	190.24
K00076	0.5
K00077	276.03
K00078	0
K00082	17.84
K00086	0.18
K00087	0.25
K00088	325.72
K00090	2.72
K00091	2.12
K00094	0
K00096	3.51
K00097	10.44
K00098	19.38
K00099	79.67
K00100	10.67
K00101	94.24
K00102	2.61
K00104	9.81
K00105	11.11
K00106	0.23
K00108	121.62
K00111	169.45
K00112	2.84
K00113	2.84
K00114	1.05
K00116	259.86
K00117	4.17
K00118	0
K00121	8.95
K00122	84.59
K00123	102.42
K00124	5.96
K00126	1.1
K00127	2.33
K00128	327.4
K00130	163.8
K00131	14.84
K00132	0
K00133	190.13
K00134	356.38
K00135	254.13
K00137	3.08
K00138	74.56
K00140	59.68
K00141	0.4
K00145	158.91
K00146	44.36
K00147	96.24
K00148	1.95
K00150	0.25
K00151	3.22
K00153	50.59
K00154	3.55
K00156	71.63
K00158	105.61
K00161	132.75
K00162	132.75
K00163	76.15
K00164	141.56
K00166	92.1000000000001
K00167	92.1000000000001
K00169	2.45
K00170	2.45
K00171	0.95
K00172	2.45
K00174	93.7300000000001
K00175	93.7300000000001
K00176	0.84
K00177	1.84
K00179	0.84
K00180	0.84
K00184	1.46
K00185	1.58
K00194	0.2
K00196	1.05
K00197	0.4
K00198	0.7
K00200	0
K00201	0
K00202	0
K00208	101.21
K00209	2.38
K00210	0.64
K00214	0
K00215	189.22
K00216	3.67
K00217	81.82
K00218	0
K00219	6.58
K00220	0.83
K00221	0
K00226	112.09
K00227	0
K00228	4.32
K00230	1.29
K00231	160.49
K00232	6.13
K00239	169.18
K00240	169.18
K00241	168.95
K00242	3.38
K00243	114.17
K00244	23.74
K00245	2.18
K00246	2.18
K00247	0.68
K00248	4.14
K00249	18.27
K00252	143.72
K00253	3.38
K00254	78.3
K00255	1.6
K00256	0
K00257	101.07
K00259	223.33
K00260	91.9
K00261	2.33
K00262	96.62
K00263	6.9
K00265	142.98
K00266	144.27
K00270	0
K00271	0
K00273	2.57
K00274	3.2
K00275	9.11
K00276	0.8
K00278	12.6
K00280	0
K00281	32.98
K00282	91.2700000000001
K00283	91.2700000000001
K00284	0.87
K00285	54.34
K00286	192.62
K00287	187.71
K00288	0
K00290	9.57
K00293	0
K00294	91.4300000000001
K00297	93.32
K00298	0.4
K00299	170.62
K00301	43.32
K00302	3.21
K00303	4.38
K00304	2.85
K00305	2.85
K00311	4.21
K00313	3.41
K00314	0.33
K00315	0
K00316	0.25
K00317	0.2
K00318	91.6300000000001
K00320	0
K00322	2.75
K00324	12.97
K00325	9.19
K00326	0
K00329	0
K00330	9.12
K00331	8.87
K00332	5.81
K00333	6.31
K00334	10.98
K00335	10.4
K00336	10.1
K00337	9.37
K00338	8.87
K00339	8.87
K00340	9.07
K00341	8.54
K00342	8.87
K00343	8.87
K00344	54.71
K00346	1.4
K00347	2.4
K00348	2.4
K00349	2.4
K00350	2.4
K00351	2.4
K00354	0.3
K00355	10.61
K00356	0.96
K00360	0
K00362	96.5600000000001
K00363	94.5600000000001
K00364	109.93
K00365	0
K00366	0.28
K00367	0.23
K00368	28.21
K00370	132.75
K00371	134.71
K00372	2.98
K00373	59.35
K00374	134.71
K00375	172.65
K00376	1
K00380	97.6200000000001
K00381	18.68
K00382	379.92
K00383	26.99
K00384	424.409999999999
K00385	0.85
K00387	0
K00389	48.84
K00390	71.52
K00392	53.08
K00394	0.3
K00395	0.3
K00404	6.93
K00405	6.03
K00406	7.92
K00407	5.03
K00410	0.5
K00411	4.58
K00412	4.33
K00413	4.08
K00423	0
K00425	157.94
K00426	167.16
K00427	1.3
K00428	7.92
K00432	253.51
K00433	5.51
K00435	0.02
K00436	0
K00441	0.5
K00446	43.58
K00448	44.91
K00449	47.48
K00450	42.59
K00451	3.6
K00452	0.69
K00453	2.5
K00455	0.45
K00456	0
K00457	47.83
K00459	169.15
K00462	0
K00464	0
K00466	1.94
K00467	0
K00471	0.6
K00472	0.08
K00476	0
K00477	0.13
K00479	4.85
K00480	43.73
K00481	44.51
K00483	0.47
K00484	0.93
K00486	0.69
K00491	89.7700000000001
K00493	0
K00496	4.47
K00499	0
K00500	3.47
K00504	0
K00505	1.05
K00507	2.83
K00508	26.99
K00510	68.66
K00514	0
K00517	44.4
K00518	0
K00520	42.41
K00523	2.15
K00525	198.33
K00526	217.95
K00527	142.42
K00528	119.01
K00529	44.03
K00531	0.5
K00532	0.5
K00533	0.2
K00534	0.4
K00537	180.54
K00543	0
K00544	0
K00547	102.91
K00548	72.39
K00549	212.05
K00554	189.99
K00556	0.69
K00557	3.21
K00558	32.03
K00560	187.12
K00561	0.89
K00563	90.12
K00564	102.7
K00566	191.31
K00567	191.38
K00568	5.25
K00569	1.62
K00570	0.66
K00571	137.36
K00573	7.46
K00574	133.04
K00575	10.06
K00577	0
K00584	0.2
K00587	0
K00588	0.25
K00590	0.25
K00594	0
K00595	66.94
K00596	0
K00598	2.33
K00600	193.31
K00602	188.1
K00603	0.59
K00604	193.84
K00605	126.25
K00606	139.99
K00608	0.25
K00609	188.9
K00610	1.39
K00611	259.29
K00612	2.33
K00613	0
K00615	216.5
K00616	178.23
K00619	0.08
K00620	159.25
K00621	0.25
K00624	0.16
K00625	111.32
K00626	288.26
K00627	136.88
K00631	3.1
K00632	84.03
K00633	0.81
K00634	12.62
K00635	0.8
K00638	1.13
K00639	93.99
K00640	195.39
K00641	211.07
K00643	2.16
K00645	119.81
K00646	0.22
K00647	6.26
K00648	123.68
K00651	18.43
K00652	107.2
K00655	200.69
K00656	153.73
K00657	25.12
K00658	168.18
K00661	73.08
K00662	0.76
K00663	0.33
K00666	230.54
K00672	0
K00673	5.5
K00674	234.12
K00675	2.27
K00677	7.53
K00680	253.66
K00681	142.55
K00683	41.56
K00684	6.42
K00685	3.38
K00686	0.3
K00687	94.1000000000001
K00688	102.6
K00689	4.34
K00690	8.93
K00691	1.11
K00692	1.82
K00693	0
K00694	1.79
K00695	0
K00696	0.23
K00697	71.01
K00698	0
K00700	96.47
K00701	0
K00702	0.2
K00703	28.69
K00705	95.5500000000001
K00709	0.14
K00712	174.92
K00713	0
K00720	0.25
K00721	74.97
K00728	0.2
K00737	0
K00745	0.2
K00748	7.39
K00752	0.86
K00754	174.64
K00756	111.76
K00757	6.94
K00758	25.39
K00759	189.17
K00760	189.58
K00761	191.1
K00762	190.2
K00763	188.15
K00764	188.67
K00765	155.81
K00766	177.92
K00767	64.63
K00768	75.6
K00769	3.15
K00772	1.2
K00773	189.83
K00782	36.94
K00783	118.11
K00784	114.28
K00785	0.51
K00786	2.18
K00788	176
K00789	193.57
K00790	299.23
K00791	190.72
K00793	176.2
K00794	177.56
K00795	4.19
K00796	251.04
K00797	52.43
K00798	70.04
K00799	28.98
K00800	190.18
K00801	0.88
K00803	4.65
K00805	167.07
K00806	189.93
K00808	0.33
K00809	1.44
K00812	8.58
K00813	0.68
K00817	340.69
K00818	80.68
K00819	158.18
K00820	191.74
K00821	6.73
K00822	4.36
K00823	91.17
K00824	91.78
K00826	194.95
K00830	0.35
K00831	83.76
K00832	6.45
K00833	147.8
K00835	0
K00836	4.25
K00839	0.53
K00840	0.8
K00841	110.14
K00842	0.75
K00844	0.25
K00845	255.34
K00847	120.69
K00848	7.54
K00849	97.97
K00850	188.44
K00851	208.62
K00852	219.99
K00853	86.92
K00854	73.5
K00855	0.5
K00856	0.13
K00857	114.19
K00858	190.13
K00859	189.83
K00860	15.73
K00862	0.2
K00863	15.98
K00864	189.7
K00865	321.03
K00867	92.4
K00868	230.98
K00869	112.06
K00870	0.25
K00872	182.87
K00873	236.2
K00874	30.77
K00875	0
K00876	128.21
K00878	155.66
K00879	0.48
K00880	1.4
K00881	0
K00882	225.62
K00883	1.55
K00884	0.84
K00885	0.51
K00886	73.38
K00887	35.27
K00891	184.7
K00892	0
K00895	3.05
K00897	6.4
K00899	1.24
K00901	83.09
K00906	1.75
K00912	7.64
K00917	107.68
K00918	0
K00919	173.82
K00924	6.38
K00925	189.45
K00926	179.09
K00927	189.96
K00928	280.72
K00929	2.41
K00930	159.08
K00931	96.46
K00932	0
K00936	155.12
K00937	26.67
K00938	111.37
K00939	190.06
K00940	186.99
K00941	118.11
K00942	190.28
K00943	188.05
K00945	188.32
K00946	76.67
K00947	0
K00948	212.36
K00949	115.3
K00950	175.15
K00951	190.64
K00952	0
K00954	189.83
K00955	2.12
K00956	56.09
K00957	57.71
K00958	14.25
K00960	0.08
K00962	189.36
K00963	232.83
K00965	52.02
K00966	69.27
K00968	0
K00969	264.5
K00970	77.67
K00971	8.59
K00972	75.35
K00973	91.5
K00974	114.47
K00975	113.67
K00978	0.88
K00979	7.39
K00980	100.83
K00981	192.03
K00982	75.53
K00983	1.98
K00984	0
K00986	0.82
K00988	0
K00989	76.03
K00990	70.22
K00991	235.27
K00992	3.38
K00995	261.18
K00996	1.29
K00997	184.09
K00998	2.05
K00999	0
K01000	189.86
K01002	3.41
K01003	1.62
K01004	2.61
K01006	28.83
K01007	90.88
K01008	7.56
K01011	193.75
K01012	187.07
K01014	1
K01015	0
K01023	0.25
K01026	0.68
K01027	0.1
K01028	95.09
K01029	54.46
K01031	3.03
K01032	2.23
K01034	10.75
K01035	10.45
K01039	1.7
K01040	1.7
K01042	7.39
K01046	287.25
K01048	1.86
K01051	2.63
K01053	2.93
K01055	53.64
K01056	259.18
K01057	76.47
K01058	2.77
K01060	8.66
K01061	3.92
K01066	179.82
K01067	0
K01069	46.93
K01070	4.4
K01071	19.9
K01073	0.5
K01075	1.62
K01077	145.53
K01078	0.33
K01079	94.16
K01081	66.06
K01082	73.54
K01083	1.65
K01085	0
K01086	0.5
K01087	74.04
K01089	2.22
K01090	171.13
K01091	168.98
K01092	333.44
K01093	0
K01095	4.89
K01096	1.48
K01101	13.77
K01104	507.71
K01113	55.59
K01114	90.4800000000001
K01115	0.83
K01117	0.2
K01118	99.1800000000001
K01119	15
K01120	0.36
K01121	0.25
K01126	596.75
K01128	0
K01129	79.02
K01130	47.38
K01133	3.23
K01135	0
K01137	0
K01138	0.25
K01139	3.53
K01141	2.7
K01142	178.69
K01143	0
K01144	1.78
K01146	0
K01147	0.81
K01150	1.62
K01151	93.5900000000001
K01153	252.29
K01154	283.63
K01155	10.61
K01156	10.04
K01158	0
K01159	79.86
K01160	46.37
K01163	2.14
K01166	3.08
K01167	0
K01169	0
K01173	6.68
K01174	166.89
K01175	0.68
K01176	29.57
K01178	0.83
K01179	2.81
K01181	1.66
K01182	1.89
K01183	76.19
K01184	0
K01185	1.13
K01186	86.28
K01187	103.91
K01190	21.8
K01191	8.81
K01192	1.47
K01193	223.1
K01194	0.58
K01195	5.44
K01197	0.2
K01198	2.5
K01200	37.17
K01201	1.51
K01205	2.25
K01206	13.26
K01207	81.84
K01208	41.13
K01209	2.69
K01210	0
K01212	0
K01215	11.98
K01216	0
K01218	1.25
K01219	0
K01220	112.35
K01222	1.61
K01223	272.53
K01224	7.18
K01226	109.75
K01227	9.59
K01230	0
K01232	0.52
K01233	0.59
K01235	0.55
K01236	47.83
K01239	272.38
K01240	0
K01241	68.74
K01243	166.91
K01246	228.31
K01247	4.3
K01250	76.24
K01251	71.58
K01252	3.67
K01253	0
K01255	172.31
K01256	100.43
K01258	203.71
K01259	141.43
K01261	108.42
K01262	124
K01263	0
K01264	0.25
K01265	267.21
K01266	1.6
K01267	74.43
K01269	0.25
K01270	7.41
K01271	164.72
K01273	3.57
K01274	86.17
K01277	0.47
K01278	2.95
K01281	19.86
K01283	0.02
K01284	72.37
K01286	55.79
K01295	1.68
K01297	4.61
K01299	1.3
K01301	0
K01303	0.33
K01304	108.81
K01305	0.35
K01308	0.52
K01318	154.74
K01322	66.09
K01325	0
K01338	11.69
K01342	0.22
K01347	0.36
K01350	0
K01354	72.61
K01355	0
K01356	171.65
K01358	264.51
K01361	2.81
K01372	66.79
K01387	0.24
K01389	0
K01390	7.07
K01392	0.8
K01399	0.25
K01400	0.22
K01401	79.96
K01406	2.38
K01407	0.68
K01409	193.41
K01414	3.23
K01415	0.4
K01416	0
K01417	0
K01419	94.9800000000001
K01420	55.99
K01421	194.97
K01424	208.75
K01425	51.56
K01426	43.32
K01427	2.57
K01428	160.56
K01429	156.85
