function.	air_10
K00001	270.36
K00002	0
K00003	340.54
K00004	109.87
K00005	149
K00007	7.33
K00008	160.23
K00009	207.4
K00010	320.26
K00011	0
K00012	234.88
K00013	376.1
K00014	695.07
K00015	73.95
K00016	424.25
K00018	73.53
K00019	19.28
K00020	308.52
K00021	8.32
K00023	3.85
K00024	251.36
K00025	0.25
K00027	309.2
K00028	0.4
K00029	141.24
K00030	0
K00031	397.35
K00032	0.78
K00033	397.79
K00034	2.94
K00035	0.38
K00036	410.29
K00038	76.3
K00039	7.08
K00040	179.51
K00041	24.08
K00042	109.41
K00043	2.33
K00045	84.58
K00046	96.99
K00048	59.84
K00050	13.9
K00052	406.08
K00053	397.16
K00054	94.99
K00055	80.12
K00057	400.29
K00058	341.01
K00059	659
K00060	60.63
K00064	1.38
K00065	83.45
K00066	0.95
K00067	147.58
K00068	77.23
K00073	47.65
K00074	147.64
K00075	401.03
K00076	7.68
K00077	468.67
K00078	0
K00082	49.09
K00086	5.95
K00087	16
K00088	713.52
K00090	63.99
K00091	1.81
K00094	44.1
K00096	2.5
K00097	200.17
K00098	83.66
K00099	304.82
K00100	47.02
K00101	313
K00102	4.88
K00104	31.23
K00105	4
K00106	0
K00108	200.31
K00111	378.53
K00112	61.88
K00113	61.88
K00114	1.08
K00116	454.98
K00117	66.85
K00118	1.05
K00121	110.02
K00122	85.89
K00123	367.56
K00124	77.69
K00126	1.2
K00127	65.36
K00128	382.6
K00130	280.58
K00131	4.74
K00132	0
K00133	401.88
K00134	759.65
K00135	751.4
K00137	64.33
K00138	227.43
K00140	118.64
K00141	3.71
K00145	379.65
K00146	134
K00147	310.21
K00148	1.03
K00150	0
K00151	55.87
K00153	101.09
K00154	1.42
K00156	228.56
K00158	96.08
K00161	132.81
K00162	132.81
K00163	303.47
K00164	320.56
K00166	92.13
K00167	92.13
K00169	0.65
K00170	0
K00171	0
K00172	0.65
K00174	91.71
K00175	91.71
K00176	0
K00177	0
K00179	1.33
K00180	1.33
K00184	0.2
K00185	0.2
K00194	0
K00196	0
K00197	0
K00198	0
K00200	0
K00201	0
K00202	0
K00208	232.22
K00209	9.3
K00210	71.5
K00214	0
K00215	399.54
K00216	66.23
K00217	150.96
K00218	0
K00219	38.97
K00220	1.83
K00221	0
K00226	98.16
K00227	0
K00228	64.21
K00230	60.25
K00231	258.14
K00232	12.66
K00239	394.83
K00240	394.58
K00241	394.58
K00242	136.96
K00243	96.74
K00244	92.06
K00245	60.55
K00246	60.55
K00247	60.55
K00248	5.93
K00249	49.71
K00252	180.21
K00253	4.58
K00254	314.47
K00255	0.3
K00256	0.25
K00257	198.34
K00259	259.37
K00260	163.6
K00261	57.81
K00262	305.64
K00263	5.88
K00265	249.93
K00266	246.04
K00270	0
K00271	0
K00273	7.92
K00274	2.81
K00275	150.29
K00276	13.4
K00278	152.52
K00280	0
K00281	233.61
K00282	91.21
K00283	91.21
K00284	0
K00285	230.66
K00286	406.71
K00287	398.83
K00288	0
K00290	4.58
K00293	0
K00294	92.58
K00297	309.12
K00298	0.2
K00299	324.55
K00301	76
K00302	1.25
K00303	4.1
K00304	1.2
K00305	1.2
K00311	81.13
K00313	89.47
K00314	0
K00315	0
K00316	0.61
K00317	2.33
K00318	91.78
K00320	0
K00322	60.3
K00324	156.42
K00325	149.4
K00326	0.14
K00329	0
K00330	138.88
K00331	138.27
K00332	78.11
K00333	78.11
K00334	138.27
K00335	142.19
K00336	141.94
K00337	138.27
K00338	138.27
K00339	138.27
K00340	138.27
K00341	141.94
K00342	138.27
K00343	138.27
K00344	156.78
