reactions	skin_14
K00001	7.4319446227321
K00003	8.71511339012335
K00004	0
K00005	0.118181818181818
K00006	7.99557510183506
K00007	0
K00008	0
K00009	0
K00010	0.042
K00011	9.0881946227321
K00012	2.09356229728477
K00013	2.24150347375536
K00014	8.63811339012335
K00015	0.0845
K00016	8.69025344626151
K00018	0.0845
K00019	0.11
K00020	0.11
K00021	0.11
K00022	0.11
K00024	2.00288047910296
K00025	2.00288047910296
K00026	2.00288047910296
K00027	1.53125
K00028	1.53125
K00029	0.752753473755363
K00030	0
K00031	1.98815825688073
K00033	7.86800806451613
K00034	0.00818181818181818
K00036	6.29475806451613
K00039	0
K00040	0.0501818181818182
K00041	0.00818181818181818
K00042	0.118181818181818
K00043	0
K00045	0
K00046	0.11
K00048	0
K00049	0.0845
K00050	0.0845
K00052	0.979605325607214
K00053	2.51085532560721
K00054	0
K00057	7.99557510183506
K00058	2.58785532560721
K00059	9.52682510183506
K00060	0
K00066	0
K00067	2.13251010873259
K00068	0.11
K00073	0
K00074	0
K00075	9.52682510183506
K00077	8.51311339012335
K00082	0.604812297284774
K00086	0
K00087	0.101851851851852
K00088	9.52682510183506
K00090	0
K00094	0
K00096	7.99557510183506
K00097	0.433760108732586
K00098	0
K00099	2.46285532560721
K00100	0.11003367003367
K00101	8.69025344626151
K00102	0.0501818181818182
K00103	0
K00104	0.118181818181818
K00105	0
K00106	0.101851851851852
K00110	0.11
K00111	0
K00112	0
K00113	0
K00116	0.125
K00121	7.4319446227321
K00122	0.249722222222222
K00123	0
K00125	0
K00126	0
K00128	6.41293988269795
K00130	0.11
K00132	0.11003367003367
K00133	8.71511339012335
K00134	9.52682510183506
K00135	0.11
K00137	6.41293988269795
K00139	0.11
K00140	0.11
K00145	0.812105325607214
K00146	0
K00147	2.58785532560721
K00149	6.41293988269795
K00150	9.52682510183506
K00151	0
K00156	0
K00158	0.11
K00160	1.80875
K00161	8.63811339012335
K00162	8.63811339012335
K00163	8.63811339012335
K00164	1.68375
K00165	0.11
K00166	0.11
K00167	0.11
K00169	2.13044706872648
K00170	2.13044706872648
K00171	2.13044706872648
K00172	2.13044706872648
K00174	1.85038047910296
K00175	1.85038047910296
K00176	1.85038047910296
K00177	1.85038047910296
K00179	0
K00199	0
K00207	0.00818181818181818
K00208	8.04109813957868
K00209	0.11
K00210	6.70892221365276
K00211	6.70892221365276
K00215	0
K00216	0
