function.	air_27
K00001	50.09
K00002	0
K00003	94.73
K00004	14.69
K00005	40.14
K00007	0.14
K00008	48.15
K00009	26.91
K00010	21.59
K00011	0
K00012	60.66
K00013	87.89
K00014	158.01
K00015	5.98
K00016	134.45
K00018	6.9
K00019	13.62
K00020	85.38
K00021	6.59
K00023	2.4
K00024	68.75
K00025	0
K00027	72.45
K00028	1.42
K00029	31.97
K00030	1.49
K00031	92.92
K00032	0
K00033	90.25
K00034	2.7
K00035	0
K00036	90.38
K00038	4.93
K00039	1.66
K00040	9.67
K00041	4.43
K00042	6.49
K00043	0
K00045	15.05
K00046	46.56
K00048	2.85
K00050	23.75
K00052	98.08
K00053	91.98
K00054	28.89
K00055	4.64
K00057	99.54
K00058	98.64
K00059	203.62
K00060	23.8
K00064	0.74
K00065	2.83
K00066	0.14
K00067	47.94
K00068	3.17
K00073	1.73
K00074	72.93
K00075	98.72
K00076	0.65
K00077	95.96
K00078	0
K00082	20.23
K00086	0.53
K00087	1.01
K00088	161.71
K00090	4.94
K00091	2.39
K00094	0
K00096	1.47
K00097	10.82
K00098	21.57
K00099	69.48
K00100	23.27
K00101	28.73
K00102	24.24
K00104	39.93
K00105	6.21
K00106	0
K00108	61.59
K00111	89.93
K00112	1.42
K00113	1.42
K00114	2.66
K00116	77.88
K00117	4.06
K00118	0
K00121	7.22
K00122	16.47
K00123	46.62
K00124	5.21
K00126	1.99
K00127	3.49
K00128	105.88
K00130	66.93
K00131	7.85
K00132	1.57
K00133	98.68
K00134	161.06
K00135	149.98
K00137	1.42
K00138	48.38
K00140	19.84
K00141	0
K00145	85.75
K00146	5.92
K00147	77.26
K00148	0.67
K00150	0
K00151	24.4
K00153	13.88
K00154	4.12
K00156	36.38
K00158	25.34
K00161	65.62
K00162	65.62
K00163	62.62
K00164	59.82
K00166	43.03
K00167	43.03
K00169	0.61
K00170	0.61
K00171	0.61
K00172	0.61
K00174	30.56
K00175	30.99
K00176	3.08
K00177	3.08
K00179	1.77
K00180	1.77
K00184	0
K00185	0
K00194	0.36
K00196	1.73
K00197	0.36
K00198	4.32
K00200	0
K00201	0
K00202	0
K00208	56.97
K00209	0.8
K00210	0.71
K00214	0
K00215	77.48
K00216	7.21
K00217	9.38
K00218	0
K00219	13.3
K00220	1.66
K00221	0.28
K00226	29.53
K00227	0
K00228	5.11
K00230	3.32
K00231	66.68
K00232	6.91
K00239	84.57
K00240	84.4
K00241	84.4
K00242	28.83
K00243	34.66
K00244	11.79
K00245	1.17
K00246	1.17
K00247	1.17
K00248	22
K00249	63.74
K00252	73.34
K00253	4.05
K00254	63.99
K00255	4.13
K00256	0
K00257	126.09
K00259	89.85
K00260	22.9
K00261	47.88
K00262	60.81
K00263	23.34
K00265	67.72
K00266	71.98
K00270	0
K00271	0
K00273	5.93
K00274	17.78
K00275	35.44
K00276	9.21
K00278	27.56
K00280	0
K00281	56.87
K00282	23.43
K00283	23.43
K00284	4.52
K00285	15.98
K00286	106.67
K00287	84.89
K00288	0
K00290	27.18
K00293	0
K00294	64.02
K00297	75.25
K00298	2.01
K00299	87.71
K00301	6.03
K00302	3.65
K00303	10.37
K00304	2.16
K00305	2.16
K00311	4.88
K00313	2.25
K00314	0
K00315	1.66
K00316	0
K00317	0
K00318	41.46
K00320	0
K00322	4.45
K00324	15.79
K00325	13.23
K00326	0
K00329	0
K00330	31.34
K00331	31.34
K00332	24.92
K00333	24.92
K00334	32.68
K00335	32.43
K00336	31.76
K00337	31.34
K00338	31.34
K00339	31.34
K00340	31.43
K00341	31.38
K00342	31.34
K00343	31.34
