function.	skin_16
K00594	0
K00595	12.6262626
K00596	0
K00598	0.9018759
K00599	9.505645
K00600	100.0000008
K00602	99.9739673
K00603	0.3384359
K00604	100.611984
K00605	97.0707078
K00606	78.3131612
K00607	0.1041667
K00608	0
K00609	99.986984
K00610	3.7878788
K00611	179.5599155
K00612	0
K00613	9.018759
K00614	0.2733521
K00615	102.8284557
K00616	100.6155078
K00617	0
K00619	0.3125
K00620	81.4314218
K00624	0
K00625	85.681038
K00626	155.6398561
K00627	106.9827146
K00631	0
K00632	34.5801167
K00633	3.8407889
K00634	5.7611833
K00635	0
K00638	0.0911174
K00639	86.6327866
K00640	97.2051153
K00641	82.9686756
K00643	7.6815778
K00645	97.1009811
K00646	0.9018759
K00647	0.2083333
K00648	97.3188725
K00651	3.4826341
K00652	80.4090014
K00653	0
K00654	0
K00655	102.9201245
K00656	82.9206407
K00657	23.3961859
K00658	93.282829
K00661	7.2488137
K00662	1.6796835
K00663	0
K00666	0.9018759
K00672	0
K00673	0
K00674	26.700436
K00675	0
K00676	0.2213176
K00677	1.5625
K00680	31.2829839
K00681	75.4162164
K00683	0.0911174
K00684	13.9804293
K00685	1.3541667
K00686	0
K00687	1.0283245
K00688	18.0672707
K00689	2.0896124
K00690	0.6508383
K00691	0
K00692	0.0781006
K00693	0
K00694	1.8558189
K00695	0
K00696	0
K00697	11.7243867
K00698	0
K00700	19.1420836
K00701	0.0520671
K00702	0
K00703	4.6990524
K00705	18.7999286
K00712	145.9760108
K00713	0
K00720	0.0260335
K00721	13.5281385
K00737	0
K00745	0.0260335
K00748	1.6666667
K00752	0.4035197
K00754	4.9639823
K00756	79.5952785
K00757	4.2174321
K00758	11.7243867
K00759	100.0000008
K00760	102.1081961
K00761	99.7005176
K00762	100.0000008
K00763	99.8828174
K00764	100.0000008
K00765	87.5022197
K00766	79.1146747
K00767	5.3549936
K00768	1.8167686
K00769	1.6666667
K00772	0
K00773	100.0000008
K00776	0
K00777	0
K00782	13.9804293
K00783	81.5865214
K00784	82.8210686
K00785	0
K00786	0.3774862
K00788	115.0633196
K00789	103.9199068
