function.	air_26
K00001	338.9
K00002	0
K00003	417.7
K00004	135.55
K00005	178.55
K00007	9.41
K00008	178.91
K00009	254.74
K00010	426.95
K00011	0
K00012	300.08
K00013	473.07
K00014	865.440000000001
K00015	98.01
K00016	499.68
K00018	99.93
K00019	20.02
K00020	396.76
K00021	9.65
K00023	3.46
K00024	312.62
K00025	0
K00027	386.69
K00028	0
K00029	180.8
K00030	0.2
K00031	493.91
K00032	1.45
K00033	492.51
K00034	5.42
K00035	0.51
K00036	505.16
K00038	98.51
K00039	9.43
K00040	228.81
K00041	34.63
K00042	134.81
K00043	0.83
K00045	111.59
K00046	103.55
K00048	76.3
K00050	12.8
K00052	503.12
K00053	492.93
K00054	100.96
K00055	105.51
K00057	493.64
K00058	421.86
K00059	786.86
K00060	76.1
K00064	2.49
K00065	107.77
K00066	1.46
K00067	182.32
K00068	97.96
K00073	59.55
K00074	182.35
K00075	495.13
K00076	14.7
K00077	554.62
K00078	0
K00082	66.24
K00086	7.29
K00087	25.48
K00088	897.41
K00090	78.99
K00091	1.41
K00094	55.68
K00096	3
K00097	252.75
K00098	98.11
K00099	391.42
K00100	58.48
K00101	410.05
K00102	2.86
K00104	39.07
K00105	1.73
K00106	0
K00108	241.68
K00111	465.98
K00112	78.94
K00113	78.94
K00114	4.25
K00116	556.81
K00117	89.03
K00118	0.6
K00121	150.68
K00122	95.64
K00123	451.27
K00124	95.33
K00126	2.01
K00127	79.93
K00128	435.19
K00130	347.82
K00131	3.63
K00132	0
K00133	495.62
K00134	948.1
K00135	949.65
K00137	80.48
K00138	285.8
K00140	151.53
K00141	2.29
K00145	476.61
K00146	174.8
K00147	394.66
K00148	2.11
K00150	0
K00151	69.72
K00153	133.62
K00154	6.23
K00156	290.49
K00158	103.82
K00161	137.13
K00162	137.13
K00163	392.13
K00164	395.83
K00166	100.58
K00167	100.58
K00169	0.5
K00170	0
K00171	0
K00172	0.5
K00174	105.22
K00175	105.22
K00176	0
K00177	0.5
K00179	0.84
K00180	0.84
K00184	0.5
K00185	0.5
K00194	0
K00196	0
K00197	0
K00198	0
K00200	0
K00201	0
K00202	0
K00208	284.84
K00209	11.95
K00210	98
K00214	0
K00215	493.9
K00216	82.16
K00217	200.04
K00218	0
K00219	55.43
K00220	1.01
K00221	1.94
K00226	106.79
K00227	0
K00228	81.64
K00230	76.27
K00231	312.57
K00232	17.62
K00239	495.02
K00240	495.82
K00241	494.29
K00242	178.64
K00243	102.99
K00244	108.69
K00245	75.94
K00246	75.94
K00247	75.94
K00248	6.11
K00249	66.88
K00252	219.77
K00253	6.37
K00254	405.92
K00255	2.28
K00256	0.5
K00257	252.64
K00259	289.67
K00260	196.8
K00261	62.42
K00262	389.72
K00263	5.4
K00265	303.71
K00266	299.74
K00270	0
K00271	0.73
K00273	9.46
K00274	8.22
K00275	188.93
K00276	23.54
K00278	196.09
K00280	0
K00281	292.75
K00282	99.98
K00283	99.98
K00284	0.2
K00285	301
K00286	501.76
K00287	493.31
K00288	0
K00290	1.54
K00293	0
K00294	99.91
K00297	395.21
K00298	0
K00299	403.48
K00301	101.2
K00302	2.28
K00303	5.41
K00304	1.78
K00305	1.78
K00311	108.46
K00313	126.35
K00314	0
K00315	0
K00316	0.25
K00317	0.53
K00318	99.91
K00320	0
K00322	78.68
K00324	199.43
K00325	193.28
K00326	0
K00329	0
K00330	183.53
K00331	182.95
K00332	104.04
K00333	105.04
K00334	182.95
K00335	185.28
K00336	185.28
K00337	183.48
K00338	182.95
K00339	182.95
K00340	182.95
K00341	185.28
K00342	183.28
K00343	183.28
K00344	208.05
K00346	106.83
K00347	106.83
K00348	119.75
K00349	106.83
K00350	107.33
K00351	106.83
K00354	0.51
K00355	11.86
K00356	2.34
K00360	0.4
K00362	199.8
K00363	187.67
K00364	177.73
K00365	0.53
K00366	0.51
K00367	0
K00368	235.32
K00370	358.85
K00371	362.31
K00372	20.83
K00373	275.94
K00374	359.48
K00375	417.29
K00376	1.26
K00380	284.36
K00381	197.86
K00382	1042.39
K00383	85.21
K00384	784.3
K00385	41.46
K00387	0
K00389	202.36
K00390	334.23
K00392	136.62
K00394	0
K00395	0
K00404	104.71
K00405	104.46
K00406	105.13
K00407	103.38
K00410	12.31
K00411	114.23
K00412	112.47
K00413	100.92
K00423	0.5
K00425	511.17
K00426	520.61
K00427	76.71
K00428	60.05
K00432	566.33
K00433	18.31
K00435	0
K00436	1.33
K00441	0.5
K00446	101.42
K00448	127.6
K00449	135.83
K00450	157.87
K00451	5.41
K00452	0
K00453	3.99
K00455	64.56
K00456	0
K00457	113.48
K00459	431.08
K00462	0
K00464	0
K00466	1.86
K00467	0
K00471	1
K00472	1.33
K00476	0
K00477	0.47
K00479	10.7
K00480	166.4
K00481	128.35
K00483	69.93
K00484	160.87
K00486	0
K00491	98.98
K00493	0.5
K00496	10.91
K00499	0.5
K00500	3.03
K00504	0
K00505	1.1
K00507	3.92
K00508	99.02
K00510	204.21
K00514	0
K00517	117.14
K00518	0.73
K00520	102.96
K00523	139.85
K00525	585.22
K00526	666.52
K00527	271.41
K00528	595.42
K00529	128.93
K00531	0
K00532	0
K00533	0
K00534	1.01
K00537	510.03
K00543	0
K00544	0
K00547	138.1
K00548	271.28
K00549	572.12
K00554	494.24
K00556	75.77
K00557	175.58
K00558	732.82
K00560	493.45
K00561	1.68
K00563	293.25
K00564	167.6
K00566	493.84
K00567	498.39
K00568	181.3
K00569	1.7
K00570	2.53
K00571	323.31
K00573	185.14
K00574	452.46
K00575	80.16
K00577	0
K00584	0
K00587	0
K00588	0.33
K00590	1.67
K00594	0
K00595	190.82
K00596	0
K00598	36.2
K00600	534.18
K00602	493.64
K00603	0.91
K00604	500.73
K00605	391.26
K00606	397.43
K00608	0
K00609	493.47
K00610	173.3
K00611	617.33
K00612	3.47
K00613	0.34
K00615	721.05
K00616	576.35
K00619	0.66
K00620	403.66
K00621	0.25
K00624	1.2
K00625	108.9
K00626	561.82
K00627	316.97
K00631	78.83
K00632	242.77
K00633	15.86
K00634	16.67
K00635	2.39
K00638	2.81
K00639	174.72
K00640	498.29
K00641	530.68
K00643	4.26
K00645	289.84
K00646	0
K00647	105.11
K00648	277.37
K00651	79.33
K00652	378.84
K00655	605.47
K00656	462.99
K00657	191.67
K00658	491.41
K00661	217.15
K00662	0
K00663	1.46
K00666	599.81
K00672	0
K00673	90.8
K00674	659.9
K00675	74.65
K00677	178.84
K00680	392.36
K00681	405.02
K00683	99.6
K00684	182.04
K00685	5.62
K00686	0
K00687	81.79
K00688	361.49
K00689	0
K00690	26.94
K00691	97
K00692	1.53
K00693	0
K00694	94.81
K00695	0
K00696	0
K00697	288.89
K00698	0
K00700	295.32
K00701	0
K00702	0
K00703	90.39
K00705	288.27
K00709	0
K00712	197.01
K00713	0
K00720	0.5
K00721	217.34
K00728	0
K00737	0
K00745	0
K00748	181.34
K00752	0.33
K00754	281.52
K00756	101.35
K00757	112.94
K00758	173.02
K00759	492.36
K00760	492.13
K00761	496.8
K00762	493.64
K00763	494.22
K00764	493.64
K00765	473.07
K00766	417.29
K00767	308.49
K00768	303.42
K00769	76.95
K00772	1.41
K00773	492.58
K00782	227.61
K00783	280.13
K00784	184.82
K00785	108.47
K00786	2.77
K00788	441.16
K00789	495.27
K00790	596.92
K00791	493.64
K00793	493.14
K00794	498.47
K00795	177.37
K00796	696.29
K00797	278.73
K00798	193.68
K00799	354.42
K00800	496.17
K00801	0.29
K00803	18.42
K00805	312.79
K00806	494.48
K00808	1.01
K00809	1
K00812	4.61
K00813	172.94
K00817	869.2
K00818	219.23
K00819	165.65
K00820	496.26
K00821	185.68
K00822	4.73
K00823	137.27
K00824	101.82
K00826	496.23
K00830	2.03
K00831	393.12
K00832	185.67
K00833	455.42
K00835	173.02
K00836	17.44
K00839	8.91
K00840	97.76
K00841	101.36
K00842	0.53
K00844	0
K00845	678.42
K00847	274.63
K00848	77.97
K00849	317.66
K00850	403.62
K00851	619.99
K00852	567.46
K00853	168.93
K00854	238.76
K00855	76.78
K00856	1.71
K00857	183.1
K00858	493.64
K00859	493.64
K00860	96.4
K00862	0.5
K00863	21.78
K00864	425.82
K00865	870.72
K00867	292.27
K00868	574.84
K00869	110.95
K00870	0
K00872	387.77
K00873	689.58
K00874	118.48
K00875	0.01
K00876	179.23
K00878	296.72
K00879	76.56
K00880	67.75
K00881	2.48
K00882	490.04
K00883	49.86
K00884	89.66
K00885	68.65
K00886	213.67
K00887	21.15
K00891	552.6
K00892	87.91
K00895	3.33
K00897	1.5
K00899	9.42
K00901	258.56
K00906	85.01
K00912	179.26
K00917	102.49
K00918	0
K00919	491.27
K00924	5.91
K00925	587.78
K00926	333.51
K00927	493.64
K00928	587.46
K00929	0.66
K00930	481.52
K00931	394.66
K00932	77.39
K00936	318.85
K00937	203.14
K00938	110.95
K00939	493.64
K00940	492.86
K00941	326.21
K00942	493.97
K00943	491.64
K00945	488.34
K00946	392.15
K00947	1
K00948	500.68
K00949	101.49
K00950	493.23
K00951	496.93
K00952	0
K00954	493.78
K00955	4.94
K00956	310.97
K00957	315.51
K00958	19.7
K00960	0
K00962	493.64
K00963	753.68
K00965	180.9
K00966	209.92
K00968	0.33
K00969	573.14
K00970	392.15
K00971	126.53
K00972	79.81
K00973	534.28
K00974	278.29
K00975	294.38
K00978	42.02
K00979	179.01
K00980	106.5
K00981	510.3
K00982	404.9
K00983	94.67
K00984	52.68
K00986	1.02
K00988	0
K00989	392.35
K00990	377.08
K00991	543.81
K00992	102.87
K00995	701.93
K00996	47.49
K00997	489.38
K00998	74.81
K00999	0.4
K01000	493.64
K01002	95.97
K01003	2.71
