KO	air_8
K00001	0.00054242617053424
K00002	0.000123288891866511
K00003	0.000445426103508769
K00004	0.000351754312288279
K00005	0.0001167939955641
K00007	2.313771477613e-07
K00008	0.000333502177096898
K00009	0.000124518319797971
K00010	0.000161135481634276
K00012	0.00051376042187262
K00013	0.000416999298085718
K00014	0.000670905297822955
K00015	0.000827351466762287
K00016	0.000626887829283756
K00018	0.000383292191658507
K00019	0.000327814811664329
K00020	0.000290438634315323
K00021	4.5899859856073e-05
K00023	0.000108906547111655
K00024	0.000378306967384911
K00027	0.000311492959995122
K00029	0.000232188943472152
K00030	9.87983554841775e-06
K00031	0.000442666057620579
K00032	2.81211566528268e-06
K00033	0.000445389122221874
K00034	0.000323029932928247
K00035	6.52202836818983e-07
K00036	0.000503782619097062
K00038	0.000366462283655352
K00039	3.44148518052151e-06
K00040	0.000104621689125294
K00041	1.5860516385496e-07
K00042	8.08957535660982e-06
K00043	2.6861961696807e-06
K00045	0.00012476546645266
K00046	0.000366842200959747
K00048	2.88740310197773e-06
K00050	7.24311071252765e-07
K00052	0.000490464368946561
K00053	0.000440412373612933
K00054	0.000155849357226303
K00055	0.000312242703907257
K00057	0.000444106602784592
K00058	0.00123573347631903
K00059	0.00330386694166406
K00060	1.31154552130518e-05
K00064	5.81541481064251e-06
K00065	8.28554052508162e-05
K00066	7.93646150903236e-07
K00067	0.000508432560120634
K00068	5.5799556884348e-05
K00073	1.1459632323779e-05
K00074	0.000295992370444469
K00075	0.000454485213958195
K00076	4.69219029143061e-05
K00077	0.00057240035393294
K00082	3.92335163595248e-07
K00086	3.75933191873038e-07
K00087	8.66024106932655e-08
K00088	0.000974231268142196
K00090	0.000336239559027266
K00091	0.000345069805154792
K00094	0
K00096	2.76930890557783e-06
K00097	2.31519298182892e-05
K00098	6.98012906569242e-05
K00099	0.000283365444507806
K00100	1.08646660687915e-06
K00101	0.000231019834620339
K00102	2.92059283361846e-05
K00103	0.000100183655057363
K00104	0.000135494620701337
K00105	4.89593601253291e-06
K00106	0
K00108	0.000378657916375636
K00109	0
K00111	0.000382354156806363
K00112	3.29930338690791e-06
K00113	2.53508874938468e-06
K00114	1.20456080327906e-06
K00116	0.000590375548876693
K00117	2.00760133879843e-06
K00118	0.000240042010730243
K00121	0.000579790277497859
K00122	0.000127665389860481
K00123	0.000600570635067429
K00124	0.00018660490326184
K00125	0
K00126	3.62155535626383e-07
K00127	2.54547144055194e-06
K00128	0.00190743867268397
K00129	0
K00130	0.000930070147475473
K00131	2.74681742006472e-05
K00132	0.000122200074504957
K00133	0.000445610406833949
K00134	0.000875884586886792
K00135	0.00203056577215638
K00137	0.000277435353179087
K00138	0.000702713695957866
K00140	0.000270257697181723
K00141	0.000114942258690783
K00145	0.0004356713273621
K00146	0.000400398766918967
K00147	0.000292870573817391
K00148	6.36736157433666e-06
K00150	0.000191641941092456
K00151	0.00030341336334986
K00152	1.1116162968532e-06
K00153	0.00026824472785692
K00154	0.000239214551893802
K00156	0.000358761827542653
K00158	0.000162995996869467
K00161	0.000383796806303661
K00162	0.000387260668544025
K00163	0.000288378653113909
K00164	0.000438270705224222
K00166	0.000151922691008681
K00167	0.000250788069885933
K00169	3.92871321221812e-07
K00170	4.23587106817241e-07
K00171	3.62155535626383e-07
K00172	3.62155535626383e-07
K00174	0.000156950832387899
K00175	0.00015350977286629
K00176	3.62155535626383e-07
K00177	3.62155535626383e-07
K00179	6.58921877320224e-07
K00180	6.31597281021519e-07
K00183	7.24311071252765e-07
K00184	1.3880536061161e-06
K00185	5.39188617616838e-05
K00186	3.62155535626383e-07
K00187	0
K00193	0
K00194	0
K00196	0
K00197	0
K00198	3.62155535626383e-07
K00200	3.62155535626383e-07
K00201	7.24311071252765e-07
K00202	7.24311071252765e-07
K00205	0
K00208	0.0003481388468573
K00209	3.62155535626383e-07
K00210	6.84946339119463e-07
K00214	3.55510354929996e-07
K00215	0.000442916220061288
K00216	0.000149517841871275
K00217	9.89505513360734e-05
K00218	4.93088001389104e-05
K00219	0.000218502062322159
K00220	3.36711509682926e-06
K00221	2.22392831999873e-05
K00226	0.000158743934853929
K00228	1.44862214250553e-06
K00230	7.17665890556378e-07
K00231	0.000461283562271016
K00232	0.000104047383216708
K00239	0.000448491495256692
K00240	0.000438590830824168
K00241	0.000439349410677734
K00242	2.02807099950774e-05
K00243	0.000157330435598921
K00244	0.00040697182045866
K00245	1.44862214250553e-06
K00246	1.44862214250553e-06
K00247	1.44862214250553e-06
