KO	GI_10
K00001	0.000575733214526443
K00002	8.5858381938414e-05
K00003	0.000370741355749052
K00004	4.2108887432237e-05
K00005	0.000172738526701425
K00007	1.31707311016976e-06
K00008	0.000228033449397316
K00009	1.93775942473584e-05
K00010	0.000160710718351698
K00012	0.000205021442626886
K00013	0.00034264784039347
K00014	0.000424680591918529
K00015	0.00045571902403273
K00016	0.000376185924093918
K00018	0.000361691295378013
K00019	0.000593682020307006
K00020	0.0004251316671216
K00021	0
K00023	0.000675087362719921
K00024	0.000178543841894609
K00027	0.000517034334642767
K00029	0.00047802598402125
K00030	0.000167492646997759
K00031	0.000351806409543324
K00032	1.96692769209123e-05
K00033	8.45994469924508e-05
K00034	0.000385112789859827
K00035	0
K00036	5.7367329998916e-05
K00038	0.000364706280973705
K00039	8.4759544686801e-06
K00040	0.000100162468567804
K00041	6.85692438732998e-05
K00042	0.000183346479366933
K00043	0.000148060457322887
K00045	7.66956313928553e-06
K00046	0.000768995168413564
K00048	0.000287144349145518
K00050	1.42139046154926e-05
K00052	0.000571362083206003
K00053	0.000346780482471135
K00054	5.49734863375202e-06
K00055	7.86756377750453e-05
K00057	0.0003298278682303
K00058	0.000791767072153395
K00059	0.00358808187271738
K00060	0.000121443321077262
K00064	2.26317611942949e-05
K00065	0.00050163982875527
K00066	5.48499298330426e-06
K00067	0.000310806560686416
K00068	9.82771071279298e-05
K00073	6.06406706005437e-05
K00074	0.000471663957775034
K00075	0.000492892295961458
K00076	6.91940327012603e-05
K00077	0.00024492103085598
K00082	0
K00086	9.88973160034402e-05
K00087	0.000166688855538193
K00088	0.00047660574890539
K00090	0.000226275675596907
K00091	2.54355592605135e-05
K00094	3.65344627951437e-06
K00096	0.000167246366113743
K00097	0.00012434935838417
K00098	1.181799630055e-05
K00099	0.000370884334707833
K00100	0.00029748251036078
K00101	0.000197265663499845
K00102	0.000236844225186248
K00103	0
K00104	0.000395756594610434
K00105	0
K00108	0.000136602160088874
K00111	0.000392939887137764
K00112	8.63541847885213e-06
K00113	6.64262959911702e-06
K00114	0
K00116	1.48886525497451e-06
K00117	7.57207534685253e-06
K00118	1.88371616008469e-05
K00121	0.000194105718842786
K00122	5.12866534396693e-05
K00123	0.00151715874343646
K00124	0.000642706543726988
K00125	1.99278887973511e-06
K00126	1.17542797682699e-05
K00127	0.000303028580085279
K00128	0.000896964628617264
K00129	0
K00130	0.000366919670812547
K00131	9.76571928573878e-05
K00132	9.85809463538396e-05
K00133	0.000369126184805875
K00134	0.0004045642775721
K00135	0.000691839798733788
K00137	0.00021238364472816
K00138	0.000273508536287527
K00140	0.000358980277907122
K00141	0.000153249676312344
K00145	0.000351171146559659
K00146	0.000255587754395726
K00147	0.000341372428926334
K00148	4.62057122900247e-06
K00150	0.000185748616429843
K00151	0.000226747213553909
K00152	1.71792144804751e-07
K00153	8.59942598575382e-06
K00154	6.85761775237411e-05
K00156	7.98256047584368e-05
K00158	1.76161355030933e-05
K00161	0.00011414613442959
K00162	0.000341718289403668
K00163	0.000124587696847757
K00164	6.32673969228025e-05
K00166	4.66526970699543e-05
K00167	5.18077588606395e-05
K00169	5.27211221880033e-05
K00170	1.03669083856327e-05
K00171	1.80059324246173e-05
K00172	5.27136720800037e-05
K00174	0.000112806452743104
K00175	0.000108823103516147
K00176	8.65085787692055e-05
K00177	8.55362465308955e-05
K00179	0.000325118463040567
K00180	0.000321796033974752
K00183	0.000490145932248341
K00184	0.00103152583289252
K00185	0.000268571268331047
K00186	5.06738092556947e-05
K00187	1.06282073585872e-05
K00188	6.64262959911702e-06
K00193	1.97784333623146e-06
K00194	5.7262598766722e-06
K00196	0.000303351435590317
K00197	6.33278724335282e-06
K00198	0.000122828731690096
K00200	8.12391746651242e-06
K00201	0
K00202	3.65344627951436e-05
K00205	0.000126131386113687
K00208	0.000237450248582324
K00209	1.67087238966987e-05
K00210	6.74556536419868e-05
K00214	0
K00215	0.000365652000697032
K00216	0.000281574483626171
K00217	1.89761000491127e-05
K00218	3.50379366251095e-06
K00219	0.00069244642451633
K00220	4.76189684002827e-05
K00221	0
K00226	0.000277373000813915
K00228	5.64529751788808e-05
K00230	2.47863609565827e-05
K00231	1.40390145027607e-05
K00232	0
K00239	0.000285176467088509
K00240	9.69421784491761e-05
K00241	7.90802554404416e-05
K00242	5.6325507416303e-05
