reactions	skin_19
K00001	149.139660682757
K00003	96.8929323459795
K00004	46.3802098333571
K00005	10.25
K00006	157.762775219009
K00007	12.4373526905
K00008	12.4373526905
K00009	11.5300960564484
K00010	26.9154289289
K00011	153.145017825615
K00012	56.5690457187937
K00013	30.1824910969449
K00014	97.2134062281295
K00015	41.0389102228175
K00016	133.853474718829
K00018	41.0389102228175
K00019	11.6278288809762
K00020	30.9488606270079
K00021	0
K00022	30.9488606270079
K00024	25.6828365413687
K00025	25.6828365413687
K00026	25.6828365413687
K00027	2.59180240565476
K00028	2.59180240565476
K00029	44.8304318393687
K00030	9.69047619047619
K00031	42.3821193451857
K00033	91.9849798496734
K00034	0
K00036	90.3325751476734
K00039	0
K00040	14.5654289289
K00041	1
K00042	13.9095122390119
K00043	0.19047619047619
K00045	12.4373526905
K00046	12.3772573925
K00048	0.222222222222222
K00049	41.0389102228175
K00050	41.0389102228175
K00052	49.2550054010079
K00053	59.0380936363021
K00054	10.5
K00057	157.762775219009
K00058	39.4733127318449
K00059	159.203351457409
K00060	12.6278288809762
K00066	0
K00067	63.7701221403008
K00068	14.8778288809762
K00073	0
K00074	0
K00075	159.203351457409
K00077	89.6601705011223
K00082	60.060688934302
K00086	0
K00087	13.6278288809762
K00088	159.203351457409
K00090	0
K00094	0.19047619047619
K00096	157.762775219009
K00097	34.3087812619286
K00098	12.3772573925
K00099	49.341169874702
K00100	4.22222222222222
K00101	133.853474718829
K00102	34.4202124453651
K00103	2
K00104	11.6278288809762
K00105	9
K00106	13.6278288809762
K00110	12.3204129959794
K00111	0
K00112	0
K00113	0
K00116	21.9024320555794
K00121	149.139660682757
K00122	21.8579578418651
K00123	0
K00125	0
K00126	0
K00128	95.1098441106853
K00130	13.4373526905
K00132	14.0252573986151
K00133	96.3929323459795
K00134	139.403351457409
K00135	38.3201145353571
K00137	95.1098441106853
K00139	34.8373526905
K00140	16.4105902710667
K00145	28.8042415194841
K00146	11.4373526905
K00147	36.6688078665675
K00149	95.1098441106853
K00150	159.203351457409
K00151	12.4373526905
K00156	15.9373526905
K00158	9.51739764375
K00160	58.0937721755032
K00161	92.5678179928353
K00162	92.5678179928353
K00163	92.5678179928353
K00164	45.3622483060746
K00165	14.1302098333571
K00166	14.1302098333571
K00167	14.1302098333571
K00169	7.75586677152031
K00170	7.75586677152031
K00171	7.75586677152031
K00172	7.75586677152031
K00174	2.97356442577031
K00175	2.97356442577031
K00176	2.97356442577031
K00177	2.97356442577031
K00179	0
K00199	0
K00207	0.19047619047619
K00208	93.8305323939033
K00209	40.2444955476429
K00210	82.4976705011223
K00211	82.4976705011223
K00215	2.19047619047619
K00216	0
K00220	92.0804323459795
K00226	15.7177335829762
K00228	26.0089407505357
K00229	1.06738356438889
K00231	8.83571428571429
K00238	51.9930913279759
K00239	60.9930913279759
K00240	60.9930913279759
K00241	60.9930913279759
K00242	60.9930913279759
K00244	60.9930913279759
K00245	60.9930913279759
K00246	60.9930913279759
K00247	60.9930913279759
K00248	45.359971738119
K00249	17.9486859639286
K00252	25.4373526905
K00253	14.7772573925
K00254	159.203351457409
K00259	28.5601074771071
K00260	21.4635431666905
K00261	95.3754203490853
K00262	54.7568911632175
K00263	1.25
K00264	19.6391621544048
K00265	19.6391621544048
K00266	19.6391621544048
K00271	1
K00273	11.4373526905
K00274	0
K00275	40.2174816513889
K00276	0
K00278	38.1320192972619
K00281	95.6460909607846
K00282	95.6460909607846
K00283	95.6460909607846
K00284	14.0087812619286
K00285	12.0087812619286
K00286	59.4629792831579
K00287	159.203351457409
K00288	159.203351457409
K00294	41.1137653290079
K00297	154.745263222115
K00299	0
K00301	13.4373526905
K00302	13.4373526905
K00303	13.4373526905
K00304	13.4373526905
K00305	13.4373526905
K00306	13.4373526905
K00318	39.3066224718651
K00319	0
K00320	0
K00322	9.83203847271746
K00323	9.83203847271746
K00324	9.83203847271746
K00325	9.83203847271746
K00329	59.8678179409913
K00357	62.2484130487176
K00360	23.8216720676746
K00361	16.9421145952619
K00362	16.9421145952619
K00364	42.3722363534274
K00365	0
K00366	0
K00368	0.222222222222222
K00370	23.8216720676746
K00371	23.8216720676746
K00372	23.8216720676746
K00374	23.8216720676746
K00376	0
K00380	16.0761648263175
K00381	16.0761648263175
K00382	157.807763222115
K00383	26.9174816513889
K00384	159.203351457409
K00385	16.0761648263175
K00390	17.7016384047857
K00392	4
K00394	0
K00395	0
K00399	0
K00401	0
K00402	0
K00411	0
K00432	15.2587812619286
K00436	0
K00440	0
K00441	0
K00442	0
K00443	0
K00448	11.4373526905
K00449	11.4373526905
K00451	12.4373526905
K00453	11.4373526905
K00455	11.4373526905
K00457	12.4373526905
K00463	11.4373526905
K00466	0
K00472	0
K00480	3
K00483	11.4373526905
K00484	11.4373526905
K00491	0
K00500	11.4373526905
K00518	92.5354300376533
K00522	57.5380796000306
K00524	157.890851457409
K00525	157.890851457409
K00526	157.890851457409
K00527	82.3209289647943
K00528	42.0248759853524
K00529	1
K00531	0
K00540	0
K00547	0.222222222222222
K00548	1.25
K00549	87.3050822059234
K00560	157.442287031638
K00568	19.5174816513889
K00577	0
K00578	0
K00579	0
K00580	0
K00581	0
K00582	0
K00583	0
K00584	0
K00589	1.19047619047619
K00591	12.5047362548889
K00593	16.1748526905
K00595	14.0528288809762
K00598	3
K00599	90.993908421102
K00600	61.4282103755949
K00601	159.075275219009
K00602	159.075275219009
K00603	94.3005560880734
K00605	96.2175195322131
K00606	95.7553179928353
K00607	15.4160695283175
K00608	153.22322249652
K00609	153.22322249652
K00610	153.22322249652
K00611	61.1920459019008
K00615	97.9634062281295
K00616	92.4257467395223
K00618	27.8042415194841
K00620	30.9644963060913
K00625	142.763022576433
K00626	28.196479674627
K00627	50.2896411999008
K00629	157.890851457409
K00632	28.196479674627
K00634	0
K00639	13.9373526905
K00640	153.557763222115
K00641	57.6270292105317
K00643	0
K00645	152.985370517009
K00647	158.703351457409
K00648	158.703351457409
K00651	23.0706860238333
K00652	17.0011648263175
K00655	159.203351457409
K00656	81.0709289647943
K00657	14.70475033425
K00658	0
K00661	22.9903878668929
K00665	156.575275219009
K00667	156.575275219009
K00668	156.235370517009
K00672	0
K00673	0
K00674	49.6841720676746
K00677	47.8953365413687
K00681	22.6838283064
K00688	1.25785975486508
K00690	0
K00691	4.30787383422619
K00697	16.0373526905
K00703	0.19047619047619
K00705	85.1755551305682
K00713	46.853319734646
K00748	47.8953365413687
K00756	124.378572805829
K00757	124.378572805829
K00758	123.066072805829
K00759	159.203351457409
K00760	159.203351457409
K00761	93.4303179928353
K00762	158.63192288598
K00763	158.409700663758
K00764	158.650275219009
K00765	32.3253482398021
K00766	56.7246245085317
K00767	84.5042556506893
K00768	96.7999608499782
K00769	137.668477507829
K00772	1
K00777	22.6259174483365
K00787	159.203351457409
K00788	59.273188934302
K00790	159.203351457409
K00793	60.060688934302
K00794	57.560688934302
K00795	159.203351457409
K00796	64.1657103755949
K00797	18.3706860238333
K00798	96.8023418023592
K00800	63.9335675184521
K00804	159.203351457409
K00805	88.1308131830068
K00806	94.4934132309306
K00810	20.3016384047857
K00811	159.203351457409
K00812	159.203351457409
K00813	159.203351457409
K00814	2.06738356438889
K00815	97.9634062281295
K00817	97.9634062281295
K00818	31.4323177578841
K00819	16.0373526905
K00820	159.203351457409
K00821	52.5448177578841
K00822	11.4373526905
K00823	12.4373526905
K00824	11.4373526905
K00826	158.028351457409
K00827	12.8778288809762
K00830	12.8778288809762
K00831	58.2047603029687
K00832	159.203351457409
K00833	36.0511648263175
K00835	0
K00838	97.9634062281295
K00840	11.4373526905
K00841	32.8548387096774
K00844	86.5836440249068
K00845	77.4494937459274
K00848	1.82222222222222
K00849	23.928467044146
K00850	138.361334650686
K00851	25.9620386006389
K00852	33.0471219571936
K00853	4.0405762384
K00855	7.49752660463889
K00856	74.5005560880734
K00857	55.2732986955734
K00858	159.203351457409
K00859	139.403351457409
K00860	13.6302098333571
K00861	159.203351457409
K00863	1.97323758056667
K00864	68.6519963579353
K00865	67.1293773103163
K00867	159.203351457409
K00868	94.8035322785496
K00869	31.732971981896
K00872	94.7085085843795
K00873	138.83192288598
K00875	20.2033216349
K00876	156.232763222115
K00877	57.7402007469317
K00878	19.4246501584048
K00879	0.222222222222222
K00882	122.243624817329
K00883	11.4373526905
K00884	0
K00885	6.18800279511508
K00891	95.7728299897295
K00892	0
K00893	74.5005560880734
K00895	6.22095713087619
K00899	0
K00901	111.915300714894
K00904	54.9202676385774
K00912	47.8953365413687
K00917	138.361334650686
K00919	61.3983127318449
K00925	142.953498766909
K00926	3.339904702
K00927	159.203351457409
K00928	0
K00929	0.19047619047619
K00930	28.8042415194841
K00931	32.2560624700675
K00932	142.953498766909
K00938	10
K00939	159.010494314552
K00940	88.3751752510461
K00941	57.7402007469317
K00942	159.203351457409
K00943	159.203351457409
K00944	36.6795459019008
K00945	159.203351457409
K00948	159.203351457409
K00949	135.677803182429
K00950	62.6483127318449
K00951	159.203351457409
K00952	159.203351457409
K00953	159.203351457409
K00954	97.9634062281295
K00955	16.9238606270079
K00956	16.7310034841508
K00957	16.7310034841508
K00958	16.7310034841508
K00963	96.9634062281295
K00964	17.0355098533651
K00966	2
K00969	159.203351457409
K00971	20.6511669642333
K00972	157.703351457409
K00973	60.5201221403008
K00975	25.2434837355151
K00978	0
K00979	95.7675728947961
K00980	60.9524461867846
K00981	159.203351457409
K00983	10.3778247615794
K00991	51.591169874702
K00995	159.203351457409
K00997	157.216843520901
K00998	95.9604300376533
K01000	159.203351457409
K01005	158.732763222115
K01006	6.47095713087619
K01007	33.2492574524048
K01008	20.3285460771592
K01011	5.48012896088889
K01012	45.9374746485878
K01027	0.615476190476191
K01028	0.615476190476191
K01029	0.615476190476191
K01034	0.615476190476191
K01035	0.615476190476191
K01047	0
K01048	31.6748997349714
K01053	2.22222222222222
K01055	15.0087812619286
K01057	90.0450751476734
K01069	118.162798462017
K01077	26.3524320555794
K01078	23.6024320555794
K01079	60.6273793505878
K01080	0.25
K01081	42.1780508869878
K01082	28.2797932593246
K01085	0
K01086	95.1829252877295
K01087	16.0373526905
K01089	55.1253482398021
K01091	45.4473673536936
K01092	84.582079957502
K01093	23.6024320555794
K01094	96.6509062281295
K01101	23.6024320555794
K01112	41.8174816513889
K01113	26.3524320555794
K01119	26.1079578418651
K01126	72.5499608499782
K01129	17.5679809404
K01133	12.4373526905
K01139	40.2594984581116
K01176	2.14285714285714
K01182	5.87093338125714
K01187	11.1135294377056
K01188	15.2452265247262
K01189	3.0679809404
K01190	6.63536450478889
K01193	25.147593397746
K01194	11.4373526905
K01203	5.87093338125714
K01207	7.16738356438889
K01209	1.6
K01220	9
K01221	11.8507309770833
K01222	11.8507309770833
K01223	11.8507309770833
K01226	12.1784946755
K01232	12.1784946755
K01239	31.1873526905
K01241	13.4373526905
K01243	151.792186983715
K01244	151.792186983715
K01251	21.5087812619286
K01252	18.6278288809762
K01255	159.203351457409
K01256	159.203351457409
K01270	159.203351457409
K01271	159.203351457409
K01424	152.280227476759
K01425	21.3855907258333
K01426	14.4373526905
K01427	15.6595749127222
K01428	15.6595749127222
K01429	15.6595749127222
K01430	15.6595749127222
K01431	11.4373526905
K01432	11.4373526905
K01433	18.9219235444952
K01436	0
K01438	28.7429082460556
K01439	47.8442673656746
K01440	148.326308046047
K01443	64.4557774919425
K01446	0.19047619047619
K01447	0.19047619047619
K01448	0.19047619047619
K01449	0.19047619047619
K01457	25.9921145952619
K01458	11.4373526905
K01460	0.845161342166667
K01464	16.6278288809762
K01465	92.4832772672406
K01466	3
K01468	15.0373526905
K01476	1.6
K01477	11.4373526905
K01478	5.839904702
K01479	94.9367655639592
K01480	13.3206860238333
K01482	14.1272573925
K01484	16.7772573925
K01485	20.9174816513889
K01486	9.38333333333333
K01487	26.7846360365548
K01488	17.7846360365548
K01489	95.1838894214068
K01491	159.203351457409
K01492	159.075275219009
K01493	99.65311727229
K01494	51.9774793985116
K01495	64.358567518452
K01496	32.6824910969449
K01497	52.373188934302
K01498	60.060688934302
K01499	0
K01507	158.028351457409
K01509	0
K01510	0
K01512	18.147593397746
K01513	0.222222222222222
K01514	0
K01515	157.232763222115
K01517	157.232763222115
K01518	18.9416410167936
K01519	157.227406079257
K01520	157.227406079257
K01521	0
K01523	32.6824910969449
K01524	0
K01525	17.4889102228175
K01529	31.4595749127222
K01533	0
K01553	0
K01556	11.4373526905
K01568	92.5678179928353
K01571	12.8173835643889
K01572	12.8173835643889
K01573	12.8173835643889
K01575	11.6602547866071
K01579	41.2196193451857
K01580	41.2196193451857
K01581	91.4050822059234
K01582	15.9662742591275
K01583	17.4662742591275
K01584	17.4662742591275
K01585	17.4662742591275
K01586	93.0530276439795
K01587	159.203351457409
K01591	159.203351457409
K01595	1.06738356438889
K01596	94.871984659502
K01597	10.5
K01598	157.203351457409
K01599	45.9348720493259
K01607	12.0087812619286
K01608	11.4373526905
K01609	57.5351174458259
K01610	1.72058823529412
K01611	11.4373526905
K01613	95.9604300376533
K01619	110.010862972472
K01620	15.5373526905
K01621	1
K01622	97.9634062281295
K01623	97.9634062281295
K01624	97.9634062281295
K01625	35.3525147911151
K01626	97.2134062281295
K01627	40.6844984581116
K01628	11.6595749127222
K01629	2.6
K01630	11.4373526905
K01631	51.067641139996
K01632	1
K01633	52.7251341371949
K01635	1.53038089247619
K01637	15.0087812619286
K01638	15.0087812619286
K01639	7.67060515136508
K01640	15.4373526905
K01641	10
K01643	18.8503711755238
K01644	18.8503711755238
K01646	18.8503711755238
K01647	59.1926054489317
K01649	49.2550054010079
K01652	92.5678179928353
K01653	92.5678179928353
K01654	13.7428571428571
K01655	0.19047619047619
K01656	56.7246245085317
K01657	56.7246245085317
K01658	56.7246245085317
K01659	14.6087812619286
K01661	30.6336768775032
K01662	50.358567518452
K01663	25.3547600045079
K01664	58.4428317914449
K01665	58.4428317914449
K01666	13.4373526905
K01670	0.808333333333333
K01672	58.0327364934449
K01673	58.0327364934449
K01674	58.0327364934449
K01676	54.916169874702
K01677	54.916169874702
K01678	54.916169874702
K01679	54.916169874702
K01680	23.2725955356619
K01681	23.2725955356619
K01682	24.2725955356619
K01684	0
K01685	1.19047619047619
K01686	1.1280762384
K01687	47.6835768295794
K01689	97.9634062281295
K01690	31.2373526905
K01692	27.0238606270079
K01693	30.6824910969449
K01694	59.4756936842259
K01695	0
K01696	0
K01697	5.5
K01698	46.1253482398021
K01699	0
K01702	49.2550054010079
K01703	49.2550054010079
K01704	49.2550054010079
K01706	11.4373526905
K01707	0.6
K01708	55.695717378396
K01709	14.4373526905
K01710	61.1951221403008
K01711	13.4373526905
K01712	15.0373526905
K01713	59.6356889343021
K01714	1.19047619047619
K01715	26.8310034841508
K01716	157.390851457409
K01718	159.203351457409
K01719	36.2503482398021
K01720	23.0373526905
K01724	14.4373526905
K01725	13.4373526905
K01733	94.4223441106853
K01734	28.3008149847222
K01735	97.2134062281295
K01736	97.2134062281295
K01737	1
K01738	155.557763222115
K01739	87.6098441106853
K01740	155.557763222115
K01744	61.9733127318449
K01745	14.9373526905
K01746	13.1904761904762
