function.	skin_17
K00001	52.05
K00002	0
K00003	60.07
K00004	12.68
K00005	6.97
K00007	0.25
K00008	79.07
K00009	41.33
K00010	14.03
K00011	0
K00012	15.82
K00013	48.62
K00014	63.26
K00015	0.33
K00016	109.76
K00018	4.14
K00019	7.96
K00020	15.75
K00021	0
K00023	2.23
K00024	21.83
K00025	0
K00027	57.44
K00028	0.34
K00029	6.11
K00030	0.4
K00031	58.19
K00032	0.2
K00033	61.59
K00034	5.7
K00035	0.33
K00036	56.51
K00038	1
K00039	0.33
K00040	1.64
K00041	1.31
K00042	2.56
K00043	0.33
K00045	0.73
K00046	7.21
K00048	3.28
K00050	0.98
K00052	60.09
K00053	59.28
K00054	49.28
K00055	0
K00057	61.63
K00058	71.12
K00059	152.7
K00060	0.25
K00064	0
K00065	6.61
K00066	0.63
K00067	11.52
K00068	1.84
K00073	0.48
K00074	13.45
K00075	63.81
K00076	0.69
K00077	127.54
K00078	0
K00082	0
K00086	0.23
K00087	0.12
K00088	74.59
K00090	0.45
K00091	0.2
K00094	0
K00096	7.58
K00097	11.52
K00098	0.33
K00099	13.78
K00100	12.85
K00101	4.58
K00102	1.59
K00104	2.58
K00105	2.08
K00106	0
K00108	51.07
K00111	61.93
K00112	5.78
K00113	5.78
K00114	0
K00116	94.24
K00117	0.65
K00118	0
K00121	9.55
K00122	40.12
K00123	50.23
K00124	3.51
K00126	1.77
K00127	3.26
K00128	147.45
K00130	51.93
K00131	3.53
K00132	0.22
K00133	62.67
K00134	108.74
K00135	16.77
K00137	0.4
K00138	2.77
K00140	10.07
K00141	0.25
K00145	52.21
K00146	0.65
K00147	16.26
K00148	0.53
K00150	0.5
K00151	1.24
K00153	0
K00154	0.78
K00156	2.17
K00158	52.02
K00161	67.81
K00162	67.81
K00163	8.35
K00164	52.46
K00166	45.55
K00167	45.55
K00169	0.02
K00170	0.02
K00171	0.02
K00172	0.02
K00174	56.46
K00175	56.46
K00176	3.57
K00177	3.67
K00179	4.4
K00180	3.74
K00184	0.1
K00185	0
K00194	0.16
K00196	0.49
K00197	0.16
K00198	1.24
K00200	0
K00201	0
K00202	0
K00208	60.51
K00209	0.11
K00210	1.3
K00214	0
K00215	62.53
K00216	0.33
K00217	0
K00218	0
K00219	0.78
K00220	0.33
K00221	0
K00226	60.8
K00227	0
K00228	1.77
K00230	0.37
K00231	51.41
K00232	0
K00239	60.06
K00240	61.05
K00241	60.39
K00242	2.1
K00243	52.27
K00244	8.45
K00245	0.17
K00246	0.17
K00247	0.17
K00248	2.68
K00249	8.95
K00252	38.13
K00253	1.77
K00254	8.08
K00255	0
K00256	0.25
K00257	47.54
K00259	97.11
K00260	46.4
K00261	1.9
K00262	16.68
K00263	4.73
K00265	53.83
K00266	61.65
K00270	0
K00271	0
K00273	0
K00274	5.92
K00275	3.79
K00276	0
K00278	16.54
K00280	0
K00281	9.29
K00282	47.31
K00283	47.31
K00284	1
K00285	13.83
K00286	64.52
K00287	62.1
K00288	0
K00290	5.84
K00293	0
K00294	45.41
K00297	14.88
K00298	0.12
K00299	45.41
K00301	0.2
K00302	1.19
K00303	2.71
K00304	1.19
K00305	1.19
K00311	1.77
K00313	5.5
K00314	0
K00315	0.33
K00316	0
K00317	0
K00318	45.16
K00320	0
K00322	0.2
K00324	9.38
K00325	7.69
K00326	0
K00329	0
K00330	9.15
K00331	9.15
K00332	7.07
K00333	7.07
K00334	8.64
K00335	8.64
K00336	9.53
K00337	9.15
K00338	9.15
K00339	9.15
K00340	9.31
K00341	9.15
K00342	9.15
K00343	9.15
K00344	4.29
K00346	2.44
K00347	2.44
K00348	2.44
K00349	2.44
K00350	2.44
K00351	2.44
K00354	0.1
K00355	0.45
K00356	1.98
K00360	0
K00362	47.57
K00363	46.46
K00364	48.91
K00365	0
K00366	0.72
K00367	0
K00368	5.5
K00370	45.6
K00371	51.1
K00372	0.99
K00373	16.95
K00374	51.1
K00375	63.87
K00376	0.33
K00380	47.95
K00381	12.38
K00382	132.47
K00383	9.74
K00384	155.72
K00385	0.72
K00387	0
K00389	0.66
K00390	18.38
K00392	5.5
K00394	0.1
K00395	0.1
K00404	2.63
K00405	1.97
K00406	1.97
K00407	1.97
K00410	0
K00411	1.77
K00412	1.77
K00413	1.77
K00423	0
K00425	52.46
K00426	57.43
K00427	0.25
K00428	2.45
K00432	86.43
K00433	1.74
K00435	0
K00436	0
K00441	0
K00446	0
K00448	0.53
K00449	0.53
K00450	2.24
K00451	1.85
K00452	0
K00453	1.49
K00455	0.33
K00456	0
K00457	1.97
K00459	48.81
K00462	0
K00464	0
K00466	0.2
K00467	0
K00471	0.2
K00472	0.25
K00476	0
K00477	0.99
K00479	1.19
K00480	4.06
K00481	0.78
K00483	0.25
K00484	0.17
K00486	0
K00491	45.02
K00493	0
K00496	0.33
K00499	0
K00500	0.45
K00504	0
K00505	0.33
K00507	1.24
K00508	0
K00510	0.11
K00514	0
K00517	5.5
K00518	0
K00520	0
K00523	2.43
K00525	64.64
K00526	54.53
K00527	58.43
K00528	8.34
K00529	4.08
K00531	0
K00532	0.55
K00533	0.47
K00534	0.33
K00537	57.91
K00543	0
K00544	0
K00547	48.46
K00548	14.57
K00549	50.82
K00554	62.81
K00556	0
K00557	0.4
K00558	16.45
K00560	63.01
K00561	0.9
K00563	10.64
K00564	45.46
K00566	66.19
K00567	67.04
K00568	1.94
K00569	1.19
K00570	0.33
K00571	55.39
K00573	4
K00574	4.49
K00575	5.02
K00577	0
K00584	0
