reactions	skin_19
K00001	33.5084526854043
K00003	22.6927020797566
K00004	12.2414285714286
K00005	2.615
K00006	35.1954610887656
K00007	2.99
K00008	2.99
K00009	3.03801587301587
K00010	7.2595
K00011	34.7459169711186
K00012	15.2708134920635
K00013	8.45982189542484
K00014	22.7147020797566
K00015	9.8218253968254
K00016	29.72148839969
K00018	9.8218253968254
K00019	2.6752380952381
K00020	8.34720634920635
K00021	0
K00022	8.34720634920635
K00024	6.99408380018674
K00025	6.99408380018674
K00026	6.99408380018674
K00027	0.882202380952381
K00028	0.882202380952381
K00029	10.9903338001867
K00030	2.4302380952381
K00031	11.5251785714286
K00033	21.4877412954429
K00034	0
K00036	20.7164912954429
K00039	0
K00040	4.022
K00041	0.5
K00042	3.40716666666667
K00043	0.0152380952380952
K00045	2.99
K00046	3.075
K00048	0.0377777777777778
K00049	9.8218253968254
K00050	9.8218253968254
K00052	12.8572063492064
K00053	15.4187504668534
K00054	2.705
K00057	35.1954610887656
K00058	10.6143218954248
K00059	35.8837110887656
K00060	3.1752380952381
K00066	0
K00067	16.8567420634921
K00068	3.5277380952381
K00073	0
K00074	0
K00075	35.8837110887656
K00077	20.4812735083281
K00082	15.5575004668534
K00086	0
K00087	3.3452380952381
K00088	35.8837110887656
K00090	0
K00094	0.0152380952380952
K00096	35.1954610887656
K00097	8.84071428571429
K00098	3.075
K00099	13.2607504668534
K00100	1.26027777777778
K00101	29.72148839969
K00102	8.51634920634921
K00103	0.67
K00104	2.6752380952381
K00105	2.25
K00106	3.3452380952381
K00110	2.86599206349206
K00111	0
K00112	0
K00113	0
K00116	6.26920634920635
K00121	33.5084526854043
K00122	4.95134920634921
K00123	0
K00125	0
K00126	0
K00128	21.8811579621096
K00130	3.33
K00132	3.40384920634921
K00133	22.5277020797566
K00134	30.9337110887656
K00135	10.4064285714286
K00137	21.8811579621096
K00139	9.08
K00140	4.33533333333333
K00145	8.03994444444445
K00146	2.66
K00147	9.5905753968254
K00149	21.8811579621096
K00150	35.8837110887656
K00151	3.16
K00156	4.285
K00158	2.355
K00160	15.184503968254
K00161	21.2869079621096
K00162	21.2869079621096
K00163	21.2869079621096
K00164	11.8837896825397
K00165	3.80621428571429
K00166	3.80621428571429
K00167	3.80621428571429
K00169	2.51928221288515
K00170	2.51928221288515
K00171	2.51928221288515
K00172	2.51928221288515
K00174	1.32678221288515
K00175	1.32678221288515
K00176	1.32678221288515
K00177	1.32678221288515
K00179	0
K00199	0
K00207	0.0152380952380952
K00208	21.9844639845185
K00209	10.8733571428571
K00210	17.9625235083281
K00211	17.9625235083281
K00215	1.0152380952381
K00216	0
K00220	21.1489520797566
K00226	3.8077380952381
K00228	7.14464285714286
K00229	0.181111111111111
K00231	2.79264285714286
K00238	13.9155123716153
K00239	16.1655123716153
K00240	16.1655123716153
K00241	16.1655123716153
K00242	16.1655123716153
K00244	16.1655123716153
K00245	16.1655123716153
K00246	16.1655123716153
K00247	16.1655123716153
K00248	12.3610952380952
K00249	5.18071428571429
K00252	6.91
K00253	3.945
K00254	35.8837110887656
K00259	8.15746428571429
K00260	5.96538095238095
K00261	22.0244079621096
K00262	13.8863253968254
K00263	0.535
K00264	5.86095238095238
K00265	5.86095238095238
K00266	5.86095238095238
K00271	0.5
K00273	2.66
K00274	0
K00275	9.82361111111111
K00276	0
K00278	10.1671666666667
K00281	22.3339158986175
K00282	22.3339158986175
K00283	22.3339158986175
K00284	3.76571428571429
K00285	2.76571428571429
K00286	15.4354563492064
K00287	35.8837110887656
K00288	35.8837110887656
K00294	11.3799206349206
K00297	34.1221669711186
K00299	0
K00301	3.33
K00302	3.33
K00303	3.33
K00304	3.33
K00305	3.33
K00306	3.33
K00318	10.4011349206349
K00319	0
K00320	0
K00322	2.4975753968254
K00323	2.4975753968254
K00324	2.4975753968254
K00325	2.4975753968254
K00329	15.882123015873
K00357	13.12178541309
K00360	6.01575396825397
K00361	4.46238095238095
K00362	4.46238095238095
K00364	8.11645161290322
K00365	0
K00366	0
K00368	0.0377777777777778
K00370	6.01575396825397
K00371	6.01575396825397
K00372	6.01575396825397
K00374	6.01575396825397
K00376	0
K00380	3.9468253968254
K00381	3.9468253968254
K00382	35.4784169711186
K00383	6.32861111111111
K00384	35.8837110887656
K00385	3.9468253968254
K00390	5.08192857142857
K00392	1.67
K00394	0
K00395	0
K00399	0
K00401	0
K00402	0
K00411	0
K00432	4.13071428571429
K00436	0
K00440	0
K00441	0
K00442	0
K00443	0
K00448	2.66
K00449	2.66
K00451	3.16
K00453	2.66
K00455	2.66
K00457	3.16
K00463	2.66
K00466	0
K00472	0
K00480	1.17
K00483	2.66
K00484	2.66
K00491	0
K00500	2.66
K00518	21.2707139845185
K00522	12.7277055811572
K00524	35.2274610887656
K00525	35.2274610887656
K00526	35.2274610887656
K00527	18.0023582153582
K00528	10.9624761904762
K00529	0.5
K00531	0
K00540	0
K00547	0.0377777777777778
K00548	0.365
K00549	19.5089912954429
K00560	35.2481788758805
K00568	4.70861111111111
K00577	0
K00578	0
K00579	0
K00580	0
K00581	0
K00582	0
K00583	0
K00584	0
K00589	0.345238095238095
K00591	2.84111111111111
K00593	4.57125
K00595	3.4302380952381
K00598	1.17
K00599	20.6897055811572
K00600	15.8607861811391
K00601	35.8517110887656
