reactions	skin_14
K00001	41.081715836934
K00003	43.2765710297174
K00004	0
K00005	0.424242424242424
K00006	43.8897467053931
K00007	0
K00008	0
K00009	0
K00010	0.3
K00011	44.644215836934
K00012	5.6481083773515
K00013	6.08928484793973
K00014	42.8799061143674
K00015	0.55
K00016	43.2030393663458
K00018	0.55
K00019	0.333333333333333
K00020	0.333333333333333
K00021	0.333333333333333
K00022	0.333333333333333
K00024	5.30719928644241
K00025	5.30719928644241
K00026	5.30719928644241
K00027	3.0625
K00028	3.0625
K00029	3.27678484793973
K00030	0
K00031	5.16831039755352
K00033	39.3383064516129
K00034	0.0909090909090909
K00036	35.9758064516129
K00039	0
K00040	0.390909090909091
K00041	0.0909090909090909
K00042	0.424242424242424
K00043	0
K00045	0
K00046	0.333333333333333
K00048	0
K00049	0.55
K00050	0.55
K00052	4.59159966275455
K00053	7.65409966275455
K00054	0
K00057	43.8897467053931
K00058	8.05076457810454
K00059	46.9522467053931
K00060	0
K00066	0
K00067	6.23312521236833
K00068	0.333333333333333
K00073	0
K00074	0
K00075	46.9522467053931
K00077	42.3799061143674
K00082	2.8356083773515
K00086	0
K00087	0.814814814814815
K00088	46.9522467053931
K00090	0
K00094	0
K00096	43.8897467053931
K00097	2.42062521236833
K00098	0
K00099	7.55076457810455
K00100	0.905723905723906
K00101	43.2030393663458
K00102	0.390909090909091
K00103	0
K00104	0.424242424242424
K00105	0
K00106	0.814814814814815
K00110	0.333333333333333
K00111	0
K00112	0
K00113	0
K00116	0.5
K00121	41.081715836934
K00122	0.972222222222222
K00123	0
K00125	0
K00126	0
K00128	36.4000488758553
K00130	0.333333333333333
K00132	0.905723905723906
K00133	43.2765710297174
K00134	46.9522467053931
K00135	0.333333333333333
K00137	36.4000488758553
K00139	0.333333333333333
K00140	0.333333333333333
K00145	3.84159966275455
K00146	0
K00147	8.05076457810454
K00149	36.4000488758553
K00150	46.9522467053931
K00151	0
K00156	0
K00158	0.333333333333333
K00160	4.14583333333333
K00161	42.8799061143674
K00162	42.8799061143674
K00163	42.8799061143674
K00164	3.64583333333333
K00165	0.333333333333333
K00166	0.333333333333333
K00167	0.333333333333333
K00169	5.99495418055103
K00170	5.99495418055103
K00171	5.99495418055103
K00172	5.99495418055103
K00174	4.72386595310907
K00175	4.72386595310907
K00176	4.72386595310907
K00177	4.72386595310907
K00179	0
K00199	0
K00207	0.0909090909090909
K00208	40.2350259400755
K00209	0.333333333333333
K00210	38.3762296437792
K00211	38.3762296437792
K00215	0
K00216	0
K00220	39.8174061143674
K00226	0
K00228	0.924242424242424
K00229	0
K00231	0.5
K00238	5.80719928644241
K00239	5.80719928644241
K00240	5.80719928644241
K00241	5.80719928644241
K00242	5.80719928644241
K00244	5.80719928644241
K00245	5.80719928644241
K00246	5.80719928644241
K00247	5.80719928644241
K00248	0.333333333333333
K00249	0.333333333333333
K00252	0.333333333333333
K00253	0.333333333333333
K00254	46.5555817900431
K00259	3.3625
K00260	1.60581039755352
K00261	43.2765710297174
K00262	4.59937568921566
K00263	0
K00264	2.86912259853436
K00265	2.86912259853436
K00266	2.86912259853436
K00271	0
K00273	0
K00274	0
K00275	0.583333333333333
K00276	0
K00278	1.36338615512927
K00281	41.5498407548903
K00282	41.5498407548903
K00283	41.5498407548903
K00284	0.333333333333333
K00285	0.333333333333333
K00286	7.07828751388436
K00287	45.0385931705847
K00288	46.9522467053931
K00294	0.633333333333333
K00297	43.1041929011542
K00299	0
K00301	0.333333333333333
K00302	0.333333333333333
K00303	0.333333333333333
K00304	0.333333333333333
K00305	0.333333333333333
K00306	0.333333333333333
