reactions	GI_12
K00001	22.2648880444655
K00003	19.4178561791689
K00004	0
K00005	2.23809523809524
K00006	25.4872376876867
K00007	0
K00008	1
K00009	2.23809523809524
K00010	0.142857142857143
K00011	22.7023880444655
K00012	5.76461154798311
K00013	17.3226180839308
K00014	19.4178561791689
K00015	0
K00016	9.20827039740667
K00018	0
K00019	0.142857142857143
K00020	5
K00021	0
K00022	5
K00024	4.56461154798311
K00025	4.56461154798311
K00026	4.56461154798311
K00027	1.00892857142857
K00028	1.00892857142857
K00029	16.4565466553594
K00030	0
K00031	6.028500436872
K00033	0.580357142857143
K00034	0
K00036	0.142857142857143
K00039	0
K00040	2.66666666666667
K00041	0.428571428571429
K00042	4.43809523809524
K00043	0
K00045	0
K00046	0.142857142857143
K00048	0.571428571428571
K00049	0
K00050	0
K00052	18.9803561791689
K00053	17.0845228458356
K00054	0
K00057	25.4872376876867
K00058	23.5914043543534
K00059	23.8294995924486
K00060	3.23809523809524
K00066	0
K00067	6.43127821464977
K00068	0.142857142857143
K00073	0.142857142857143
K00074	0
K00075	24.9247376876867
K00077	19.4178561791689
K00082	3.23187345274501
K00086	0
K00087	3.2952380952381
K00088	23.8294995924486
K00090	0.142857142857143
K00094	0.142857142857143
K00096	25.4872376876867
K00097	4.12711154798311
K00098	0.142857142857143
K00099	25.9247376876867
K00100	3.33333333333333
K00101	9.20827039740667
K00102	1.14285714285714
K00103	0
K00104	2.2
K00105	0
K00106	3.2952380952381
K00110	3.43809523809524
K00111	0
K00112	0
K00113	0
K00116	0
K00121	22.2648880444655
K00122	4.57142857142857
K00123	0
K00125	0
K00126	0
K00128	2.47619047619048
K00130	0
K00132	0.571428571428571
K00133	25.9247376876867
K00134	23.8294995924486
K00135	2.23809523809524
K00137	2.47619047619048
K00139	0.142857142857143
K00140	0.142857142857143
K00145	18.9803561791689
K00146	0
K00147	17.3226180839308
K00149	2.47619047619048
K00150	23.8294995924486
K00151	0.142857142857143
K00156	1.14285714285714
K00158	0
K00160	3.67559523809524
K00161	19.4178561791689
K00162	19.4178561791689
K00163	19.4178561791689
K00164	1.58035714285714
K00165	0
K00166	0
K00167	0
K00169	23.3432610603385
K00170	23.3432610603385
K00171	23.3432610603385
K00172	23.3432610603385
K00174	2.52651630988787
K00175	2.52651630988787
K00176	2.52651630988787
K00177	2.52651630988787
K00179	0
K00199	0
K00207	0
K00208	5.59992900830057
K00209	2.47619047619048
K00210	5.35290519877676
K00211	5.35290519877676
K00215	2.77142857142857
K00216	0.142857142857143
K00220	18.9803561791689
K00226	1.57142857142857
K00228	2.90476190476191
K00229	2.23809523809524
K00231	0
K00238	6.89794488131644
K00239	8.09794488131644
K00240	8.09794488131644
K00241	8.09794488131644
K00242	8.09794488131644
K00244	8.09794488131644
K00245	8.09794488131644
K00246	8.09794488131644
K00247	8.09794488131644
K00248	9.00886563550191
K00249	0.142857142857143
K00252	0
K00253	0
K00254	25.9247376876867
K00259	0.4375
K00260	0.629095674967235
K00261	17.7253958617086
K00262	17.2878958617086
K00263	0
K00264	24.5982213777988
K00265	24.5982213777988
K00266	24.5982213777988
K00271	0
K00273	0
K00274	0
K00275	1.14285714285714
K00276	0
K00278	5.16242900830057
K00281	7.69516710353866
K00282	7.69516710353866
K00283	7.69516710353866
K00284	0
K00285	0.142857142857143
K00286	22.9404832825607
K00287	12.54160373074
K00288	23.8294995924486
K00294	1.14285714285714
K00297	19.3831339569467
K00299	1.14285714285714
K00301	0
K00302	0
K00303	0
K00304	0
K00305	0
K00306	0
K00318	1.14285714285714
K00319	0
K00320	0
