function.	skin_19
K00001	70.92
K00002	0
K00003	91.7600000000001
K00004	20.22
K00005	42.37
K00007	5.32
K00008	39.97
K00009	24.24
K00010	20.4
K00011	0
K00012	42.09
K00013	48.77
K00014	116.93
K00015	3.18
K00016	112.78
K00018	13.87
K00019	28.33
K00020	48.77
K00021	0.86
K00023	14.19
K00024	32.37
K00025	0
K00027	51.4
K00028	7.34
K00029	34.53
K00030	0.66
K00031	66.56
K00032	0
K00033	72.62
K00034	5.77
K00035	1.02
K00036	77
K00038	1.51
K00039	0.37
K00040	5.5
K00041	1.2
K00042	14.11
K00043	2.4
K00045	2.09
K00046	35.72
K00048	3.67
K00050	5.62
K00052	75.4600000000001
K00053	80.1000000000001
K00054	64.47
K00055	0.2
K00057	100.4
K00058	90.8400000000001
K00059	241.03
K00060	6.85
K00064	3.62
K00065	6.41
K00066	0.12
K00067	73.09
K00068	5.52
K00073	0.53
K00074	28.38
K00075	100.18
K00076	1.22
K00077	106.79
K00078	0
K00082	0.33
K00086	0.01
K00087	0
K00088	117.9
K00090	6.3
K00091	9.77
K00094	0.52
K00096	3.01
K00097	26.08
K00098	3.29
K00099	34.74
K00100	33.06
K00101	28.12
K00102	12.81
K00104	17.1
K00105	29.56
K00106	0
K00108	41.81
K00111	48.68
K00112	7.66
K00113	7.66
K00114	0.6
K00116	51.75
K00117	1.93
K00118	0.02
K00121	32.37
K00122	18.39
K00123	60.64
K00124	22.96
K00126	7.83
K00127	22.5
K00128	101.53
K00130	40.34
K00131	36.5
K00132	0.2
K00133	99.9800000000001
K00134	132.19
K00135	67.76
K00137	3.75
K00138	12.79
K00140	31.26
K00141	6.33
K00145	57.33
K00146	13.02
K00147	74.2500000000001
K00148	6.65
K00150	1
K00151	7.67
K00153	4.35
K00154	9.46
K00156	13.54
K00158	37.23
K00161	85.0900000000001
K00162	85.2900000000001
K00163	38.92
K00164	48.5
K00166	23.59
K00167	23.59
K00169	2.98
K00170	2.98
K00171	2.75
K00172	2.98
K00174	23.16
K00175	23.16
K00176	2.16
K00177	2.66
K00179	1.75
K00180	1.75
K00184	0.25
K00185	0.25
K00194	0.08
K00196	0.08
K00197	0.08
K00198	0.66
K00200	0
K00201	0
K00202	0
K00208	49.51
K00209	7.72
K00210	8.54
K00214	0
K00215	94.3200000000001
K00216	2.17
K00217	0.37
K00218	1.61
K00219	13.33
K00220	1.02
K00221	0
K00226	68.61
K00227	0
K00228	9.16
K00230	5.64
K00231	26.76
K00232	2.95
K00239	48.33
K00240	53.19
K00241	46.99
K00242	21.36
K00243	67.06
K00244	38.44
K00245	6.66
K00246	6.66
K00247	6.33
K00248	5.95
K00249	54.53
K00252	35.66
K00253	8.95
K00254	32.8
K00255	1.64
K00256	2.35
K00257	79.54
K00259	83.18
K00260	29.1
K00261	9.88
K00262	68.79
K00263	2.29
K00265	34.96
K00266	41.25
K00270	0
K00271	0.67
K00273	0.2
K00274	3.97
K00275	25.61
K00276	0.32
K00278	24.8
K00280	0
K00281	24.31
K00282	21.25
K00283	21.25
K00284	3.57
K00285	48.41
K00286	96.0600000000001
K00287	100.22
K00288	0.67
K00290	15.71
K00293	0.12
K00294	20.25
K00297	60.78
K00298	0.33
K00299	33.55
K00301	1.06
K00302	6.88
K00303	9.1
K00304	6.88
K00305	6.88
K00311	18.58
K00313	2.58
K00314	0
K00315	2.12
K00316	1.87
K00317	0.52
K00318	21.87
K00320	0
K00322	0.48
K00324	38.42
K00325	28.54
K00326	0
K00329	0.52
K00330	21.13
K00331	22.9
K00332	20.53
K00333	20.53
K00334	26.98
K00335	24.61
K00336	24.87
K00337	21.57
K00338	20.9
K00339	20.9
K00340	20.9
K00341	20.9
K00342	22.85
K00343	20.9
K00344	41.08
K00346	16.45
K00347	20.17
K00348	19.87
K00349	19.87
K00350	19.87
K00351	19.87
K00354	0.23
K00355	16.5
K00356	8.61
K00360	0
K00362	36.06
K00363	33.37
K00364	54.63
K00365	0.33
K00366	0.08
K00367	0
K00368	23
K00370	30.66
K00371	31.95
K00372	7.73
K00373	18.28
K00374	31.95
K00375	81.07
K00376	6.37
K00380	42.3
K00381	25.74
K00382	171.17
K00383	63.21
K00384	192.14
K00385	0.28
K00387	0.01
K00389	2.46
K00390	23.98
K00392	4.16
K00394	0
K00395	0
K00404	12.51
K00405	12.39
K00406	11.17
K00407	10.96
K00410	0
K00411	17.96
K00412	17.16
K00413	17.16
K00423	0
K00425	59.32
K00426	60.61
K00427	0.32
K00428	22.09
K00432	84.4300000000001
K00433	24
K00435	3.61
K00436	0.23
K00441	0.4
K00446	2.37
K00448	7.93
K00449	8.13
K00450	2.24
K00451	9.13
K00452	0.98
K00453	7.95
K00455	5.79
K00456	0
K00457	17.73
K00459	62.33
K00462	0
K00464	0
K00466	0.43
K00467	0
K00471	2.97
K00472	3.13
K00476	5.49
K00477	7.45
K00479	6.84
K00480	4.6
K00481	8.92
K00483	1.56
K00484	14.78
K00486	0
K00491	17.12
K00493	0.43
K00496	6.68
K00499	5.92
K00500	8.06
K00504	0.4
K00505	3.75
K00507	17.28
K00508	4.58
K00510	4.28
K00514	0
K00517	9.38
K00518	0
K00520	1.85
K00523	19.24
K00525	121.68
K00526	108.86
K00527	92.83
K00528	42.62
K00529	12.18
K00531	0
K00532	0.08
K00533	0
K00534	0.12
K00537	104.12
K00543	3.55
K00544	0
K00547	41.18
K00548	26.79
K00549	93.8200000000001
K00554	101.68
K00556	0.36
K00557	15.82
K00558	113.86
K00560	104.54
K00561	3.84
K00563	37.52
K00564	71.1100000000001
K00566	100
K00567	104.67
K00568	23.2
K00569	0.28
K00570	0.12
K00571	114.34
K00573	26
K00574	31.24
K00575	15.7
K00577	0
K00584	0
K00587	0
K00588	0.48
K00590	0.62
K00594	1.16
K00595	9.57
K00596	1.35
K00598	7.11
K00600	106.63
K00602	99.7400000000001
K00603	3.44
K00604	110.69
K00605	46.61
K00606	41.37
K00608	0
K00609	99.8300000000001
K00610	14.08
K00611	112.31
K00612	9.76
K00613	0.23
K00615	160.51
K00616	85.8200000000001
K00619	4.28
K00620	48.89
K00621	0
K00624	0.25
K00625	75.3500000000001
K00626	132.46
K00627	109.73
K00631	8.14
K00632	29.86
K00633	0.51
K00634	4.71
K00635	0.37
K00638	0.59
K00639	29.67
K00640	114.73
K00641	48.19
K00643	2.34
K00645	104.24
K00646	4.23
K00647	17.27
K00648	112.33
K00651	34.45
K00652	40.39
K00655	128.84
K00656	107.71
K00657	38.05
K00658	49.96
K00661	50.36
K00662	1.49
K00663	0
K00666	75.29
K00672	0
K00673	12
K00674	81.9900000000001
K00675	7.94
K00677	25.2
K00680	59.79
K00681	64.9
K00683	0.83
K00684	19.95
K00685	9.28
K00686	0.11
K00687	56.43
K00688	80.2800000000001
K00689	11.83
K00690	18.09
K00691	10.25
K00692	5.9
K00693	0
K00694	14.81
K00695	0
K00696	0.01
K00697	19.7
K00698	0
K00700	65.58
K00701	0
K00702	0
K00703	53.13
K00705	73.2100000000001
K00709	0
K00712	34.55
K00713	0
K00720	11.79
K00721	14.26
K00728	0
K00737	0.37
K00745	0.2
K00748	25.2
K00752	1.81
K00754	58.47
K00756	71.09
K00757	23.14
K00758	11.99
K00759	99.9100000000001
K00760	104.04
K00761	102.6
K00762	101.23
K00763	98.0100000000001
K00764	100.09
K00765	48.77
K00766	73.4
K00767	40.58
K00768	14.09
K00769	8.49
K00772	1.56
K00773	100.52
K00782	34.75
K00783	92.7300000000001
K00784	65.5
K00785	12.35
K00786	7.78
K00788	90.52
K00789	110.58
K00790	168.67
K00791	102.43
K00793	67.16
K00794	68.88
K00795	23.42
K00796	98.4600000000001
K00797	37.04
K00798	16.69
K00799	85.15
K00800	104.08
K00801	7.07
K00803	4.35
K00805	45.5
K00806	100.89
K00808	0
K00809	0.75
K00812	9.91
K00813	14.58
K00817	93.84
K00818	19.87
K00819	32.03
K00820	116.44
K00821	26.85
K00822	12.6
K00823	26.69
K00824	26.36
K00826	106.73
K00830	3.28
K00831	62.97
