KO	oral_17
K00001	0.000482761372793326
K00002	0.000112740896364502
K00003	0.000392301902369409
K00004	9.0519088353074e-05
K00005	0.000336451197243235
K00007	2.37369100707812e-06
K00008	0.000119098394162997
K00009	0.000123573977195548
K00010	0.000147093104499897
K00012	0.000639885902770241
K00013	0.000149961655276532
K00014	0.000618373122941445
K00015	9.68305689508711e-05
K00016	0.000604462968380387
K00018	9.1731964110673e-05
K00019	0.000233642348129484
K00020	0.000158420964646709
K00021	5.00778693476397e-08
K00023	0.000274826577313326
K00024	9.20980507057587e-05
K00027	0.00035944073503563
K00029	0.000428241755485921
K00030	0.000187764610310287
K00031	0.000266336624636377
K00032	2.39372215481718e-06
K00033	0.000407800115016022
K00034	0.000200855589779488
K00035	7.46836401248908e-05
K00036	0.000346499561676428
K00038	0.000139258449932806
K00039	4.00622954781118e-08
K00040	3.635168209877e-05
K00041	4.65103494717382e-06
K00042	5.99922487115232e-06
K00043	0.000111225420415907
K00045	6.7348474538907e-06
K00046	0.000331776449671137
K00048	7.37567117701722e-05
K00050	2.48793114652742e-06
K00052	0.000423919308251212
K00053	0.000345210717926904
K00054	0.000444428893983657
K00055	4.08873898585723e-05
K00057	0.000512388703956554
K00058	0.000643879573138408
K00059	0.00246841851452717
K00060	1.23794918539948e-05
K00064	3.34875215320048e-05
K00065	0.000264292841640068
K00066	6.11967212762329e-06
K00067	0.000527164471464442
K00068	0.000125931099736525
K00073	4.0691845835625e-07
K00074	0.000145832224460975
K00075	0.000514820785020016
K00076	2.10755063502372e-05
K00077	0.000430158859169988
K00082	0
K00086	6.28327289202868e-05
K00087	0
K00088	0.000585118125326778
K00090	1.7887095061605e-05
K00091	4.5171745914046e-05
K00094	4.66646104597221e-06
K00096	7.56573541507497e-06
K00097	3.50571371225671e-05
K00098	7.91291737989329e-06
K00099	7.22591169587921e-05
K00100	2.23908535850601e-06
K00101	0.000105985773305146
K00102	1.65199066310778e-05
K00103	1.87979802063703e-06
K00104	5.02203878204105e-05
K00105	0.000409427778397079
K00108	4.9847824135324e-05
K00111	0.000441504688763001
K00112	3.18700985630892e-05
K00113	3.1895137497763e-05
K00114	1.86665257993327e-06
K00116	3.44602504880325e-05
K00117	1.75272542716739e-07
K00118	8.48725989437467e-06
K00121	9.53225621540411e-05
K00122	3.4087692678255e-06
K00123	0.000116548914954591
K00124	7.2571156150334e-05
K00125	0
K00126	2.37369100707812e-06
K00127	5.80127157502279e-05
K00128	0.00048419707040535
K00129	6.00934432171677e-08
K00130	0.000132154988372222
K00131	0.000371163657012871
K00132	0.000169441976388593
K00133	0.000457878798187006
K00134	0.000663110262981188
K00135	0.000411954092809988
K00137	2.42215139918362e-05
K00138	3.68028066316115e-05
K00140	0.000297468494623071
K00141	0.000151415821343544
K00145	0.000150462373514317
K00146	5.21687000622413e-05
K00147	0.000496543036998633
K00148	3.10438058236936e-05
K00150	3.14514058437851e-06
K00151	2.8928388890046e-05
K00152	6.7279617468554e-07
K00153	1.08993230688404e-05
K00154	2.82861089169942e-05
K00156	1.45478474195057e-05
K00158	0.000172827866109855
K00161	0.000454888901498648
K00162	0.000462371431046866
K00163	5.04204019739776e-05
K00164	5.10925061003298e-05
K00166	2.52655199725472e-06
K00167	0.000100924053378009
K00169	0
K00170	0
K00171	0
K00172	0
K00174	2.0751267500275e-05
K00175	2.06761506962535e-05
K00176	1.7683998002732e-05
K00177	1.7683998002732e-05
K00179	1.31220219354429e-06
K00180	6.6942726601583e-07
K00183	2.20342625129615e-07
K00184	1.6094393477175e-05
K00185	1.18684550353906e-06
K00186	0
K00187	0
K00188	0
K00193	0
K00194	0
K00196	5.16277794039492e-06
K00197	0
K00198	7.01090170866957e-08
K00200	8.79283922628975e-07
K00201	0
K00202	1.18684550353906e-06
K00205	0
K00208	8.22197461127996e-05
K00209	6.16566239088543e-05
K00210	0
K00214	0
K00215	0.000419224629739646
K00216	1.44559954627823e-05
K00217	3.53831445609418e-06
K00218	2.20311326461273e-06
K00219	0.000122553508335513
K00220	0.000156004331317195
K00221	1.55241394977683e-07
K00226	0.000454346712107944
K00228	3.56053651061719e-06
K00230	1.72686020764934e-05
K00231	6.87709562656627e-05
K00232	5.00778693476397e-08
K00239	0.000128511654210397
K00240	5.43613424996268e-05
K00241	3.5121738082947e-05
K00242	3.93737247745818e-06
K00243	0.000446798641341216
K00244	0.00130847379375189
K00245	5.26132457977443e-05
K00246	5.26132457977443e-05
K00247	3.49292477950122e-05
K00248	3.53651165279766e-05
K00249	6.25866951373133e-05
K00252	8.25596690848104e-05
K00253	1.48152246598158e-05
K00254	7.20787446405796e-05
K00255	7.01090170866957e-08
K00256	1.06102485680312e-06
K00257	0
K00259	0.000212661588908953
K00260	7.03821106566313e-06
K00261	9.88519010252368e-06
K00262	0.000401993060612197
K00263	2.60607938996974e-07
K00265	6.2855256972409e-05
K00266	7.21397140127104e-05
K00271	0
K00273	0
K00274	1.35779029402411e-05
K00275	3.89965700205319e-05
K00276	0
K00278	0.000229222095631162
K00281	9.86940572924884e-05
K00282	7.63243275118835e-05
K00283	7.03276069863981e-05
K00284	5.97101163880305e-05
K00285	0.000457882700337296
K00286	0.000493794062673641
K00287	0.000511601543465588
K00288	0
K00290	8.33594126582922e-05
K00293	1.18684550353906e-06
K00294	2.6237673671329e-06
K00297	0.000462102256218235
K00298	4.23635408238667e-05
K00299	3.40463158387065e-05
K00301	0
K00302	5.10262189984107e-06
K00303	9.92887655821985e-06
K00304	2.37369100707812e-06
K00305	2.37369100707812e-06
K00311	4.80322509821254e-05
K00313	4.68102883727063e-06
K00315	0
K00316	0
K00317	1.79325720267064e-06
K00318	2.45381559803435e-06
K00320	0
K00322	1.7683998002732e-05
K00324	5.85231659396496e-05
K00325	4.21938599868941e-05
K00329	5.24784146121555e-05
K00330	3.1629432669316e-05
K00331	3.77239093689238e-05
K00332	2.98439283309036e-05
K00333	3.63145929308078e-05
K00334	3.22821976962625e-05
K00335	3.72771690952052e-05
K00336	3.24876903721286e-05
K00337	3.56053651061719e-05
K00338	3.1629432669316e-05
K00339	3.16494807352542e-05
K00340	3.1629432669316e-05
K00341	3.1629432669316e-05
K00342	3.40406894427974e-05
K00343	3.23208879257933e-05
K00344	0.000439041956101482
K00346	3.64361569586492e-05
K00347	3.64361569586492e-05
K00348	3.64361569586492e-05
K00349	3.64361569586492e-05
K00350	7.77566396434015e-05
K00351	3.67529164004721e-05
K00354	5.27587483687874e-05
K00355	0.000152331283931743
K00356	5.24784146121555e-05
K00360	3.11734736689058e-07
K00362	0.000222627470868747
K00363	3.89605823524637e-06
K00364	0.000433152423853611
K00365	0
K00366	6.52765026946484e-07
K00367	3.96024035328406e-06
K00368	2.53571856855965e-05
K00370	1.62599085931585e-05
K00371	1.20262003238357e-05
K00372	7.32683046691648e-06
K00373	1.20262003238357e-05
K00374	1.20262003238357e-05
K00375	0.00056611264402236
K00376	2.36400384530884e-06
K00380	9.96022090569971e-06
K00381	6.45393936778891e-06
K00382	0.00219695324603448
K00383	0.00127357754223335
K00384	0.00102977327739346
K00385	1.48355687942383e-06
K00387	2.50389346738199e-08
K00389	0
K00390	1.99576720337891e-05
K00392	8.12989169924258e-06
K00394	0
K00395	0
K00400	0.000199258259008333
K00404	2.06479818947455e-05
K00405	2.08363998781659e-05
K00406	2.42655040749232e-05
K00407	1.91675548821559e-05
K00410	0
K00411	2.18066585967765e-05
K00412	2.15662848239078e-05
K00413	2.1541245889234e-05
K00423	0
K00424	4.74738201415625e-06
K00425	0.000139299944075174
K00426	0.000139299944075174
K00427	1.93431742479542e-05
K00428	6.5568395792946e-05
K00432	0.000512139728709288
K00433	9.98801659584751e-05
K00435	1.57082493115464e-07
K00436	1.18684550353906e-06
K00437	6.52765026946484e-07
K00441	3.00467216085838e-08
K00442	0
K00443	0
K00446	1.136454647508e-06
K00448	2.37369100707812e-06
K00449	3.69617599673593e-06
K00450	2.84817881914701e-06
K00451	3.002168267391e-06
K00452	1.38621802087935e-06
K00453	3.88729460811053e-06
K00455	3.42182081252422e-06
K00457	7.80463593782966e-06
K00459	0.000493575211672764
K00462	3.00467216085838e-08
K00464	2.30358198999142e-07
K00466	1.05413914976782e-06
K00467	1.79772039277625e-05
K00469	1.18684550353906e-06
K00471	1.90358500857716e-06
K00472	0
K00476	2.37869879401289e-06
K00477	2.37369100707812e-06
K00479	5.05612915068537e-06
K00480	5.20371659858662e-06
K00481	2.56398691059916e-06
K00483	5.05623727335782e-06
K00484	2.06253216588656e-05
K00486	1.51360360103241e-06
K00491	0
K00493	3.22939659955591e-06
K00494	2.67269580422577e-06
K00496	2.54896354979486e-06
K00499	2.54207784275956e-06
K00500	2.37369100707812e-06
K00505	2.55397133672963e-07
K00507	3.34520167242233e-06
K00508	1.58277365806884e-06
K00514	0
K00518	0
K00520	0.000252719867662166
K00523	5.45883458197437e-06
K00525	0.000704818809660482
K00526	0.000637466996577526
K00527	1.47762265190613e-05
K00528	4.33806686684704e-05
K00529	0.000366424765306656
K00531	0
K00532	0
K00533	0
K00534	2.60404920607727e-07
K00537	0.00101927908134549
K00542	0
K00547	0.000322870812482438
K00548	3.65071492203693e-05
K00549	0.000564961244518691
K00554	0.000515173846738221
K00556	1.18684550353906e-06
K00557	0.00044301247983988
