function.	air_8
K00001	117.96
K00002	0
K00003	279.66
K00004	54.26
K00005	90.13
K00007	0
K00008	129.77
K00009	60.07
K00010	58.69
K00011	2
K00012	195.89
K00013	261.67
K00014	409.29
K00015	3.36
K00016	408.28
K00018	13.55
K00019	15.1
K00020	258.47
K00021	25.28
K00023	0.53
K00024	207.72
K00025	0
K00027	147.07
K00028	0.8
K00029	14.71
K00030	2
K00031	273.51
K00032	0
K00033	282.8
K00034	4.2
K00035	0
K00036	321.26
K00038	5.29
K00039	0
K00040	40.28
K00041	0
K00042	1.53
K00043	0.33
K00045	36.29
K00046	66.79
K00048	0.17
K00050	2.86
K00052	300.41
K00053	277.98
K00054	76.59
K00055	3.21
K00057	280.28
K00058	269.27
K00059	497.29
K00060	2
K00064	0
K00065	4.33
K00066	0
K00067	47.97
K00068	0.5
K00073	0.17
K00074	133.26
K00075	283.08
K00076	0
K00077	331.56
K00078	0
K00082	60.85
K00086	0
K00087	0
K00088	587.74
K00090	0.53
K00091	2.2
K00094	0
K00096	2.99
K00097	16.13
K00098	63.66
K00099	200.16
K00100	6.5
K00101	115.82
K00102	0.33
K00104	49.34
K00105	3
K00106	0
K00108	202.17
K00111	224.47
K00112	2.5
K00113	2.5
K00114	0.2
K00116	344.83
K00117	0.6
K00118	3.67
K00121	15.52
K00122	69.34
K00123	228.07
K00124	78.05
K00126	0.2
K00127	1.4
K00128	329.71
K00130	218.51
K00131	3.85
K00132	0
K00133	282.61
K00134	549.089999999999
K00135	622.47
K00137	0.5
K00138	180.16
K00140	124.91
K00141	0.33
K00145	262.53
K00146	5.27
K00147	206.28
K00148	1
K00150	0
K00151	39.52
K00153	122.61
K00154	0.4
K00156	189.65
K00158	76.92
K00161	122.09
K00162	122.09
K00163	203.51
K00164	131.58
K00166	71.52
K00167	71.52
K00169	0
K00170	0
K00171	0
K00172	0
K00174	75.85
K00175	75.85
K00176	0.33
K00177	0.33
K00179	0.66
K00180	0.66
K00184	2.68
K00185	2.48
K00194	0
K00196	0
K00197	0
K00198	0.33
K00200	0.2
K00201	0.2
K00202	0.2
K00208	91.63
K00209	0.17
K00210	12.7
K00214	0
K00215	280.61
K00216	24.98
K00217	45.65
K00218	0
K00219	25.39
K00220	0.2
K00221	0.28
K00226	79.71
K00227	0
K00228	1.21
K00230	0.65
K00231	261.47
K00232	65.68
K00239	277.18
K00240	278.18
K00241	277.51
K00242	14.23
K00243	77.1
K00244	17.48
K00245	0.67
K00246	0.67
K00247	0.67
K00248	5.52
K00249	79.61
K00252	215.61
K00253	0.53
K00254	203.31
K00255	0.4
K00256	0
K00257	170.43
K00259	292.74
K00260	84.35
K00261	3.4
K00262	205.17
K00263	1.01
K00265	142.3
K00266	120.44
K00270	0
K00271	0
K00273	21.78
K00274	2.87
K00275	36.49
K00276	0.87
K00278	26.54
K00280	0
K00281	186.28
K00282	74.02
K00283	74.02
K00284	0.48
K00285	68.54
K00286	302.23
K00287	278.28
K00288	0
K00290	2.33
K00293	0
K00294	74
K00297	205.66
K00298	0.4
K00299	307.11
K00301	10.5
K00302	0.73
K00303	2.94
K00304	0.73
K00305	0.73
K00311	13.23
K00313	2
K00314	0
K00315	0
K00316	0
K00317	0.33
K00318	74
K00320	0
K00322	2.2
K00324	40.58
K00325	39.52
K00326	0
K00329	0
K00330	19.9
K00331	19.23
K00332	19.03
K00333	19.03
K00334	17.23
K00335	17.23
K00336	17.23
K00337	19.9
K00338	19.23
K00339	19.23
K00340	19.23
K00341	19.23
K00342	21.9
K00343	19.9
K00344	68.7
K00346	13.65
K00347	13.65
K00348	13.65
K00349	13.65
K00350	13.65
K00351	13.65
K00354	0
K00355	1.42
K00356	0.86
K00360	0.33
K00362	94.99
K00363	95.93
K00364	75.89
K00365	0.33
K00366	0.2
K00367	0
K00368	162.02
K00370	125.75
K00371	128
K00372	1.06
K00373	72.12
K00374	128.33
K00375	223.57
K00376	0
K00380	106.79
K00381	28.94
K00382	594.39
K00383	7.95
K00384	424.669999999999
K00385	0
K00387	1.2
K00389	119.02
K00390	155.7
K00392	126.31
K00394	0
K00395	0
K00404	13.16
K00405	13.16
K00406	15.31
K00407	12.83
K00410	0
K00411	13.03
K00412	15.03
K00413	12.83
K00423	0
K00425	203.82
K00426	217.33
K00427	0.2
K00428	1.97
K00432	288.68
K00433	2.8
K00435	0
K00436	0.86
K00441	0
K00446	40.38
K00448	52.66
K00449	74.44
K00450	50.91
K00451	2.81
K00452	0.48
K00453	1.14
K00455	0
K00456	0
K00457	21.92
K00459	307.08
K00462	0
K00464	0
K00466	0.33
K00467	0
K00471	0
K00472	0.33
K00476	0
K00477	0.33
K00479	22.28
K00480	125.7
K00481	52.41
K00483	0
K00484	13.15
K00486	0.48
K00491	71.52
