function.	air_12
K00001	157.91
K00002	0
K00003	181.6
K00004	8.45
K00005	34.37
K00007	0.5
K00008	53.6
K00009	37.25
K00010	434.53
K00011	0
K00012	151.01
K00013	173.21
K00014	437.76
K00015	12.96
K00016	238.56
K00018	2.57
K00019	105.98
K00020	82.6
K00021	0
K00023	3.02
K00024	156.41
K00025	0
K00027	141.93
K00028	0.31
K00029	12.01
K00030	0.14
K00031	179.19
K00032	0.2
K00033	183.89
K00034	3.82
K00035	1.51
K00036	183.66
K00038	10.6
K00039	0.52
K00040	13.38
K00041	2.06
K00042	4.02
K00043	0
K00045	107.82
K00046	37.25
K00048	0.48
K00050	3.35
K00052	184.55
K00053	182.53
K00054	35.31
K00055	10.45
K00057	185.98
K00058	195.69
K00059	435.55
K00060	0.14
K00064	2.51
K00065	5.69
K00066	0.35
K00067	13.71
K00068	0.31
K00073	0.01
K00074	27.34
K00075	185.61
K00076	0
K00077	216.03
K00078	0
K00082	26.86
K00086	0
K00087	0
K00088	465.63
K00090	1.07
K00091	3.69
K00094	0.51
K00096	1.7
K00097	9.41
K00098	32.42
K00099	150.8
K00100	19.14
K00101	127.66
K00102	6.2
K00104	4.89
K00105	3.93
K00106	0
K00108	69.78
K00111	181.91
K00112	4.16
K00113	4.16
K00114	6.03
K00116	206.72
K00117	3.3
K00118	0
K00121	8.27
K00122	29.33
K00123	47.28
K00124	9.1
K00126	2.21
K00127	7.06
K00128	113.49
K00130	172.92
K00131	4.08
K00132	0
K00133	187.12
K00134	357.17
K00135	416.32
K00137	0.4
K00138	141.44
K00140	211.99
K00141	0.51
K00145	177.26
K00146	11.72
K00147	153.85
K00148	0.2
K00150	0
K00151	3.68
K00153	110.49
K00154	2.61
K00156	143.81
K00158	35.6
K00161	46.23
K00162	46.23
K00163	150.37
K00164	147.84
K00166	30.14
K00167	30.14
K00169	1.11
K00170	0.61
K00171	0.61
K00172	1.25
K00174	36.95
K00175	36.95
K00176	1.45
K00177	1.45
K00179	2.46
K00180	2.46
K00184	2
K00185	2
K00194	0
K00196	0.22
K00197	0
K00198	0.25
K00200	0
K00201	0
K00202	0
K00208	44.5
K00209	0
K00210	0.31
K00214	0
K00215	185.16
K00216	0.57
K00217	23.41
K00218	0
K00219	3.28
K00220	2.18
K00221	1.64
K00226	38.79
K00227	0
K00228	3.41
K00230	0.79
K00231	173.12
K00232	2.37
K00239	178.5
K00240	179.5
K00241	178.5
K00242	2.91
K00243	36.07
K00244	8.88
K00245	3.34
K00246	3.34
K00247	3.34
K00248	5.5
K00249	23.12
K00252	140
K00253	2.91
K00254	149.89
K00255	0.4
K00256	1
K00257	52.04
K00259	100.25
K00260	30.41
K00261	2.2
K00262	151.53
K00263	1.97
K00265	146.39
K00266	148.04
K00270	0
K00271	0
K00273	0
K00274	6.22
K00275	7.56
K00276	1.7
K00278	10.66
K00280	0
K00281	36.39
K00282	31.63
K00283	31.49
K00284	0.17
K00285	120.46
K00286	184.15
K00287	185.44
K00288	0
K00290	4.62
K00293	0
K00294	31.1
K00297	152.87
K00298	0
K00299	195.24
K00301	11.15
K00302	0.7
K00303	2.55
K00304	0.2
K00305	0.2
K00311	2.91
K00313	3.01
K00314	0
K00315	0
K00316	0
K00317	0
K00318	31.1
K00320	0
K00322	0.42
K00324	12.16
K00325	9.12
K00326	0
K00329	0
K00330	6.47
K00331	6.47
K00332	5.01
K00333	6.01
K00334	5.66
K00335	5.66
K00336	5.66
K00337	6.47
K00338	6.47
K00339	6.47
K00340	6.47
K00341	6.47
K00342	6.47
K00343	6.47
K00344	127.17
K00346	4.4
K00347	4.74
K00348	4.4
K00349	4.4
K00350	4.4
K00351	4.4
K00354	1.01
K00355	1.33
K00356	2.01
K00360	0
K00362	34.87
K00363	31.96
K00364	35.11
K00365	0
K00366	1.51
K00367	1
K00368	35.29
K00370	43.69
K00371	45.19
K00372	2.91
K00373	21.15
K00374	45.19
K00375	182.56
K00376	3.01
K00380	35.33
K00381	9.8
K00382	371.27
K00383	12.7
K00384	263.52
K00385	0
K00387	0
K00389	110.66
K00390	122.71
K00392	112.16
K00394	0
K00395	0
K00404	2.41
K00405	2.91
K00406	5.41
K00407	2.91
K00410	2.01
K00411	3.21
K00412	0.7
K00413	0.7
K00423	0.5
K00425	174.64
K00426	178.08
K00427	1.2
K00428	9.36
K00432	204.56
K00433	3.31
K00435	0
K00436	1.04
K00441	0
K00446	13.64
K00448	110.04
K00449	110.04
K00450	109.78
K00451	2.71
K00452	0
K00453	3.51
K00455	2.17
K00456	0
K00457	112.74
K00459	181.75
K00462	0
K00464	0
K00466	0.2
K00467	0
K00471	0.2
K00472	1
K00476	0
K00477	0
K00479	0.2
K00480	110.77
K00481	111.71
K00483	0.67
K00484	3.46
K00486	0
K00491	30.1
K00493	0.5
K00496	0.57
K00499	0
K00500	0.7
K00504	0
K00505	0
K00507	3.92
K00508	32.1
K00510	140.93
K00514	0
K00517	26.02
K00518	0
K00520	108.59
K00523	1.7
K00525	190.18
K00526	213.99
K00527	75.29
K00528	254.58
K00529	13.87
K00531	0
K00532	0
K00533	0
K00534	1.01
K00537	181.25
K00543	0
K00544	0
K00547	30.98
K00548	146.28
K00549	266.29
K00554	185.61
K00556	1.17
K00557	3.74
K00558	10.47
K00560	185.44
K00561	1.05
K00563	147.4
K00564	35.82
K00566	186.37
K00567	188.96
K00568	6.36
K00569	0.2
K00570	4.53
K00571	42.22
K00573	8.76
K00574	255.27
K00575	10.93
K00577	0.5
K00584	0
K00587	0
K00588	0.17
K00590	0.5
K00594	0
K00595	142.82
K00596	0
K00598	2.51
K00600	185.19
K00602	186.16
K00603	0.31
K00604	189.04
K00605	68.08
K00606	143.8
K00608	0
K00609	182.41
K00610	1.2
K00611	205.93
K00612	3.23
K00613	0.01
K00615	203.61
K00616	180.04
K00619	0.17
K00620	172.12
K00621	0
K00624	1.37
K00625	38.94
K00626	200.42
K00627	51.81
K00631	3.4
K00632	27.79
K00633	0.34
K00634	5.15
K00635	0.2
K00638	0.2
K00639	32.35
K00640	190.23
K00641	287.47
K00643	3.01
K00645	45.7
K00646	0
K00647	6.91
K00648	50.4
K00651	7.51
K00652	63.23
K00655	192.51
K00656	75.61
K00657	13.08
K00658	179.76
K00661	121.65
K00662	0
K00663	1.51
K00666	329.87
K00672	0
K00673	1
K00674	315.56
K00675	1.7
K00677	9.37
K00680	275.58
K00681	151.09
K00683	107.62
K00684	6.55
K00685	2.91
K00686	0
K00687	28.92
K00688	348.71
K00689	0
K00690	3.17
K00691	0.17
K00692	0.2
K00693	0
K00694	1.52
K00695	0
K00696	0
K00697	144.44
K00698	0
K00700	153.28
K00701	0
K00702	1
K00703	13.27
K00705	155.66
K00709	0
K00712	58.21
K00713	0
K00720	1
K00721	150.39
K00728	0
K00737	0
K00745	0
K00748	8.31
K00752	0
K00754	149.16
K00756	35.37
K00757	6.8
K00758	29.69
K00759	184.41
K00760	183.1
K00761	186.62
K00762	185.36
K00763	181.58
K00764	186.19
K00765	173.21
K00766	183.42
K00767	121.24
K00768	146.32
K00769	5.73
K00772	2.43
K00773	185.61
K00782	38.32
K00783	43.68
K00784	39.93
K00785	1.17
K00786	0.42
K00788	165.03
K00789	185.59
K00790	222.45
K00791	186.67
K00793	184.6
K00794	186.31
K00795	7.06
K00796	325.78
K00797	17.96
K00798	144.16
K00799	25.99
K00800	186.03
K00801	0.31
K00803	2
K00805	172.84
K00806	187.26
K00808	2.01
K00809	1
K00812	10.22
K00813	3.34
K00817	378.85
K00818	147.98
K00819	54.5
K00820	186.82
K00821	7.43
K00822	2.41
K00823	32.3
K00824	32.61
K00826	187.6
K00830	4.53
K00831	151.17
K00832	3.6
K00833	171.82
K00835	0
K00836	3.73
K00839	0.17
K00840	0.2
K00841	34.98
K00842	0
K00844	0.17
K00845	322.16
K00847	44.72
K00848	4.4
K00849	156.64
K00850	185.19
K00851	284.19
K00852	289.14
K00853	31.92
K00854	124.05
K00855	2.01
K00856	1.01
K00857	40.52
K00858	185.61
K00859	185.61
K00860	7.07
K00862	0.5
K00863	3.51
K00864	183.95
K00865	220.58
K00867	151.49
K00868	289.84
K00869	34.81
K00870	0
K00872	178.06
K00873	294.88
K00874	16.19
K00875	1.01
K00876	45.47
K00878	147.63
K00879	1
K00880	1.84
K00881	0
K00882	284.37
K00883	1.71
K00884	1.51
K00885	1.51
K00886	141.93
K00887	10.77
K00891	184.22
K00892	0
K00895	2.56
K00897	0.75
K00899	1.51
K00901	30.93
K00906	0.7
K00912	8.81
K00917	34.55
K00918	0
K00919	181.24
K00924	3
K00925	185.25
K00926	57.2
K00927	185.61
K00928	216.27
K00929	1.2
K00930	176.26
K00931	154.36
K00932	0
K00936	241.86
K00937	12.29
K00938	34.81
K00939	185.61
K00940	184.86
K00941	48.9
K00942	185.44
K00943	183.55
K00945	185.24
K00946	150.41
K00947	0
K00948	193.2
K00949	35.51
K00950	182.01
K00951	185.66
K00952	0
K00954	185.61
K00955	3.96
K00956	114
K00957	118.1
K00958	6.06
K00960	0
K00962	185.27
K00963	196.1
K00965	43.31
K00966	141.68
K00968	0
K00969	205.81
K00970	148.86
K00971	6.63
K00972	24.04
K00973	154.32
K00974	39.86
K00975	156.59
K00978	2.29
K00979	8.81
K00980	33.1
K00981	186.15
K00982	148.18
K00983	4.18
K00984	0
K00986	1.62
K00988	0
K00989	148.07
K00990	144.43
K00991	201.28
K00992	2.91
K00995	325.07
K00996	2.17
K00997	178.51
K00998	3.88
K00999	0
K01000	185.61
K01002	0
K01003	1.71
K01004	1.71
K01006	13.79
K01007	24.3
K01008	6.58
K01011	403.1
K01012	210.11
K01014	0
K01015	0
K01023	0
K01026	1.3
K01027	0
K01028	220.75
K01029	113.13
K01031	1.1
K01032	0.9
K01034	2.96
K01035	2.96
K01039	1.71
K01040	1.71
K01042	5.38
K01046	376.43
K01048	2.4
K01051	3.04
K01053	12.44
K01055	112.79
K01056	326.04
K01057	148.29
K01058	0.7
K01060	3.87
K01061	10.11
K01066	49.6
K01067	0.5
K01069	113.7
K01070	3.47
K01071	5.02
K01073	0
K01075	2.22
K01077	143.61
K01078	0.38
K01079	150.79
K01081	117.09
K01082	146.49
K01083	0.2
K01085	0.34
K01086	0
K01087	143.94
K01089	3.06
K01090	177.33
K01091	158.12
K01092	352.51
K01093	1
K01095	4.74
K01096	3.54
K01101	4.14
K01104	285.02
K01113	116.79
K01114	30.89
K01115	0
K01117	0
K01118	34.87
K01119	5.58
K01120	0
K01121	0
K01126	435.3
K01128	0
K01129	148.55
K01130	111.24
K01133	0.2
K01135	0
K01137	0
K01138	0
K01139	103.93
K01141	4.05
K01142	301.53
K01143	0
K01144	1.82
K01146	0
K01147	3.5
K01150	0.2
K01151	34.76
K01153	179.02
K01154	189.59
K01155	4.34
K01156	106.05
K01158	0
K01159	150.66
K01160	10.79
K01163	0.7
K01166	5.55
K01167	0.5
K01169	0
K01173	2.71
K01174	54.14
K01175	3.34
K01176	10.65
K01178	0
K01179	7.36
K01181	3.57
K01182	0
K01183	25.43
K01184	1.02
K01185	2.64
K01186	53.07
K01187	43.17
K01190	17.52
K01191	4.34
K01192	1.06
K01193	266.4
K01194	1
K01195	2.69
K01197	0.31
K01198	0.17
K01200	34.04
K01201	1
K01205	1.2
K01206	13.15
K01207	153.27
K01208	107.62
K01209	3.65
K01210	2.01
K01212	0.75
K01215	3.93
K01216	0.17
K01218	0.84
K01219	0.01
K01220	37.27
K01222	0
K01223	70.06
K01224	1.89
K01226	34.76
K01227	3.62
K01230	0
K01232	0
K01233	0
K01235	2.09
K01236	111.74
K01239	422.59
K01240	0
K01241	140.6
K01243	151.98
K01246	290.81
K01247	5.02
K01250	24.32
K01251	143.39
K01252	0.2
K01253	0.5
K01255	180.99
K01256	154.11
K01258	71.05
K01259	166.52
K01261	34.81
K01262	49.15
K01263	0
K01264	0
K01265	331.45
K01266	0
K01267	140.76
K01269	0
K01270	6.19
K01271	169.38
K01273	1.9
K01274	28.83
K01277	1.06
K01278	4.26
K01281	4.88
K01283	0
K01284	145.7
K01286	114.8
K01295	7.43
K01297	4.12
K01299	1.5
K01301	0
K01303	0
K01304	39.01
K01305	0.42
K01308	0.25
K01318	50.19
K01322	237.38
K01325	0
K01338	11.92
K01342	0
K01347	1.44
K01350	0
K01354	142.31
K01355	0
K01356	182.2
K01358	330.17
K01361	0.4
K01372	65.75
K01387	0
K01389	0
K01390	3.42
K01392	0.2
K01399	0
K01400	0
K01401	26.15
