reactions	air_4
K00001	228.780751409926
K00003	417.909625854906
K00004	21.3
K00005	2
K00006	471.655571801465
K00007	0
K00008	0
K00009	5.70238095238095
K00010	7.5
K00011	451.152179997854
K00012	256.11882179111
K00013	20.9702503460387
K00014	428.809625854906
K00015	33.947355561619
K00016	221.08646569564
K00018	33.947355561619
K00019	3.53238095238095
K00020	23.0157142857143
K00021	0
K00022	23.0157142857143
K00024	34.7050226651577
K00025	34.7050226651577
K00026	34.7050226651577
K00027	11.4166666666667
K00028	11.4166666666667
K00029	45.5850226651577
K00030	3.95238095238095
K00031	249.201952834324
K00033	406.983069862478
K00034	0
K00036	404.563069862478
K00039	0
K00040	5
K00041	5
K00042	13.6880952380952
K00043	0.952380952380952
K00045	0
K00046	0
K00048	1
K00049	33.947355561619
K00050	33.947355561619
K00052	262.309625856261
K00053	268.409625856261
K00054	2
K00057	471.655571801465
K00058	260.209625856261
K00059	475.155571801464
K00060	5.15238095238095
K00066	0
K00067	273.738197284832
K00068	3.45238095238095
K00073	0
K00074	0
K00075	475.755571801464
K00077	198.409625838406
K00082	273.887403634039
K00086	0
K00087	4.75460317460317
K00088	475.755571801464
K00090	0
K00094	0.952380952380952
K00096	471.655571801465
K00097	31.002746468618
K00098	0
K00099	59.0596258397609
K00100	3.72222222222222
K00101	221.08646569564
K00102	28.2482975282143
K00103	0
K00104	3.53238095238095
K00105	2
K00106	4.75460317460317
K00110	4.35142857142857
K00111	0
K00112	0
K00113	0
K00116	225.0800000165
K00121	228.780751409926
K00122	18.4654507997143
K00123	0
K00125	0
K00126	0
K00128	410.751165100574
K00130	1.08
K00132	10.2405197504365
K00133	420.509625854906
K00134	460.605571801464
K00135	20.38
K00137	410.751165100574
K00139	14.3
K00140	3.54591657583333
K00145	19.5765559924276
K00146	0
K00147	255.035816332451
K00149	410.751165100574
K00150	474.405571801465
K00151	0.5
K00156	0.5
K00158	3.75
K00160	260.684498435262
K00161	417.159625854906
K00162	417.159625854906
K00163	417.159625854906
K00164	44.8987841330476
K00165	6.27142857142857
K00166	6.27142857142857
K00167	6.27142857142857
K00169	21.4246031746032
K00170	21.4246031746032
K00171	21.4246031746032
K00172	21.4246031746032
K00174	9.13861948449104
K00175	9.13861948449104
K00176	9.13861948449104
K00177	9.13861948449104
K00179	0
K00199	1.5
K00207	0.952380952380952
K00208	199.485022663803
K00209	26.3657142857143
K00210	193.309625838406
K00211	191.959625838406
K00215	6.45238095238095
K00216	0
K00220	411.909625854906
K00226	1.45238095238095
K00228	233.544285730786
K00229	1.46591657583333
K00231	218.771428587929
K00238	268.835022681658
K00239	270.835022681658
K00240	270.835022681658
K00241	270.835022681658
K00242	270.835022681658
K00244	270.835022681658
K00245	270.835022681658
K00246	270.835022681658
K00247	270.835022681658
K00248	39.9680952380952
K00249	10.2942857142857
K00252	7.5
K00253	1.58
K00254	475.755571801464
K00259	14.5214285714286
K00260	11.2900480559196
K00261	426.559625854906
K00262	260.605816332451
K00263	5
K00264	21.5188888888889
K00265	21.5188888888889
K00266	21.5188888888889
K00271	5
K00273	0
K00274	0
K00275	40.0130698473333
K00276	0
K00278	31.5043337702053
K00281	416.19534014062
K00282	416.19534014062
K00283	416.19534014062
K00284	9.21428571428572
K00285	4.79428571428571
K00286	270.073387324151
K00287	475.269333269354
K00288	475.755571801464
K00294	26.5942857142857
K00297	461.005571801465
K00299	0
K00301	0
K00302	0
K00303	0
K00304	0
K00305	0
K00306	0
K00318	22.3657142857143
K00319	1.5
K00320	0
K00322	28.427355561619
K00323	28.427355561619
K00324	28.427355561619
K00325	28.427355561619
K00329	267.121487058205
K00357	180.233069845978
K00360	20.727355561619
K00361	7.24666666666667
K00362	7.24666666666667
K00364	150.749999998645
K00365	0
K00366	1.5
K00368	1
K00370	20.727355561619
K00371	20.727355561619
K00372	20.727355561619
K00374	20.727355561619
K00376	0
K00380	7.76020229011905
K00381	7.76020229011905
K00382	467.455571801464
K00383	19.0130698473333
K00384	475.755571801464
K00385	7.76020229011905
K00390	12.5657142857143
K00392	5.5
K00394	0
K00395	0
K00399	0
K00401	0
K00402	0
K00411	0
K00432	10.2142857142857
K00436	0
K00440	0
K00441	0
K00442	0
K00443	0
K00448	1.08
K00449	1.08
K00451	5
K00453	0
K00455	0
K00457	6.08
K00463	0
K00466	0
K00472	0
K00480	5
K00483	0
K00484	0
K00491	0
K00500	0
K00518	413.735022680303
K00522	174.034498417407
K00524	463.719333269354
K00525	463.719333269354
K00526	463.719333269354
K00527	82.8898575006051
K00528	238.560202306619
K00529	0.5
K00531	0
K00540	0
K00547	1
K00548	0
K00549	184.313069845978
K00560	471.094730094751
K00568	22.0130698473333
K00577	0
K00578	0
K00579	0
K00580	0
K00581	0
K00582	0
K00583	0
K00584	0
K00589	0.952380952380952
K00591	2.96591657583333
K00593	17.7222222222222
K00595	11.102380952381
K00598	0.5
K00599	190.377355560264
K00600	266.9297365305
K00601	475.155571801464
K00602	475.155571801464
K00603	409.183069862478
K00605	418.687403632684
K00606	417.787403632684
K00607	6.74644082222914
K00608	460.322501954131
K00609	460.322501954131
K00610	460.322501954131
K00611	270.573387324151
K00615	429.809625854906
K00616	194.301958734867
K00618	14.0903174603175
K00620	15.8403174603175
K00625	243.650968610361
K00626	23.6966666666667
K00627	45.0011650854286
K00629	466.969333269354
K00632	23.6966666666667
K00634	0
K00639	9.68623853211009
K00640	465.105571801465
K00641	258.798784149548
K00643	1.5
K00645	250.955571784965
K00647	474.155571801465
K00648	474.155571801465
K00651	11.2960317460317
K00652	18.3964408222291
K00655	475.755571801464
K00656	75.1898575006052
K00657	3.75
K00658	0
K00661	5.16829752821429
K00665	257.655571784964
K00667	257.655571784964
K00668	257.655571784964
K00672	1.5
K00673	0
K00674	261.027355578119
K00677	50.6635940937291
K00681	10.4982975282143
K00688	2.41829752821429
K00690	0
K00691	2.70238095238095
K00697	6.5
K00703	0.952380952380952
K00705	78.5674765482242
K00713	42.2630698473333
K00748	50.6635940937291
K00756	238.141286070679
K00757	237.061286070679
K00758	234.641286070679
K00759	475.755571801464
K00760	475.755571801464
K00761	417.551165100574
K00762	471.441286087179
K00763	466.355047555069
K00764	469.205571801464
K00765	20.9702503460387
K00766	260.298784149548
K00767	184.25433376885
K00768	426.951958751367
K00769	456.98361898364
K00772	1.5
K00777	223.271428587929
K00787	475.755571801464
K00788	59.3874036175387
K00790	475.755571801464
K00793	273.401165101929
K00794	56.3874036175387
K00795	475.755571801464
K00796	276.86597506261
K00797	1.45238095238095
K00798	427.257244902525
K00800	274.259625856261
K00804	475.755571801464
K00805	196.45910159201
K00806	411.634498433907
K00810	230.065714302214
K00811	471.555571801465
K00812	471.555571801465
K00813	471.555571801465
K00814	1.96591657583333
K00815	425.609625854906
K00817	425.609625854906
K00818	235.996556008928
K00819	5
K00820	471.069333269354
K00821	254.376556008928
K00822	2.58
K00823	0.5
K00824	1.5
K00826	467.805571801465
K00827	0.952380952380952
K00830	0.952380952380952
K00831	271.05724490388
K00832	471.555571801465
K00833	31.710202290119
