function.	air_23
K00001	118.71
K00002	0
K00003	139.7
K00004	15.25
K00005	117.84
K00007	33.16
K00008	220.68
K00009	171.07
K00010	99.11
K00011	0
K00012	93.57
K00013	196.36
K00014	294.91
K00015	1.33
K00016	269.95
K00018	0.96
K00019	38.29
K00020	24.83
K00021	0
K00023	2.65
K00024	99.09
K00025	0
K00027	201
K00028	0.8
K00029	71.69
K00030	0
K00031	211.55
K00032	0.2
K00033	228.52
K00034	3.33
K00035	0
K00036	218.42
K00038	0.17
K00039	31.83
K00040	101.3
K00041	61.11
K00042	102.82
K00043	0
K00045	0.2
K00046	23.15
K00048	38.51
K00050	6.36
K00052	211.63
K00053	211.63
K00054	120.84
K00055	33.08
K00057	216.67
K00058	264.9
K00059	530.58
K00060	66.01
K00064	27.2
K00065	85.55
K00066	0.2
K00067	38.67
K00068	69.35
K00073	37.52
K00074	130.29
K00075	216.67
K00076	27.78
K00077	411.97
K00078	0
K00082	0
K00086	4.83
K00087	27.78
K00088	243.67
K00090	67.21
K00091	1.2
K00094	33.8
K00096	14.5
K00097	136.49
K00098	13.98
K00099	95.16
K00100	26.13
K00101	76.39
K00102	2.99
K00104	30.77
K00105	2.31
K00106	0
K00108	180.6
K00111	280.29
K00112	81.01
K00113	81.01
K00114	0
K00116	343.89
K00117	66.42
K00118	0
K00121	81.71
K00122	113.45
K00123	446.14
K00124	72.33
K00126	2.49
K00127	73.24
K00128	366.66
K00130	218.67
K00131	2.71
K00132	0
K00133	221.09
K00134	431.57
K00135	158.92
K00137	68.08
K00138	67.54
K00140	57.82
K00141	27
K00145	188.8
K00146	98.53
K00147	87.88
K00148	0.2
K00150	0
K00151	46.64
K00153	0
K00154	0.2
K00156	68.54
K00158	132.74
K00161	155.93
K00162	155.93
K00163	95.22
K00164	213.22
K00166	118.11
K00167	118.11
K00169	0
K00170	0
K00171	0
K00172	0
K00174	130.08
K00175	130.08
K00176	0
K00177	0
K00179	0.66
K00180	0
K00184	0
K00185	0
K00194	0
K00196	0
K00197	0
K00198	0
K00200	0.5
K00201	0.5
K00202	0.5
K00208	214
K00209	0.2
K00210	0
K00214	0
K00215	216.1
K00216	67.47
K00217	0
K00218	0
K00219	66.85
K00220	1
K00221	0
K00226	147.44
K00227	0
K00228	68.7
K00230	66.01
K00231	132.08
K00232	0
K00239	223.24
K00240	223.9
K00241	223.24
K00242	78.66
K00243	121.71
