function.	air_4
K00001	229.76
K00002	1
K00003	223.03
K00004	32.71
K00005	48.42
K00007	0
K00008	140.36
K00009	133.75
K00010	254.87
K00011	0
K00012	128.09
K00013	174.94
K00014	388.7
K00015	62.85
K00016	311.75
K00018	22.73
K00019	22.24
K00020	121.8
K00021	0.79
K00023	7.21
K00024	129.79
K00025	0
K00027	171.71
K00028	8.41
K00029	33.91
K00030	3.63
K00031	198.86
K00032	0.7
K00033	220.17
K00034	9.84
K00035	4.45
K00036	222.19
K00038	59.99
K00039	0
K00040	69.7
K00041	3.94
K00042	5.53
K00043	0
K00045	63.52
K00046	44.35
K00048	3.17
K00050	3.53
K00052	210.08
K00053	210.36
K00054	118.92
K00055	62.65
K00057	242.13
K00058	228.45
K00059	497.15
K00060	3.27
K00064	7.64
K00065	10.83
K00066	0.7
K00067	71
K00068	5.91
K00073	1.72
K00074	104.65
K00075	242.91
K00076	0
K00077	284.37
K00078	0.6
K00082	9.64
K00086	0.65
K00087	2.93
K00088	409.91
K00090	5.41
K00091	4.44
K00094	0.3
K00096	5.42
K00097	33.02
K00098	12.34
K00099	121.98
K00100	38.65
K00101	147.56
K00102	0.16
K00104	9.01
K00105	30.12
K00106	0
K00108	99.7100000000001
K00111	194.14
K00112	15.74
K00113	15.74
K00114	2.07
K00116	255.61
K00117	11.48
K00118	4.17
K00121	24.12
K00122	71.19
K00123	116.12
K00124	19.45
K00126	1.51
K00127	15.8
K00128	312.06
K00130	162.2
K00131	33.82
K00132	0.45
K00133	239.77
K00134	413.06
K00135	335.46
K00137	1.15
K00138	91.17
K00140	86.07
K00141	3.17
K00145	183.52
K00146	63.15
K00147	149.87
K00148	1.45
K00150	0.5
K00151	2.84
K00153	69.45
K00154	6.96
K00156	87.55
K00158	102.44
K00161	151.5
K00162	152
K00163	110.45
K00164	172.6
K00166	78.22
K00167	78.22
K00169	1.7
K00170	0.5
K00171	0.5
K00172	1.7
K00174	89.6800000000001
K00175	89.6800000000001
K00176	5.34
K00177	5.94
K00179	5.4
K00180	6
K00184	4.98
K00185	3.88
K00194	1.03
K00196	1.9
K00197	1.03
K00198	3.25
K00200	1.3
K00201	1.3
K00202	1.3
K00208	114.7
K00209	4.86
K00210	6.34
K00214	0
K00215	235.98
K00216	2.69
K00217	121.52
K00218	0
K00219	10.01
K00220	3.06
K00221	0.33
K00226	128.38
K00227	0
K00228	10.3
K00230	7.5
K00231	163.56
K00232	2.83
K00239	186.42
K00240	186.18
K00241	185.79
K00242	14.15
K00243	129.03
K00244	48.42
K00245	12.49
K00246	12.49
K00247	12.49
K00248	16.5
K00249	19.48
K00252	145.86
K00253	6.8
K00254	115.24
K00255	5.26
K00256	0
K00257	105.37
K00259	213.48
K00260	88.3900000000001
K00261	6.29
K00262	146.33
K00263	10.84
K00265	154.69
