function	FOCUS_401	FOCUS_402	FOCUS_410	FOCUS_413	FOCUS_414	FOCUS_417	FOCUS_428	FOCUS_431	FOCUS_433	FOCUS_444	FOCUS_445	FOCUS_450	FOCUS_454	FOCUS_457	FOCUS_461	FOCUS_463	FOCUS_488	FOCUS_498	FOCUS_509	FOCUS_528	FOCUS_541	FOCUS_546	FOCUS_547	FOCUS_551	FOCUS_554	FOCUS_558	FOCUS_562	FOCUS_564	FOCUS_570	FOCUS_579	FOCUS_582	FOCUS_586	FOCUS_592	FOCUS_597	FOCUS_609	FOCUS_610	FOCUS_621	FOCUS_625	FOCUS_626	FOCUS_632	FOCUS_659	FOCUS_665	FOCUS_667	FOCUS_672	FOCUS_676	FOCUS_679	FOCUS_688	FOCUS_697	FOCUS_698	FOCUS_701	FOCUS_711	FOCUS_713	FOCUS_725	FOCUS_733	FOCUS_754	FOCUS_763	FOCUS_780	FOCUS_784	FOCUS_786	FOCUS_795	FOCUS_796	FOCUS_804	FOCUS_805	FOCUS_806	FOCUS_812	FOCUS_827	FOCUS_831	FOCUS_832	FOCUS_833	FOCUS_838	FOCUS_846	FOCUS_848	FOCUS_857	FOCUS_871	FOCUS_874	FOCUS_885	FOCUS_889	FOCUS_900	FOCUS_905	FOCUS_911	FOCUS_921	FOCUS_925	FOCUS_930	FOCUS_931	FOCUS_939	FOCUS_940	FOCUS_957
K00979	1719.81	1322.92	1414.9	1767.21	2222.89	2077.05	943.97	281.34	2092.47	1760.47	1517.01	2095.76	980.46	1700.44	1551.78	1038.1	1425.26	1771.23	1737.08	1693.76	759.93	1606.17	1356.97	1147.62	1740.62	977.03	1894.6	996.58	1435.62	1446.89	1306.32	1843.26	1676.98	1113.89	1302.66	1518.63	1635	929.81	1182.54	1813.01	1177.05	1016.37	1674.85	1685.38	1797.64	1691.53	1748.19	940.34	1325.06	1786.36	1579.3	1153.57	1298.23	2189.13	1522.18	957.72	1450.67	1636.56	1443.27	1602.47	1329.49	2067.1	1334.16	2135.81	1343.98	1772.67	1234.66	1612.31	1658.78	1540.71	1480.15	1431.04	1554.21	1718.45	1577.97	1352	1305.7	1521.46	1424.36	1588.68	1606.06	570.71	1578.81	1756.32	1552.82	1758.37	1532.03
K00980	213.69	58.45	114.01	192.75	74.05	68.4	102.64	147.89	58.49	122.44	143.14	65.7	305.55	87.79	24.67	50.39	38.8	126.11	127.96	148.21	94.35	142.42	92.22	66.39	89.11	135.78	82.67	78.02	94.85	111.47	163.98	25.71	23.21	4.17	48.05	303.94	141.79	96.23	68.35	203.61	100.88	23.53	290.37	113.33	57.92	20.85	46.68	24.04	115.15	66.06	62.48	57.22	193.88	400.03	62.63	402.62	16.5	242.76	173.99	27.17	195.61	64.82	73.68	11.89	57.54	207.5	139.31	71.06	9.69	17.07	252.55	115.12	95.81	158.57	86.4	221.61	126.44	255.66	48.27	64.25	33.7	22.63	176.67	26.14	209.36	297.12	136.41
K00981	2523.17	2483.72	2440.29	2562.71	3362.9	2680.89	2342.55	2693.71	2857.86	2664.26	2321.07	2739.72	2331.8	2460	2536.49	2516.66	2377.58	2647.92	2646.48	2433.81	2200.9	2683.01	3036.82	2102.26	2739.29	2223.52	2525.03	2224.56	2719.01	2795.43	2250.84	2705.39	2334.6	2204.33	2669.07	2494.2	2445.35	2220.88	2436.7	2297.04	2606.91	2306.2	2410.56	2581.97	2750.39	2662.61	2816.1	2243.14	2142.04	2895.68	2680.62	2354.86	2549.28	2466.1	2424.74	2390.78	2655.2	2462.49	2323.97	2372.89	2465.79	3074.29	2356.61	3515.25	2609.62	2417.15	2333.84	2526.99	2744.53	2676.39	2720.77	2903.67	2211.13	2512.66	2678.29	2092.54	2479.71	2492.31	2248.95	2340.05	2165.7	1917.16	2200.12	2501.39	2542.77	2740.38	2601.97
K00982	159.16	49.4	18.59	125.87	199.7	175.17	10.36	9.49	242.45	13	10.73	19.51	445.32	81.83	160.91	11.87	202.93	196.46	15.01	24.99	126.58	325.83	41.06	19.31	19	15.29	106.13	130.69	92.3	74.22	171.32	29.5	148.17	527.19	175.71	18.48	339.95	18.92	208.93	75.43	8.54	67.2	35.87	8.08	18.77	44.59	120.57	86.38	48.15	445.42	8.25	89.73	125.25	117.21	32.17	29.51	38.55	207.23	130.66	170.17	67.3	758.85	38.61	191.45	163.6	72.51	111.85	120.93	141.08	313.06	109.75	261.78	95.91	28.49	106.64	29.83	119.41	48.57	105.15	201.35	21.5	6.8	223.39	284.32	293.67	115.34	672.32
K00983	429.73	229.65	144.56	1069.85	182.96	263.14	556.7	49.25	396	316.68	252.8	178.98	249.26	477.47	254.17	67.01	150.13	919.79	188.16	103.42	253.34	412.29	159.59	178.63	213.32	171.79	147.83	188.63	171.19	672.48	128.78	972.56	45.18	112.79	199.4	655.09	220.62	131.09	345.44	647.19	388.47	258.33	617.83	230.68	822.81	420	627.03	251.57	958.45	285.42	178.75	688.27	134.37	457.26	152.72	412.05	104.17	347.75	830	37.91	227.11	148.53	608.28	844.6	595.11	711.21	355.52	298.85	89.88	279.16	515.22	147.94	54.05	803.34	904.57	697.18	165.48	340.27	36.16	655.19	178.17	209.45	871.47	64.79	267.38	745.03	352.74
K00984	44.74	49.31	112.21	72.66	69.25	59.61	351.9	1675.08	78	51.64	70.47	214.66	23.12	107.04	95.23	502.02	24.06	42.34	13.16	33.67	182.49	286.87	396.72	106.06	61.8	191.46	59.97	53.79	713.99	412.67	25.49	423.34	27.9	20.59	387.55	523.34	139.68	390.8	100.78	90.19	440.13	132.05	299.81	50.99	69.94	573.64	218.02	284.87	264.53	40.38	388.33	63.4	31.39	64.37	64.34	90.86	84.46	56.81	34.73	55.67	192.26	18.66	91.6	77.61	108.42	35.99	50.67	448.2	16.33	31.04	71.81	757.33	30.71	81.23	329.48	176.37	333.42	215.74	98.91	50.86	61	136.34	116.46	49.66	85.99	118.39	128.06
K00986	886.32	348.28	227.92	1074.24	829.42	1527.84	924.87	66.62	756.98	513.53	452.56	233.66	433.71	1530.12	479.69	138.63	456.34	1014.32	357.48	392.04	640.42	1035.45	430.54	274.92	261.02	510.65	1594.25	336.82	812.4	648.77	335.77	2070.43	298.34	355.14	288.51	1006.36	1535.3	918.4	625.76	1314.38	571.9	423.74	1184.23	733.34	1224.02	426.53	828.67	510.72	2081.37	592.97	679.2	941.91	410.6	557.23	271.34	1256.26	144.09	758.18	1266.63	221.11	568.06	567.53	706.5	402.93	823.83	1461.49	688.82	856.06	1939.83	682.78	720.13	383.52	1412.71	872.34	1070.98	1152.29	285.09	247.84	96.02	710.13	676.34	515	1753.97	414.33	840.32	686.23	451.2
K00988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00989	663.14	492.36	464.26	255.53	861.18	430.51	249.85	469.74	465.18	394.01	194.09	152.36	664.49	337.2	480.38	280.28	364.56	532.01	452.75	329.9	462.68	432.41	593.18	301.86	587.26	180.22	235.1	303.4	455.2	579.19	235.24	134.83	208.06	674.5	530.93	222.51	729.02	158.29	612.79	163.56	443.92	272.29	265.93	567.13	353.51	213.32	649.77	196.07	197.64	739.75	504.1	262.28	923.44	202.15	268.13	219.73	826.17	629.36	438.46	258.05	404.48	810.94	477.06	279.65	840.47	256.91	406.5	713.78	354.4	669.51	900.26	540.93	305.91	532.47	606.81	113.52	622.56	418.85	222.2	526.93	62.29	74.61	309.34	360.89	387.54	438.75	764.49
K00990	203.16	49.4	51.92	125.27	204.8	175.17	10.36	9.16	243.45	12	10.73	31.84	441.62	81.83	161.91	11.2	202.6	194.13	15.01	25.99	126.58	327.16	33.39	19.31	21	14.62	106.13	131.69	91.8	74.89	171.32	29.5	148.17	527.19	176.38	18.81	339.62	18.92	207.93	75.43	8.54	67.2	47.87	10.74	18.77	44.59	119.4	86.05	47.15	446.75	8.25	104.56	150.92	117.55	32.17	28.51	39.55	209.56	131.99	170.17	67.3	758.85	43.11	191.45	157.27	75.85	113.85	120.93	141.08	325.05	109.75	262.45	95.91	28.29	106.64	34.16	119.41	46.57	105.48	201.6	21.5	6.8	223.39	284.32	293.34	116.51	666.31
K00991	2403.72	2730.94	3079.62	2505.41	3245.44	2271.76	2044.25	1163.03	2982.01	2731.42	2784.21	3232.42	2186.02	2354.42	2355.5	2362.48	2782.75	2347.23	3435.63	3313.69	1935.17	2334.75	2617.73	2045.58	2984.62	2344.21	2274.55	2221.84	1974.42	2419.59	2518.79	2206.33	3288.85	1719.74	2231.92	2275.42	2203.1	1843.15	2394.47	2176.63	2461.5	2268.5	2323.58	3344.82	2683.77	2384.42	2998	1973.15	2352.87	2649.98	2469.99	2393.87	2425.74	2311.13	3321.79	1910.57	2544.03	2696.08	2327.02	3403.87	2529.22	2683.85	2701.3	2545.27	2468.22	2749.3	2545.27	2147.32	2464.27	2612.48	2538.1	2057.86	2467.18	2968.96	2719.29	2491.62	2596.81	3338.48	3247.37	2785.33	2120.38	1953.28	2072.22	3167.8	2039.32	2572.91	2147.17
K00992	212.16	52.16	2.39	112.99	198.56	175.17	16.84	10.57	236.33	11.67	6.81	19.51	4.21	63.5	151.66	5.58	147.68	184.84	2.67	24.33	14.59	19	30.32	11.17	21	13.15	87.98	124.51	47.4	72.51	171.32	28.5	137.31	27.33	170	17.98	222.83	18.92	30.67	1	6.83	59.38	26.5	8.56	4.5	30.82	86.82	10.67	24.36	373.7	6.75	74.69	58.66	74.36	5.84	4.28	32.84	65	130.66	42.5	39.17	761.52	75.17	165.33	116.8	60.99	110.01	121.17	139.33	300.81	0.17	150.5	32.66	18	17.27	29.83	18.33	44.17	56.25	79.99	20.5	4.66	140.82	12.99	107.91	115.34	4
K00995	1232.33	1450.89	1934.11	1898.74	1592.72	1045.83	1990.78	2615.2	1656.97	2194.45	1501.27	1367.54	1563.11	1274.79	1142.73	2039	1212.77	1925.78	1308.02	1987.95	1710.59	1522.58	1843.93	1175.27	1955.57	1719.88	1575.9	1425.29	1646.48	2138.42	1393.06	1785.13	1596.76	1157.55	1492.64	1681.82	1513.53	1597.98	1576.53	1354.71	1981	1688.64	1740.73	1665.68	1765.33	1751.38	1893.29	1812.75	1474.37	1127.51	1884.86	1469.71	1607.41	1014.74	1443.28	1916.87	1813.06	1474.09	1901.44	1909.56	1744.1	944.36	1304.07	594.06	1801.65	1469.59	1096.87	1337.86	1111.43	1349.96	2091.98	1603.09	1123.23	1686.74	1788	1154.72	1748.67	1206.75	2040.22	1363.58	793.79	1419.93	1436.38	1846.98	1096.69	1636.46	1471.51
K00996	86.21	6.93	130.44	115.28	44.98	0.14	3.67	29.66	26.18	61.75	31.01	17.57	177.78	4	99.74	11.91	17.21	100.56	10.38	74.43	39.94	35.21	6.67	9.3	6.86	15.9	15.19	6.78	19.65	50.74	140.54	35.9	4.37	9.66	157.41	1.37	71.45	15.62	23.78	124	11.58	6.95	22.56	4.68	24.93	9.08	55.72	9.7	35.65	402.35	19.49	21.22	70.7	78.94	0.44	106.95	13.67	147.63	40.24	24.38	13.34	765.99	67.23	4.68	122.97	68.85	105.78	12	148.62	286.44	7.54	113.76	14.21	17.76	8.83	3.8	32.3	137.06	26.95	104.11	11.69	3.93	125.25	10.87	107.97	8.5	2.33
K00997	786.7	623.05	547.49	431.04	805.07	370.27	900.23	2023.4	387.31	359.49	653.05	615.61	903.11	356.66	714.73	1188.72	225.32	427.81	537.02	435.73	874.81	856.63	881.33	463.21	1232.4	798.32	393.27	681.15	1074.35	899.85	710.28	503.3	187.38	872.84	1080.73	803.41	369.36	914.16	953.72	576.74	823.04	801.2	580.74	311.06	358.01	1025.92	594.64	1052.82	518.57	899.39	733.73	863.48	475.28	1174.91	608.06	475.03	1412.77	446.67	311.88	369.67	770.65	953	736.23	264.77	585.7	394.79	700.78	853.38	515.47	747.02	737.92	1332.38	444.96	365.75	582.02	656.9	465.73	730.01	726.3	774.46	383.58	658.35	602.7	311.27	610.26	509.16	902.94
K00998	0.83	0.57	16.2	12.28	2.64	0	0.79	0.12	6.12	0.33	0.67	0	425.86	17.83	9.58	5.87	54.92	12.63	11.59	0.33	111.65	306.83	3.7	8.14	0	1.47	19.55	19.85	42.65	1.71	0	0	10.86	499.86	0.14	0	116.79	0.25	177.26	74.43	0.71	8.07	27.7	0.85	12.27	13.57	32.58	74.38	23.91	71.72	1	42.66	91.59	42.4	26.33	23.48	5.71	142.23	0	127.67	28.13	0	0.69	35.04	40.26	11.19	1.84	1.43	0	21.83	109.58	129.28	63.25	10.54	74.29	0	101.08	2	52.57	117.4	1	2.14	82.57	271.33	183.68	0	661.98
K00999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01000	2414.86	2479.87	2423.26	2473.68	3177.99	2509.08	2299.39	2697.94	2602.85	2650.59	2320.85	2717.85	1899.61	2379.92	2382.56	2495.47	2171.76	2452.73	2638.18	2411.65	2211.79	2396.57	2945.64	2176.66	2747.19	2182.99	2368.7	2189.25	2704.93	2756.66	2066.72	2458.39	2183.21	1689.91	2533.38	2482.36	2196.3	2153.86	2326.11	2214.41	2581.5	2283.09	2363.03	2571.64	2734.99	2598.8	2754.91	2207.16	2088.86	2457.97	2668.95	2262.18	2424.96	2403.09	2345.32	1975.75	2621.83	2371.88	2186.64	2240.12	2399.49	2301.74	2368	2564.66	2446.82	2288.04	2279.51	2513.47	2491.17	2290.1	2638.41	2685.04	2125.5	2552.9	2578.77	2034.14	2370.33	2468.67	2209.27	2149.86	2148.65	1885.43	2018.5	2210.62	1932.71	2936.11	1954.07
K01002	66.56	50.53	144.52	100.72	51.44	16.44	44.87	105.14	49.09	118.15	152.52	51.25	793.24	5.5	43.21	38.93	31.41	121.72	42.84	65.08	193.61	319.99	47.41	15.65	16.98	56.58	70.44	31.61	59.86	34.35	190.62	6.92	57.78	507.52	26.61	34.1	217.25	72.19	200.77	81.53	21.8	44.12	77.08	37.71	123.21	21.86	78.6	25.61	98.73	146.77	29.67	98.51	187.56	58.81	18.53	194.74	9.31	250.21	16.58	81.81	110.6	28.02	9.95	50.19	82.6	34.34	23.22	18.76	130.08	10.57	135.65	157.81	104.09	94.63	108.36	25.45	26.88	252.93	70.49	168.45	26.63	18.61	118.6	14.13	323.08	35.5	665.58
K01003	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01004	0	0	0	0	0.5	0	0	0.67	0	0	0	0	3.2	0	0	0.67	0.33	1.33	0	0	0	0	5.59	0	0	0	0.25	0	1	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.67	0	1	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0.83	0.33	0	0	0	0.5	0	0.33	0	0	1	0	0	0.67	0	0	0	0	0	0	0.33	0	0.67
K01006	2041.72	2381.55	2108.81	2306.92	2947.19	2098.52	2283.59	2724.73	2249.51	2548	1994.73	2351.65	1455.89	2228.27	2122.81	2367.78	1914	2160.85	2554.68	2303.93	1918.2	2018.07	2858.65	2039.59	1987.56	2143.37	2145.45	1961.54	2422.96	2605.88	1667.57	2432.49	2026.31	1180.22	2307.01	2381.61	1815.5	2071.58	1967.7	1943.78	2443.57	2132.65	2277.14	2542.42	2675.57	2036.38	2552.09	1985.4	2092.17	1940.64	2587.95	2076.64	2185.94	1362.88	2155.83	1876.14	1971.27	2130.18	2016.43	2006.4	2220.49	1457.99	2205.89	2319.71	2269.8	2179.44	2118.19	2440.56	2389.22	1776.47	2456.78	2339.68	1986.03	2424.95	2607.98	1951.45	1884.34	2421.01	2087.57	1722.57	2013.1	1858.15	1745.3	1895.48	1534.39	2393.3	1243.01
K01007	348.12	42.8	241.14	146.14	244.71	467.37	35.67	10.97	405.42	51.33	182.26	314.95	431.07	127.57	277.69	209.63	165.51	276.58	93.39	297.12	122.41	337.41	43.86	17.36	35.19	31.89	252.81	100.2	228.08	185.5	404.77	35.9	158.72	508.86	193.57	125.25	440.44	98.87	270.87	291.5	15.72	108.64	74.27	35.7	9.23	177.89	150.27	215.27	48.67	522.82	297.52	162.92	459.17	1349.18	165.72	42.5	195.72	272.71	169.95	51.75	172.2	986.97	47.09	185.03	157.54	134.61	122.91	148.54	143.74	495.23	216.37	369.04	171.41	30.36	96.09	88.67	75.75	46.57	112.67	391.36	112.5	11.81	416.99	40.27	473.45	181.02	812.21
K01008	648.95	340.1	401.64	278.56	499.23	415.22	694.62	2183.82	461.03	595.18	759.33	628.26	990.43	417.88	367.98	447.55	215.28	343.51	381.99	499.33	860.62	849.05	956.42	441.79	447.06	562.59	524.57	359.56	822.17	719.48	471.98	503.54	372.26	611.71	1108.36	710.19	568.02	678.96	554.13	293.89	838.98	500.45	291.8	645.16	548.55	822.26	539.84	615.54	448.75	474.38	698.16	839.44	734.71	1165.01	630.91	523.9	598.75	564.67	97.12	350.05	607.07	178.49	376.62	221.84	368.56	311.2	374.93	796.97	377.12	651.57	666.44	625.08	409.46	277.72	722.23	236.28	577.65	564.68	305.96	601.3	386.04	476.46	312	463.65	677.96	366.58	899.97
K01011	178.35	108.79	117.37	151.98	214.32	175.57	20.68	30.18	257.57	129.7	122.85	167.76	879.02	68.1	171.69	68.04	192.81	341.8	49.25	44.92	260.45	608.2	163.52	277.52	732.15	20.2	158.11	150.29	178.57	104.3	171.32	29.25	162.79	1278.03	317.19	25.38	423.01	40.64	393.59	155.99	116.56	150.14	75.08	47	9.73	456.32	178.08	43.49	81.06	543.75	22.26	145.31	233.69	180.88	28.68	89.35	581.78	369.87	135.16	70.3	109.66	759.35	75.71	208.42	274.31	87.26	255.42	127.69	140.67	301.07	197.86	420.45	234.73	51.87	169.34	69.63	368.94	98.84	157.57	287.11	27.88	14.32	237.27	23.15	570.65	174.77	1327.72
K01012	2885.25	2323.81	1500.82	2346.11	1699.27	3202.23	2116.39	1248.96	1744.56	2425.32	2236.21	1591.8	1803.5	2427.91	2600.33	2044.56	1561.94	2266.69	1841.18	1533.38	2324.42	1873.22	1679.28	1950.9	2960.38	1986.49	2788.46	2303.41	2264.73	2229.86	2341.96	2110.95	1491.73	1681.01	2089.27	2208.44	1907.07	2115.6	2411.29	2707.35	1799.77	2232.71	2085.19	2587.85	2446.79	2138.9	2387.03	1997.92	2321.26	2641.76	2226.59	2258.13	2359.81	3924.73	1504.89	1959.07	3229.58	1913.45	2322.45	1304.59	2582.11	2071.84	2250.29	1718.84	2270.09	2481.67	1979.95	2236.26	1915.93	2323.54	2424.66	1608.32	2064.32	2597.18	2128.84	2195.88	2384.31	1213.63	1120.57	2715.68	2653.97	2380.02	2188.72	1325.26	2266.01	2190.48	1733
K01015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01023	348.56	93.75	79.44	88.52	30.57	1988.42	254.85	1.24	367.33	39.1	115.99	65.97	546.08	1070.56	218.16	29.61	325.01	269.17	46.04	90.64	382.15	516.82	79.21	66.5	0.83	53.47	792.29	194.61	353.18	36.57	284.35	286.43	318.43	596.29	74.56	18.02	885.4	505.79	344.28	359.16	55.14	145.99	229.82	325.27	4.9	64.23	180.94	186	40.11	71.72	220.74	334.23	359.59	22.07	30.37	6.07	42.29	321	1250	290.44	127.11	0	160.93	176.22	54.68	166.15	0.57	457	331.43	159.8	170.43	183.16	727.39	165.8	235	0	107.56	38.72	40.53	173.64	470.59	269.09	200.07	257.02	278.3	72.34	680.27
K01026	112.9	95.22	301.73	73.5	92.84	134.17	196.02	391.63	259.88	246.75	110.18	96.83	138.11	205.99	78.96	43.83	62.57	279.95	63.73	157.29	100.35	64.15	360.59	163.82	140.69	102.38	175.98	73.29	123.12	103.46	137.63	214.29	43.17	51.83	82.22	192.49	356.72	89.2	137.42	104.93	211.28	146.01	62.94	302.83	230.49	85.14	173.19	94.92	210.96	166.82	412.35	129.87	514.31	114.27	119.71	182.8	143.77	356.83	60.92	24.83	91.28	34.38	109.35	104.11	108.71	159.51	137.6	268.64	470.6	244.7	168.18	106.82	278.56	101.75	597.92	106.22	218.04	242.71	89.7	188.54	16.3	47.69	169.51	57.26	96.77	160.55	51.77
K01027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01028	23.67	69.5	96.06	12.86	56.5	11.5	28	57.99	34.33	54.33	113.89	143.25	5.41	0	3.5	2.58	33.75	14	1.5	6	6.93	13	13.93	2.33	0	1.07	28.25	2	45.41	28.33	1	21	1.81	0	44.67	13.06	46.99	1.75	0.62	13	109.41	1.22	0	0.4	1.17	199.5	45	1.17	52.78	29.36	0.33	7.93	22.59	14.52	0	5.78	13.83	40.38	5	15.5	7	2	1.75	5	1.12	0	6.84	0.83	91	6.26	0	37.17	43.25	2.82	169.1	56.5	294.83	2	50.33	35.58	0	0.5	22.5	1.33	15.75	34.67	3
K01029	23.67	70.5	111.73	30.86	93.5	60.5	56	100.32	63.33	54.33	114.89	152.25	6.58	6	29.5	9.91	45.75	32	11.5	11	19.93	31	74	8.33	0	10.57	56.25	5	53.41	36.33	6	100	9.98	0	45.67	24.06	111.99	17.75	37.62	37	143.07	5.39	17	10.07	15.34	215.5	56	21.34	83.12	52.36	30.66	23.6	118.59	18.69	15	18.95	19.83	45.38	21	15.5	17	2	3.75	40	19.62	22	29.84	8.66	200	6.26	13.6	49.34	111.25	23.99	191.93	92.5	307.16	102.33	56.33	43.58	0	12.5	49.5	9.33	29.75	56.67	8.66
K01031	23	30	0.14	9.99	104.42	0	0	6.87	34.12	0	0.42	0	0.87	0	0	2	0	0	0	6	0.86	13	12.28	0	0	1.43	29.11	0	29.05	28	0	0	0.42	0	27	0.42	38.49	1.17	0.12	2	0.33	1.29	0	0.4	0	0	44	0	3.88	26.76	0	0.42	5.33	25.99	0	5.58	0	58.09	0	0	0	0	0	0	0.5	0	0	0	0	3.59	31.14	37	0.25	1.67	0.61	15	14.33	0.33	50	0.62	0	0	80.14	1.33	0	8	2
K01032	23	30	0.14	9.99	104.42	0	0	6.87	34.12	0	0.42	0	0.87	0	0	2	0	0	0	6	0.86	13	13.28	0	0	1.43	29.11	0	29.05	28	0	0	0.42	0	27	0.42	38.49	1.17	0.12	2	0.33	1.29	0	0.4	0	0	44	0	2.88	26.76	0	0.42	5.33	25.99	0	5.58	0	58.09	0	0	0	0	0	0	0.5	0	0	0	0	3.59	31.14	37	0.25	1.67	0.61	15	14.33	0.33	50	0.62	0	0	80.14	1.33	0	8	2
K01034	127.59	112.99	232.93	49.53	92.58	105.96	158.56	176.94	141.87	245.83	124.3	99.73	507.38	204.38	66.64	167.2	57.16	159.91	75.28	153.82	199.72	330.56	363.46	317.42	478.85	120.77	172.17	76.49	181.75	122.46	20.95	145.82	45.54	566.45	133.69	170.51	317.82	96.84	316.24	138.75	203.91	167.31	94.8	309.74	215.48	88.12	183.65	92.95	168.09	191.89	375.1	217.45	507.14	82.4	130.55	90.79	525.24	442.32	47.83	20.92	117.62	31.27	125.4	132.72	166.7	176.27	241.01	274.7	322.91	251.43	245.42	264.86	255.2	49.66	453.23	65.83	218.27	214.35	41.15	248.23	21.79	45.87	95.02	60.75	257.7	148.32	718.06
K01035	127.59	113.49	240.43	58.53	111.08	130.46	172.56	195.86	156.37	245.83	124.8	104.23	507.38	207.38	79.64	170.7	63.16	168.91	80.28	156.32	206.22	339.56	390.96	320.42	478.85	125.27	186.17	77.99	185.75	126.46	23.45	185.32	49.54	566.45	134.19	176.01	350.32	104.34	334.74	150.75	220.41	169.31	103.3	314.24	222.48	96.12	189.15	102.95	182.59	202.89	390.1	224.45	555.64	83.9	138.05	96.29	528.24	444.82	55.83	20.92	122.62	31.27	126.4	150.22	175.7	187.27	252.51	278.2	377.41	251.43	252.22	270.86	289.2	59.16	464.23	83.83	223.77	264.35	44.15	252.23	21.79	51.87	108.52	64.25	265.2	159.32	720.89
K01039	2.2	0	17.15	3.67	13.3	9.84	1.93	8.76	0.75	2	0	0	1.5	1.67	11.73	0.33	1	0.7	2	17.4	1.67	0	9.06	3	4	1.5	1	8.83	3.21	0.33	0	2.2	2.44	0	0.5	5.8	13.77	0.33	1.5	127.4	4.98	1.17	7.93	1.82	1.83	2.03	12	8.4	10.08	36.53	6.83	4.42	15.93	13.9	0	4.5	0	0.2	21.2	4	3.86	0	7.67	7.6	1.3	2.37	4.07	5.17	7.54	5.67	3.34	3.57	6.77	9.19	27.33	9	1.67	4.47	0.33	2.69	0	1.63	2.4	0.66	31.7	14.12	2.47
K01040	2.2	0	17.15	3.67	13.3	9.84	1.93	8.76	0.75	2	0	0	1.5	1.67	11.73	0.33	1	0.7	2	17.4	1.67	0	9.06	3	4	1.5	1	8.83	3.21	0.33	0	2.2	2.44	0	0.5	5.8	13.77	0.33	1.5	127.4	4.98	1.17	7.93	1.82	1.83	2.03	12	8.4	10.08	36.53	6.83	4.42	15.93	13.9	0	4.5	0	0.2	21.2	4	3.86	0	7.67	7.6	1.3	2.37	4.07	5.17	7.54	5.67	3.34	3.57	6.77	9.19	27.33	9	1.67	4.47	0.33	2.69	0	1.63	2.4	0.66	31.7	14.12	2.47
K01042	193.11	41.66	80.14	41.89	273.74	34.77	25.07	39.18	77.48	48.03	42.19	54.51	592.34	20.62	50.45	103.62	72.54	60.31	145.58	96.24	127.01	360.6	144.28	180.11	40.76	33.08	90.35	23.44	97.15	55.02	25.98	8.4	27.38	527.32	79.07	35.78	250.98	64.27	239.88	100.49	35.16	95.72	52.41	26.86	48.61	34.28	78.93	141.35	72.74	165.92	134.41	356.73	252.51	205.48	62.07	79.81	172.4	199.04	61.53	157.1	72.12	76.3	94.36	55.6	165.76	58.29	128.4	40.44	30.89	49.1	361.18	204.57	94.62	63.57	147.5	29.86	144.82	74.59	126.57	166.79	13.29	9.75	224.74	284.48	353.13	62.03	707
K01046	11.45	15.45	5.12	78.75	103.26	10.95	214.75	65.44	18.55	9.8	73.29	7.4	2.14	57.85	32.86	58.05	18.15	4.29	8.6	14.6	353.21	74.73	115.57	28.2	25.9	40.49	25.34	107.9	27.53	131.6	27.5	8.4	15.54	13.75	56.2	18.45	37.05	76.77	145.05	15.65	44.55	99.38	20.76	20.8	66.65	12.45	74.35	113.7	34.25	54.54	24.45	158.53	8.77	37.23	18.75	98.61	7.15	26.4	9.6	62.95	12.47	38.45	67	69.6	39.05	72.25	94.25	20.05	45.15	52.9	10.4	60.6	16.05	102.56	9.76	43.5	70.41	8.78	15.4	20.79	36.35	13.7	43.44	74.32	38.67	53.85	32.3
