function	FOCUS_401	FOCUS_402	FOCUS_410	FOCUS_413	FOCUS_414	FOCUS_417	FOCUS_428	FOCUS_431	FOCUS_433	FOCUS_444	FOCUS_445	FOCUS_450	FOCUS_454	FOCUS_457	FOCUS_461	FOCUS_463	FOCUS_488	FOCUS_498	FOCUS_509	FOCUS_528	FOCUS_541	FOCUS_546	FOCUS_547	FOCUS_551	FOCUS_554	FOCUS_558	FOCUS_562	FOCUS_564	FOCUS_570	FOCUS_579	FOCUS_582	FOCUS_586	FOCUS_592	FOCUS_597	FOCUS_609	FOCUS_610	FOCUS_621	FOCUS_625	FOCUS_626	FOCUS_632	FOCUS_659	FOCUS_665	FOCUS_667	FOCUS_672	FOCUS_676	FOCUS_679	FOCUS_688	FOCUS_697	FOCUS_698	FOCUS_701	FOCUS_711	FOCUS_713	FOCUS_725	FOCUS_733	FOCUS_754	FOCUS_763	FOCUS_780	FOCUS_784	FOCUS_786	FOCUS_795	FOCUS_796	FOCUS_804	FOCUS_805	FOCUS_806	FOCUS_812	FOCUS_827	FOCUS_831	FOCUS_832	FOCUS_833	FOCUS_838	FOCUS_846	FOCUS_848	FOCUS_857	FOCUS_871	FOCUS_874	FOCUS_885	FOCUS_889	FOCUS_900	FOCUS_905	FOCUS_911	FOCUS_921	FOCUS_925	FOCUS_930	FOCUS_931	FOCUS_939	FOCUS_940	FOCUS_957
K00023	105.83	41.33	0.92	0.67	1.5	0	7.67	9.63	29.5	0	0.5	1.5	3.17	0	52.83	2.33	0	78.17	0	6.5	2.33	13	16	4.5	3	2.5	29.4	36.17	26.2	37	0	0	0.17	19	27.5	13.67	1.5	1.5	10	1	0.66	1.5	6.33	0.4	0.17	0	44	0.17	5.09	36.5	0.33	17.59	3.33	13.67	0	2.17	0	35	0	0	2.5	2.67	38	9.67	1	0	15.67	114	0	4.17	0	55.5	0	2.42	1.63	15	15.83	27	23	1.25	0	0	0	1.66	3.5	34.5	2
K00024	2482.06	2040.02	1555.23	3043.09	3784.52	2509.28	1801	366.33	3079.47	2151.1	1826.42	2726.06	1380.06	3060.8	2143.91	929.45	1732.72	2803.74	2178.06	1897.3	1364.78	2327.66	2428.91	1432.56	2122.21	1421.96	2950.49	1303.31	1812.06	2302.08	1234.96	3487.07	1828.04	1597.35	1813.55	2458.52	2441.87	1599.75	1720.51	2683.79	1709.84	1447.65	2614.23	2112.48	3176.41	2053.1	2583.24	1365.26	2604.37	2155.87	2142.21	1995.43	1749.48	2060.19	1641.38	1793.83	1622.55	2260.36	2294.26	1725.06	1724.49	2567.04	2353.81	3670.98	2259.86	2835.79	2129.14	2340.54	3147.6	1963.37	2098.39	2194.41	2493.03	2813.43	2489.09	2318.02	1617.11	1763.24	1434.26	2003.86	2099.23	1071.39	2628.68	2056.38	2226.62	2573.18	1913.82
K00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00027	1003.62	1178.27	1107.14	735.1	1114.89	1065.99	1417.99	2453.08	661.19	931.2	1023.71	840.86	1302.63	908.37	1002.41	1622.14	767.26	754.06	1022.62	840.05	1403.81	1098.09	1521.62	1003.09	1035.15	1236.54	740.65	1195.25	1499.05	1400.71	1112.49	639.53	584.32	1078.19	1204.25	1131.88	862.43	1299.86	1303.68	940.91	1427.87	1292.91	902.26	1299.8	934.63	1026.36	1126.55	1319.26	813.69	958.01	1195.8	1257.51	1352.36	1255.83	972.52	1046.35	1325.98	1018.04	1185.35	656.6	1265.72	492.38	1037.32	430.17	1065.13	681.83	1055.04	1058.19	878.11	955.46	1514.88	1406.96	820.26	910.82	1270.61	742.28	1146.24	1112.32	908.86	1060.08	670.08	1341.94	664.14	476.54	837.48	1052.42	1138.38
K00029	1560.32	1334.58	1336.47	1841.94	2274.77	2492.52	952.04	280.24	2254.65	1724.06	1293.62	1892.92	924	1843.8	1531.37	879.4	1567.27	1901.94	1629.91	1614.4	769.76	1604.07	1371.96	1078.74	1708.23	970.16	2038.48	1036.95	1353.37	1406.6	1134.34	1862.16	1776.81	1138.88	1464.09	1400.5	1804.96	939.69	1110.83	1510.61	1135.68	989.73	1494.46	1272.67	1787.67	1606.38	1724.05	850.41	1342.21	1994.5	1497.46	1187.24	1198.58	1297.73	1378.81	911.07	1329.1	1549.04	1726.87	1682.37	1195.9	2552.71	1319.7	2270.21	1458.43	1677.72	1287.74	1608.46	1793.84	1619.46	1231.46	1517.11	1577.64	1679.01	1541.39	1328.29	1245.87	1387.54	1402.91	1307.6	1580.09	545.19	1617.48	1784.5	1419.58	1606.94	1481.48
K00030	28.85	45.19	171.94	46.3	47.62	13.44	52.38	226.8	92.75	90.65	43.38	18.27	300.99	7.2	25.65	28.35	28.94	139.09	33.45	85.93	60.98	8.57	92.07	150.13	15.86	26.03	38	17.41	36.18	45.6	154.71	15.1	10.05	8.89	67.16	19.27	71.17	42.3	33.48	137.86	23.36	37.83	18.11	16.91	66.96	13.53	37.02	21.92	33.62	89.14	32.42	122.14	89.32	25.48	29.49	169.44	33.31	110.8	86.33	32.28	143.14	19.42	12.65	13.35	136.26	18.37	138.85	9.62	11.96	20.32	21.67	23.64	42.1	35.47	76.93	8.91	48.74	138.23	19.68	29.6	9.75	14.37	26.29	5.59	21.08	16.32	8
K00031	1549.07	1473.38	1833.43	1885.64	1188.94	1428.4	2127.26	2436.76	1587.34	2345.38	1686.24	1487.53	1525.28	1646.1	1310.1	1996.91	1113.29	1886.35	1436	2060.15	1923.1	1795.9	1592.31	1623.56	2004.67	1827.15	1715.14	1831.03	1999.13	2200.75	1197.85	2066.27	1641.74	1272.38	1933.29	1973.04	1601.44	1865.59	1760.3	1805.69	2002.78	1810.63	2067.3	2113.56	1685.97	2047.79	2043.23	1865.89	1941.08	1305.7	2121.56	1947.44	1706.01	1119.06	1406.36	1730.85	1526.52	1600.82	1633.31	1923.93	1737.34	1029.99	1608.76	1236.03	1868.91	1838.14	1257.05	2048.39	1431.43	1502.97	2058.84	1828.76	1460.1	1877.11	2034.79	1724.72	1660.17	1281.71	2057.07	1675.12	1902.86	1737.89	1887.99	1722.89	1424.32	1878.66	1493.12
K00032	0	0	0.92	0.67	0	0	0	3.83	0	0	0	0	1.17	0	0	0.33	0	0	0	0	0	0	6.34	0	0	0.5	0	0	0	0	0	0	0.17	0	0	0.67	0	0.33	0	0	0.33	0.17	0	0	0.17	0	0	0.17	0.92	0.67	0.33	1.92	0	1.17	0	2.17	0	0	0	0	0	0	0	0	0.5	0	0.17	0.83	0	0	0	0.17	0	0.75	0.5	0	1	0.17	0.33	0.92	0	0	0	0.33	0.5	0	0
K00033	945.76	789.7	460.46	1286.88	358.91	645.25	871.46	123.46	749.58	1506.38	750.18	404.37	874.94	968.46	595.89	526.68	451.89	1269.22	425.24	432.04	733.62	1098.6	397.86	329.19	1499.99	425.02	1233.66	437.58	756.02	865.96	272.44	1517.84	215.85	870.15	824.12	1018.65	1003.92	730.3	831.83	1253.94	677.59	513.16	1236.97	890.05	1034.4	1081.47	900.3	672.29	1267.89	599.64	681.02	929.06	666.57	726.03	268.92	957.57	1154.44	900.41	1129.3	290.63	629.19	511.64	835.21	901.1	911.83	1220.13	422.39	875.59	700.26	593.17	920.94	628.41	1056.74	1106.73	1090.22	994.52	871.12	421.69	133.93	893.9	554.14	499.6	1292.07	581.69	1215.45	853.49	1126.48
K00034	0	1.8	11	0.91	0.67	25.2	58.87	104.6	0	3.33	1.67	0.67	42.47	0	10.6	4	1	28.93	3	1.8	11.33	3.4	0.33	0	0	0	10	0	8.13	0	3.67	46.4	4	0.67	4	29.4	17.33	1.87	2.33	35.4	10.06	6	8.4	2	15.67	3	4.93	3.67	93.53	71.13	1.33	8.66	25.5	59.33	5.33	25.33	3	0	11	0	0.67	5	0	17.5	8.54	5.4	10.4	0	182	0	4	0.67	90.2	44.47	332.67	12.4	0.67	3.33	0	68.93	0.33	1.33	74.73	0	38.8	6.2	3.5
