KOs	FOCUS_401	FOCUS_402	FOCUS_410	FOCUS_413	FOCUS_414	FOCUS_417	FOCUS_428	FOCUS_431	FOCUS_433	FOCUS_444	FOCUS_445	FOCUS_450	FOCUS_454	FOCUS_457	FOCUS_461	FOCUS_463	FOCUS_488	FOCUS_498	FOCUS_509	FOCUS_528	FOCUS_541	FOCUS_546	FOCUS_547	FOCUS_551	FOCUS_554	FOCUS_558	FOCUS_562	FOCUS_564	FOCUS_570	FOCUS_579	FOCUS_582	FOCUS_586	FOCUS_592	FOCUS_597	FOCUS_609	FOCUS_610	FOCUS_621	FOCUS_625	FOCUS_626	FOCUS_632	FOCUS_659	FOCUS_665	FOCUS_667	FOCUS_672	FOCUS_676	FOCUS_679	FOCUS_688	FOCUS_697	FOCUS_698	FOCUS_701	FOCUS_711	FOCUS_713	FOCUS_725	FOCUS_733	FOCUS_754	FOCUS_763	FOCUS_780	FOCUS_784	FOCUS_786	FOCUS_795	FOCUS_796	FOCUS_804	FOCUS_805	FOCUS_806	FOCUS_812	FOCUS_827	FOCUS_831	FOCUS_832	FOCUS_833	FOCUS_838	FOCUS_846	FOCUS_848	FOCUS_857	FOCUS_871	FOCUS_874	FOCUS_885	FOCUS_889	FOCUS_900	FOCUS_905	FOCUS_911	FOCUS_921	FOCUS_925	FOCUS_930	FOCUS_931	FOCUS_939	FOCUS_940	FOCUS_957
K00012	3150.483122	1291.233202	1972.096975	3680.720729	2789.413785	3341.90877	3036.004543	5340.645482	2434.828943	1271.655414	1289.250502	2361.231313	1240.901393	3422.2904	3195.660805	825.362946	1665.924155	3107.760347	2121.420842	1580.801977	2301.905395	2597.711435	3511.467715	2483.679758	1629.656062	1995.665968	3520.747429	1910.603721	3919.623433	3673.134149	1369.667235	5178.79498	1124.847539	1320.982514	3367.279787	4359.30288	2826.511957	3142.285791	2285.604027	3447.945315	2913.580479	2135.981276	3181.913226	2504.000994	2907.818866	3243.490713	3215.26386	2542.806036	4041.612997	4355.930941	3578.199661	2490.760796	2430.729077	2370.267713	869.8397044	2483.714719	993.7000109	2672.740644	2408.570679	908.9013761	2132.729391	6440.636501	3048.368735	3974.412706	3306.289673	3794.272153	2758.478135	4443.843567	3909.474607	3336.611803	2257.676846	3105.273362	2710.291127	3293.305712	3985.909797	3462.683028	1216.665192	1890.48898	588.9438016	2834.307805	3454.721942	1992.987819	4054.508224	1208.979365	3075.704638	2990.224214	1627.246855
K00013	4219.743043	1491.181382	1861.400546	3397.272316	1167.479724	3858.652818	3200.534305	5581.641911	1736.186086	1827.113747	2361.661217	2455.72536	1623.099012	3409.463019	3533.650885	1134.882787	1239.315028	3370.438918	1502.172827	1828.90912	2656.149443	2197.336435	2718.506749	2466.388092	1929.429871	2198.610015	3572.29862	2606.353721	4188.865496	3710.551516	2773.88152	4921.981488	1088.918968	1166.625371	3229.809549	4596.046927	2716.321481	3314.994124	2414.520693	3715.106029	3026.667781	2327.695562	3335.073941	2297.286708	2287.646247	3576.568094	2877.757907	2780.329846	4217.077283	3870.371418	3465.032995	2704.274685	2587.492966	6194.476046	1848.990498	3252.774243	1152.140487	3178.403342	2449.558774	1349.274392	2942.919867	5856.600786	2833.382623	2846.716277	2735.551578	3570.06382	2287.865039	4095.914996	3325.903178	4256.989534	2529.489521	2478.362647	3084.261366	3112.204522	3894.414559	3209.79017	1609.343764	1836.881837	850.3485635	3654.44471	4287.370751	2807.620755	4250.34751	1129.628175	3253.270114	2494.527785	1740.478997
K00014	4782.637858	2768.205826	2209.994356	4349.255835	2996.731576	4702.443003	4046.364036	6117.786003	2747.876879	2128.750757	3092.214651	3512.601154	2252.099651	4348.783675	4766.986625	2351.772417	1687.375769	3804.525602	2245.511682	2246.875096	3008.783584	2930.011435	4255.646318	2862.23661	2125.67376	4081.606682	4474.793434	3641.922239	4733.067314	4249.750405	4549.09078	5433.079972	1799.169338	1561.331853	3798.959549	5231.937584	3196.278889	4581.404309	3801.396037	4518.614733	3631.19667	4008.535613	3679.107089	3336.164671	3455.555506	4032.309255	3759.140474	4646.936767	4641.549505	5510.08864	4127.255032	3147.056602	3379.529077	6799.633083	2059.241794	3610.408872	1424.013265	3641.020935	3139.128774	2197.490133	4093.431163	6884.562268	4125.239997	4448.32328	3829.770368	4529.818079	3926.156336	4598.558514	5286.747235	4722.098846	3174.511743	3487.538388	3620.377291	3797.438966	4787.68232	4720.996096	2097.040986	2450.321621	2214.381156	4307.673383	4876.23464	4266.412051	4741.918806	2175.660767	3686.669172	3831.533896	1868.875452
K00015	78.95	50.5	63.08571429	49.2	149.4428571	75.4	164.8166667	109.8714286	71.2	23.62222222	106.8857143	61.8	114.2714286	55.65	28.7	71.3	111.35	54.3	88.4	140.5	68.50714286	71.4	104.9714286	77.7	86.6	250.2428571	90.31060606	66.4	138.2119048	96.7	46.9	34	29.08571429	91.6	67.9	223.3857143	159.1	102.1	67.4	102.9	113.9	30.55714286	249.9	37.66666667	22.75	34.8	107.1	135.6	35.54285714	118.2142857	90.3	42.23571429	71.6	6.285714286	124	599.0142857	14.4	93.9	162.9	203.3	56.3	54.8	41.3	47.44444444	86.8	81.9	107.25	107.8	8	41.16904762	96.15	175.8	138.9	39.16666667	144.6857143	246.3	228.4444444	37.8	22.3	54.47142857	30.6	27.3	159	441.0722222	243	123.3	101.4
K00016	1996.4893	1409.289683	1205.563256	1076.482747	320.0570642	1362.404233	1101.842916	901.1585643	363.0365079	785.6776562	1773.839734	1157.679944	1015.715759	875.1132756	2163.52121	1466.702924	543.8838553	754.3054802	624.9321757	1073.988345	752.6590899	350.263758	1117.971783	267.4025275	456.2399507	2135.594048	1025.416584	1618.969419	859.2862809	746.172737	3058.373545	479.6697525	629.9503575	375.8142035	1215.986519	863.4910105	401.4060674	1415.525533	1440.088767	1269.645724	807.7033677	1759.75785	522.2317003	319.7362899	610.4388925	760.2811552	510.742328	1919.538749	791.4563278	3314.002563	567.6895145	796.8950924	1110.612913	4818.878603	1143.240633	1375.524964	512.8500107	1414.536029	816.171879	1131.126069	1886.468529	4752.696218	1185.962374	367.7316859	1233.633285	914.8034034	1714.677345	182.6167489	2196.511548	3062.96114	1004.728175	897.8676391	940.5741052	455.1187044	741.6234237	1258.933069	713.8585264	469.9852083	1803.794042	1827.958911	1392.94423	2258.384939	1515.741213	593.1690297	1230.579759	805.6459888	320.2731925
K00018	78.95	50.5	63.08571429	49.2	149.4428571	75.4	164.8166667	109.8714286	71.2	23.62222222	106.8857143	61.8	114.2714286	55.65	28.7	71.3	111.35	54.3	88.4	140.5	68.50714286	71.4	104.9714286	77.7	86.6	250.2428571	90.31060606	66.4	138.2119048	96.7	46.9	34	29.08571429	91.6	67.9	223.3857143	159.1	102.1	67.4	102.9	113.9	30.55714286	249.9	37.66666667	22.75	34.8	107.1	135.6	35.54285714	118.2142857	90.3	42.23571429	71.6	6.285714286	124	599.0142857	14.4	93.9	162.9	203.3	56.3	54.8	41.3	47.44444444	86.8	81.9	107.25	107.8	8	41.16904762	96.15	175.8	138.9	39.16666667	144.6857143	246.3	228.4444444	37.8	22.3	54.47142857	30.6	27.3	159	441.0722222	243	123.3	101.4
K00019	0	0	0	10	2.72	0	0	6	0	0	4	9	84	0	0	0	0	0	0	0	3	0	21.08	0	0	0	21.53333333	0	0.333333333	0	0	0	1	0	4	0	27	2	5	1	2	4	0	0.666666667	2	2	1	0	2	1	0	0	1	0	0	1	4	19	0	9	5	0	0	0	6	5	0	4	0	0.8	0	0	0	5	1	0	1	1	0	1	0	0	0	2	0	0	0
K00020	189.2321429	280.1785714	962.2714286	330.5434174	238.9054978	256.5357143	1105.446429	5097.442857	259.5357143	515.6388889	420.7797619	703.7142857	499.6857143	425.2142857	56.16785714	542.8809524	114.9285714	705.5535714	192.2880952	642.8821429	891.7178571	863.15	1284.594286	335.375	867.3988095	1004.136905	273.6853896	427	2060.97619	1254.892857	741.4642857	1221.339286	265.7738095	173.5345238	1273.946429	1626.821429	465.2310924	1276.75	393	286.0357143	1513.317857	648.9464286	391.4857143	256.7440476	326.2440476	1773.285714	753.5714286	1118.857143	812.3571429	330.4464286	1334.875	188.9857143	526.0666667	224.1235994	199.2619048	960.5654762	399.8321429	1054.378571	49.07142857	362.1785714	485.3321429	113.9642857	340.875	329.4980159	326.1285714	238.0166667	269.0285714	1383.696429	346.8035714	261.6928571	288.0392857	773.4309524	150.7065126	195.2821429	1400.132143	553.8571429	372.8313492	742.4761905	305.3361345	128.875	469.6071429	808.1607143	470.8642857	233.6210317	198.2321429	428.1785714	612.0107143
K00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00022	189.2321429	280.1785714	962.2714286	330.5434174	238.9054978	256.5357143	1105.446429	5097.442857	259.5357143	515.6388889	420.7797619	703.7142857	499.6857143	425.2142857	56.16785714	542.8809524	114.9285714	705.5535714	192.2880952	642.8821429	891.7178571	863.15	1284.594286	335.375	867.3988095	1004.136905	273.6853896	427	2060.97619	1254.892857	741.4642857	1221.339286	265.7738095	173.5345238	1273.946429	1626.821429	465.2310924	1276.75	393	286.0357143	1513.317857	648.9464286	391.4857143	256.7440476	326.2440476	1773.285714	753.5714286	1118.857143	812.3571429	330.4464286	1334.875	188.9857143	526.0666667	224.1235994	199.2619048	960.5654762	399.8321429	1054.378571	49.07142857	362.1785714	485.3321429	113.9642857	340.875	329.4980159	326.1285714	238.0166667	269.0285714	1383.696429	346.8035714	261.6928571	288.0392857	773.4309524	150.7065126	195.2821429	1400.132143	553.8571429	372.8313492	742.4761905	305.3361345	128.875	469.6071429	808.1607143	470.8642857	233.6210317	198.2321429	428.1785714	612.0107143
