KO	FOCUS_401	FOCUS_402	FOCUS_410	FOCUS_413	FOCUS_414	FOCUS_417	FOCUS_428	FOCUS_431	FOCUS_433	FOCUS_444	FOCUS_445	FOCUS_450	FOCUS_454	FOCUS_457	FOCUS_461	FOCUS_463	FOCUS_488	FOCUS_498	FOCUS_509	FOCUS_528	FOCUS_541	FOCUS_546	FOCUS_547	FOCUS_551	FOCUS_554	FOCUS_558	FOCUS_562	FOCUS_564	FOCUS_570	FOCUS_579	FOCUS_582	FOCUS_586	FOCUS_592	FOCUS_597	FOCUS_609	FOCUS_610	FOCUS_621	FOCUS_625	FOCUS_626	FOCUS_632	FOCUS_659	FOCUS_665	FOCUS_667	FOCUS_672	FOCUS_676	FOCUS_679	FOCUS_688	FOCUS_697	FOCUS_698	FOCUS_701	FOCUS_711	FOCUS_713	FOCUS_725	FOCUS_733	FOCUS_754	FOCUS_763	FOCUS_780	FOCUS_784	FOCUS_786	FOCUS_795	FOCUS_796	FOCUS_804	FOCUS_805	FOCUS_806	FOCUS_812	FOCUS_827	FOCUS_831	FOCUS_832	FOCUS_833	FOCUS_838	FOCUS_846	FOCUS_848	FOCUS_857	FOCUS_871	FOCUS_874	FOCUS_885	FOCUS_889	FOCUS_900	FOCUS_905	FOCUS_911	FOCUS_921	FOCUS_925	FOCUS_930	FOCUS_931	FOCUS_939	FOCUS_940	FOCUS_957
K00904	0.000194877	0.000165445	0.000135052	0.000160601	0.001140146	0.000296232	1.19E-05	8.32E-06	0.000300421	3.92E-05	9.10E-05	0.000529307	7.49E-05	0.000190577	0.000191668	4.15E-05	6.07E-05	0.000161553	0.000359216	0.000175036	2.64E-06	0.000404293	0.00054959	7.65E-05	5.90E-05	0.000170896	0.000195021	1.46E-05	0.000232326	0.000227873	4.10E-05	0.000152641	2.81E-06	0.000324628	0.000211549	0.000160293	0.000143485	7.65E-05	0.000158472	0.000152493	0.000113263	0.000136843	3.53E-05	0.000308518	0.000430015	0.000118123	0.000321804	5.83E-05	3.91E-05	0.000312154	0.000256877	3.66E-05	0.000371124	0.000123372	5.51E-05	2.34E-05	3.95E-05	0.000169033	1.37E-05	2.90E-05	0.000124694	0.000152955	0.00016847	0.000582718	0.000381727	0.000169372	0.000369012	0.00022052	0.000317452	0.000162495	0.000228051	0.000395406	5.77E-05	0.000202055	0.000194378	0.000113917	6.24E-05	0.000232468	5.72E-05	8.89E-05	2.82E-05	2.81E-05	1.02E-05	0.000136742	1.61E-05	0.000233018	7.87E-05
K00912	0.001294729	0.001004405	0.000984226	0.001688422	0.002038904	0.001575218	0.001128512	0.000129882	0.001802744	0.001175354	0.000775896	0.001091362	0.001028236	0.001540646	0.001258658	0.000369221	0.001911195	0.001665622	0.001854071	0.000843776	0.001064817	0.001343149	0.000900235	0.001666934	0.001012472	0.000816763	0.001596617	0.001172671	0.000969168	0.00133496	0.000880396	0.001578982	0.001363374	0.001418984	0.00115659	0.001270589	0.001702522	0.000822914	0.001176027	0.001372507	0.000965613	0.001078425	0.001594958	0.001378689	0.001650463	0.001020253	0.001487705	0.000894149	0.001569989	0.001394351	0.001261736	0.001591049	0.001209379	0.000739064	0.000850562	0.000924326	0.001025534	0.001297154	0.001733109	0.001052236	0.001066664	0.001553601	0.0014775	0.001922725	0.001645344	0.001664254	0.00141961	0.001396017	0.001214413	0.001234008	0.00136695	0.001401279	0.00151323	0.001785674	0.001453866	0.001499195	0.00116065	0.001176509	0.000507775	0.001382706	0.001436834	0.000769451	0.001569382	0.001401429	0.001468697	0.00153421	0.001274191
K00917	0.001775671	0.001957051	0.00184124	0.001844807	0.0018315	0.001716316	0.001894499	0.001754438	0.001522573	0.001936775	0.001840064	0.001867087	0.001933394	0.001893312	0.001629688	0.001872712	0.001807374	0.001763872	0.002184457	0.001724527	0.001877172	0.001885771	0.001896519	0.002031668	0.001920898	0.001920857	0.001872964	0.001801155	0.001805244	0.001836045	0.001640458	0.001942826	0.001543101	0.00173728	0.001514204	0.001915153	0.001442625	0.001868018	0.001874417	0.001969356	0.001895888	0.00190598	0.001920039	0.002180569	0.002080138	0.001819836	0.00196558	0.001868303	0.001964584	0.001325909	0.001867281	0.001899717	0.001671248	0.001620809	0.001787458	0.001883351	0.001708824	0.001750115	0.001794947	0.001757837	0.00186384	0.00078693	0.001923471	0.001901287	0.001786378	0.001908869	0.001751331	0.001871816	0.00160653	0.001242047	0.001912097	0.001579426	0.001869686	0.002021627	0.00194193	0.00194634	0.001897057	0.001852497	0.001704281	0.001850484	0.001972405	0.001953834	0.001654928	0.001769399	0.001648494	0.001860358	0.001753717
K00919	0.001706596	0.001823235	0.001636628	0.001867002	0.001084819	0.001715384	0.0019044	0.001750117	0.001715858	0.001959896	0.00176448	0.001435782	0.001868338	0.001830113	0.001628184	0.001925726	0.002149431	0.001854899	0.001913359	0.001744541	0.001904759	0.001500955	0.001468917	0.001970741	0.001880576	0.001771407	0.0017975	0.001951183	0.001613726	0.001684475	0.001890171	0.001834888	0.002003268	0.001448314	0.001638115	0.001770246	0.001860025	0.001847381	0.001770853	0.001827547	0.001795506	0.001888213	0.001900877	0.00189984	0.001650463	0.001776536	0.001713631	0.0018542	0.001953045	0.00151526	0.001703771	0.001959478	0.001609154	0.001641423	0.00175731	0.001878121	0.00189451	0.001680108	0.002023339	0.001852239	0.001804237	0.001595095	0.001828802	0.001575537	0.001632373	0.001864886	0.001583492	0.001715903	0.001602743	0.001610764	0.001710236	0.001454441	0.001885913	0.001845318	0.001769715	0.001861748	0.001830746	0.001737454	0.001761827	0.001858656	0.001974926	0.001931839	0.001885444	0.001666761	0.001857924	0.001808964	0.001731533
K00925	0.001775088	0.00195527	0.00180393	0.001845945	0.001859878	0.001731508	0.001899508	0.001714141	0.001541596	0.001938195	0.001821101	0.00189647	0.001954353	0.001893312	0.001625799	0.001946074	0.001816724	0.001824267	0.00221186	0.001850129	0.001869293	0.001884074	0.00190071	0.002024091	0.001885394	0.001905409	0.001889594	0.001801046	0.001804333	0.00182965	0.001644501	0.001940349	0.001543242	0.001737393	0.001506691	0.001924541	0.001488571	0.001888515	0.00187825	0.001980099	0.001884754	0.001906756	0.001900728	0.002174501	0.002080931	0.001829316	0.001939782	0.001894175	0.001964063	0.001300295	0.001945477	0.001922692	0.001909665	0.001688433	0.001770088	0.001846841	0.001731341	0.001745643	0.001788492	0.001752963	0.001863541	0.000828761	0.001870003	0.00190085	0.001770094	0.001914087	0.001744437	0.00187264	0.001607843	0.001242588	0.001916396	0.001611208	0.001730686	0.00197756	0.00194893	0.00195127	0.0017938	0.001913075	0.001696297	0.001810417	0.001962574	0.001948101	0.001690704	0.001777161	0.001547883	0.001884424	0.001804927
K00926	1.75E-06	2.29E-05	0.000163429	4.02E-06	1.40E-05	2.45E-05	9.22E-06	1.84E-05	0.000153524	3.52E-05	2.90E-05	1.64E-05	1.06E-05	5.01E-05	2.82E-05	1.05E-05	4.00E-05	2.50E-05	7.44E-06	3.52E-05	1.67E-05	1.48E-05	4.65E-05	3.72E-06	1.71E-05	4.37E-06	8.53E-06	0.000142101	1.25E-05	8.49E-06	1.51E-05	1.86E-06	2.36E-05	1.20E-05	9.41E-06	4.79E-06	1.13E-05	5.43E-05	1.22E-05	2.27E-05	2.11E-05	4.86E-05	0	1.33E-05	3.57E-06	1.41E-05	1.37E-05	8.17E-06	6.77E-06	4.62E-05	1.01E-06	7.49E-05	1.30E-05	8.74E-07	3.03E-05	4.64E-05	2.00E-05	2.32E-05	2.19E-06	0.000142309	5.70E-05	4.64E-06	5.10E-05	2.28E-05	9.10E-06	9.84E-06	7.93E-05	5.27E-06	1.65E-05	1.11E-05	2.33E-05	2.58E-05	0.000153967	7.58E-06	3.72E-06	1.25E-06	2.47E-05	3.37E-05	2.00E-05	7.86E-06	2.02E-06	7.27E-05	3.04E-05	9.32E-07	1.86E-05	1.50E-05	1.65E-06
K00927	0.001023492	0.001395935	0.001348378	0.000776037	0.001793328	0.001104511	0.000926259	0.001686229	0.001322653	0.001032165	0.001402331	0.001536272	0.001268997	0.000866356	0.001251467	0.001839517	0.001657846	0.000825163	0.00170168	0.00145241	0.000934066	0.001149523	0.00160843	0.000582599	0.00119592	0.001449111	0.00086181	0.001093545	0.001308399	0.001030296	0.001687668	0.000627536	0.001512345	0.001104422	0.0013048	0.000930601	0.001206448	0.001295966	0.001136075	0.000852221	0.001262209	0.00125217	0.00068246	0.001249866	0.000987226	0.001116809	0.001025747	0.001309956	0.000511976	0.001397352	0.00105367	0.00061522	0.001466634	0.001308391	0.001254261	0.001276849	0.001205608	0.001128574	0.000715741	0.001392658	0.001139884	0.001333619	0.000825916	0.001114769	0.00104453	0.000762871	0.001255086	0.000955916	0.001352037	0.001298424	0.000953959	0.001378083	0.000842861	0.000628092	0.000838353	0.000817112	0.001298783	0.001271236	0.001664916	0.000896266	0.000657942	0.001264831	0.000703104	0.001373815	0.001079148	0.001032598	0.000894573
K00928	0	0.00015182	2.05E-05	4.95E-05	0	0	0	0	0	0	0	0	4.36E-06	0	0	0	0	0	0	0	1.76E-06	0	7.24E-07	0	0	0	0	1.32E-05	2.50E-06	0	0.000239535	0	0.000375382	0	0	0	9.73E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.30E-05	0	2.58E-06	0	0	0	1.03E-06	0	0	0	0	0	0	0	4.11E-07	0	0	0	0	0	0	0	0	0	0	0	0
K00929	0.000340171	0.000504524	0.000339034	0.000272043	0.001222816	0.00038454	0.000383932	0.001220972	0.000402402	0.000254127	0.000205522	0.000816844	0.000118859	0.000259506	0.000221439	0.00032363	0.000106627	0.000235885	0.000398123	0.000387608	0.000237703	0.00073978	0.001011503	0.000241186	0.000277584	0.000383479	0.000259141	8.11E-05	0.000883252	0.000737323	0.000306181	0.000490576	0.000437289	0.000395286	0.000714312	0.00057972	0.00033493	0.000511712	0.000332872	0.000259327	0.000665247	0.000284739	0.000174697	0.000448354	0.000520808	0.000732969	0.000555494	0.000320747	0.000247808	0.000404555	0.00071148	0.000113595	0.000551204	0.000224633	0.000316323	0.000103181	0.0003962	0.000342205	2.53E-05	9.41E-05	0.000254707	0.000195358	0.000315907	0.000668695	0.000492515	0.00023776	0.000451801	0.000663312	0.000445584	0.000218903	0.000442323	0.000763738	0.000127019	0.000236941	0.00053579	0.000256532	0.000200238	0.000639474	0.000173525	0.000120151	6.97E-05	0.000164639	0.000150703	0.000224486	7.75E-05	0.000397413	0.000298767
K00930	0.001703097	0.001625271	0.001550184	0.001749228	0.000743007	0.001428613	0.001863317	0.001723306	0.001258048	0.001767879	0.001714947	0.001392712	0.001588244	0.001677357	0.001618362	0.001783489	0.00090927	0.001522202	0.001162963	0.001663705	0.001886074	0.001480304	0.001332408	0.001966058	0.001861556	0.001744495	0.001689865	0.001744173	0.001562038	0.00167352	0.001207956	0.001827899	0.001154578	0.001446648	0.001607596	0.001760417	0.001319181	0.001804725	0.001766214	0.001823369	0.001734555	0.001760814	0.001898331	0.001878754	0.001610911	0.001690871	0.001652152	0.001699953	0.00194725	0.001510712	0.00166054	0.001892108	0.001321606	0.001640112	0.001634607	0.001619383	0.001779408	0.001386839	0.001744385	0.001321503	0.001716385	0.001592404	0.00180734	0.001302909	0.001560441	0.001858326	0.001570624	0.001690299	0.001584555	0.001568051	0.001654512	0.001448952	0.001806349	0.001793595	0.001721484	0.001836601	0.001454556	0.001716288	0.001687316	0.00184995	0.001942154	0.001917511	0.001850538	0.000900892	0.001854421	0.001666519	0.001707664
