KO	ERR475468	ERR475469	ERR475470	ERR475471	ERR475473	ERR475474	ERR475476	ERR475477	ERR475478	ERR475480	ERR475481	ERR475482	ERR475483	ERR475484	ERR475485	ERR475486	ERR475487	ERR475488	ERR475491	ERR475492	ERR475493	ERR475494	ERR475495	ERR475497	ERR475499	ERR475500	ERR475501	ERR475503	ERR475504	ERR475508	ERR475509	ERR475512	ERR475513	ERR475514	ERR475515	ERR475516	ERR475517	ERR475519	ERR475520	ERR475521	ERR475522	ERR475523	ERR475524	ERR475525	ERR475526	ERR475527	ERR475529	ERR475531	ERR475532	ERR475533	ERR475534	ERR475539	ERR475540	ERR475541	ERR475545	ERR475547	ERR475548	ERR475549	ERR475550	ERR475553	ERR475555	ERR475557	ERR475560	ERR475562	ERR475563	ERR475564	ERR475565	ERR475566	ERR475567	ERR475568	ERR475569	ERR475570	ERR475571	ERR475572	ERR475573	ERR475574	ERR475575	ERR475576	ERR475577	ERR475578	ERR475579	ERR475580	ERR475581	ERR475582	ERR475585	ERR475586	ERR475588	ERR475589	ERR475591	ERR475592	ERR475594
K00001	5520.72	5928.07	2670.25	4285.73	2585.7	2638.7	6617.45	3991.97	5883.18	577.2	2427.86	778.52	397.37	1957.91	2699.64	1044.51	491.34	1452.46	3898.17	1962.28	4667.64	2620.61	2016.64	19210.17	17711.26	20807.49	42067.74	21064.09	31965.8	19383.21	21498.98	4658.8	36448.1	6756.58	4387.18	5967.05	1464.45	8481.37	22675.77	22002.13	2650.82	4790.74	18285.37	7811.31	6282.5	5558.75	2582.03	4936.51	6446.02	8197.59	8791.64	4155.61	14201.49	10192.33	10432.79	7331.52	5299.69	2213.96	3356.12	676.51	2913.11	14872.82	4050.03	6275.36	3870.9	350.8	9059.83	4658.62	18488.18	1766.41	9457.94	4499.62	2411.92	3961.54	5220.21	3780.3	2427.24	24316.79	4905.28	12145.21	4907.7	5506.07	3528.89	12577.9	5738.6	6248.23	33292.34	17465.41	9609.1	18656.95	5126
K00002	634.5	0	211	26.5	0	48	26.9	79	2230	0	21.5	0	0	0	0	18.8	1159	0	10	39.5	0	18.5	125	2.5	25956	8385.5	4	1091	1857.6	11299.5	7141.3	7.5	0	560.5	1107	1272	15.7	89.5	0	20.5	0	10	0	1272	579	1212.5	0	1	262	15.5	1595.5	1	0	4.5	11.4	187	231.5	0	8.6	469.5	0	3848.6	1800	31.8	130	1.5	13.4	0	0	65	759	0	103.8	1.5	619.5	888.5	469	0	2770	1203.5	0	241.5	0	9287	316	0	0	1527.8	0	24	182.2
K00003	30674.53	19558.56	16288.64	13376.14	14233.89	14986.59	19579.83	14815.96	46104.38	16200.66	18323.18	21005.8	16391.82	10425.51	12217.53	7796.39	12708.98	14704.95	7489.86	11632.64	35661.79	15432.61	17140.73	84829.74	140496.86	79424.92	56293.9	112197.38	109700.64	135766.08	93668.59	46576.53	80402.03	30599.61	54184.28	50423.15	51566.5	80319.35	24723.13	82503.05	22264.14	44739.42	40287.77	43602.67	43279.88	38452.95	11784.53	30621.17	24021.07	29268.53	48479.76	18876.55	23807.43	32591.03	29748.58	26602.96	34858.25	62325.37	48188.3	37205.72	31747.88	42537.94	44049.92	28589.22	39389.67	64682.33	31171.27	45087.83	19454.14	24066.97	39497.01	63433.54	52779.6	36892.68	35543.07	81429.26	43090.67	36331.17	44997.09	33716.18	26536.21	18977.17	27758.9	67302.39	50931.08	35853.64	64275.26	67395.17	53692.62	48258.81	44707.69
K00004	30.45	21.35	9.85	0	3	111.67	164.87	1.8	15.64	7	3.08	98.62	21.65	1.5	89.25	2.67	8.08	8.58	15.82	6.66	11.11	12.08	2	32.42	85.93	160.53	13512.63	80.08	294.31	10.51	521.76	25.08	184.1	1	47.41	14.88	52.44	289.22	219.83	93.45	2	24.78	325.24	9.5	147.62	8.4	37.08	28	26	71	92.22	207.41	306.6	137.45	39.43	19.33	11.78	5.94	48.08	3.83	8.93	239.7	38.91	79.8	42.93	27.25	24.67	0	628.98	15.25	22.62	33.74	90.16	57.91	99.23	82.83	60	725.99	24.8	37.83	89.65	8.4	8	78.51	85.96	708.65	499.87	144.62	196.32	143.93	2170.89
K00005	6628.39	5182.51	3248.66	3033.53	2559.87	4280.58	4803.09	5462.32	8656.91	3001.03	1793.18	3627.16	5242.08	4545.71	4930.76	3184.5	3308.93	3005.01	3476.49	1591.62	9539.54	2842.63	3398.22	20294.19	14170.65	10961.86	11400.15	19163.7	28127.32	15599.13	23052.72	12709.6	15857.92	10079.12	9797.57	9933.28	12702.36	18463.34	7251.6	12286.86	6754.89	20682.24	10775.83	13640.37	13363.86	13982.03	12840.44	7867.53	2789.15	10565.57	11382.83	8951.31	4790.61	11736.01	3360.84	3108.06	6799.51	21313.89	17364.27	14458.16	12470.64	6155.78	9540.41	8731.95	10646.8	6617.84	4475.25	11818.05	9915.82	6170.36	11182.01	14247.21	19713.03	10079.33	8074.02	33121.56	9508.79	5070.98	14563.1	8870.04	6522.94	5720.86	9285.73	9372.8	7059.21	17738.54	20788.58	5265.81	7285.42	9927.41	18640.47
K00007	1.5	3.62	0	18.57	0	0	0	215.83	67.32	0	0	0	3.5	0	0	0	0	0.5	13.14	0	0.75	0	0	0	0	0	0	0	1.62	0	0	0	3.75	25.74	0	0	0	23.25	2.25	0	0	0	0	32.57	0	485.14	0	0	0	0	0	0.5	1.98	23.38	0	0	0	0	0	50.18	0	0.75	12.25	0	0	1.33	0	0	0	0	4.5	2.71	0	0	98.83	0	2.38	0	21.43	0	0	9.02	83	0	0	4	0	0	0	0	0
K00008	17902.34	12420.58	9361.5	7003.11	8840.48	11982.19	15063.23	8924.84	25684.96	9475.91	13237.2	8806.53	13346.42	6037.75	5070.48	6775.02	7116.88	5777.72	4994.13	5675.23	27440.39	7608.65	12265.93	68149.98	53604.97	24273.09	78725.39	55563.6	69672.01	64150.75	44593.54	35675.1	42047.93	17004.11	34462.95	32077.99	24775.53	42807.37	21755.33	46221.28	14352.63	26950.6	32200.94	25038.25	23883.42	23407.25	8016.27	22272.11	13852.85	19253.37	28831.52	9935.01	10551.42	24327.36	22803.64	13337.58	22495.66	49153.24	36238.16	31391.25	25516.68	23601.66	25981.85	19887.24	32032.94	10198.61	25776.29	34242.52	20758.67	14593.85	21369.72	45409.02	39443.6	24610.22	21961.91	69382.27	19207.86	26839.98	26020.45	17354.59	10799.11	12812.95	15431.92	32445.42	22004.58	21595	50918.66	27873.92	27956.4	22501.18	23147.51
K00009	1559.42	1640.29	417.22	70.01	90.84	1950.75	1519.48	487.1	1427.72	1924.23	299.67	862.07	2844.4	1332.44	1199.71	2720.41	450.61	624.25	1300.73	569.31	2243.05	246.82	356.5	4878.98	2258.09	32974	2401.19	6991.85	11208.07	6033.28	9830.23	2149.98	3699.37	2879.13	2942.62	1466.72	1179.62	5832.18	459.13	2072.37	561.48	1415.58	7239.15	892.57	7055.75	2495.24	9190.44	1049.02	283.17	884.72	1835.33	1035.26	1583	1691.4	501.8	1237.08	1579.94	8728.49	3054.81	5517.1	3579.58	1876.95	4871.86	962.06	2890.45	2167.82	1407.24	1698.01	4984.2	1039.62	1322.78	7392.72	4453.25	1699.15	2209.1	14976.46	807.02	2228.18	2724.49	7749.02	381.79	2013.73	672.94	2953.45	587.49	4641.52	5899.79	3061.84	3612.12	615.34	5462.34
K00010	661.73	1595.32	379.8	352.92	359.22	1784.24	1735.34	191.07	1450.48	1949.53	590.81	506.6	1901.73	333.54	273.91	1449.75	350.31	364.52	519	569.31	1580.17	459.85	539.49	5498.68	2226.71	316.32	5837.84	6742.52	12085.32	8043.91	4778.97	2395.34	5429.48	732.29	2521.18	777.67	1185.83	4357.29	6261.88	2803.59	581.99	1155.87	4548.13	652.18	1277.5	952.02	1434.68	993.3	739.68	415.39	990.34	1163.78	2657.59	1414.47	707.83	2497.37	1617.71	7526.01	2532.25	3887.82	2417.55	1747.83	3292.29	1748.16	2127.34	1219.21	1076.8	1852.89	6724.56	225.17	739.51	6924.23	4543.49	1441.34	951.21	23875.26	657.49	835.48	5462.77	2325.41	474.22	840.84	347.85	1159.32	274.81	1669.6	4496.51	3378.33	4438.09	1594.1	2616.48
K00012	21431.64	13307.45	10607.86	13207.21	12758.75	9863.3	34364.52	13556.16	32228.11	6028.28	8757.97	14799.93	7053.16	14781.01	10396.11	3626.43	6202.97	11167.17	11417.62	8909.29	24878.73	11510.29	11657.18	63135.98	112336.28	109432.33	123577.68	96099.81	69321.17	89776.21	66851.95	20284.11	96815.49	38147.63	28217.96	32133.42	27000.74	56318.24	47780.37	71938.73	35265.42	34164.29	37493.55	32259.26	38558.48	50466.74	14494.84	19228.1	19957.29	24284.58	29324.12	20958.37	28360.65	38585.48	44248.02	35471.98	39304.3	19927.78	21155.05	18972.77	18688.32	33956.87	24170.06	39923.7	20845.21	55908.58	25017.61	24427.17	40193.86	26626.02	35408.56	36004.31	21269.44	15206.69	27153.92	41077.67	18224.01	57033.14	31658.25	36571.05	24569.61	14618.93	48905.98	54010.89	52884.78	34705.06	56451.57	53766.39	49782.21	50442.09	52461.3
