KO	FR-027	FR-030	FR-039	FR-040	FR-052	FR-053	FR-060	FR-105	FR-110	FR-115	FR-116	FR-125	FR-129	FR-132	FR-139	FR-142	FR-152	FR-156	FR-166	FR-169	FR-170	FR-173	FR-187	FR-194	FR-198	FR-200	FR-208	FR-212	FR-213	FR-221	FR-223	FR-276	FR-281	FR-294	FR-298	FR-302	FR-305	FR-316	FR-328	FR-344	FR-349	FR-390	FR-393	FR-399	FR-400	FR-414	FR-430	FR-450	FR-451	FR-459	FR-460	FR-503	FR-505	FR-506	FR-542	FR-551	FR-552	FR-558	FR-568	FR-617	FR-628	FR-654	FR-667	FR-682	FR-684	FR-696	FR-716	FR-719	FR-721	FR-722	FR-723	FR-726	FR-728	FR-730	FR-734	FR-751	FR-759	FR-767	FR-768	FR-770	FR-772	FR-780	FR-783	FR-788	FR-812	FR-817	FR-824	FR-825	FR-827	FR-828	FR-830
K00001	0.001171085	0.000835316	0.000990844	0.000960684	0.000990994	0.001165018	0.000699262	0.00109326	0.001167026	0.001516271	0.000971985	0.001408168	0.001641377	0.000823783	0.001378092	0.002354741	0.001615292	0.00125007	0.0009954	0.001201595	0.001298291	0.001271067	0.001140056	0.001077382	0.000983962	0.001114388	0.000861492	0.000896252	0.000865326	0.001005792	0.000949475	0.001737557	0.000878244	0.001002759	0.001437977	0.001221152	0.001552496	0.001405585	0.000880959	0.000864382	0.000622639	0.001658034	0.001327335	0.001320096	0.001538636	0.000835045	0.001386275	0.001162323	0.000898663	0.001191443	0.000976729	0.000660417	0.000451657	0.001015704	0.000683482	0.000872582	0.00089631	0.001767773	0.001795061	0.001897484	0.001657367	0.001039245	0.001360377	0.000803778	0.00159427	0.001286346	0.000799482	0.001275526	0.00056095	0.001015285	0.001090256	0.001473357	0.001772516	0.001700955	0.001022125	0.001954597	0.001974432	0.000741308	0.0011796	0.00109481	0.000975682	0.001055732	0.000864822	0.001062663	0.001023963	0.00115472	0.001576944	0.001196375	0.001211724	0.00088895	0.001257424
K00003	0.001683191	0.001724851	0.00157951	0.001784953	0.001417053	0.001724871	0.001290802	0.001664261	0.001690844	0.001500333	0.001559251	0.001344387	0.001693931	0.001335003	0.001338054	0.002344091	0.0020206	0.001466248	0.001574581	0.001483225	0.001871647	0.001417701	0.001631423	0.001727563	0.001557362	0.001495083	0.001651608	0.00175781	0.001957507	0.001791119	0.00163516	0.001893112	0.001690949	0.001255428	0.001584581	0.001670181	0.001469023	0.001544512	0.001762638	0.001599325	0.000909477	0.001632195	0.001878897	0.001861391	0.001836052	0.001303917	0.001679992	0.001786136	0.001811849	0.00161688	0.001781901	0.001854333	0.001719156	0.00154794	0.001241116	0.001555313	0.001402754	0.001894129	0.00185376	0.001918014	0.001827177	0.001852768	0.00174963	0.001482136	0.001879486	0.0012844	0.001898714	0.001907875	0.001975885	0.001164612	0.001828117	0.001790853	0.001872806	0.001732264	0.001738115	0.001855024	0.001588645	0.001737537	0.001704822	0.001728717	0.001530832	0.001819189	0.001083542	0.001624676	0.001382943	0.001615359	0.00142705	0.001398781	0.001480337	0.001619528	0.001343085
K00004	0.000446295	0.000379784	0.00042302	0.000297152	0.000494795	0.000174595	0.000310549	0.000374027	0.000325256	0.000754666	0.000550187	0.00090333	0.000463402	8.54E-05	0.000166177	3.85E-05	9.50E-05	0.000652156	0.00038167	0.000704475	0.000124709	0.000749232	0.000313959	0.000188435	0.000620884	0.000500198	0.000422882	0.000362587	4.15E-05	0.000156988	0.000441973	7.84E-05	0.000364187	1.29E-05	0.00052597	0.000377302	0.000633463	0.00053858	0.000228168	0.000405265	0.000101648	0.000403562	3.50E-05	0.000100013	4.39E-05	0.000118733	0.00023786	0.000147539	0.000170433	4.11E-05	8.30E-05	0.000196576	0.000181547	0.000178446	0.000202893	0.000379771	0.000230891	2.23E-05	0.00020502	0.000230634	0.000251515	2.90E-05	0.000210091	0.000248237	0.000124129	0.001024109	5.90E-05	7.75E-05	4.53E-05	0.00058954	0.000120089	3.33E-05	9.44E-05	0.000369264	0.00010957	0.000248797	0.000189813	0.000133621	0.0003514	0.000277258	0.000484377	0.000126038	0.000272499	0.000363654	0.000603234	0.000441149	0.000162227	0.000777542	0.000750247	0.000436789	0.000886997
K00005	3.75E-05	6.87E-05	4.75E-05	5.19E-05	3.45E-06	0.000141256	4.30E-05	1.21E-05	2.92E-05	9.27E-05	1.41E-05	1.86E-05	0.000105604	3.73E-05	0.000294977	0.000205444	3.51E-05	8.36E-05	0.00031595	3.27E-05	7.02E-05	1.65E-05	4.15E-05	3.52E-05	3.99E-05	3.25E-05	0.000127442	3.18E-05	6.20E-05	0.00012001	0.000113507	9.44E-05	6.54E-05	0.000143166	3.44E-05	8.98E-05	6.94E-05	7.86E-05	4.28E-05	3.91E-05	9.11E-05	1.83E-05	9.33E-05	0.000166982	8.07E-05	7.31E-05	9.63E-05	0.000104595	1.48E-05	3.09E-05	2.89E-05	3.23E-05	0.000165203	8.44E-05	4.06E-05	8.06E-05	1.94E-05	0.000141081	9.50E-05	9.93E-05	0.000105237	5.78E-05	8.02E-05	5.25E-05	5.79E-05	8.77E-06	3.72E-05	4.41E-05	0.000139337	0.000155258	7.71E-05	6.83E-05	0.000111793	3.69E-05	5.83E-05	0.00033677	7.27E-05	8.82E-05	5.29E-05	4.77E-05	0.000267812	6.75E-05	8.88E-05	3.90E-05	4.88E-05	0.00017371	3.17E-05	2.81E-05	3.60E-05	6.75E-05	3.27E-05
K00006	0.001679137	0.00158997	0.001543904	0.001770763	0.00153541	0.001842079	0.001952413	0.001619857	0.001702683	0.001522811	0.001481261	0.00141827	0.001700609	0.001969992	0.001865365	0.002354548	0.002036526	0.001449178	0.00158934	0.00143888	0.001835939	0.001437735	0.001620715	0.001649999	0.001589325	0.001445472	0.001510194	0.001699994	0.001703258	0.001607834	0.001508661	0.001917939	0.001550387	0.002378288	0.001590389	0.001587319	0.001564497	0.001630929	0.001729519	0.001597116	0.002101186	0.001933667	0.001898837	0.001781698	0.001801204	0.00188919	0.001751939	0.001814402	0.001788164	0.001784895	0.001521096	0.001723869	0.001329568	0.001791966	0.001759437	0.001902407	0.00196331	0.00186329	0.002019326	0.001933713	0.001842716	0.001808898	0.001740397	0.001977614	0.001953464	0.001286264	0.001734699	0.001855168	0.001879908	0.001831341	0.001837374	0.001680284	0.001918527	0.001789607	0.001809747	0.002038776	0.002063861	0.001717088	0.001707025	0.00173833	0.001567253	0.001679593	0.002014911	0.001589671	0.001530775	0.00136769	0.001490179	0.001392521	0.001472469	0.001532056	0.001343634
K00007	2.83E-05	4.85E-05	4.90E-05	4.14E-05	0.000112047	2.55E-05	6.12E-05	7.28E-05	6.35E-05	0.000155658	9.30E-05	0.000179964	7.85E-05	1.59E-05	3.03E-05	1.34E-05	1.52E-05	0.000123265	4.98E-05	0.000122099	2.26E-05	0.000139326	5.59E-05	3.90E-05	0.000115989	4.68E-05	8.39E-05	9.65E-05	7.55E-06	2.44E-05	4.53E-05	1.76E-05	7.31E-05	2.71E-06	0.000110686	0.000102355	0.000126643	0.000147933	5.70E-05	9.94E-05	2.29E-05	6.69E-05	9.58E-06	2.06E-05	8.69E-06	1.04E-05	2.67E-05	2.47E-05	3.45E-05	6.25E-06	1.75E-05	4.64E-05	3.93E-05	3.56E-05	3.49E-05	2.75E-05	4.20E-05	1.85E-06	1.47E-05	1.69E-05	1.87E-05	2.46E-06	3.90E-05	4.84E-05	2.16E-05	0.00019946	9.42E-06	1.96E-05	3.23E-06	3.60E-05	2.77E-05	2.76E-06	6.45E-06	6.62E-05	2.54E-05	1.50E-05	3.77E-05	2.81E-05	6.52E-05	5.36E-05	7.73E-05	3.10E-05	5.41E-05	9.06E-05	0.000132776	7.50E-05	3.93E-05	0.000146476	0.000142898	8.63E-05	0.000192967
K00008	3.76E-05	9.23E-05	2.78E-05	5.95E-06	2.03E-06	4.40E-05	2.04E-05	5.64E-06	8.22E-05	8.86E-06	3.33E-06	3.25E-06	1.37E-05	3.67E-05	0.000253743	5.81E-06	4.58E-05	4.03E-06	0.000132785	4.50E-06	1.91E-05	6.19E-05	9.87E-06	1.23E-05	6.54E-05	0.000410674	0.000111572	2.17E-05	3.75E-05	1.49E-05	0.000113141	7.08E-05	3.02E-05	2.57E-05	3.39E-05	4.70E-05	1.05E-06	2.74E-05	2.84E-05	2.13E-05	2.34E-05	0	0.000294617	1.60E-05	2.33E-05	6.26E-05	4.07E-05	4.48E-05	7.99E-05	6.38E-06	8.21E-05	1.04E-05	1.84E-05	5.54E-05	0.000162059	4.07E-06	0.000108423	1.14E-05	3.29E-05	3.78E-05	2.44E-05	0.000448153	3.89E-05	3.24E-05	2.93E-05	1.23E-06	2.02E-05	5.11E-05	4.94E-05	1.20E-05	5.19E-05	1.03E-05	1.28E-05	1.50E-05	1.94E-05	2.99E-05	3.20E-06	0.000456397	3.92E-05	0.000199651	3.30E-05	0.000164387	7.68E-06	2.40E-05	7.75E-06	0.000162674	0.000765657	0.000201179	3.89E-05	1.52E-05	2.52E-05
K00009	1.02E-05	2.95E-05	3.34E-07	1.29E-06	1.83E-06	8.04E-05	2.57E-05	7.60E-06	1.69E-05	7.38E-05	8.92E-06	1.23E-05	0.000114375	5.97E-06	2.64E-05	0.000205444	2.77E-05	8.85E-06	0.000232411	1.71E-05	3.11E-05	7.73E-06	6.92E-06	2.20E-05	1.08E-06	6.00E-07	2.95E-07	7.43E-06	3.17E-05	3.77E-05	3.23E-07	3.57E-05	2.81E-06	1.30E-05	2.43E-05	9.77E-06	9.42E-06	2.23E-05	3.18E-06	1.46E-05	1.03E-05	1.32E-05	5.52E-05	1.51E-05	1.28E-05	4.07E-06	1.21E-05	1.81E-05	3.19E-06	1.15E-05	1.46E-05	1.50E-05	4.73E-07	1.65E-05	4.37E-06	6.51E-06	1.48E-05	0.000132082	7.06E-05	9.28E-05	7.26E-05	9.30E-06	6.28E-05	2.11E-06	4.27E-05	5.87E-06	1.57E-05	3.40E-05	8.84E-05	2.74E-06	9.34E-06	4.92E-05	0.00010072	3.97E-05	2.10E-05	0.000158424	9.22E-06	2.71E-07	2.55E-06	1.45E-06	2.48E-07	1.67E-05	2.05E-06	2.44E-05	1.63E-06	4.68E-07	1.58E-05	7.01E-06	2.19E-05	2.62E-06	7.83E-07
K00010	0.000522857	0.000513253	0.000579052	0.000415568	0.00079156	0.00033124	0.000447053	0.000562074	0.000444821	0.000998352	0.000690773	0.001106595	0.000668749	0.000177865	0.000661459	0.000260971	0.000197146	0.000892904	0.000570967	0.000862942	0.000233393	0.000928475	0.00044844	0.000409574	0.000797869	0.000290601	0.000636281	0.000528159	0.00012129	0.00025278	0.000589415	0.00021358	0.000486557	0.00011899	0.000710232	0.000561587	0.000776071	0.000767318	0.000334379	0.000536953	0.000205048	0.000483541	0.000137973	0.000173671	0.00010223	0.000218096	0.000515675	0.000249711	0.000315598	7.63E-05	0.000170738	0.000306622	0.000285394	0.000345406	0.00027286	0.000481893	0.000345776	0.000197683	0.000360633	0.000352862	0.000396308	0.000131589	0.00042416	0.000379696	0.000225061	0.001229313	0.000130312	0.000195403	0.00020207	0.000769269	0.000217482	0.000101806	0.000208722	0.000468803	0.000190343	0.000430283	0.000264297	0.000255852	0.000530518	0.000389293	0.00061419	0.000238671	0.000459993	0.000500515	0.00079176	0.000769844	0.000219001	0.000940912	0.000931966	0.000585723	0.001164807
K00011	0.001201197	0.000856729	0.000998164	0.000977291	0.000991191	0.001180338	0.000701438	0.001099637	0.001208715	0.001516271	0.000977754	0.001410805	0.001641605	0.000846526	0.001442155	0.002357142	0.001621098	0.001265319	0.001061017	0.001212894	0.001350869	0.001288589	0.001172649	0.001081033	0.001018047	0.001116284	0.000864128	0.00091598	0.000871928	0.001083469	0.000956637	0.001757842	0.000912111	0.001048406	0.001446862	0.001227169	0.001555492	0.001425781	0.000894972	0.000900657	0.0006974	0.001660579	0.001362496	0.001350231	0.001558955	0.000851786	0.001387123	0.00123965	0.000919583	0.001201286	0.000993373	0.000666701	0.000561192	0.001083632	0.000709783	0.000881075	0.000919778	0.001771105	0.001847172	0.001898387	0.001672572	0.001047894	0.001441119	0.000808493	0.001599856	0.001288141	0.00080662	0.001286436	0.000564429	0.001042051	0.001134487	0.001489633	0.001802002	0.00172595	0.001093546	0.001956278	0.00198212	0.000780602	0.001185959	0.001100131	0.001062493	0.001064475	0.000912529	0.001066785	0.001040402	0.001155394	0.001578163	0.001199449	0.001218598	0.000949183	0.001260067
