KO	FR-027	FR-030	FR-039	FR-040	FR-052	FR-053	FR-060	FR-105	FR-110	FR-115	FR-116	FR-125	FR-129	FR-132	FR-139	FR-142	FR-152	FR-156	FR-166	FR-169	FR-170	FR-173	FR-187	FR-194	FR-198	FR-200	FR-208	FR-212	FR-213	FR-221	FR-223	FR-276	FR-281	FR-294	FR-298	FR-302	FR-305	FR-316	FR-328	FR-344	FR-349	FR-390	FR-393	FR-399	FR-400	FR-414	FR-430	FR-450	FR-451	FR-459	FR-460	FR-503	FR-505	FR-506	FR-542	FR-551	FR-552	FR-558	FR-568	FR-617	FR-628	FR-654	FR-667	FR-682	FR-684	FR-696	FR-716	FR-719	FR-721	FR-722	FR-723	FR-726	FR-728	FR-730	FR-734	FR-751	FR-759	FR-767	FR-768	FR-770	FR-772	FR-780	FR-783	FR-788	FR-812	FR-817	FR-824	FR-825	FR-827	FR-828	FR-830
K11472	0.000153371	0.000361221	0.000419217	3.25E-05	0.000168871	0.000325602	0.000143525	0.000146311	0.000182027	0.00039555	0.000272953	0.000207616	0.000326704	0.000251384	0.000577754	0.000363538	8.70E-05	0.000155512	0.000277468	0.000223067	0.00011903	0.000249922	0.00016579	7.28E-05	0.000205974	0.000399249	0.000245697	0.000193533	0.000295446	0.000312709	0.000572013	0.00014544	0.000282252	0.000159423	0.000189505	0.000248148	0.000152057	0.000217252	0.000139432	0.000275118	0.000245682	7.25E-05	0.000266162	0.000145071	0.000142703	0.000257486	9.71E-05	9.36E-05	0.000101794	0.000146367	0.000595245	0.000245483	0.000594943	0.000204871	0.000325092	0.000169629	0.000176803	0.000308204	0.000163562	0.000202287	0.000203132	0.000435065	0.000225241	8.77E-05	0.000132772	0.000212256	0.000137139	0.0001931	0.000312951	6.11E-05	0.000128186	0.000274514	0.000207125	0.000140458	0.000121577	0.000307438	5.63E-05	0.000438535	0.000104818	0.000227508	0.000112512	0.000447172	0.000156005	0.000229381	0.000233227	0.000394661	0.00068574	0.000348965	0.000210745	0.000208707	0.000196465
K11473	0.000153371	0.000361221	0.000419217	3.25E-05	0.000168871	0.000325602	0.000143525	0.000146311	0.000182027	0.00039555	0.000272953	0.000207616	0.000326704	0.000251384	0.000577754	0.000363538	8.70E-05	0.000155512	0.000277468	0.000223067	0.00011903	0.000249922	0.00016579	7.28E-05	0.000205974	0.000399249	0.000245697	0.000193533	0.000295446	0.000312709	0.000572013	0.00014544	0.000282252	0.000159423	0.000189505	0.000248148	0.000152057	0.000217252	0.000139432	0.000275118	0.000245682	7.25E-05	0.000266162	0.000145071	0.000142703	0.000257486	9.71E-05	9.36E-05	0.000101794	0.000146367	0.000595245	0.000245483	0.000594943	0.000204871	0.000325092	0.000169629	0.000176803	0.000308204	0.000163562	0.000202287	0.000203132	0.000435065	0.000225241	8.77E-05	0.000132772	0.000212256	0.000137139	0.0001931	0.000312951	6.11E-05	0.000128186	0.000274514	0.000207125	0.000140458	0.000121577	0.000307438	5.63E-05	0.000438535	0.000104818	0.000227508	0.000112512	0.000447172	0.000156005	0.000229381	0.000233227	0.000394661	0.00068574	0.000348965	0.000210745	0.000208707	0.000196465
K11517	0.000153371	0.000361221	0.000419217	3.25E-05	0.000168871	0.000325602	0.000143525	0.000146311	0.000182027	0.00039555	0.000272953	0.000207616	0.000326704	0.000251384	0.000577754	0.000363538	8.70E-05	0.000155512	0.000277468	0.000223067	0.00011903	0.000249922	0.00016579	7.28E-05	0.000205974	0.000399249	0.000245697	0.000193533	0.000295446	0.000312709	0.000572013	0.00014544	0.000282252	0.000159423	0.000189505	0.000248148	0.000152057	0.000217252	0.000139432	0.000275118	0.000245682	7.25E-05	0.000266162	0.000145071	0.000142703	0.000257486	9.71E-05	9.36E-05	0.000101794	0.000146367	0.000595245	0.000245483	0.000594943	0.000204871	0.000325092	0.000169629	0.000176803	0.000308204	0.000163562	0.000202287	0.000203132	0.000435065	0.000225241	8.77E-05	0.000132772	0.000212256	0.000137139	0.0001931	0.000312951	6.11E-05	0.000128186	0.000274514	0.000207125	0.000140458	0.000121577	0.000307438	5.63E-05	0.000438535	0.000104818	0.000227508	0.000112512	0.000447172	0.000156005	0.000229381	0.000233227	0.000394661	0.00068574	0.000348965	0.000210745	0.000208707	0.000196465
K11528	0.001002145	0.000801293	0.000953566	0.000839725	0.000938268	0.001506851	0.00064054	0.00097291	0.001203392	0.000966465	0.000795321	0.000666383	0.001479636	0.001162191	0.001416536	0.00224989	0.001743537	0.000901873	0.000807884	0.000761481	0.001623671	0.0006994	0.001275587	0.001365322	0.000486184	0.001085564	0.000374329	0.000903246	0.001261521	0.001289863	0.000777017	0.001833818	0.00076876	0.001251359	0.001186222	0.001264044	0.001127818	0.001123618	0.00065927	0.001004292	0.000940093	0.000751083	0.001313069	0.001579347	0.001625771	0.001242831	0.00157216	0.00153171	0.000823084	0.001400269	0.001514337	0.001177491	0.000796513	0.001079026	0.000759982	0.000651845	0.001059706	0.001900421	0.001843612	0.00187935	0.001794051	0.001121169	0.001442386	0.00110675	0.00181587	0.000312571	0.001347723	0.001635707	0.00057526	0.000616116	0.001143187	0.00163926	0.001790405	0.001530425	0.001337163	0.001872558	0.001988072	0.000586447	0.001220167	0.000781921	0.000935594	0.001240643	0.000939877	0.000948667	0.00085556	0.00101973	0.001610408	0.000450991	0.000699151	0.00068638	0.000352322
K11532	0.001561577	0.001660435	0.001498832	0.001459672	0.001531813	0.001759347	0.00134343	0.001472167	0.001498723	0.001305447	0.001522619	0.00132831	0.001652969	0.000953434	0.001216263	0.001927627	0.001653261	0.001353043	0.001661908	0.00152016	0.00163342	0.001328536	0.001547432	0.001755699	0.001404552	0.001115741	0.001740949	0.001713488	0.00188887	0.001625604	0.001578298	0.001435697	0.001680478	0.000907949	0.001360885	0.001505479	0.001289582	0.001474665	0.001826314	0.001634298	0.000788398	0.001669167	0.001602437	0.001101197	0.00145596	0.001119053	0.001377108	0.001781093	0.001720041	0.001620719	0.001607579	0.00185508	0.001802653	0.001468256	0.001154814	0.001412914	0.001271906	0.001723559	0.001558738	0.001759851	0.00176586	0.001324903	0.00153887	0.00145567	0.001611685	0.001283736	0.001853154	0.001666512	0.001988251	0.001101774	0.001438167	0.001729867	0.00180153	0.001600644	0.001701459	0.001677267	0.001346778	0.001421221	0.001626611	0.001445405	0.00162662	0.001668182	0.001058634	0.001599469	0.001395502	0.001517963	0.000674604	0.001190919	0.001497915	0.001701312	0.001284555
K11533	0.001781125	0.001806267	0.001753291	0.001861688	0.00165785	0.002018698	0.002081607	0.001756719	0.001742982	0.001332824	0.001675483	0.001487247	0.001838586	0.002176337	0.001834366	0.001949856	0.001883976	0.001562024	0.001685966	0.00157664	0.001931553	0.001508258	0.001788618	0.001792282	0.00157187	0.001374223	0.001746278	0.001768234	0.001973749	0.001742755	0.001676006	0.001796656	0.001760466	0.00225808	0.00169997	0.001744145	0.001662587	0.001702049	0.001858645	0.001722364	0.002341629	0.002043861	0.001908726	0.001946729	0.001863577	0.0020645	0.001829201	0.001906898	0.001834885	0.001905181	0.001892533	0.001905059	0.001827966	0.001934304	0.002042126	0.001902221	0.002039333	0.001940185	0.002070838	0.002034208	0.001933338	0.001883961	0.00176419	0.002060092	0.002023691	0.001306792	0.001942308	0.001952719	0.002002056	0.001909214	0.001909718	0.001827574	0.001983108	0.001806235	0.001887488	0.002077495	0.002129762	0.001818174	0.001735492	0.001742159	0.001774829	0.001864011	0.002114387	0.001651629	0.001687135	0.001698107	0.001788466	0.001411027	0.001532509	0.001755779	0.001380799
K11540	0.001781008	0.001806708	0.001756441	0.001862147	0.001658178	0.002033479	0.002082202	0.001758091	0.001766676	0.001612806	0.001681431	0.001488936	0.001837627	0.002178245	0.001857635	0.002271933	0.002060785	0.001563561	0.001687878	0.001578133	0.001932866	0.00151398	0.001792401	0.001813519	0.001574292	0.001374478	0.00174624	0.001772978	0.001975593	0.001885386	0.001664152	0.001957744	0.001761277	0.002362929	0.001700536	0.00175137	0.001665581	0.001758213	0.001853711	0.00172811	0.002342005	0.002050825	0.001998477	0.00195338	0.001881499	0.00206196	0.001840818	0.001906246	0.00183961	0.001896552	0.001971851	0.00190462	0.001829095	0.001936416	0.002050841	0.001905206	0.002042377	0.001963605	0.002075123	0.002046113	0.001982885	0.001882859	0.001780455	0.002062634	0.002022959	0.001309788	0.001944878	0.001991266	0.002002384	0.001926476	0.00192425	0.001832224	0.002007446	0.001887216	0.001890902	0.002077775	0.002177681	0.001773524	0.001735074	0.001754529	0.001768299	0.001870738	0.002115026	0.001656263	0.001688306	0.00172392	0.001792061	0.001403983	0.00156931	0.001758974	0.001395128
K11541	0.001781008	0.001806708	0.001756441	0.001862147	0.001658178	0.002033479	0.002082202	0.001758091	0.001766676	0.001612806	0.001681431	0.001488936	0.001837627	0.002178245	0.001857635	0.002271933	0.002060785	0.001563561	0.001687878	0.001578133	0.001932866	0.00151398	0.001792401	0.001813519	0.001574292	0.001374478	0.00174624	0.001772978	0.001975593	0.001885386	0.001664152	0.001957744	0.001761277	0.002362929	0.001700536	0.00175137	0.001665581	0.001758213	0.001853711	0.00172811	0.002342005	0.002050825	0.001998477	0.00195338	0.001881499	0.00206196	0.001840818	0.001906246	0.00183961	0.001896552	0.001971851	0.00190462	0.001829095	0.001936416	0.002050841	0.001905206	0.002042377	0.001963605	0.002075123	0.002046113	0.001982885	0.001882859	0.001780455	0.002062634	0.002022959	0.001309788	0.001944878	0.001991266	0.002002384	0.001926476	0.00192425	0.001832224	0.002007446	0.001887216	0.001890902	0.002077775	0.002177681	0.001773524	0.001735074	0.001754529	0.001768299	0.001870738	0.002115026	0.001656263	0.001688306	0.00172392	0.001792061	0.001403983	0.00156931	0.001758974	0.001395128
K11611	0.000859109	0.000970347	0.000838345	0.001129761	0.001034791	0.000640928	0.000805357	0.00098384	0.000634377	0.000790068	0.000888097	0.001028871	0.000432112	0.000376955	0.000732857	3.38E-05	0.000147364	0.000933094	0.001118556	0.000935796	0.000431358	0.001061865	0.000607769	0.000705437	0.001022777	0.001091212	0.001225818	0.000747516	0.000656852	0.000600288	0.000895109	0.000238145	0.000986469	0.000141961	0.000629784	0.000698928	0.000674402	0.000906599	0.001285507	0.00080031	0.000236285	0.000783541	0.000913848	0.000458248	0.000321921	0.000579062	0.00031006	0.000469041	0.00103041	0.000537446	0.000507163	0.000663597	0.000999096	0.00079997	0.000750955	0.000889147	0.000537723	0.000127594	0.000254759	0.000200248	0.000221063	0.000993367	0.000370564	0.000615042	0.000255303	0.00119652	0.000633691	0.000396033	0.001442764	0.000673326	0.000827306	0.000169574	0.00024748	0.000430731	0.000499778	0.000214005	0.000215578	0.001405172	0.000492352	0.000989677	0.001098125	0.000772147	0.00049615	0.000673886	0.000855396	0.000699233	0.001267059	0.001219479	0.001014474	0.001212699	0.001145429
K11645	0.001685003	0.00177337	0.001709121	0.001858326	0.001657414	0.001887389	0.002072724	0.001738856	0.001663701	0.001547789	0.001678159	0.001391633	0.001810574	0.002176491	0.001599843	0.002259055	0.001826531	0.001561879	0.00168619	0.001573838	0.001927973	0.001494909	0.001774961	0.001796316	0.001299138	0.00122914	0.001745346	0.001757024	0.001922683	0.001706428	0.001522491	0.001943836	0.001761195	0.002341285	0.001643488	0.001715358	0.00152902	0.00174827	0.001852265	0.001715151	0.002342049	0.001691522	0.001973476	0.001892972	0.001857758	0.002034557	0.001797173	0.001898929	0.001822546	0.001890863	0.001766774	0.00189159	0.001828883	0.001933193	0.002049595	0.001901154	0.002032078	0.001907445	0.00201148	0.002009747	0.001915863	0.001696908	0.001702573	0.00195255	0.00191582	0.001305015	0.001929371	0.001960751	0.001998807	0.001908055	0.001896002	0.001830806	0.001937157	0.001825894	0.001852233	0.001908779	0.001589388	0.001816829	0.00159961	0.001706297	0.001780393	0.001838448	0.002107887	0.001489506	0.001664721	0.001712372	0.001757983	0.001389708	0.001565693	0.00175617	0.001383913
