KO	ERR475468	ERR475469	ERR475470	ERR475471	ERR475473	ERR475474	ERR475476	ERR475477	ERR475478	ERR475480	ERR475481	ERR475482	ERR475483	ERR475484	ERR475485	ERR475486	ERR475487	ERR475488	ERR475491	ERR475492	ERR475493	ERR475494	ERR475495	ERR475497	ERR475499	ERR475500	ERR475501	ERR475503	ERR475504	ERR475508	ERR475509	ERR475512	ERR475513	ERR475514	ERR475515	ERR475516	ERR475517	ERR475519	ERR475520	ERR475521	ERR475522	ERR475523	ERR475524	ERR475525	ERR475526	ERR475527	ERR475529	ERR475531	ERR475532	ERR475533	ERR475534	ERR475539	ERR475540	ERR475541	ERR475545	ERR475547	ERR475548	ERR475549	ERR475550	ERR475553	ERR475555	ERR475557	ERR475560	ERR475562	ERR475563	ERR475564	ERR475565	ERR475566	ERR475567	ERR475568	ERR475569	ERR475570	ERR475571	ERR475572	ERR475573	ERR475574	ERR475575	ERR475576	ERR475577	ERR475578	ERR475579	ERR475580	ERR475581	ERR475582	ERR475585	ERR475586	ERR475588	ERR475589	ERR475591	ERR475592	ERR475594
K05921	1012	469	100	0	0	0	78.66666667	160	1957	76.33333333	0	89.66666667	0	281.3333333	135	1.333333333	20	58.66666667	58	110.3333333	368.6666667	1039.666667	164	48	6094.333333	17504	28	1014.333333	624.3333333	1293.333333	2527	1215.666667	751.3333333	624.3333333	625	1291.666667	70.66666667	1915.5	9.666666667	897.6666667	12.66666667	104	5731	423.6666667	808.6666667	384	0	20	699.6666667	0	1408.666667	0	5.333333333	1173.666667	3695.666667	3422	2021.666667	4	129	320	0	8231	782.3333333	0	0	0	28.66666667	711.6666667	14	62.66666667	545.3333333	396.3333333	0	221	0	151.6666667	1.666666667	11584.33333	191	4081.333333	0	1092.666667	25	589.5	736	231.3333333	28044.33333	11260.33333	1777.666667	566	0
K05934	12544.91429	6889.659524	5839.850794	3822.513492	9098.081746	10745.38571	12293.24048	6976.702778	26391.94048	5272.311905	6533.597619	8911.617857	11300.12359	7458.354762	6075.422222	7609.983333	8246.350794	8252.388889	7525.515476	8024.009524	33417.9381	6829.080159	14271.54683	95473.15476	52025.80635	62780.31169	42800.28153	68128.25595	59275.90635	65311.96039	34053.64881	36366.09683	50993.0873	18005.50556	31920.22302	34066.75992	32771.29345	50970.88571	25414.63333	73144.48532	18058.81667	11457.01667	23252.76825	19096.11746	42105.34048	24247.76548	12131.08373	29976.3631	8836.888889	26531.40198	30524.46746	20561.24286	25241.13333	21803.22659	15981.0881	16347.59008	20016.6881	41839.8119	24016.43571	37719.26429	27547.49286	13624.64524	26656.35952	25530.70238	32511.75952	25972	31579.39286	30975.02857	13242.0381	9883.12381	18605.65556	75372.20794	27842.02143	21193.30476	26028.81905	67554.0504	30340.79603	8931.237302	23841.96587	13789.02381	24144.19127	10479.03571	20653.29167	57081.01548	39724.55357	33478.95159	18983.29444	13199.89048	37207.45	34427.11627	13183.56825
K05936	12998.17354	7245.303968	6545.971164	3876.902381	9658.546561	11194.34497	13034.35159	7116.273148	26764.10899	5436.904497	6622.351323	8984.906746	11312.07359	7731.665873	6341.366667	7613.483333	8259.661905	8395.4	7577.302513	8233.972487	33771.2381	7462.169048	14629.53201	95854.85106	52616.48968	64750.75613	71332.16301	68897.53373	62322.17672	65995.2215	39097.56362	36806.7709	56886.7873	18502.70926	31985.43598	35131.50437	32877.63419	51514.11534	28035.47037	82688.60569	18383.38889	31452.16481	24535.86085	19258.61746	43252.39233	25035.46362	12436.06892	30455.15939	9105.009259	27553.08532	32833.28042	21180.90952	27879.56296	25643.00437	17004.90291	16529.6086	20207.16772	41870.03413	24074.64868	37770.84206	27754.21138	15349.01005	26808.1836	26246.95238	32841.68915	25987.3	31948.72619	31113.26005	16421.59921	9991.138624	20202.16111	76238.1246	27847.72513	21533.61032	27255.83942	67665.0504	30351.47196	11235.94101	24169.88254	13997.30899	24368.25608	11751.1209	21466.06204	59099.35622	40631.99246	38211.7664	19184.82222	13439.37937	37762.30556	34884.77738	18264.49233
K05939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
K05946	6149.401515	2826.440476	5206.960317	2135.977778	5063.805556	1877.486559	2293.678571	3929.812235	14586.81237	1536.233333	2839.190476	1217.390476	2402.974131	3877.52381	5600.822222	40.33333333	2355.555556	4746.924603	5595.092857	3004.678571	11264.9881	3398.039683	6487.226912	36414.28571	17622.24398	67484.50455	32773.47677	27693.79186	17867.31426	35528.09848	27951.22865	17340.76011	30467.64683	10059.93413	13403.49206	12858.94444	14408.23418	24014.11498	15435.91859	22483.38259	10735.22619	867.9642857	15219.90873	9143.193001	35076.89286	11424.2275	5139.563492	9738.230952	7092.90233	17556.37698	17087.89841	12452.52381	21247.11905	13321.3254	10762.44048	10819.00794	9178.166667	18499.04762	4702.321429	6230	5721.678571	15503.28571	18545.30952	4766.162903	10389.64286	340.1209677	9029.638633	10536.02381	4765.940476	5579.214286	9915.212698	55792.15079	10304.96505	7206.657143	12863.04048	3497.511649	11776.76639	19053.93254	9410.811111	13235.27688	7274.103175	5154.880952	11174.2	32844.84524	12953.44048	22738.77778	32014.11111	13657.16014	5239.236559	20923.16811	6394.813492
K06001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	286.5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	13	5.5	0	0
K06041	15900.41089	14300.60862	12221.49551	14989.39708	16792.75428	8506.741426	20880.78961	13366.24295	21049.77658	9856.647829	10654.74146	19981.46594	4952.240254	6797.185703	13155.07894	176.3333333	667.8728885	16308.01713	21768.92336	12627.83758	13277.73164	16055.38251	9954.477436	64296.05029	104622.9103	36358.57035	159897.017	99320.87425	61509.20214	54321.88831	76576.09952	6467.597983	101148.314	7727.31971	26962.13137	32127.86083	31763.00991	71346.69989	58832.90637	78617.7299	14267.43546	26208.35855	28952.55768	18546.11678	17690.09602	31481.00753	4143.636854	12065.40979	17883.29533	15302.77607	25675.5338	24553.95671	60837.12609	30812.86154	28315.9122	31331.41727	17254.0457	5687.557612	5965.813873	4358.510288	4869.878722	24216.75206	12572.78059	20556.50319	7372.797674	116146.465	21373.42311	13124.22037	53833.91164	17771.42779	24487.48367	20055.60699	5543.871549	8410.551474	14794.17016	22066.15992	5828.167187	58030.03913	10699.93192	27817.28802	40357.80296	10337.64039	21058.78886	46227.17128	55489.53528	39631.45258	44197.7347	79595.5498	69233.73517	83337.72497	61885.49968
K06042	19368.75688	10466.63397	10493.19783	7088.652381	17022.04656	13489.17831	18426.7506	10789.54315	34586.27566	12835.4245	10969.85132	25564.62675	14949.90693	8950.499206	13822.11667	7721.483333	8868.161905	16948.48333	13849.55251	15684.07915	36242.4881	17760.66905	18254.03201	107385.8511	118133.1563	74335.50613	107783.163	97352.78373	65299.92672	74696.4596	62119.40362	39542.18757	80919.20397	19282.37593	49476.68598	46263.8377	57800.04224	88619.61201	36654.72037	109273.1257	20993.38889	41283.99767	26304.36085	21389.36746	45078.86233	37392.29696	14229.65225	32856.15939	11442.59259	31410.58532	34343.78042	23820.57619	32922.97963	31706.6377	21712.65291	26873.94193	25215.16772	42340.78413	26719.56868	41614.09206	30966.69138	15968.26005	30910.9336	32514.47238	35089.35582	122364.57	33009.72619	32470.76005	17343.59921	19752.54862	22854.99444	77791.1246	29203.47513	27080.61032	29284.58942	76382.0504	34167.97196	15351.77434	30297.09466	19923.05899	36098.46942	12858.6209	33286.89537	78167.43955	71035.69246	51744.7664	25502.76222	60777.53937	80119.20556	54526.27738	62989.49233
K06120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06133	17029.25354	8772.03444	11140.08428	7096.356832	18759.10983	10210.94363	16504.10696	10525.58039	34030.41627	12659.62941	9772.503764	23866.72683	9372.57841	8276.032909	17102.49541	2041.745766	3444.749474	17952.92316	13079.51916	14142.39866	30860.90071	18422.53383	16798.18685	112757.8871	96532.63395	82248.55576	78215.75501	86202.91208	41577.02777	65262.19271	65593.07952	31289.13324	65992.45377	18655.33147	39805.4783	39700.83006	57546.40238	81664.56128	27428.59233	106887.779	18881.60344	25080.99196	22942.29184	18583.81003	43351.98519	33958.12421	7067.410223	26492.19981	12081.31066	26129.32745	28548.00581	18125.55364	29873.45517	24618.96658	24605.3808	24543.86852	24035.0964	33153.12965	13032.96237	15880.89721	15827.70542	18707.84585	27303.49236	28760.93552	25689.17284	118037.4198	29393.84697	23057.17741	13363.50759	17356.9223	18462.71177	68094.17174	18152.40762	16594.38998	25119.58282	40314.55074	35170.71607	24011.62578	23637.50134	22031.468	28366.91243	9897.862259	31863.12541	65714.5306	66832.50935	34055.77679	60843.66071	71717.21095	71057.60372	48763.89123	58375.8791
K06151	22	25	5.75	10.5	11.25	24.5	62	0	20.25	0	26.25	1.111111111	3.648989899	7	13.5	3.5	0	5.5	16.75	14	16.5	0	0	5	36.97222222	42337.45455	352.8989899	125.1666667	341.5	310.3762626	312.5	0	485.8333333	7.5	46.58333333	51.5	34	91	218	207.75	23.75	0	117.5	63.5	23	10.75	0	77.5	126.75	69.75	149.25	0	245	122	0	1.5	3.25	7	5.25	0	2	61.75	26.75	45.25	3.5	4.5	65	12.75	4.25	0	24.75	24.25	0	23.75	174.25	0	3.75	0	16.25	126.5	157.25	146.5	0	290	27.75	90	169.75	0	63.5	181.4166667	29.25
K06152	22	25	5.75	10.5	11.25	24.5	62	0	20.25	0	26.25	1.111111111	3.648989899	7	13.5	3.5	0	5.5	16.75	14	16.5	0	0	5	36.97222222	42337.45455	352.8989899	125.1666667	341.5	310.3762626	312.5	0	485.8333333	7.5	46.58333333	51.5	34	91	218	207.75	23.75	0	117.5	63.5	23	10.75	0	77.5	126.75	69.75	149.25	0	245	122	0	1.5	3.25	7	5.25	0	2	61.75	26.75	45.25	3.5	4.5	65	12.75	4.25	0	24.75	24.25	0	23.75	174.25	0	3.75	0	16.25	126.5	157.25	146.5	0	290	27.75	90	169.75	0	63.5	181.4166667	29.25
K06153	30846.22148	20002.06835	18238.08691	22566.72995	25936.0549	22417.96779	50964.15636	22300.45693	50968.967	17933.30901	16277.99694	29703.52881	19451.48509	26593.81014	24141.62088	11125.42607	11228.3213	24688.96189	24800.15673	19916.17264	54893.09676	23382.93514	26144.34323	165578.9341	154687.2525	93836.8002	198434.6075	157719.4326	117454.4125	125927.8775	99630.90216	59322.97333	140212.0302	57628.99706	69107.17454	66037.63554	77959.09264	147302.3764	81794.42438	146898.3045	75339.69131	69784.77161	61869.89445	54432.04909	71407.55807	86944.42417	19968.16044	44743.12287	26798.30716	46711.01939	53202.09264	34739.86137	67475.3073	66662.7333	62599.67964	60719.34756	54023.13908	62050.8058	41627.81142	52811.98592	37560.6516	44498.11403	44624.86824	62611.66503	50606.13041	126593.789	53540.04544	50090.22857	71656.58035	39097.31238	56215.00603	100764.0127	41009.62456	35158.00093	42647.45543	116756.2369	57953.30366	63856.18901	35217.68509	42334.13012	59904.77672	20844.52727	74703.80264	92147.68213	99260.36724	68937.57279	80843.06424	86360.15708	104607.4197	107738.6018	75351.40494
K06208	17361.97398	12578.68338	9866.039482	17451.82287	11389.31182	11000.74738	22281.68583	14633.33208	31975.78016	3511.014734	9451.059316	1937.236024	6789.846784	13795.8738	12075.89313	1950.666667	4297.109	11070.15443	17987.03765	8376.013052	35929.18878	6691.478539	16432.78656	118348.7527	38572.4222	70137.17132	111799.418	94269.75639	86338.42437	83623.08045	52561.95714	35410.04401	92205.84403	17453.12011	31247.96669	33083.04614	25601.48877	38459.07941	61352.31946	91348.70554	23270.51999	16992.59355	38053.67633	41584.53265	51719.63554	44786.35633	14842.68289	31117.52484	21237.89335	32817.97051	33755.54491	16567.30313	50800.72133	35161.22122	29609.61752	32940.30815	23925.42427	34880.05166	16253.14744	18785.02457	17389.61539	31023.23897	27188.19845	33532.80224	25531.15482	4301.177097	44009.36954	32414.00846	58061.16164	10008.58208	41688.54366	77740.46691	21199.87036	12846.52171	29558.22254	38002.66667	18960.73187	50304.62325	19041.84559	28346.6404	32881.16153	13935.74634	21537.33172	47295.20342	39282.0815	29727.98433	34841.57525	27535.24694	36973.88636	66836.42165	12470.8969
K06209	17361.97398	12578.68338	9866.039482	17451.82287	11389.31182	11000.74738	22281.68583	14633.33208	31975.78016	3511.014734	9451.059316	1937.236024	6789.846784	13795.8738	12075.89313	1950.666667	4297.109	11070.15443	17987.03765	8376.013052	35929.18878	6691.478539	16432.78656	118348.7527	38572.4222	70137.17132	111799.418	94269.75639	86338.42437	83623.08045	52561.95714	35410.04401	92205.84403	17453.12011	31247.96669	33083.04614	25601.48877	38459.07941	61352.31946	91348.70554	23270.51999	16992.59355	38053.67633	41584.53265	51719.63554	44786.35633	14842.68289	31117.52484	21237.89335	32817.97051	33755.54491	16567.30313	50800.72133	35161.22122	29609.61752	32940.30815	23925.42427	34880.05166	16253.14744	18785.02457	17389.61539	31023.23897	27188.19845	33532.80224	25531.15482	4301.177097	44009.36954	32414.00846	58061.16164	10008.58208	41688.54366	77740.46691	21199.87036	12846.52171	29558.22254	38002.66667	18960.73187	50304.62325	19041.84559	28346.6404	32881.16153	13935.74634	21537.33172	47295.20342	39282.0815	29727.98433	34841.57525	27535.24694	36973.88636	66836.42165	12470.8969
