KO	ERR475468	ERR475469	ERR475470	ERR475471	ERR475473	ERR475474	ERR475476	ERR475477	ERR475478	ERR475480	ERR475481	ERR475482	ERR475483	ERR475484	ERR475485	ERR475486	ERR475487	ERR475488	ERR475491	ERR475492	ERR475493	ERR475494	ERR475495	ERR475497	ERR475499	ERR475500	ERR475501	ERR475503	ERR475504	ERR475508	ERR475509	ERR475512	ERR475513	ERR475514	ERR475515	ERR475516	ERR475517	ERR475519	ERR475520	ERR475521	ERR475522	ERR475523	ERR475524	ERR475525	ERR475526	ERR475527	ERR475529	ERR475531	ERR475532	ERR475533	ERR475534	ERR475539	ERR475540	ERR475541	ERR475545	ERR475547	ERR475548	ERR475549	ERR475550	ERR475553	ERR475555	ERR475557	ERR475560	ERR475562	ERR475563	ERR475564	ERR475565	ERR475566	ERR475567	ERR475568	ERR475569	ERR475570	ERR475571	ERR475572	ERR475573	ERR475574	ERR475575	ERR475576	ERR475577	ERR475578	ERR475579	ERR475580	ERR475581	ERR475582	ERR475585	ERR475586	ERR475588	ERR475589	ERR475591	ERR475592	ERR475594
K05342	63.575	50.21666667	33.56666667	8.85	6.4	99	95.6	1.95	39.8375	3.7	5	12.22	26.9	5	0.25	0	0.9	19.35	81.05	7.5	31.85	17.5	30.7	247.5	160.9166667	128.42	3639.28	265.9	605.6783333	90.5	1126.853333	4.43	359.7133333	11.5	10.08333333	3.58	28.88	546.7566667	303.8	187.9666667	1.33	49.85	519.05	57.15	55.28333333	69.43	113.43	216.34	25.25	62.10238095	10.73666667	63.32	456.27	4.316666667	13.68333333	28.78333333	0	33.08	15.99666667	13.05	82.5	272.65	49.95	229.9666667	45.43	2.05	121.2333333	48.4	335.9333333	41.68	176.52	27.57	63.15	54.025	23.30333333	74.46666667	12.17	746.12	219.2966667	301.88	597.7633333	87.8	42.5125	204.15	103.42	1720.966667	140.5333333	375.8195238	235.03	240.85	505.9357143
K05343	1421.993333	217.645	363.7283333	516.435	767.215	172.9616667	614.18	656.4612	3944.636667	672.844	575.125	1291.2838	667.679899	311.0633333	428.58	23.17	731.31	1100.328333	359.15	1022.082867	2872.34	1157.375	1547.56	7592.095	6616.005	6383.234455	6104.064899	7340.526667	930.8383333	7140.73096	2432.194533	4778.261667	5567.313333	1405.931667	4157.400556	2510.948333	5689.10375	4850.194533	4362.631667	5305.025667	822.385	561.123	2535.415	1626.43	9907.701333	957.1558333	222.7333333	2609.205	1763.398333	4993.771667	626.6616667	538.3916667	974.7416667	1790.265	794.8383333	2406.111667	1679.69	5095.18	873.6678667	2008.765	1412	1073.16	4397.005	861.9706667	2981.041667	6348.465	1848.683333	2186.365	384.3683333	569.035	2385.673333	15882.9	3303.735	2445.88	3339.138333	1163.301667	3798.519	1283.988333	2744.666667	3201.835	902.2504667	666.665	1947.843333	9189.813485	2933.07	2502.766667	549.4395333	3690.18	3545.065	3478.296111	3777.965
K05349	2524.208514	1512.444735	924.1039996	2016.140849	1094.117686	839.8552296	2451.67401	1765.322704	4874.76071	205.9251547	1048.09519	280.6099968	596.9285682	871.0761879	1419.376658	19.52933333	805.413863	986.9516675	2118.096542	1053.07793	4355.250566	1063.318574	1890.948566	12693.46837	6795.125026	7264.915045	17727.0449	9334.39447	8059.08621	11137.9397	4848.979944	5952.407884	13733.53559	1616.885186	3968.027497	3152.26123	4835.884361	6544.75042	12139.37887	7750.520555	1142.355135	2398.286104	7324.716587	3456.73328	11553.44211	3148.843543	1985.926943	3505.650949	3641.526567	6425.498522	2596.443403	1973.445468	5288.518521	5736.154139	4071.557303	4549.048932	3001.480603	5706.286853	1255.870551	2271.037333	1864.391621	5580.104655	4826.268331	3039.008547	3784.094684	212.0344251	4610.735109	3620.046088	8525.23181	936.0901557	5882.999818	16915.40462	3703.12693	2404.043992	4548.829588	1772.064447	4214.89338	10538.23993	2923.650944	6386.02122	3938.489992	1850.417794	2117.384904	9816.434059	2564.082337	2916.564598	13300.33382	5954.850433	4486.63025	9382.522266	2227.839974
K05350	2524.208514	1512.444735	924.1039996	2016.140849	1094.117686	839.8552296	2451.67401	1765.322704	4874.76071	205.9251547	1048.09519	280.6099968	596.9285682	871.0761879	1419.376658	19.52933333	805.413863	986.9516675	2118.096542	1053.07793	4355.250566	1063.318574	1890.948566	12693.46837	6795.125026	7264.915045	17727.0449	9334.39447	8059.08621	11137.9397	4848.979944	5952.407884	13733.53559	1616.885186	3968.027497	3152.26123	4835.884361	6544.75042	12139.37887	7750.520555	1142.355135	2398.286104	7324.716587	3456.73328	11553.44211	3148.843543	1985.926943	3505.650949	3641.526567	6425.498522	2596.443403	1973.445468	5288.518521	5736.154139	4071.557303	4549.048932	3001.480603	5706.286853	1255.870551	2271.037333	1864.391621	5580.104655	4826.268331	3039.008547	3784.094684	212.0344251	4610.735109	3620.046088	8525.23181	936.0901557	5882.999818	16915.40462	3703.12693	2404.043992	4548.829588	1772.064447	4214.89338	10538.23993	2923.650944	6386.02122	3938.489992	1850.417794	2117.384904	9816.434059	2564.082337	2916.564598	13300.33382	5954.850433	4486.63025	9382.522266	2227.839974
K05351	132	142.0492857	134.335	116.165	442.335	58.165	359.8571429	226.5	509.5714286	508.5	241.0492857	1119.379286	200.4014286	46.21428571	83.07142857	12.5	23.165	532.2364286	168.7857143	430.6921429	159.9728571	644.1921429	205.6714286	817.2635714	3835.280714	671.165	2426.005	2536.142857	128.1478571	443.335	796	130.665	1561.857143	15.665	1238.433571	1030.290714	1741.527143	3609.032143	613.835	2199.995	180.6107143	580.4335714	95.93357143	135.2142857	97.28571429	119.7285714	68.90142857	145.7635714	133.335	139.0978571	104.9507143	205.165	359.7364286	303.9285714	274.5935714	272.0664286	280.5	44.59857143	90.35714286	101.665	102.2142857	21.57142857	254.335	332.5	154.6921429	6287.165	66.47285714	110.3792857	24.54928571	196.835	315.0985714	44.14285714	53.335	326.5714286	155.1921429	186.165	266.3792857	261.475	374.5	380.665	793.0935714	87.59357143	500.2585714	1559.192143	2130.244286	772.7142857	696.265	2971.472857	2693	1354.950714	3251.566429
K05355	2039.33	1074.83	1158.67	833.5	1953.33	393.33	1804	1152.17	2581.67	2465.33	1421.67	5504.33	1161	245	425.33	36	143	2793.5	1253.83	2472.83	823.83	3454	1153.17	3863.33	20459.33	2929.5	12208.33	9505.5	594.5	2855.83	7690.33	550.16	7765.83	63	5816.5	3605.5	8296.67	12189.5	2436.67	8889.67	783	3239.5	260.67	637	474.67	1135.33	545.33	787.33	659.33	267.67	504.67	852.33	1637.83	1491.67	1570.83	3156	1543.17	157	864.67	1276.5	1057.67	185.67	1364.83	1705.67	712.33	32246.17	356	429.33	302.33	3221.83	863.5	503.83	411	1781.83	656	2824.67	1223.5	1227	1999.33	1966.83	3908.5	345.83	2463.5	6219.67	9518.5	4519.17	1972.17	15688	14133.5	6571.5	14924.5
K05358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25	0	0	2.666666667	0	0	0	0	1.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K05359	7215.727466	4146.145561	3934.937669	4628.714749	5518.132128	3856.773614	7200.338069	4918.316409	12997.31711	4879.626183	3813.628113	8110.609544	4204.084323	3520.815118	3063.144004	2195.443288	2937.46408	6269.401563	5191.521731	5184.393174	12324.09065	6478.522188	5894.141132	35394.66219	48052.27742	21174.01785	46952.09641	32762.49615	21822.26731	32456.20387	26144.6209	13575.43407	32534.86789	7228.175296	17280.85027	15724.31642	19265.03683	30004.25312	18791.94453	32353.28392	7557.670037	13115.0792	13227.89974	12005.38701	19082.53791	12333.27318	3832.992652	9550.727251	5739.113528	9899.54592	10633.96621	7390.151776	13465.81266	13274.18825	9606.737045	9862.356814	8564.453459	13626.74786	7880.470738	10677.93439	7600.251078	10291.95771	11004.25014	9858.118423	10808.13018	40465.62018	10862.71306	10050.85646	12944.15995	6246.046656	12330.59682	25229.45687	8710.366784	8376.876106	9245.554033	21226.91424	10323.73417	13604.38388	9442.508126	10885.9195	12112.30292	4485.560406	9223.02272	26794.02607	21008.01081	16045.61	19950.78683	25559.32295	27188.60651	23137.77537	22516.76357
K05368	130	138.515	136.225	116.165	442.335	58.165	358.1914286	224.9212	504	509.004	240.335	1099.9538	197.1454545	45.5	81.5	12.5	23.165	530.665	166.17	431.7462	149	643.335	205.5	802.005	3823.415	4896.910455	2424.580455	2541.416667	112.335	444.7446104	790.1412	130.665	1559.166667	15.665	1227.835	978.835	1675.5	3413.3862	613.835	2182.169	176.495	541.668	71.335	132.5	122.89	99.5	62	133.335	133.335	40.665	101.665	202.165	354.165	299.195	270.165	229.995	280.5	13.5	64.3212	93.665	79.58	16	254.335	333.004	127.665	6289.295	57.5	108.665	21.835	197.195	199	42	30.335	326	153.335	175.665	248.665	258.335	374.5	380.665	624.3138	85.165	489.5	1556.846818	2099.47	770	481.0762	2956.19	2693.9	1297.835	3251.335
K05526	0	0.18	1.89	0	0	0	0.103448276	0.4212	0	0.504	0	0.1188	0	0	0	0	0	0	0	0.2412	0	0	0	0	0	0	0	0	0	0	1.1412	0	0	0	0	0	0.155172414	4.3812	0	0.504	0	0.288	0	0	28.89	0	0	0	0	0	5	0	0	0.36	0	0	0	0	1.3212	0	1.08	0	0	0.504	0	5.13	0	0	0	0.36	0	0	0	0	0	0	0	0	0.134848485	0	0.4788	0	0	0	1.8	0	0.2412	0.36	0.9	0	0
K05549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2.67	2.67	0	0	0	4.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.67
K05550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2.67	2.67	0	0	0	4.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.67
K05597	6225.771923	4311.482983	3974.320827	4453.550363	5065.316332	2511.585656	10018.60747	4570.569119	9412.905344	3436.778209	3523.722457	7483.890587	2279.87188	5448.957006	4884.097494	117.3313198	1319.437377	5540.284349	5013.930346	4391.61543	6878.34021	5791.817132	4592.884163	23651.85668	38182.25578	16690.62006	47320.33842	39145.72333	22211.86684	21492.77505	23262.60406	8180.88655	33007.42485	9934.726644	12619.93727	10444.5435	16852.67275	31776.95585	17029.99813	26631.73354	15852.05187	13786.65639	9886.477714	9100.570761	15093.57732	16762.18699	3341.967315	6241.600342	6352.723653	9906.242849	7220.347242	6634.302836	15498.91353	13349.76429	14022.66849	14460.93295	10436.94699	7607.342543	3976.51695	4287.137984	4087.945749	8608.480186	8191.409185	9744.808679	6184.938755	39084.45479	7416.577358	5884.885649	10768.19552	9362.116561	11089.2581	21966.71165	5054.285719	5704.956253	8432.82383	9911.627353	9427.550514	15954.44875	6428.448486	10445.64883	12065.76542	3482.143367	16327.81691	21281.6723	21036.72631	13934.94824	17498.79121	27762.59594	22859.45562	22674.26709	22168.82147
