	ERR475468	ERR475469	ERR475470	ERR475471	ERR475473	ERR475474	ERR475476	ERR475477	ERR475478	ERR475480	ERR475481	ERR475482	ERR475483	ERR475484	ERR475485	ERR475486	ERR475487	ERR475488	ERR475491	ERR475492	ERR475493	ERR475494	ERR475495	ERR475497	ERR475499	ERR475500	ERR475501	ERR475503	ERR475504	ERR475508	ERR475509	ERR475512	ERR475513	ERR475514	ERR475515	ERR475516	ERR475517	ERR475519	ERR475520	ERR475521	ERR475522	ERR475523	ERR475524	ERR475525	ERR475526	ERR475527	ERR475529	ERR475531	ERR475532	ERR475533	ERR475534	ERR475539	ERR475540	ERR475541	ERR475545	ERR475547	ERR475548	ERR475549	ERR475550	ERR475553	ERR475555	ERR475557	ERR475560	ERR475562	ERR475563	ERR475564	ERR475565	ERR475566	ERR475567	ERR475568	ERR475569	ERR475570	ERR475571	ERR475572	ERR475573	ERR475574	ERR475575	ERR475576	ERR475577	ERR475578	ERR475579	ERR475580	ERR475581	ERR475582	ERR475585	ERR475586	ERR475588	ERR475589	ERR475591	ERR475592	ERR475594
K00001	21950.77	19803.2	12151.74	20855.54	9696.34	11856.87	31789.89	19305	20382.15	2228.83	11478.72	2930.94	2123.25	7644.46	8913.27	3288.06	2173.75	6416.83	19206.75	9165.66	22279.26	10301.12	8294.6	92920.7	45255.56	27631.02	172556.92	67651.83	104212.72	69874.32	62127.66	17925.8	119109.5	25177.21	18483.03	18698.46	5418.98	31296.5	80538.65	69035.32	10266.74	28348.99	62877.21	20515.72	22382.46	25022.21	15019.4	25560.75	27439.05	34162.4	39654.21	19977.25	54664.11	47397.55	32851.92	25056.91	15959.2	9980.35	15489.99	2491.76	15265.1	39715.64	15839.93	26492.45	17039.59	996.4	38706.67	17138.45	98435.5	6267.22	51268.95	18983.2	11788.15	16403.42	18118.84	16795.52	9960.98	72799.08	26827.84	33741.34	21034.92	17227.23	11876.38	37338.48	28092.4	26734.08	49958.49	28374.88	38646.48	95215	21203.41
K00002	1269	0	422	50	0	96	100	158	4460	0	43	0	0	0	0	94	2318	0	50	79	0	37	250	5	51912	16771	8	1812.5	3876	19987	14291	7.5	0	809	2214	2544	74	179	0	41	0	50	0	2190	1098.5	2425	0	2	524	31	3005.5	2	0	9	57	369	463	0	43	939	0	7723	3600	159	286	3	67	0	0	130	1518	0	519	3	1239	4384	938	0	5540	2407	0	483	0	18574	632	0	0	1548	0	48	746
K00003	115005.39	71903.66	59902.2	46668.33	52223.42	67118.7	80509.82	59751	169278.05	63742.03	61879.35	77972.81	77404.2	41813.83	46030.27	40338.78	50848.75	58026.13	29659.82	43309.41	162878.42	54864.92	69598.55	401540.21	367227.33	366836.41	208064.76	389195.08	427212.33	452114.24	271634.37	203732.42	281112.87	122168.68	217348.21	197907.92	212012.85	322309.2	100178.46	290982.37	93957.91	180516.04	156286.81	171743.07	163564.64	152220.72	54025.25	138726.17	75433.87	123818.75	180713.89	77323.68	82172.86	134439.93	99661.59	88644.8	126042.58	289712.85	217943.34	188050.55	153777.21	128487.4	179800.06	121100.93	177443.34	199081.05	135047.35	189370.17	89652.5	87648.82	143093.53	275025.08	239617.13	158277.34	138698.77	410180.51	187418.87	74433.33	166727.44	93243.46	107900.27	70412.21	110513.6	223646.27	186682.17	130514.08	187227.98	162262.63	203641.45	181678.21	117426.9
K00004	136	97	41	0	15	550	753	4.5	53.5	25	10	326.67	92.25	6	362	8	31	31	84	13.33	100	38.75	6	125	293	638	66716	308.75	1260.25	33	2456.5	55.75	788	10	146.5	75.5	147.5	840.75	910.5	350	6	116	1447	36	622	42	127.5	112	123	355	397	900.33	1365	636	177.5	61	78	41.5	164.25	10	40	940.25	126	399	181.67	92.5	100	0	3147	43.75	100	123.25	305	94.75	376.75	209.67	138	3416	98	168	372	42	16	343.34	323	3412	1822.75	526	824	678	10577
K00005	26756.07	25501.92	12953.76	12791.33	11035.92	26065.53	23451.57	24100.58	40806.78	21298.9	8892.25	21108.15	34737.95	16456.1	19124.62	23034.1	17882.5	13355.75	15427.82	8736.5	49390.92	13508	15193.6	104756	37226.58	21868.71	35863.75	92688.82	127888.82	86905.75	53983.12	73254.5	71995.8	43066.88	58842.83	48512.75	63165.75	111665.5	30382.86	42649.42	32403.33	81157.8	48132.45	63312.09	48273	62492.87	38676.02	36103	11187.02	45484.25	60204.95	38682.35	17713.78	56073.68	15908.5	13506.97	35614.75	116409.85	92163	97308.85	71875.06	27119.82	57243.1	30897.05	57983.57	41026	23212.1	64056.5	55414.5	25802.65	47877.05	91773.75	101109.45	53303.2	37790.5	222696.5	55116.45	16126.35	74235.2	22525.78	30871.15	21421.07	39009.85	35842.83	32825.98	57634.5	97403.1	20302.45	46049.17	45913.1	34145.23
K00007	12	29	0	140	0	0	0	1649	513.43	0	0	0	28	0	0	0	0	4	99	0	6	0	0	0	0	0	0	0	13	0	0	0	30	202	0	0	0	176	18	0	0	0	0	239	0	3743	0	0	0	0	0	4	15	187	0	0	0	0	0	388	0	6	98	0	0	4	0	0	0	0	36	19	0	0	761	0	19	0	165	0	0	65	644	0	0	12	0	0	0	0	0
K00008	76687.75	51846.52	36232.51	27735	37140	61495.25	73140.21	38692	110058.5	50292.53	46989	44211.87	73730.6	26015.18	20970	41191.73	35275	26355.92	22795.95	28255.58	137517.67	32377.42	53649.8	351364.8	163063.13	42348.9	369991	252814.02	316974.73	285583.33	132559.8	172404.67	175575.07	76042.61	167643.73	141769.67	124895.35	210118.59	82493.6	193651.59	66415.67	116429.9	138543.38	109943.36	109998.05	97529	38634.32	109764	50452.49	84850	124948.37	48316.8	42860.48	108637.17	77590.92	52517.15	93926.67	260457.8	180214.75	179346.8	137437.01	72543.45	128718.08	93598.95	158210.2	57179	119547.47	158841.67	113301.25	56905.87	88980.93	234424.08	199434.95	118877.1	97904	416518.85	100027.67	65932.13	103745.6	51965.33	49390.2	50157.37	69731.8	132285.25	100119.31	94565.58	121586.88	67945.68	145151.17	100732.95	90535.37
K00009	7874.95	8180.9	777.75	478.5	763.5	17303	13215.25	3284.42	11348.93	17305	2497	7380.25	24972.5	2761.75	4095.85	22505.65	3269.75	5272.5	6101	4882.75	19489.5	2192	2268.75	42815.95	6780.93	267749.25	4805	27413.03	31029.23	50859	16318.25	19278	8843.5	17043.75	23309.7	11149.33	9708.42	44545.58	2974	6485.17	4920.08	8554.58	32937.3	6911	19718.25	9434.85	21858.5	7249.75	1526	4122.5	13137.2	6069.5	2165.75	12462.38	3085.67	4202.5	9946.33	77735.5	26990.2	47934.67	30319.58	8130.63	42887.8	2634.78	23284.38	19214.25	10671.5	13974	43570	3545.08	8222.75	66898.75	39006.15	14396	5754.25	132781.1	6072.25	2769.08	18308.17	12633.25	1094.75	7550.25	3981.25	8032	2925	13125.25	25274.75	9134.33	30306.67	3112.68	10400.83
K00010	3185.25	6755.25	877.62	898.5	1270	13208.25	12001.5	474	9705.93	17399	2355	4022.17	16908	946.7	910	12225	2917	1212.25	1159.75	4172.25	12362.67	2570.75	1952	32033	7186.83	722.95	9262	18990.74	32147.5	52206	8827.5	19528	11806	5133.49	19113.5	5917	9229.24	32544.75	10986	6073.34	4183.66	5150.5	20567.58	3706.38	6616.25	3432.5	8166.74	6276	2041.24	2857	6575.67	5657.5	4972.75	9891	2633.25	5300.25	7689	66941.5	21135.97	33926	20685.17	6067.2	26623.25	5393.75	16203.45	10967	6952	13179	46737.75	989.67	5038	53469.75	35826.75	10350.17	2418.67	175984.31	4644	3164.33	34643.17	3063.17	989.67	5234	1562.5	2758.75	1066.62	4000.25	20989.25	7548.08	32413	4958.08	9897.83
K00012	78976.54	47699.32	37252.38	54152.32	45521.01	46812.89	102173.77	56607.27	121171.54	21374.23	31815.38	52289.72	33344.4	51284.36	36557.86	19691.96	25229.76	42371.94	51567.66	33676	116002.52	38564.38	49013.3	311862.9	294047.83	629044.31	497307.07	326283.14	261501.69	290510.07	197865.8	98899.3	340387.14	99484.63	108285.38	124313.01	102838.67	218952.62	174437.79	269353.63	148160.29	138665.8	148093.18	115347.01	134689.81	153737.24	42660.92	93162.14	71408.77	94935.85	113095.49	89030.5	111613.29	147961.28	111232.77	91914.93	105759.86	97342.79	95389.21	101798.21	91724.91	105386.72	95708.78	136149.85	95488.55	160614.1	117101.76	108962.84	197125.25	59861.51	156000.35	160633.9	104841.16	68497.44	104952.18	197633.85	85603.83	178845.13	131152.49	105907.8	104828.6	55072.06	119832.03	169507.14	175463.56	121340.83	140543.24	121919.97	186159.01	212199.97	142475.48
K00013	113672.63	73987.36	63026.58	64163.68	57850.8	60095.37	98654.28	68194.09	170404.55	60554.03	65357.29	63384.49	61388.7	44443.61	40985.82	30825.11	42014.17	53790.7	44534.87	42809.94	159559.6	52141.44	70667.65	413384.35	380404.1	390862.46	363743.89	383346.26	388435.93	455714.32	305102.44	172167.05	342388.43	133311.13	194651.88	181486.86	141159.23	284768.77	154681.29	323898.65	88576.93	140664.48	170043.81	165014.52	171075.26	165222.34	64594.4	126231.28	93035.1	113639.05	168448.11	79363.75	127796.1	146649.74	125063.97	110974.69	130334.74	201954.73	172296.37	147389.73	125987.1	135604.87	157210.03	118985.7	149449.91	183176.05	145585.05	176861.28	164202.75	86916.74	160658.03	251489.8	175625.67	125319.85	134073.11	297050.97	112544.95	135087.26	172425.04	122633.08	110491.97	69560.26	114309.33	225471.49	199671.6	131660.08	128256.64	161517.86	209014.01	226590.89	124674.28
K00014	158252.05	95460.01	74293.96	75228.68	79088.05	101337.84	148925.26	93148.92	213625.83	86516.53	98544.57	98927.5	120643.65	74113.96	60861.39	67235.76	67463.42	68443.95	56644.69	59402.68	216699.68	70064.94	95464.9	561902.66	410204.52	402339.81	452254.57	512722.98	562994.28	578189.4	345493.61	273681.55	432221.54	174543.06	278597.61	265417.11	269365.04	459072.09	200898.19	391787.96	213032.85	310788.86	266371.86	233893.31	218580.17	245497.72	84041.45	181005.53	104457.72	168782.8	227238.26	127007.26	139380.17	208015.04	161268.47	123343.49	169080.32	386335.58	271368.64	279824.31	202494.44	162469.92	215945.16	186091.9	231006.17	232613.1	208876.48	266975.78	221423.75	105302.31	205825.76	343968.3	342573.5	199665.32	175615.96	524357.61	242059.75	149530.59	227229.55	139888.31	137775.37	102789.51	158789.93	263671.59	240418.38	210358.83	211436.19	182520.41	282647.95	280056.24	158169.18
K00015	7211	4328	4311	3257	8537	2572	8911	4792	10869	10437	5710	23152	4683	1070	2070	277	582	11539	4925	10158	3565	14199	4677	16563	84195	270595	180803	44204	5038	11296	33279	2424	34102	291	24881	16839	35023	56527	12293	40187	3395	13141	2217	2739	2653	4175	2039	3278	3038	1788	2617	5123	9237	7568	8002	10824	6410	596	3250	4371	3700	1677	5682	8097	3180	134580	1639	2007	6854	10823	3954	1907	1934	7436	3612	14091	5153	10717	8361	8458	15606	1670	10476	28614.67	41967	24000	8905	65436	59710	27553	85099
K00016	96542.99	55627.29	44418.65	39538	41443.75	59491	63680.81	52049.5	128754.5	68627	51689.11	49503.81	65152.2	35291.35	45016.94	40578.45	38570.75	44019.96	29772.49	28401.08	148347.74	36960.25	58945.75	368143.71	187337.82	298711.5	150934.41	270215.6	325799.86	393463.07	187287.19	188856.75	196995.12	117240.66	164933.77	144774.75	139723.85	256640.2	70000.4	240744.44	79370.75	145608.37	140297.47	156973.19	144827.31	132437.55	48539.78	114192.25	58567.62	97387.75	155718.79	59772.02	57040.64	111459.76	85413.84	62904.55	103885.91	225979.85	179453.93	158877.59	132161.63	88486.06	153948.96	95145.26	153975.18	58021.25	119946.76	164779	78150.5	67470.99	110707.33	243675.75	187125.46	127309.23	113060.84	334043.19	154060.84	44004.36	127738.93	65050	77175.04	56820.09	87890.6	158334.5	136094.61	101933.25	170689.4	73588.29	128121.86	114523.08	49965.57
K00018	87628.67	55207.57	43538.08	52924.38	47110.47	43031.58	89311.4	54845	109594.27	31646	52599.1	30840.4	36670.45	49722.15	33183.82	11821.4	28979.75	36624.15	27941.2	23753.65	132055.09	32226.1	58759.35	351246.95	189102.68	38455.41	465302	295125.57	302141.42	262625	185938.4	120634.5	251285.4	99236.6	135885.15	121427.9	66400.43	174235.05	125090.26	259025.6	157808.18	105212.9	110338.8	134205.85	126970.5	149470.97	35139.5	101925.95	77029.85	107539.8	129452.55	74048.5	98211.23	123661.93	103644.3	88674.65	101877.95	123248.4	136926.95	95184.6	93635.9	86496.42	96549.75	99864.05	122973.39	30592.5	122464.05	140690.4	135293	65601.1	118152.27	178346.6	123103.45	92959.15	108715.8	196918.9	71052.45	109603.68	103197.52	74896.18	85214.2	52814.27	101745.7	147955.73	138299.57	77726.5	59767.85	71112.1	99477.57	174308.48	79844.11
K00019	7066	4694	4578.2	3385	8548	2509.67	8086	4800	11163.8	10459	5828	23130.2	4681	1195	2145	186	568	11778	5031	10430	4641.67	14317.5	5197	16742	86933.33	269686	51466.93	45636.17	4692	17322	30905	2465	36189.4	413	24980	17106.5	35197.47	57322.5	12609.5	40364	4063.5	12974.33	2165	2969	3174.5	4744	2040	3518	3061	1517	2550	3907	7893	7538	6572	10974	6408.33	582	2982	4401.83	3759.2	1290	5858.6	8017	3051	134693.3	1796	2241	1138	10886	4883	2544	1476	7564	4003.6	9837	5201.83	7407.83	8815.84	8234.6	19141.4	1701	10555	28277.77	53170.87	18659	9115.4	65084.6	59356.6	31713.63	64642.33
K00020	28685.34	17520.94	16934.37	13380.66	31917.34	13124.07	36990.87	20197	58629.24	28408.2	20413	55878.3	17270.85	12738.85	14575.34	1399.4	8110.5	38156.71	20669.2	31278	51943.34	39165.25	28351.3	183185.8	216209.7	298737.67	267212.79	180405.12	94261.09	91934	98494.5	46603.75	119030.6	38564.08	81348.28	78427	123002.59	175677.92	50454.42	204765.92	26427.32	36031.89	25776.8	31276.99	52698.1	43752.34	20650.32	55264	19925.82	27850	36191.5	19438.8	32538.36	40114.66	36330	38311.74	41202.49	69410.3	37562	29799.29	36215.86	20336.54	35374.8	62175.2	36826.79	316768.9	48758.8	43057	23666.5	36681.45	37478.64	67686.25	50348.7	43319.35	50750.55	52917.85	36330.39	32898.8	48854.86	36486.36	67454.9	19079.54	54543.3	111366.8	140702.76	67305	76613.25	160875.56	166299.64	107864.1	184497.86
